epoch_idx,fps,policy_entropy,value_loss,clip_fraction,approx_kl_divergence,frames,P01:episode_rewards,policy_loss,PMM:episode_rewards,episode_length,P09:episode_rewards,explained_variance,grad_norm,advantage_norm
1,245,1.5958459991320133,229859517.32439154,0.400439453125,1255861.2135383917,10240,0.0,0.054068427999300187,83.87096774193549,314.80645161290323,150.0,-0.3945430241525173,373759134.6292177,15.968717050552367
2,230,1.6458612360060214,0.005301587093367743,0.3087158203125,0.004578941238423795,20480,0.0,-0.0016549955900700298,87.5,315.953125,167.50000000000006,2.2351741790771484e-09,0.05168940240040358,15.968717128038406
3,243,1.6071796007454395,0.005523484568402637,0.22607421875,0.002976154597780578,30720,0.0,-0.001299108489183709,81.3157894736842,320.4842105263158,150.0,-1.3783574104309083e-08,0.05299525813193763,15.968717730045318
4,246,1.5784599795937537,0.004139208239698178,0.2167236328125,0.0031807476693984428,40960,0.0,-0.0006046067235729424,75.75,320.62,150.0,9.313225746154785e-09,0.04851891478521127,15.968710893392563
5,247,1.544743563234806,0.00570107374318809,0.2576171875,0.0045010402242269265,51200,0.0,-0.0015029852722364013,74.0,325.12,125.0,-8.195638656616212e-09,0.050557936979699694,15.96871697306633
6,249,1.5466106243431568,0.0033781570837248865,0.264599609375,0.0038416913296259736,61440,0.0,-0.001275954630546039,66.5,318.51,125.0,2.9802322387695314e-09,0.05036003171337593,15.96870591044426
7,249,1.5388167329132556,0.00451671378161791,0.2233642578125,0.0030772935510526623,71680,0.0,-0.001033495060983114,62.0,312.93,125.0,3.7252902984619143e-10,0.05073529416553692,15.968716263771057
8,251,1.5251625396311284,0.005332789799314242,0.2265869140625,0.003498828741140869,81920,0.0,-0.0013222251582192257,54.0,305.96,125.0,-1.3411045074462891e-08,0.04856390174816947,15.968715769052505
9,250,1.5728475801646709,0.009371809339063475,0.1891357421875,0.0029170399349823127,92160,22.500000000000007,-0.00130259748766548,86.0,314.23,175.0,-4.470348358154297e-09,0.05594075562772538,15.968717604875565
10,252,1.5761626198887826,0.011152332519486663,0.1767822265625,0.0029603631594568467,102400,25.0,-0.0010896924060944003,122.5,325.14,250.0,-1.899898052215576e-08,0.05126013297681871,15.968717700242996
11,252,1.5883619911968707,0.009886138954607304,0.174267578125,0.0027225907583442676,112640,47.50000000000001,-0.0012341852736426518,157.5,335.37,300.0,-7.450580596923829e-10,0.05177007605824119,15.968717867136002
12,253,1.616686049103737,0.00948128651918978,0.230126953125,0.0030026775774331326,122880,25.0,-0.001803880565421423,165.25,335.02,300.0,1.862645149230957e-08,0.056846924223615446,15.968717563152314
13,252,1.6114117152988912,0.00917279165855689,0.1666015625,0.0023617837234951367,133120,25.0,-0.001051718170856475,157.75,324.89,302.5000000000002,-1.7881393432617187e-08,0.05435277254448816,15.968717610836029
14,252,1.6053291045129299,0.01001479396763898,0.1993896484375,0.00273273039704236,143360,47.50000000000001,-0.0015613090246915818,150.75,322.26,277.5000000000002,-6.332993507385254e-09,0.05279589285457894,15.96871799826622
15,253,1.4790957517921925,0.013810253896008363,0.151318359375,0.0024218955398737307,153600,50.0,-0.0011010116482793818,171.25,328.0,300.0,3.7252902984619143e-10,0.05525656943087379,15.968718087673187
16,252,1.3586481600999831,0.012659415628877468,0.1425048828125,0.00252900457008991,163840,97.5,-0.001075102596951183,210.0,346.32,405.00000000000045,-6.7055225372314455e-09,0.048293185271349896,15.968717914819717
17,252,1.3996673792600631,0.009389701839609188,0.1739013671875,0.0025137366768205995,174080,75.0,-0.0011619129774771864,198.25,347.9,300.0,7.078051567077636e-09,0.048190485947544714,15.96871777176857
18,253,1.3351173773407936,0.012005757129372796,0.163818359375,0.0025447132814008454,184320,75.0,-0.0010680723484256306,202.0,354.95,300.0,4.8428773880004884e-09,0.04932490748031494,15.968717795610427
19,253,1.4362382210791111,0.011338119650099543,0.177880859375,0.0027374714793864997,194560,72.50000000000001,-0.0014278097842179704,177.5,350.06,252.50000000000023,-4.470348358154297e-09,0.04885930390180813,15.968717736005782
20,253,1.416230984777212,0.012465511375921778,0.2045654296875,0.0033338449636175936,204800,50.0,-0.0018962205233037821,180.25,351.46,252.50000000000023,1.1548399925231934e-08,0.04808198653421623,15.96871771812439
21,253,1.2966138243675231,0.013057971184025519,0.1281494140625,0.002500711154431201,215040,120.00000000000001,-0.0010282506023941095,194.0,359.07,275.0,-2.2351741790771484e-09,0.043258476991758145,15.968717956542969
22,254,1.1983146600425243,0.013010916674102192,0.0919677734375,0.0015226569787557763,225280,125.0,-0.0007208421513496433,199.0,360.67,275.0,1.7508864402770997e-08,0.044110296819375144,15.968717724084854
23,254,1.2492326080799103,0.012271384430641774,0.11162109375,0.0018748866311966595,235520,125.0,-0.0009841543418588118,198.5,354.32,275.0,4.470348358154297e-09,0.04177115121276234,15.96871777176857
24,254,1.0835140030831099,0.013427717910963111,0.097705078125,0.0018298422798807223,245760,125.0,-0.000734222535174922,202.5,354.89,275.0,-5.960464477539063e-09,0.03821110185588293,15.968718028068542
25,254,1.1310655057430268,0.012976152330520564,0.1206787109375,0.001970433855291276,256000,125.0,-0.0006681432449113344,194.5,348.85,275.0,-1.1920928955078126e-08,0.04381901402359569,15.968717885017394
26,254,1.2967338420450687,0.014579426967247854,0.151123046875,0.0024394426560263582,266240,125.0,-0.0007604862505104393,214.0,351.38,300.0,1.862645149230957e-09,0.05312676564960206,15.968717861175538
27,255,1.248133336752653,0.014792563223454635,0.1187744140625,0.0022279449624534207,276480,125.0,-0.0007737474581517745,227.75,348.77,325.0,-6.7055225372314455e-09,0.0474984235476473,15.968717843294144
28,255,1.1852922908961774,0.014976550766732544,0.128369140625,0.0021620334590181757,286720,125.0,-0.0012511109780461993,238.5,348.2,325.0,-5.960464477539063e-09,0.046093970836500936,15.968717908859253
29,254,1.139163776487112,0.015506697788077872,0.092724609375,0.00150506253697813,296960,125.0,-0.000800251447071787,227.75,341.16,300.0,3.7252902984619143e-10,0.04136950454985898,15.968717914819717
30,254,1.0395719550549984,0.01490763159818016,0.098681640625,0.0014165486411400253,307200,147.5,-0.0007229024362459313,228.0,335.9,300.0,-7.82310962677002e-09,0.043576361938157546,15.968717736005782
31,254,1.0637868747115136,0.01304371132646338,0.095263671875,0.0015175874469036898,317440,125.0,-0.0005341946227417794,214.0,337.83,300.0,-3.3155083656311036e-08,0.03949338277152912,15.968717861175538
32,254,0.8564009893685579,0.011165315601829207,0.077783203125,0.0014750435757946434,327680,125.0,-0.0013344436636543832,199.5,340.82,275.0,-2.9802322387695312e-08,0.028546422191288855,15.968717688322068
33,255,0.726866203173995,0.00997525256316294,0.079248046875,0.0016513196134482655,337920,125.0,-0.0007884477312472882,174.25,349.78,250.0,-3.3527612686157227e-09,0.029863574176928625,15.968717908859253
34,255,0.8323461506515741,0.01113720883440692,0.082568359375,0.0013094249330663388,348160,125.0,-0.0006671004430245375,164.5,351.3,227.5000000000002,-1.3411045074462891e-08,0.03574783635058234,15.968717902898788
35,255,0.974993585422635,0.011182607704540715,0.081494140625,0.0012542190424994714,358400,125.0,-0.0001887750197056448,157.75,349.26,225.0,-9.685754776000977e-09,0.03948757296713548,15.968717873096466
36,254,1.056114675477147,0.010316075593800633,0.11435546875,0.002161223167773585,368640,125.0,-0.0004249349971360061,166.5,348.95,250.0,-1.7881393432617187e-08,0.039951101265846105,15.968717908859253
37,254,1.1451183199882506,0.009219963474060932,0.12958984375,0.0024276539431355103,378880,125.0,-0.0008105074175546179,160.0,347.36,227.5000000000002,-1.2665987014770507e-08,0.04253297914493419,15.968717753887177
38,255,1.3159705519676208,0.009129415814641106,0.181884765625,0.0024975934513349783,389120,125.0,-0.0009301404876168817,156.75,353.55,225.0,-8.940696716308593e-09,0.053335887333556244,15.968717801570893
39,255,1.309166543185711,0.009112110887508606,0.15791015625,0.0024832171764956,399360,125.0,-0.000646499722279259,144.75,353.53,200.0,-7.078051567077636e-09,0.052427498028993734,15.968717622756959
