grad_norm,PMM:episode_rewards,fps,clip_fraction,episode_length,P09:episode_rewards,frames,explained_variance,approx_kl_divergence,policy_loss,value_loss,policy_entropy,epoch_idx,advantage_norm,P01:episode_rewards
1497621349.3369734,8.59375,444,0.4399658203125,288.625,25.0,10240,-19.6062894385308,3071272.364153647,0.06891589562710579,1800755783.592031,0.5188078788631987,1,15.968688106536865,0.0
0.08904663147823182,19.366197183098592,357,0.2871337890625,291.1267605633803,50.0,20480,-0.4298732474446297,0.007598027742278646,0.0007622845949299517,0.004673739041557212,1.1527696784585715,2,15.968656283617019,0.0
0.042347443319333745,31.5,388,0.2611083984375,294.4,75.0,30720,1.7881393432617187e-08,0.005685060624455218,-0.000663147329032654,0.004027617467856004,1.3342969834804534,3,15.968686205148696,0.0
0.031523686793699005,42.75,409,0.273046875,296.44,125.0,40960,6.332993507385254e-09,0.006244739822795964,-0.0008990345937490929,0.003593039669901721,1.2895080506801606,4,15.968683475255967,0.0
0.0355889784791298,49.25,420,0.235498046875,298.58,102.50000000000021,51200,5.587935447692871e-09,0.004373731486134602,-0.00030373720401257744,0.0033777144140131553,1.3356917060911655,5,15.968689906597138,0.0
0.03459559890144083,50.25,426,0.23505859375,296.98,100.0,61440,-5.215406417846679e-09,0.004704982854718764,-0.0010915657814621227,0.003950147827685768,1.339989386498928,6,15.968711924552917,0.0
0.03919120933098418,52.0,426,0.254638671875,298.2,100.0,71680,5.215406417846679e-09,0.005195074544508316,-0.0011629963759332896,0.004313108710732649,1.4354128941893578,7,15.9687165081501,0.0
0.03110212523367097,44.75,431,0.1758056640625,296.59,100.0,81920,9.313225746154785e-09,0.004201836682946691,-0.0005021852224672329,0.0017729478889470553,1.3390578389167787,8,15.96624299287796,0.0
0.04107099856026497,40.25,436,0.333251953125,294.24,100.0,92160,1.4901161193847656e-08,0.006564317585252865,-0.000554884085431695,0.0031415849795394025,1.5221016645431518,9,15.968713444471359,0.0
0.05183436371553134,45.75,440,0.313232421875,296.37,100.0,102400,1.6391277313232423e-08,0.0051900264369578505,-0.0008941090418375097,0.005885784272663841,1.597860111296177,10,15.968717074394226,0.0
0.04920601914464021,68.25,440,0.2437744140625,301.41,150.0,112640,-2.384185791015625e-08,0.004004792598209406,-0.0011696341338392814,0.005648583661712792,1.542127402126789,11,15.968715733289718,0.0
0.04646835102788774,79.75,443,0.23896484375,308.02,152.50000000000023,122880,-1.7881393432617187e-08,0.003993507323639278,-0.0006857890643004793,0.004926954228901081,1.551922919601202,12,15.968710362911224,0.0
0.045767672149388275,89.75,443,0.1687255859375,312.1,177.50000000000023,133120,-5.215406417846679e-09,0.003049344468149684,-0.0008349049510798067,0.007288212322053056,1.4596420355141162,13,15.968713110685348,0.0
0.046630564453701506,91.0,444,0.2628173828125,312.76,202.50000000000023,143360,7.450580596923829e-10,0.004477626470281848,-0.0006599319829547312,0.006100985856318175,1.506017019599676,14,15.96871589422226,0.0
0.051930591616387314,111.75,445,0.222265625,316.93,250.0,153600,-6.332993507385254e-09,0.003729723169828958,-0.0011192025267519057,0.007802939699104172,1.580988236516714,15,15.968717712163926,25.0
0.047518149959235874,100.5,447,0.29423828125,317.15,200.0,163840,-2.6077032089233397e-09,0.0045133665105709046,-0.0013353209160413826,0.005896364695364298,1.5589703425765038,16,15.96871554851532,22.500000000000007
0.04568409918049827,120.25,447,0.20009765625,327.48,225.0,174080,-1.3783574104309083e-08,0.0029906408251576975,-0.0013436315770377406,0.008768549201704445,1.5282394878566266,17,15.968717652559281,25.0
0.04624457464859855,120.0,449,0.206396484375,332.0,225.0,184320,1.080334186553955e-08,0.003633871145291323,-0.0011533480446814792,0.008705035440834763,1.4408274538815022,18,15.968717694282532,25.0
0.042152824269052265,143.0,451,0.17646484375,342.86,250.0,194560,-4.470348358154297e-09,0.002900449279263739,-0.0013698931541512138,0.007915211159797764,1.380512424558401,19,15.968717604875565,50.0
0.04364446026935044,149.0,452,0.165283203125,348.03,250.0,204800,-7.450580596923828e-09,0.002737076248183712,-0.0005987701755657326,0.008918294465684085,1.362506267428398,20,15.968717676401138,50.0
0.05170241684868214,145.0,453,0.20087890625,345.15,250.0,215040,-9.313225746154785e-09,0.0035454541966089435,-0.0011754314924473873,0.009745528116098611,1.5551294177770614,21,15.968714940547944,25.0
0.05020017598675621,158.5,453,0.1927734375,350.56,300.0,225280,-5.960464477539063e-09,0.0029652868192499683,-0.00071315096829494,0.010573611193467513,1.6405841626226902,22,15.96871789097786,25.0
0.07853582332870661,183.25,453,0.2342041015625,351.03,327.5000000000002,235520,6.254762411117554e-07,0.003386556791701878,-0.0014394805679330603,0.013010529875464272,1.6664903894066811,23,15.968717736005782,47.50000000000001
0.055114792360768314,210.75,454,0.22587890625,356.29,350.0,245760,1.862645149230957e-09,0.003161042341150733,-0.0008605477756645996,0.010936191172775977,1.6952470295131206,24,15.968714648485184,50.0
0.05437530568883975,209.75,453,0.216259765625,347.86,502.5000000000002,256000,5.215406417846679e-09,0.003103123835421684,-0.0009527800451905932,0.010243620387700502,1.7349740706384182,25,15.968717688322068,50.0
0.05899926156853471,202.25,454,0.27685546875,343.9,357.5000000000007,266240,-3.725290298461914e-09,0.0038208804315445375,-0.0015980780717654852,0.011705111171067983,1.6924665689468383,26,15.96871766448021,50.0
0.051366694406718316,198.75,454,0.1761474609375,337.54,400.0,276480,0.0,0.0023251003482641862,-0.000978250505977485,0.011337609382826486,1.6500036589801312,27,15.968717807531357,50.0
