approx_kl_divergence,frames,PMM:episode_rewards,clip_fraction,grad_norm,P01:episode_rewards,explained_variance,policy_loss,value_loss,P09:episode_rewards,policy_entropy,episode_length,epoch_idx,advantage_norm,fps
5973750.551929205,10240,164.28571428571428,0.33642578125,2046527612.5799744,42.5,-1.0012849278748035,0.03200847752086702,2334079385.572055,275.0,1.6152119352926984,327.75,1,15.96871771812439,452
0.003509938255137968,20480,166.39344262295083,0.238134765625,0.055430369381822865,25.0,7.82310962677002e-09,-0.0020894373512419405,0.010155349600245245,275.0,1.6943116404116154,330.55737704918033,2,15.96871775984764,372
0.002710731040201608,30720,207.10227272727272,0.1916259765625,0.05539002422941246,25.0,-6.7055225372314455e-09,-0.0015070478792040376,0.01272774873286835,457.4999999999999,1.7140931703150273,343.9886363636364,3,15.968717855215072,418
0.0028253997116962637,40960,232.25,0.2060546875,0.05578623553167791,25.0,1.4901161193847656e-08,-0.0013533719407860189,0.012882722899666988,552.5000000000002,1.7035470932722092,348.97,4,15.968717950582505,442
0.003347470934630792,51200,272.0,0.233251953125,0.057415771098929744,50.0,-4.470348358154297e-09,-0.001834072816564003,0.013521249953919323,575.0,1.6866263769567014,358.6,5,15.968717849254608,456
0.0031759175556715035,61440,287.0,0.2108154296875,0.054373570583168274,100.0,1.2665987014770507e-08,-0.0015706387912359787,0.01273572130012326,575.0,1.6882399931550025,370.94,6,15.968717914819717,470
0.002979438119518818,71680,241.5,0.233984375,0.05213874499326848,50.0,-6.332993507385254e-09,-0.0015839407920793746,0.0074025084939421506,530.0000000000005,1.6205902352929116,358.1,7,15.968717795610427,479
0.003606109782595013,81920,158.75,0.2597412109375,0.048564966743832635,25.0,2.6077032089233397e-09,-0.0009186564384435769,0.004617357730674598,375.0,1.5870368793606757,335.75,8,15.96871252655983,486
0.004343935704105207,92160,85.5,0.331787109375,0.04607010639657166,0.0,7.450580596923829e-10,-0.0019457833070191555,0.0036482905325939895,175.0,1.5662416510283947,305.59,9,15.968710881471633,489
0.003999053734833069,102400,55.75,0.2744140625,0.048714028284863695,0.0,-8.940696716308593e-09,-0.0012807282284484245,0.0037869646748106335,125.0,1.5468070954084396,293.12,10,15.968688952922822,492
0.0034595640047655253,112640,56.0,0.2143310546875,0.04727676665160498,0.0,-4.8428773880004884e-09,-0.0009831650742853526,0.004238218612196221,125.0,1.4949372380971908,292.65,11,15.968697732686996,493
0.0031491610125556234,122880,47.0,0.176611328125,0.041240386710322145,0.0,-1.4901161193847657e-09,-0.0009275716805859701,0.0019452098466342439,102.50000000000021,1.4002904824912548,289.66,12,15.96857903599739,495
0.0051012120236521245,133120,40.5,0.32353515625,0.044171934106457866,0.0,1.4901161193847657e-09,-0.000977142636111239,0.002980439945505964,77.50000000000021,1.5403177171945572,288.42,13,15.968704581260681,498
0.004257760209293337,143360,44.5,0.2768310546875,0.05019716733981853,0.0,-4.8428773880004884e-09,-0.0005925552031840198,0.005021392438925432,100.0,1.7338403023779392,292.05,14,15.968716424703597,499
0.004220234792956035,153600,68.0,0.287158203125,0.052525099288263,0.0,-1.2293457984924316e-08,-0.0014926309122529346,0.007098210842781327,150.0,1.7495781429111958,303.45,15,15.9687171459198,503
0.0038045933919875095,163840,118.75,0.2490966796875,0.052999335313263785,0.0,-7.82310962677002e-09,-0.0017950555065908702,0.010340093804643402,227.5000000000002,1.7170711234211922,318.57,16,15.968717795610427,505
0.0030903108950496973,174080,163.5,0.2170654296875,0.053980104184615386,25.0,-8.195638656616212e-09,-0.0016127609473187477,0.011088494294381235,327.5000000000002,1.6776487872004509,335.8,17,15.968717807531357,509
0.002526157016666275,184320,215.0,0.1769287109375,0.05612627906337325,50.0,1.6391277313232423e-08,-0.00120654202910373,0.014078771308413706,527.5000000000002,1.696376796066761,346.75,18,15.968717861175538,511
0.003374061557110508,194560,243.0,0.2371826171875,0.05592400162130806,75.0,2.2351741790771484e-09,-0.002013609812274808,0.013754344708286226,550.0,1.6668059140443803,351.83,19,15.968717646598815,510
0.002677224824583391,204800,261.5,0.187353515625,0.055772835678806774,122.5,-3.7252902984619143e-10,-0.0016676427760103252,0.015870860403811093,527.5000000000002,1.6100578062236308,347.35,20,15.96871801018715,511
0.002773935941087302,215040,274.0,0.180908203125,0.05427416111099378,147.5,-6.7055225372314455e-09,-0.0007817042696842691,0.015582497556169982,457.5000000000006,1.5586400777101517,345.87,21,15.968717867136002,512
0.002578447240694004,225280,272.25,0.1927490234375,0.05641615907711346,150.0,-6.332993507385254e-09,-0.0009834151129325618,0.015105725778266788,375.0,1.672526316344738,345.78,22,15.96871783733368,513
0.0024591758833139464,235520,275.75,0.19130859375,0.05625314522366437,150.0,5.215406417846679e-09,-0.001093399478122592,0.014079469554417301,400.0,1.6797133892774583,347.64,23,15.968717849254608,515
0.0025541048320746997,245760,274.5,0.1662841796875,0.054059379490663265,100.0,-4.470348358154297e-09,-0.0008651832344185095,0.014374120206048247,400.0,1.6429161913692951,350.94,24,15.968717885017394,516
0.002560207721307961,256000,253.75,0.1792724609375,0.053272584109703425,100.0,1.1175870895385742e-08,-0.001192596556211356,0.014180929692520295,400.0,1.6232639290392399,346.06,25,15.968717902898788,517
0.0025145694155071395,266240,248.5,0.1507080078125,0.050687526941247264,125.0,2.3469328880310058e-08,-0.0009410392951394897,0.01597255424130708,375.0,1.549204245209694,338.1,26,15.96871789097786,518
0.0025441496745429505,276480,239.5,0.165283203125,0.05296330945043502,125.0,-2.6077032089233397e-09,-0.0013364800932322396,0.01493851246777922,350.0,1.555552239716053,332.75,27,15.968717795610427,519
