P01:episode_rewards,grad_norm,episode_length,P09:episode_rewards,approx_kl_divergence,fps,PMM:episode_rewards,clip_fraction,policy_entropy,value_loss,frames,policy_loss,advantage_norm,explained_variance,epoch_idx
0.0,476.2232970462469,293.3125,100.0,0.44211796183719854,177,56.25,0.228564453125,1.7342460761778056,72.01972422780963,10240,0.007506667505367659,15.968718057870865,-0.10390318259596824,1
0.0,0.3125510076654134,307.66153846153844,200.0,0.0015420285852769666,173,96.15384615384616,0.1072998046875,1.7716691620647906,0.016926486598094925,20480,-0.0015523732439760352,15.96871799826622,-1.2293457984924316e-08,2
25.0,0.11277996396597198,320.77659574468083,275.0,0.0006797163553869723,178,122.6063829787234,0.01875,1.7811713248491288,0.015890630177455022,30720,-0.0008686289504112211,15.968717986345291,-9.685754776000977e-09,3
25.0,0.09041980138559183,334.06,452.50000000000017,0.0005625798755851009,185,170.25,0.0180419921875,1.7797795929014684,0.021115856029791758,40960,-0.0011410957798943856,15.968718141317368,-5.960464477539063e-09,4
25.0,0.07399945274811179,333.06,500.0,0.0002320246452732988,186,174.0,0.0,1.7889912858605386,0.0184381025377661,51200,-0.0006758241481293226,15.968717980384827,-6.332993507385254e-09,5
25.0,0.06807368229051941,327.4,305.00000000000045,0.00024301140806173293,188,164.0,0.0,1.7877510823309422,0.018049232236808165,61440,-0.0008864579438522923,15.96871811747551,-7.450580596923829e-10,6
25.0,0.06634307204863751,320.0,252.50000000000023,0.0002975660652666079,189,146.5,0.0,1.7851132698357106,0.01732699999702163,71680,-0.000986779934100923,15.968718004226684,1.0058283805847169e-08,7
25.0,0.06566928182837542,320.38,277.5000000000002,0.00020621713111523832,191,140.5,0.0,1.7783665664494037,0.016858809877885506,81920,-0.0007195797476015287,15.96871793270111,-1.1175870895385742e-09,8
25.0,0.06510296771251597,327.65,330.0000000000004,0.000310053465124227,191,153.75,0.0,1.7702451750636101,0.018944304282194936,92160,-0.0011476926814793843,15.968717956542969,-1.2293457984924316e-08,9
25.0,0.07234940752589294,324.93,402.5000000000002,0.000241048246114417,191,151.5,0.0,1.7781123861670494,0.015107109028031118,102400,-0.0007014165850705468,15.968718022108078,1.825392246246338e-08,10
25.0,0.055829644863005776,330.21,355.00000000000045,0.00012055593031448097,191,151.75,0.0,1.7886441059410572,0.016838043392635883,112640,-0.0004363329382613301,15.968718057870865,8.195638656616212e-09,11
50.0,0.05568568095936431,325.59,352.5000000000002,0.00013932651516697093,192,142.5,0.0,1.7864943258464336,0.016717581549892203,122880,-0.0006468459840107243,15.968717968463897,3.7252902984619143e-10,12
47.50000000000001,0.05279292966840728,327.05,305.00000000000045,7.42912194812817e-05,191,147.25,0.0,1.7842749558389186,0.02177983544243034,133120,-0.0002572048128058668,15.968718296289444,-1.862645149230957e-09,13
50.0,0.055891035305181094,326.1,352.5000000000002,0.00013056457598707992,192,160.0,0.0,1.7856742702424526,0.019439395505469293,143360,-0.0005476577913213987,15.968718141317368,0.0,14
25.0,0.056628091602068456,329.13,402.5000000000002,0.00015144787637488832,192,174.75,0.0,1.7870332658290864,0.021017773964558728,153600,-0.0006264804411330261,15.96871822476387,-3.2782554626464846e-08,15
25.0,0.05396264978610492,334.54,480.00000000000045,0.00011147860499249873,193,185.5,0.0,1.7824608214199542,0.022651502455119044,163840,-0.0004396583775815088,15.96871822476387,1.30385160446167e-08,16
25.0,0.056987452729391166,341.83,480.00000000000045,0.0001271757929622197,193,198.5,0.0,1.7832469448447228,0.021386106727004518,174080,-0.0005733555599363171,15.968718159198762,-1.825392246246338e-08,17
25.0,0.05346777305125376,341.81,477.5000000000002,9.702332900189959e-05,192,203.75,0.0,1.7720203973352908,0.025754394941031933,184320,-0.00037799499223183374,15.968718248605729,1.862645149230957e-09,18
50.0,0.05682066814829475,346.24,502.5000000000002,0.0001856600268444808,192,219.0,0.0,1.7638375490903855,0.02380954849650152,194560,-0.0007965327647980302,15.968718242645263,-2.0116567611694337e-08,19
50.0,0.05634903895780208,338.55,502.5000000000002,0.00019103597647109893,193,217.5,0.0009033203125,1.7599748969078064,0.026594735612161458,204800,-0.0007561368893220788,15.96871846318245,-1.1175870895385742e-09,20
50.0,0.05756479773376705,341.7,502.5000000000002,0.00013416818743152703,193,214.75,0.0,1.7843625389039517,0.02224362867709715,215040,-0.0005420536603196524,15.968718141317368,-3.01748514175415e-08,21
50.0,0.05501867941320312,333.6,382.5000000000007,0.00010056448316255739,193,190.25,0.0,1.7807746730744838,0.018727947765728458,225280,-0.0004612952583556762,15.968717968463897,-3.241002559661865e-08,22
50.0,0.05681852433032493,332.15,300.0,0.00017517404317040074,193,167.25,0.0,1.7791546180844307,0.019543949273065665,235520,-0.0007492852178984322,15.968717992305756,-3.3527612686157227e-09,23
25.0,0.05531363777660827,331.3,300.0,0.00016103236318771864,193,164.75,0.0,1.785175321996212,0.021602331558824517,245760,-0.0006920598661963595,15.968718361854553,-4.470348358154297e-09,24
25.0,0.05911974885453526,334.39,427.5000000000002,0.00013034791391106638,193,182.75,0.0,1.7848545610904694,0.022760622034547852,256000,-0.0004905387035250896,15.968718111515045,-1.825392246246338e-08,25
25.0,0.0563402835333212,335.89,477.5000000000002,0.00013513048797051397,193,200.75,0.0,1.7855812646448612,0.01915511579718441,266240,-0.0006066147656383691,15.968717992305756,-2.421438694000244e-08,26
25.0,0.05474436875998719,331.78,500.0,0.00012333882313839695,192,207.5,0.0,1.783267081528902,0.016611136015853845,276480,-0.0005454148082208121,15.968717950582505,-1.564621925354004e-08,27
25.0,0.058836570642257224,324.69,450.0,0.00013731173685300747,192,165.0,0.0,1.779214871674776,0.01694569791725371,286720,-0.0005307609342708019,15.968717908859253,-1.9744038581848144e-08,28
25.0,0.054981696508703395,326.11,427.5000000000002,0.00011168445302107699,193,162.25,0.0,1.779278150945902,0.01887901491863886,296960,-0.00044780239477404393,15.968717944622039,-3.3900141716003417e-08,29
25.0,0.05535806750594209,330.67,450.0,0.00011321199579299446,192,164.5,0.0,1.7852636717259884,0.017394516250351443,307200,-0.00046515394460584504,15.968718034029006,-1.1175870895385742e-08,30
25.0,0.05635823603307033,335.86,455.0000000000004,0.00014234635345857782,192,179.75,0.0,1.7868079558014869,0.02027191229863092,317440,-0.0006220016355655388,15.968718159198762,-1.0058283805847169e-08,31
25.0,0.057335097605258636,331.67,427.5000000000002,0.00016442498227844382,193,161.75,0.0,1.7859333425760269,0.017703000447363594,327680,-0.0007621755503350869,15.968718016147614,1.0058283805847169e-08,32
25.0,0.05688401595297584,331.03,302.5000000000002,0.00016740212941783738,193,157.75,0.0,1.7763518176972866,0.021052586514269934,337920,-0.0007898238269262947,15.968718081712723,-2.0116567611694337e-08,33
25.0,0.05675003694347839,327.17,302.5000000000002,0.00015287877561185326,193,153.75,0.0,1.7774447299540044,0.017456562738516368,348160,-0.0006937345548067242,15.968717980384827,8.568167686462402e-09,34
25.0,0.05490070034119252,331.24,352.5000000000002,0.00020642777376522758,193,163.25,0.0,1.7681136481463908,0.01772415083250962,358400,-0.0008661390056659002,15.968717962503433,2.9802322387695314e-09,35
25.0,0.05411082334957312,332.98,377.5000000000002,0.00017004306186017005,194,161.75,0.0,1.785116271674633,0.019386800314532594,368640,-0.0007221420637506526,15.968717992305756,-1.2665987014770507e-08,36
25.0,0.05548603330571881,338.6,475.0,0.0001140070560637696,194,181.75,0.0,1.7807036019861697,0.02424642088008113,378880,-0.0005169099233171437,15.96871829032898,1.7508864402770997e-08,37
25.0,0.05640707126311517,345.89,475.0,0.0001128457512823644,194,190.0,0.0,1.7819498501718045,0.01888158705260139,389120,-0.0004592354620399419,15.968717956542969,1.4901161193847657e-09,38
47.50000000000001,0.06056294216076924,346.02,525.0,0.00016127696008751968,194,203.25,0.0,1.7829140901565552,0.023999627065495587,399360,-0.0007648351244370133,15.968718433380127,-1.0058283805847169e-08,39
25.0,0.05489534275899109,346.42,530.0000000000005,0.00013251369331896968,194,215.25,0.0,1.784798575937748,0.0198015081405174,409600,-0.0005377446472266456,15.968718004226684,6.332993507385254e-09,40
25.0,0.057836464416006525,334.02,525.0,0.00017091111516975843,194,186.25,0.0,1.7826894894242287,0.01775846566888504,419840,-0.0007658829074216556,15.968717962503433,-8.568167686462402e-09,41
25.0,0.05656574981723622,326.71,327.5000000000002,0.00015977215891354034,194,168.25,0.0,1.7788319721817971,0.02026173551857937,430080,-0.0006912576038303087,15.968718159198762,-2.2351741790771484e-08,42
25.0,0.057220381622071825,320.35,252.50000000000023,0.00011789107319373215,194,140.5,0.0,1.7846195474267006,0.016582134694908747,440320,-0.00048444978492625526,15.96871793270111,-1.6391277313232423e-08,43
25.0,0.05381790405277108,326.8,250.0,0.00013352578192424858,194,154.25,0.0,1.7844092689454556,0.022241117403609678,450560,-0.0005978899609544897,15.96871811747551,-1.899898052215576e-08,44
50.0,0.05344398315451619,340.1,380.00000000000045,9.419078237051792e-05,194,192.75,0.0,1.7843924812972545,0.026783380808774383,460800,-0.00039381341703119687,15.968718326091766,2.0116567611694337e-08,45
50.0,0.056057518711114265,343.14,502.5000000000002,0.00016132220039253298,194,216.25,0.0,1.7830032654106618,0.02105978546314873,471040,-0.0007984974603459704,15.968718105554581,-1.30385160446167e-08,46
