frames,policy_entropy,policy_loss,grad_norm,advantage_norm,explained_variance,PMM:episode_rewards,P09:episode_rewards,epoch_idx,value_loss,episode_length,P01:episode_rewards,fps
128000,1.3690152740478516,-0.003412020350806415,0.37176679492903003,1.247742596268654,0.7645372587442398,1.23,3.0,16,0.011301424518460407,175.63,0.0,217
136000,1.3591426372528077,-0.001171337153064087,0.30933714375372945,1.1027850368618966,0.8368301218748093,1.59,5.0,17,0.008653013677685522,190.55,0.0,218
144000,1.3340426790714264,-0.0038784576336547616,0.38396573830796554,1.3233614006638528,0.788520872592926,1.81,5.0,18,0.013424958799150772,199.7,0.0,217
152000,1.3554659402370453,-0.0019750358513556422,0.31061211095848007,1.1135298559069633,0.8861294394731521,2.03,5.0,19,0.008930843882262706,210.21,0.0,217
160000,1.3357546353340148,-0.002511140016140416,0.31910638266207947,1.0257037594914435,0.880664792060852,2.15,6.1000000000000085,20,0.008260842779418454,209.49,0.0,217
168000,1.3439841258525849,-0.0006078127806540579,0.3120543430622636,1.12038581430912,0.9126795870065689,2.08,6.0,21,0.009348045758670195,208.23,0.0,216
176000,1.3523300564289094,-0.0010247683337365743,0.2709515203623484,1.1019432818889618,0.8983134299516677,2.46,8.100000000000009,22,0.008916379527654499,218.13,0.0,218
184000,1.330245989561081,-0.0016262401762651279,0.26806603011903635,0.9518389722704887,0.9343012523651123,2.4,8.0,23,0.006666272699367255,214.88,0.0,220
192000,1.3393184423446656,-0.0011507805821020156,0.26066526563926146,0.9667701616883277,0.9161749494075775,2.54,8.0,24,0.006841948118526489,220.95,0.0,221
200000,1.3451107478141784,-0.0018170681424089707,0.20420203235121467,0.7757904826104641,0.9478128468990326,2.08,5.0,25,0.004615937592752743,208.18,0.0,221
208000,1.3484670114517212,0.0001633115169533994,0.1853079553496182,0.7987588039040565,0.9273910903930664,1.58,4.1000000000000085,26,0.0047955698688747364,189.28,0.0,222
216000,1.3508719849586486,-0.0011995779161225073,0.20844305110141692,0.7659646971523761,0.9549285793304443,1.64,4.0,27,0.004504737980023492,192.71,0.0,222
224000,1.3191291081905365,-0.0018167566038320615,0.2905043977845396,0.9237557357549667,0.9037760627269745,1.9,5.0,28,0.009030767358490266,200.88,0.0,221
232000,1.3469209420680999,-0.0010854134398687165,0.20836709197212322,0.8417655622959137,0.9471069037914276,1.65,5.0,29,0.005093871469725854,191.42,0.0,220
240000,1.3455758237838744,-0.0009006170521024615,0.19784666038530638,0.7934705805778504,0.9541427797079086,2.05,6.0,30,0.0047447564470348876,205.97,0.0,221
