episode_length,fps,policy_entropy,epoch_idx,policy_loss,value_loss,advantage_norm,P09:episode_rewards,frames,explained_variance,PMM:episode_rewards,grad_norm,P01:episode_rewards
164.13953488372093,213,1.3591741836071014,1,-0.0033088543999474497,0.029232397055220644,1.5344866262376309,2.0,8000,-0.9757830131053925,0.9767441860465116,1.2279697044886033,0.0
168.53684210526316,172,1.378522412776947,2,0.0017598278654622846,0.012624970318465784,1.1597811394929887,3.0,16000,-0.040865907669067385,1.063157894736842,0.2184223553894424,0.0
181.61,175,1.3769091534614564,3,0.0007020806497894228,0.017570637606877427,1.4158444054424764,4.0,24000,-0.014173677563667298,1.44,0.2583953166124186,0.0
186.56,175,1.377940800189972,4,0.0030366482032695786,0.014584642520385388,1.2823287899792195,4.0,32000,0.05657867968082428,1.6,0.2251565582771306,0.0
188.67,182,1.3686429691314697,5,0.00030178660643287,0.01474535574518086,1.2828702753037213,4.1000000000000085,40000,-0.029854992032051088,1.62,0.26579879926156885,0.0
195.55,189,1.3354047644138336,6,0.00023746650229441,0.017191168530698634,1.4608002735674381,5.0,48000,0.22614638328552247,1.77,0.39106473075851483,0.0
198.43,193,1.3511403250694274,7,-0.0011442260033800267,0.012665904844325268,1.2514070664346217,5.0,56000,0.5043923449516297,1.87,0.32964348756317213,0.0
210.03,196,1.35631556391716,8,0.001200300993223209,0.016229945207596755,1.4411535206437112,5.0,64000,0.567926766872406,2.15,0.3876614467147965,0.0
191.46,198,1.3409407794475556,9,-0.0030794212123146283,0.012734219910344109,1.3264649617671966,5.0,72000,0.7644580382108689,1.68,0.3355406545952166,0.0
201.51,201,1.3664600229263306,10,-0.0005068419387680478,0.012337455892702565,1.3264517593383789,5.0,80000,0.8241782510280609,1.88,0.3389496528015132,0.0
197.7,204,1.3629857563972474,11,-0.006698266636813059,0.010642942524864338,1.2014712327718735,5.0,88000,0.8449155098199844,1.73,0.33829119396747287,0.0
202.19,206,1.361888736486435,12,-0.0025412028154823928,0.01061197450500913,1.2281513458490372,5.0,96000,0.8930195462703705,1.91,0.3628564818386669,0.0
205.0,208,1.3499658203125,13,-0.0014810262993705692,0.0063807035295758395,0.9507827883958817,5.0,104000,0.9093131107091904,1.97,0.24364771868000265,0.0
197.82,210,1.3418373095989227,14,-0.0006589674309361726,0.006034355544252321,0.8860912165045738,5.0,112000,0.904638067483902,1.73,0.23802269644381396,0.0
192.25,213,1.3284566009044647,15,1.9012702396139502e-05,0.007171052568010055,0.9772105914354324,5.0,120000,0.9194950139522553,1.63,0.2747428078487016,0.0
210.78,215,1.312626975774765,16,-0.0007219668605102925,0.005905302034516353,0.9025864696502686,5.0,128000,0.9396991068124771,2.09,0.2541407707287501,0.0
215.69,213,1.343623765707016,17,0.0006786364676372614,0.005058636774483602,0.7984947860240936,5.0,136000,0.9394416320323944,2.24,0.22447857591683398,0.0
211.06,213,1.3566069912910461,18,-0.0010946959591819905,0.007186373929143884,0.9635706567764282,5.0,144000,0.9193826764822006,2.12,0.2662939211868264,0.0
212.14,213,1.356239606142044,19,-0.0013810979813570156,0.005605382897192613,0.848799774646759,5.1000000000000085,152000,0.9409581327438354,2.16,0.22312950175833512,0.0
198.14,214,1.3409264767169953,20,-0.0005370327972923406,0.0023580727470107377,0.5447095631062985,5.0,160000,0.9697152137756347,1.78,0.14496655428618857,0.0
204.46,214,1.3421718049049378,21,-0.0003647360856393789,0.003233532963786274,0.6173111912608147,5.0,168000,0.9654316884279251,1.9,0.15442133798450836,0.0
217.56,213,1.3446706306934357,22,-0.0008749917622481007,0.004686794809240382,0.7664249829947949,5.0,176000,0.9544402408599854,2.27,0.19855978397086485,0.0
229.51,215,1.3638500368595123,23,0.001029832779749995,0.004470452462264803,0.7392227430641651,6.0,184000,0.9449203407764435,2.68,0.1884697319088868,0.0
220.95,216,1.348742871284485,24,-0.0013020172836331768,0.003985755173198413,0.6776856753230095,5.0,192000,0.9654253041744232,2.42,0.1669317347864242,0.0
214.84,217,1.3571431708335877,25,-0.0007081769981869001,0.004261999409063719,0.736710688918829,6.0,200000,0.9473715168237686,2.3,0.17979785347270366,0.0
211.67,218,1.3330066108703613,26,-0.0013985014689387753,0.0036578818515408786,0.6756552274525166,6.0,208000,0.9662484788894653,2.22,0.16958430487005574,0.0
194.34,218,1.3421212470531463,27,-0.00010353427642257884,0.003774125133641064,0.6622616347670555,5.0,216000,0.963659039735794,1.77,0.1642049518679953,0.0
201.99,217,1.3364187562465668,28,-0.0015718159892094262,0.00311225986602949,0.618568591028452,5.1000000000000085,224000,0.9721265852451324,2.06,0.14959054937350622,0.0
208.15,218,1.3294620299339295,29,-0.0004981351686365088,0.0036499974357138854,0.6347851026058197,9.0,232000,0.9554569417238236,2.28,0.15342418122332505,0.0
215.9,219,1.331011575460434,30,-0.0022552558121969922,0.003929620054841507,0.6705934274196624,5.0,240000,0.9661649173498154,2.32,0.1777992823290072,0.0
204.74,218,1.3634627950191498,31,0.00037074503181429465,0.004072104536608095,0.7014327219128609,5.0,248000,0.9137325143814087,1.99,0.17011617087068426,0.0
197.91,218,1.346384012699127,32,-0.0011686342499160674,0.004692394821322523,0.7834842723608016,4.1000000000000085,256000,0.9545262557268143,1.83,0.18209486900286884,0.0
206.67,218,1.336017768383026,33,-0.0007463981742330361,0.0030057628412032498,0.5893099030852318,5.0,264000,0.968951615691185,2.13,0.13806817762858414,0.0
205.13,217,1.3551845479011535,34,-0.0011165661399854798,0.0027735317617771215,0.5377178440988064,5.0,272000,0.975997062921524,2.0,0.12535809283801702,0.0
194.29,217,1.3594104170799255,35,-0.0004333914222661406,0.004808618307870347,0.7622857755422592,5.0,280000,0.9363082939386368,1.81,0.19290163549392603,0.0
197.22,218,1.3581610572338105,36,1.3128950195095968e-06,0.0067360757730784825,0.8759459222853184,6.1000000000000085,288000,0.9203796201944351,1.92,0.20271843623887964,0.0
205.02,218,1.3561109125614166,37,-0.001261496709084895,0.0027123439582646823,0.5401539707183838,7.0,296000,0.9724660009145737,2.11,0.13072931502942056,0.0
195.99,218,1.369187959432602,38,0.00013465344411088155,0.004561376220808597,0.6839089372754097,5.0,304000,0.9407925128936767,1.77,0.1557008821057761,0.0
203.36,218,1.3392619836330413,39,-0.0010327047816826962,0.0033387644373578953,0.610463942438364,5.0,312000,0.9692100882530212,1.91,0.14396449066550518,0.0
214.05,218,1.3567411756515504,40,-0.0009944611625905965,0.003989908623043448,0.7023292689025402,5.0,320000,0.9623843729496002,2.21,0.16210186780996133,0.0
217.97,218,1.352617449760437,41,-0.0004238066851394251,0.004099006050964817,0.7096836687624455,8.0,328000,0.9639037418365478,2.44,0.1713422538741788,0.0
229.71,218,1.3414226853847504,42,-0.001117471274046693,0.004451946475019213,0.736186032295227,9.0,336000,0.9466112542152405,2.8,0.17046860495701766,0.0
227.12,217,1.3579475557804108,43,-0.0007465341701754369,0.004968137123651104,0.7566424843668937,9.0,344000,0.9451645684242248,2.69,0.1790947725319831,0.0
215.54,218,1.3582859408855439,44,-0.000396744197641965,0.005324881352717057,0.8062688148021698,6.0,352000,0.9316130298376083,2.33,0.18178013811152005,0.0
218.98,218,1.3689174103736876,45,0.000811024792783428,0.0075749943463597445,0.9850781977176666,5.1000000000000085,360000,0.9064121752977371,2.34,0.2203723491616971,0.0
210.78,217,1.3610570311546326,46,-0.0008750205114483833,0.005696095907478593,0.8678380066156387,5.0,368000,0.9320792210102081,2.09,0.2047833840555231,0.0
199.95,218,1.3555075800418854,47,-0.0006667483571800403,0.0031559943821048366,0.5992690807580948,5.0,376000,0.9705906653404236,1.9,0.1417578363170165,0.0
205.31,218,1.366811511516571,48,-0.0015353117098857183,0.005951500305964146,0.8605764177441597,5.1000000000000085,384000,0.9146793067455292,2.1,0.1980748611136936,0.0
201.81,218,1.3627889406681062,49,-0.003286194933752995,0.008174545197980478,1.0204276177287102,4.1000000000000085,392000,0.8927861338853836,1.97,0.2559554491911664,0.0
197.95,218,1.360153034925461,50,0.0007361028587911278,0.007051816787279677,0.9604767605662345,4.0,400000,0.8865627461671829,1.8,0.21293937884662018,0.0
206.89,218,1.3421474921703338,51,-0.0009623643531813286,0.006691356197698042,0.9393982145190239,4.1000000000000085,408000,0.9379339438676834,2.12,0.2142977537521417,0.0
216.88,218,1.3431855654716491,52,-0.004010542201867793,0.009314235460478812,1.1043480241298675,5.0,416000,0.8934765416383743,2.45,0.270279216875258,0.0
223.23,218,1.348153201341629,53,0.0009636700121336616,0.007538350545801222,0.982915555536747,5.1000000000000085,424000,0.9024897253513336,2.52,0.24110366657429097,0.0
214.37,218,1.3507962715625763,54,-0.0019154434316442349,0.005262560963747092,0.812232338488102,5.1000000000000085,432000,0.9469975364208222,2.21,0.20350742423964488,0.0
219.2,218,1.3547614920139313,55,-0.00023947355046402663,0.007292268282035366,0.9621380135416985,6.0,440000,0.9248427432775498,2.26,0.232789574285323,0.0
221.75,218,1.3499619781970977,56,-0.0015783273009583353,0.008891364831943065,1.099588722884655,6.0,448000,0.9022438114881516,2.47,0.2540401832489442,0.0
225.87,218,1.3357751286029815,57,-0.0014194726920686662,0.008314542185980827,1.071475799381733,5.1000000000000085,456000,0.914828724861145,2.59,0.24241512430176204,0.0
233.62,218,1.3353299361467361,58,-0.0012200005247723312,0.011953336012666113,1.120151108801365,8.100000000000009,464000,0.8445276528596878,2.96,0.346201511772728,0.0
232.12,218,1.3452121031284332,59,-0.0027699091692920774,0.008870368698844687,1.0553407174348832,7.0,472000,0.9092075979709625,2.82,0.26051593328964673,0.0
224.23,218,1.3374688112735749,60,0.0008657149481587112,0.011027140784426593,1.2337405234575272,7.200000000000017,480000,0.8966737973690033,2.69,0.28919022894832147,0.0
221.95,218,1.342730349302292,61,-0.004472624358022585,0.011631878495099954,1.2376539346575737,6.1000000000000085,488000,0.8467822331190109,2.65,0.3005576715924322,0.0
