explained_variance,P01:episode_rewards,epoch_idx,PMM:episode_rewards,grad_norm,policy_loss,value_loss,P09:episode_rewards,episode_length,policy_entropy,advantage_norm,frames,fps
-2.8012985706329347,0.0,1,1.0444444444444445,1.4450383940208313,-0.001186903622583486,0.03615458044539992,2.0,167.9777777777778,1.3357715672254562,1.6778501949086786,8000,221
-0.024272797107696534,0.0,2,1.3604651162790697,0.26709766939817825,0.004270413703052327,0.01634650038475229,3.0,178.11627906976744,1.3751809120178222,1.357103269994259,16000,173
-0.048778505325317384,0.0,3,1.76,0.25784714947104664,0.0030705478804884476,0.014289763661563483,4.0,191.33,1.3771491277217864,1.2297006902471184,24000,180
-0.02786436438560486,0.0,4,1.74,0.27321600676552893,0.0036885501284268686,0.015120893781277117,4.0,191.95,1.3749076008796692,1.2717479186505078,32000,187
0.07240130245685578,0.0,5,1.64,0.2754706374240021,0.0034615063993260263,0.01438901108369464,4.0,190.5,1.3768812012672424,1.2881997042894364,40000,186
0.12416130900382996,0.0,6,1.84,0.34682752843694314,-0.0025050960123189723,0.016191784187685698,5.1000000000000085,199.72,1.3632290011644363,1.3762266847491265,48000,193
0.2642711156606674,0.0,7,1.57,0.2887677726158184,0.001819511786743533,0.010935169668373419,4.0,192.13,1.3761316633224487,1.1258902159333228,56000,186
0.4927678030729294,0.0,8,1.52,0.423104233383974,-0.0009340270957909525,0.016325661386363207,4.1000000000000085,189.58,1.37850248336792,1.4685443341732025,64000,186
0.46630111157894133,0.0,9,1.63,0.4555735218548859,-0.0037356289764284155,0.016201105745276435,4.0,193.13,1.3675687849521636,1.363214101791382,72000,190
0.6653030633926391,0.0,10,1.52,0.4523025191720851,-0.0024803055290249175,0.014281855181325227,4.0,185.95,1.3460021388530732,1.3991447511315345,80000,192
0.7028131985664368,0.0,11,1.31,0.3999504802912376,-0.0022625982871977614,0.012308702218579128,3.0,178.76,1.3729964578151703,1.2522282746434212,88000,194
0.8342744892835617,0.0,12,1.26,0.2914139451855193,-0.0005470191747735953,0.008750129684922286,3.1000000000000085,177.73,1.3707525384426118,1.1115634378790855,96000,196
0.8511910998821258,0.0,13,1.37,0.41113060044399574,-0.005045667216763832,0.010519985833961982,4.1000000000000085,182.66,1.3519753658771514,1.1826691719889642,104000,198
0.8808527129888535,0.0,14,1.67,0.3173097192264189,-0.001254936299228575,0.007894699876778759,5.0,191.57,1.3548114824295043,1.0372890278697013,112000,200
0.8609697562456131,0.0,15,1.9,0.3272866198738781,0.00129545211995719,0.00944772588321939,5.0,197.13,1.3537644827365876,1.1258483231067657,120000,201
0.9167301583290101,0.0,16,1.89,0.3017537513535976,-0.0015623364751081682,0.0074467722658300775,5.0,196.72,1.3664150321483612,0.9995121374726296,128000,203
0.9238727742433548,0.0,17,1.97,0.29225887414145135,0.0001304287533275783,0.00718573061079951,5.0,201.77,1.360308656692505,0.9778546360135079,136000,203
0.9339430320262909,0.0,18,1.8,0.2577106183570076,0.00014189587760483847,0.006538531893747859,5.0,196.21,1.3503635978698731,0.9065852829813957,144000,205
0.9157126742601395,0.0,19,1.93,0.2987675722175958,-0.0006932874468657247,0.007124669755576178,5.0,203.43,1.354386430978775,0.9561559081077575,152000,204
0.9020034515857697,0.0,20,2.13,0.2662696237181914,-0.001398086219560355,0.0067326706668245605,5.1000000000000085,208.28,1.344354305267334,0.9171180352568626,160000,205
0.9617380821704864,0.0,21,2.57,0.2089294842211007,-0.00013494564966094912,0.004588204953179229,7.1000000000000085,224.44,1.3320753467082977,0.7702915421128274,168000,207
0.9714659529924393,0.0,22,3.05,0.1739124023438211,-0.0002518453223456163,0.003174798142572399,9.0,241.42,1.344806718826294,0.6430754263699054,176000,209
0.9525114804506302,0.0,23,3.17,0.21302577710642734,-9.073200810234994e-05,0.00453757606970612,9.0,245.93,1.347499988079071,0.7645555962622166,184000,211
0.9553715401887893,0.0,24,2.61,0.21555559710444225,-0.0014627176838985178,0.004795545210072305,9.0,226.6,1.3441811800003052,0.7588245345652104,192000,211
0.9721644055843354,0.0,25,2.05,0.17703353479226333,-0.0010497628002167402,0.0032114409212954343,5.1000000000000085,205.58,1.3314827489852905,0.6121270494163036,200000,210
0.9770649087429046,0.0,26,1.71,0.16033497301125726,-0.0010615854832576588,0.0028159346492611804,5.0,195.09,1.3331845557689668,0.591124906539917,208000,210
0.9391807526350021,0.0,27,2.14,0.23305437140684332,-0.0016413898137398065,0.005766378401021939,5.0,209.07,1.3365988314151764,0.8342770335078239,216000,210
0.9468106120824814,0.0,28,2.3,0.21429295296509288,-0.0006787796893513587,0.004688279473630246,6.1000000000000085,212.17,1.338063029050827,0.7248665066063404,224000,210
0.966542866230011,0.0,29,1.84,0.18268365324430832,-0.0011730491011257983,0.003432288956246339,5.0,196.18,1.3318470239639282,0.6350553753972054,232000,212
0.9543523168563843,0.0,30,1.72,0.19698263680046516,-0.002747509059263393,0.004648234562773723,5.0,196.42,1.3464860069751738,0.7268489937484265,240000,213
0.9500878387689591,0.0,31,2.22,0.20113318880178688,0.00015151588238950352,0.005329606788582169,6.0,211.55,1.3451938581466676,0.8177266146242619,248000,213
0.9649442791938782,0.0,32,2.42,0.17437727944528408,-0.0015673761145444587,0.0037573023163713515,7.200000000000017,216.54,1.3357396864891051,0.702706830650568,256000,213
0.9649404746294021,0.0,33,2.29,0.19411335417835804,-0.0007518898528724094,0.0039290723207523115,6.0,212.91,1.343807053565979,0.6723907886445523,264000,214
