PMM:episode_rewards,policy_entropy,clip_fraction,P09:episode_rewards,advantage_norm,grad_norm,P01:episode_rewards,episode_length,value_loss,policy_loss,approx_kl_divergence,explained_variance,fps,frames,epoch_idx
173.21428571428572,1.1395271211862563,0.2603271484375,250.0,15.968719226121902,40.962416968241975,75.0,330.92857142857144,0.9752470005769283,0.013061781261785654,0.01768016481091884,0.08799278363585472,209,10240,1
205.9322033898305,1.3913053274154663,0.2301513671875,300.0,15.968719291687012,4.406057474296866,125.0,342.2881355932203,0.12216330401133746,0.0003188127957400866,0.0037578836824655884,0.46785627529025076,199,20480,2
214.8876404494382,1.5296490982174873,0.1802001953125,300.0,15.96871903538704,4.974128663945698,125.0,343.3258426966292,0.16400035335682334,-0.0022118766370113007,0.0028645451297511374,0.5607478514313697,212,30720,3
236.25,1.6546861715614796,0.163525390625,327.5000000000002,15.968719327449799,4.754126011796879,125.0,349.93,0.17991290977224708,-0.0034870915063947906,0.002551258856511123,0.6034172993153334,220,40960,4
243.0,1.6836327716708184,0.189453125,350.0,15.968719339370727,3.6586350865914787,125.0,355.59,0.176866401406005,-0.0031765599622303855,0.0028760959650757176,0.6383344672620297,220,51200,5
258.0,1.6782400988042354,0.15126953125,402.5000000000002,15.96871926188469,3.0900181533190443,125.0,360.94,0.1595152996480465,-0.004711865727949771,0.002361190204738133,0.6053484234958887,223,61440,6
285.0,1.685862784832716,0.1673583984375,552.5000000000002,15.968719393014908,3.1298176339213866,125.0,369.88,0.14718006616458296,-0.0061292376518395034,0.002571749985850469,0.6868846960365772,226,71680,7
281.25,1.7035565458238124,0.16962890625,550.0,15.9687191426754,3.593189723645401,125.0,374.47,0.13297703843563796,-0.005646098524448462,0.002629207626933165,0.7270411942154169,227,81920,8
308.75,1.7356574095785617,0.146240234375,600.0,15.968719172477723,2.6542726810496187,125.0,382.65,0.11966607824433595,-0.006863386900658952,0.002203172873351222,0.8198517814278603,229,92160,9
321.0,1.732732630521059,0.1404052734375,600.0,15.968719273805618,2.6139601655146616,125.0,385.7,0.11392599993851035,-0.006232368388373289,0.0022080480995103216,0.8362209942191839,230,102400,10
