frames,approx_kl_divergence,policy_entropy,PMM:episode_rewards,epoch_idx,explained_variance,fps,P01:episode_rewards,value_loss,grad_norm,P09:episode_rewards,clip_fraction,episode_length,policy_loss,advantage_norm
10240,3780117.020903702,0.12486781934938844,6.25,1,-14.708057106658817,386,0.0,952079353.744667,945971406.6085364,25.0,0.3594970703125,368.875,0.06978127619656789,15.968707132339478
20480,0.02800654647423073,0.06884777812592802,4.296875,2,-1.7508864402770997e-08,343,0.0,0.00031847738198971103,0.01366173427967406,25.0,0.0134033203125,317.625,0.0002780008174795512,15.956943011283874
30720,0.017119116796575896,1.004468676878605,8.673469387755102,3,-3.725290298461914e-09,363,0.0,0.0015794039351325403,0.03896954080842522,25.0,0.311279296875,308.8061224489796,0.002924849425062348,15.945350897312164
40960,0.005224698250026449,1.3461429379880427,33.5,4,3.725290298461914e-09,380,0.0,0.0049905587491196005,0.04153559340202294,100.0,0.177001953125,294.12,0.0005870131783012767,15.968714314699174
51200,0.005418873301914573,1.3305274553596973,52.75,5,1.1175870895385742e-08,387,0.0,0.004725939701279458,0.04077980988025499,125.0,0.2697265625,297.04,-0.0010204619480646215,15.968717348575591
61440,0.005544574254849976,1.3489630743861198,81.0,6,-2.3096799850463868e-08,390,0.0,0.005543386400745476,0.03992511121255135,127.50000000000021,0.266796875,302.64,-0.0009481356843025424,15.968716788291932
71680,0.005963365568186418,1.5309472866356373,82.0,7,4.097819328308106e-09,395,0.0,0.005709179325043579,0.04749932825520138,127.50000000000021,0.3422607421875,306.59,-0.0011637101921223802,15.968716526031494
81920,0.0037995115004150646,1.596095333993435,101.75,8,-1.1175870895385742e-08,400,0.0,0.007242848402529489,0.05117985957059469,202.50000000000023,0.259912109375,312.75,-0.0007154496230214136,15.968717676401138
92160,0.0047271998820633595,1.5995765164494515,100.75,9,4.470348358154297e-09,401,22.500000000000007,0.006862574859846404,0.053275565070723487,200.0,0.261474609375,316.65,-0.00017999247575062327,15.968713229894638
102400,0.003228603438662958,1.5505572535097598,114.75,10,-7.450580596923829e-10,404,25.0,0.00688321584791538,0.050498522719987594,225.0,0.214208984375,324.81,-0.0008164488259353675,15.968717658519745
112640,0.004167900061383989,1.6111234284937381,102.75,11,-2.6822090148925782e-08,407,25.0,0.006019757575410267,0.04792273047554825,200.0,0.24208984375,327.54,-0.0004075306989761884,15.968716263771057
122880,0.0040842175659463464,1.5375917941331863,112.0,12,1.4156103134155273e-08,408,47.50000000000001,0.006710076461604331,0.048628628787380376,200.0,0.22939453125,335.39,-0.001089359824982239,15.9687175989151
133120,0.0040081820619604965,1.561202021688223,99.0,13,6.332993507385254e-09,409,25.0,0.005102845790588617,0.05117721438174498,150.0,0.2456298828125,334.95,-0.0009865754320344422,15.968717455863953
143360,0.003097521534891712,1.5978914834558964,100.0,14,2.6077032089233397e-09,412,25.0,0.005979442862098949,0.05198039296428499,150.0,0.2464111328125,339.88,-0.0006592950303456746,15.96871412396431
153600,0.0049270520486857095,1.6219136416912079,92.75,15,-2.2724270820617674e-08,412,47.50000000000001,0.006160839092581227,0.04892872573791823,150.0,0.2929931640625,335.83,-0.001261977259127889,15.968716877698899
163840,0.004531326989376794,1.6847568914294242,108.0,16,-1.564621925354004e-08,413,47.50000000000001,0.00791529667344264,0.05212914018858626,177.50000000000023,0.2995361328125,331.84,-0.001814603034654283,15.96871634721756
174080,0.0034412831607824046,1.6952757492661477,122.25,17,1.0058283805847169e-08,412,50.0,0.009189284279636922,0.0555766629080201,200.0,0.240771484375,328.32,-0.0014326727188745281,15.968717741966248
184320,0.0035174414627135776,1.7264226496219635,154.0,18,3.725290298461914e-09,414,50.0,0.012534336707904003,0.05812252326127507,275.0,0.2624267578125,334.35,-0.0016946575968177057,15.968717801570893
194560,0.003180330834493361,1.7044551521539688,180.5,19,-4.097819328308106e-09,415,50.0,0.012194048130186274,0.05788578823914686,302.5000000000002,0.2557861328125,343.62,-0.001611777174184681,15.968717581033706
204800,0.0034608505181267903,1.6983263567090034,211.5,20,-3.725290298461914e-09,416,75.0,0.01128818536981271,0.054140595055516536,350.0,0.24052734375,345.92,-0.0019010469542990905,15.968717473745347
215040,0.003017816401916207,1.713396456092596,223.0,21,1.3783574104309083e-08,417,50.0,0.012628315424444736,0.05935052704619538,377.5000000000002,0.24365234375,349.06,-0.0014719265422172612,15.968717908859253
