policy_gradient_bias_correction,frames,avg_q_retraced,avg_q_selected,epoch_idx,model_prob_std,policy_entropy,policy_loss,advantage_norm,policy_gradient_loss,q_loss,grad_norm,PMM:episode_rewards,explained_variance,P01:episode_rewards,episode_length,rollout_prob_std,fps,P09:episode_rewards
0.0,7200,-0.01166948617125551,-0.011738776989902059,1,0.012672717737344404,2.180272726217906,0.0002779791688226396,0.038351742861171566,0.0002779791688226396,0.0003447556062989558,0.0745120110479968,0.0,-83.85933068593343,0.0,0,0.012672717535557846,324,0.0
0.0,14400,-0.008472707774490117,-0.008611752923267582,2,0.009471425965117911,2.1846567233403524,0.00010614768070809078,0.0196455467492342,0.00010614768070809078,0.00034881433408979015,0.0770717933689377,0.0,-172.21226585706074,0.0,0,0.009471425984520465,191,0.0
0.0,21600,-0.0004045495246828068,-0.0004052097185194725,3,0.0022601814630130927,2.196947964032491,1.534510484286026e-05,0.010910223377868533,1.534510484286026e-05,2.534148764728646e-05,0.002845670089706104,0.0,-96.07599379221598,0.0,0,0.0022601814397300284,224,0.0
0.0,28800,-0.0007059013313361599,-0.0006837210204442575,4,0.003322912007570267,2.196741739908854,1.8671641540398318e-05,0.024157835473306476,1.8671641540398318e-05,1.8546203091318602e-05,0.002518018008749938,0.0,-47.116220537821455,0.0,0,0.00332291202697282,254,0.0
0.0,36000,8.57103606297945e-05,0.0001091165962255521,5,0.001451355575894316,2.197080397605896,-6.816944274608735e-06,0.010990362653198341,-6.816944274608735e-06,8.157732296846614e-06,0.001102839557856336,0.0,-127.9190011660258,0.0,0,0.0014513555603722732,280,0.0
0.0,43200,9.501841802072401e-05,9.448795584224476e-05,6,0.0020646714488975703,2.19699600537618,1.737139941724308e-05,0.018218665849417448,1.737139941724308e-05,7.659003154003586e-06,0.0013589183152330176,0.0,-30.94543530146281,0.0,3323.5,0.002064671441136549,301,0.0
0.0,50400,0.00030075091829833886,0.0003033979553341245,7,0.0007888501975685358,2.1971803029378254,-1.2657779620894871e-05,0.0061111456559350096,-1.2657779620894871e-05,3.68418503361075e-06,0.0007647173343282455,0.0,-50.78713533083598,0.0,3323.5,0.0007888501995087911,320,0.0
0.0,57600,-0.0002772514126263559,-0.00028811326725796483,8,0.0007995343029809494,2.1971906582514444,9.624676446643813e-06,0.0045241118175908925,9.624676446643813e-06,3.1846943102209478e-06,0.0006330927867827184,0.0,-42.098810005187985,0.0,3323.5,0.0007995343301445245,334,0.0
0.0,64800,0.0003095158549209979,0.0003460409864980344,9,0.001298993809420305,2.1971299330393474,-1.2016269329251372e-05,0.01194801793899387,-1.2016269329251372e-05,3.4771897314082403e-06,0.0007040187251026708,0.0,-26.76852682431539,0.0,3323.5,0.0012989938006891558,347,0.0
0.0,72000,0.0005895610398511053,0.0005942827664815316,10,0.0009805970184970647,2.197158376375834,-9.850977785674787e-06,0.008442774023084592,-9.850977785674787e-06,2.5284583652288955e-06,0.0005832842998748592,0.0,-48.7831620534261,0.0,3323.5,0.0009805970456606397,359,0.0
0.0,79200,0.0003553338898200309,0.0003218669195121038,11,0.0016581769387509363,2.197091809908549,-1.0409427219807792e-05,0.014991430092292528,-1.0409427219807792e-05,3.500271079322677e-06,0.0008659344969570262,0.0,-15.30164550145467,0.0,3323.5,0.0016581769334152341,368,0.0
0.0,86400,0.0010013330776322013,0.001015175002006193,12,0.00041583653898366417,2.1972081899642943,-1.362579814667697e-05,0.0037944571464322507,-1.362579814667697e-05,9.219152332207159e-07,0.00023697733876085954,0.0,-59.28757667541504,0.0,3324.0,0.00041583654431936643,375,0.0
0.0,93600,0.000411201029176785,0.0004017154423612131,13,0.0004478820522005359,2.1972079356511434,-1.241692351641177e-05,0.0028908032031419377,-1.241692351641177e-05,1.391423928491046e-06,0.00037122297090785855,0.0,-66.03293960889181,0.0,3324.0,0.00044788202649215236,381,0.0
0.0,100800,0.0008301400460671479,0.0008356740333359387,14,0.000357056618668139,2.1972143252690635,-1.5563953062761963e-05,0.002921036929668238,-1.5563953062761963e-05,8.922218493504867e-07,0.00024493849588919266,0.0,-51.59563325246175,0.0,3324.0,0.0003570566341901819,387,0.0
0.0,108000,0.0005682136456016451,0.0006298954647112017,15,0.001279870180102686,2.1971527973810834,-1.4742067514816881e-05,0.01220513145866183,-1.4742067514816881e-05,2.2523600023305336e-06,0.0006086016549863045,0.0,-23.807676140467326,0.0,3324.0,0.0012798701747669839,392,0.0
0.0,115200,0.000850329440436326,0.0008583683535107412,16,0.000411149712454062,2.197207045555115,-2.1072180491425267e-05,0.003705908495855207,-2.1072180491425267e-05,6.434502689482239e-07,0.00022696612006740816,0.0,-127.6579794883728,0.0,3324.0,0.0004111497199725515,397,0.0
0.0,122400,0.0005398601192832252,0.0005442592474326606,17,0.001026485154122513,2.197175348069933,-7.090093503093735e-06,0.010331416441754084,-7.090093503093735e-06,1.4686259063620377e-06,0.0004488746563105836,0.0,-13.45516515763979,0.0,3324.222222222222,0.001784283129582036,396,0.0
0.0,129600,0.0007662396916728339,0.0007780285120737511,18,0.00046351920393496426,2.197212890878556,-1.6575409550688122e-05,0.004526011935489055,-1.6575409550688122e-05,4.684963409811136e-07,0.00020429371484931687,0.0,-42.127667920513765,0.0,3324.222222222222,0.003034552026166628,391,0.0
