clip_fraction,fps,epoch_idx,policy_entropy,P09:episode_rewards,policy_loss,PMM:episode_rewards,P01:episode_rewards,advantage_norm,explained_variance,grad_norm,approx_kl_divergence,episode_length,value_loss,frames
0.3150390625,171,1,1.7180702328681945,225.0,0.01162474026568816,95.83333333333333,0.0,15.968718928098678,-0.06944481581449509,20.039445940517247,0.06821316632585944,305.53333333333336,0.423293711617589,10240
0.162744140625,157,2,1.7641756296157838,225.0,-0.0038870392991157132,118.65079365079364,5.000000000000004,15.968719172477723,0.37254012525081637,2.7908779249373827,0.002561359914580244,311.6825396825397,0.0801548640942201,20480
0.144091796875,165,3,1.7651485867798329,250.0,-0.004478073627251433,136.31578947368422,25.0,15.968719273805618,0.38033661134541036,3.093809255771512,0.002296061211791593,314.8315789473684,0.0961163462838158,30720
0.1182861328125,171,4,1.7445615485310555,302.5000000000002,-0.005015035963515402,179.5,50.0,15.968719166517257,0.4683603003621101,3.6520891950773278,0.0019362590735343675,330.2,0.1268100709654391,40960
0.1425048828125,174,5,1.719828924536705,377.5000000000002,-0.006041070920764469,208.75,50.0,15.968719315528869,0.6593962997198105,2.881052776040313,0.002265031002685062,342.41,0.10820713804569096,51200
0.1293701171875,176,6,1.7292860999703408,502.5000000000002,-0.005842473526718095,250.0,100.0,15.968719244003296,0.7092714808881283,3.723988116231523,0.0021388854132513933,354.55,0.13077079597860575,61440
0.134228515625,178,7,1.740891470760107,410.00000000000085,-0.006203415666823276,256.25,100.0,15.968719333410263,0.753505851700902,3.0602459401695277,0.002113400534585996,357.63,0.11770951261278242,71680
0.124072265625,180,8,1.7434379518032075,477.5000000000002,-0.006468884203786729,276.75,125.0,15.968719273805618,0.7950139109045267,2.623693015552332,0.002073128744155249,368.28,0.12196879589464515,81920
0.1455322265625,180,9,1.7322554275393487,502.5000000000002,-0.00595033231729758,280.0,125.0,15.968719339370727,0.715283279120922,2.8109232471649355,0.002455866623904833,367.55,0.1401685311924666,92160
0.1333740234375,182,10,1.7225196056067944,552.5000000000002,-0.006389710556322825,294.5,122.5,15.968719214200974,0.8070553999394179,2.7116838486549932,0.0021551788798209537,369.65,0.11887039220891893,102400
0.15498046875,182,11,1.7225319862365722,550.0,-0.007154793763766066,298.5,125.0,15.968719440698624,0.8469197481870652,2.7976070710001997,0.0024190095856741747,375.31,0.11270752754062414,112640
0.153955078125,183,12,1.7264434359967709,552.5000000000002,-0.0076668223409797065,317.75,175.0,15.968719339370727,0.7734223332256078,2.177841145743906,0.002383679725813044,378.4,0.11497635361738504,122880
