avg_q_selected,model_prob_std,P01:episode_rewards,epoch_idx,q_loss,fps,P09:episode_rewards,policy_gradient_loss,policy_entropy,avg_q_retraced,policy_gradient_bias_correction,explained_variance,episode_length,grad_norm,advantage_norm,PMM:episode_rewards,frames,rollout_prob_std,policy_loss
-0.004425994330085814,0.00886643857229501,0.0,1,0.00023083130436134524,280,0.0,0.0002028821746534959,2.1883495648701987,-0.004090751660987735,0.0,-15.390733941396077,0,0.04316258185138758,0.045561430230736735,0.0,7200,0.008866438494684796,0.0002028821746534959
0.0006468194381644329,0.01563889765335868,0.0,2,0.0009902528207627861,312,0.0,0.00012596679585688737,2.1521984656651814,0.0006770303628096978,0.0,-16.866759904225667,0,0.17286029606698777,0.06432947122181455,0.0,14400,0.0156388975524654,0.00012596679585688737
-0.0009389638561212147,0.003609732569505771,0.0,3,9.351094384631627e-06,358,0.0,3.838042559323185e-05,2.1965461413065595,-0.0008903034834474965,0.0,-12.723350604375204,0,0.0055125212108261224,0.01821729332829515,0.0,21600,0.003609732654877007,3.838042559323185e-05
-0.00052417546351838,0.0030910111032426356,0.0,4,9.940724267683738e-06,379,0.0,2.9488595778085862e-05,2.1968255996704102,-0.0004933069304873546,0.0,-10.325066947937012,0,0.002774448387643647,0.0216011559125036,0.0,28800,0.003091011010110378,2.9488595778085862e-05
0.0004098287904222767,0.001784845810228338,0.0,5,3.921735295383163e-06,395,0.0,-3.976361313107191e-06,2.1970723787943522,0.0004293410889962009,0.0,-11.506509749094645,0,0.0015240131907857848,0.012700989718238513,0.0,36000,0.0017848457559011877,-3.976361313107191e-06
-3.342813624840346e-05,0.002157683375601967,0.0,6,5.72962512705999e-06,408,0.0,-2.3789317917059332e-05,2.1970168670018513,-5.3169812963460573e-05,0.0,-11.359144846598307,3324.9166666666665,0.0016821695418654152,0.017077537501851717,0.0,43200,0.0021576833445578814,-2.3789317917059332e-05
0.00019620270965485057,0.001628322210550929,0.0,7,6.440663298690197e-06,418,0.0,-2.750600481249421e-05,2.1970323165257772,0.00013317076251648057,0.0,-10.979346752166748,3324.9166666666665,0.002101146379673215,0.012125091503063838,0.0,50400,0.0016283221659250558,-2.750600481249421e-05
-0.0008480051252263366,0.0015713790548034013,0.0,8,5.688446753993048e-06,425,0.0,2.257332170453689e-05,2.197113513946533,-0.0008492761397064896,0.0,-13.086242485046387,3324.9166666666665,0.0016724393851164066,0.012619326449930668,0.0,57600,0.0015713790548034013,2.257332170453689e-05
0.000158556588077019,0.0014332277312253912,0.0,9,3.460434303785102e-06,431,0.0,-4.1359887215245784e-06,2.1971333980560304,0.0001535673802209203,0.0,-12.032811673482259,3324.9166666666665,0.0009877481983917265,0.01279332561728855,0.0,64800,0.0014332277331656465,-4.1359887215245784e-06
0.000250356801552698,0.0011757812288124114,0.0,10,1.8943714621855178e-06,436,0.0,-6.056713679451301e-06,2.1971553325653077,0.00025771419350348876,0.0,-10.354943100611369,3324.9166666666665,0.0008104359101568818,0.00947876760425667,0.0,72000,0.0011757812035890916,-6.056713679451301e-06
0.0004932942265440943,0.0014685261916990082,0.0,11,3.0940297250481306e-06,441,0.0,-1.4675623788207304e-05,2.1971295277277627,0.00048324309706610316,0.0,-9.28071959813436,3324.9166666666665,0.0008597920630160245,0.013908408675342798,0.0,79200,0.0014685261257303258,-1.4675623788207304e-05
0.00041213524867392455,0.0008610680524725467,0.0,12,9.43158490448089e-07,444,0.0,-3.643903285279748e-05,2.19719082514445,0.00039214212156366555,0.0,-10.978508949279785,3324.2916666666665,0.0005845444291143388,0.007214975853761037,0.0,86400,0.0008610680194882055,-3.643903285279748e-05
-0.0007945775272673927,0.0012562659006410588,0.0,13,4.019538539523637e-06,446,0.0,4.578194485323669e-06,2.197131077448527,-0.0008098415404674597,0.0,-12.582926734288533,3324.2916666666665,0.0013193812934051959,0.009725967949877182,0.0,93600,0.0012562658889995267,4.578194485323669e-06
2.058233900849397e-05,0.000888787506846711,0.0,14,2.4295731956650948e-06,450,0.0,1.7577037563872485e-05,2.19718177318573,4.78451523425368e-05,0.0,-12.660878117879232,3324.2916666666665,0.0008310734589038204,0.009273964663346608,0.0,100800,0.0008887874525195608,1.7577037563872485e-05
0.0006458217365434393,0.0012475672197372963,0.0,15,2.197712337685213e-06,452,0.0,-3.237977671043761e-05,2.1971597909927367,0.0005949057580437511,0.0,-9.808854643503825,3324.2916666666665,0.0006928949492996527,0.011677862711561222,0.0,108000,0.0012475672216775517,-3.237977671043761e-05
0.00046649083766775825,0.0006398800226937359,0.0,16,7.231788581899916e-07,453,0.0,-1.1160375009922063e-05,2.1972039063771565,0.00046375370293390007,0.0,-8.127121265729269,3324.2916666666665,0.0004302630481602023,0.006405529387605687,0.0,115200,0.0006398800236638635,-1.1160375009922063e-05
0.0005566447692447741,0.0010708811967578226,0.0,17,1.694547240023194e-06,450,0.0,-4.6896075524744315e-05,2.1971756642773035,0.0005004624083390188,2.4562508759204535e-07,-8.860534489599484,3324.3333333333335,0.0005603121002597344,0.010132760235740402,0.0,122400,0.0020716533242514184,-4.665045043688158e-05
0.00026712920926425437,0.0006855637022717879,0.0,18,9.187518790535552e-07,440,0.0,-1.4572082015202222e-05,2.19720183947099,0.00025526576904115114,9.207455575830993e-07,-5.6277816087764405,3324.3333333333335,0.0003901998617441078,0.006477295229446744,0.0,129600,0.003991629711482255,-1.3651336439104412e-05
