P01:episode_rewards,grad_norm,explained_variance,advantage_norm,episode_length,policy_loss,PMM:episode_rewards,policy_entropy,value_loss,approx_kl_divergence,fps,frames,P09:episode_rewards,clip_fraction,epoch_idx
125.0,1677296376.305475,-0.5788174800574779,15.968713569641114,344.0,0.04641943093533314,137.5,0.12882547042091308,2077227024.7033775,1546910.3079891477,449,10240,184.99999999999997,0.2058349609375,1
125.0,0.13505332607899148,-1.2293457984924316e-08,15.96871777176857,351.94642857142856,0.00284250924596563,169.64285714285714,0.916592245735228,0.013476536992493493,0.00933716138761156,391,20480,262.5,0.2251708984375,2
125.0,0.10191640289000654,-1.080334186553955e-08,15.968717908859253,348.125,0.00040177676564781,190.3409090909091,1.1244951717555522,0.01457371675351169,0.0030015629325134798,410,30720,275.0,0.12314453125,3
125.0,0.08681589767432304,-4.8428773880004884e-09,15.968717724084854,349.68,0.0003648064004664775,210.25,1.1753578059375287,0.014281795764691196,0.0029213927635282745,419,40960,302.5000000000002,0.1288818359375,4
150.0,0.051583889182873176,-1.564621925354004e-08,15.968717753887177,344.79,-0.00034352523689449297,230.25,1.292809097468853,0.014309139036049601,0.003446693510488785,422,51200,300.0,0.14140625,5
150.0,0.04508627754523958,-4.8428773880004884e-09,15.968717765808105,345.8,-0.0001443349538021721,240.25,1.4255547307431697,0.013962160054325068,0.0026314653767371965,426,61440,302.5000000000002,0.1502685546875,6
150.0,0.0541143144807974,-8.195638656616212e-09,15.968717747926712,350.86,-0.0015743930955068209,250.75,1.5805913008749486,0.013216879512765446,0.0038249243191785355,423,71680,327.5000000000002,0.235546875,7
125.0,0.05323336657555675,1.4901161193847657e-09,15.968717873096466,355.98,-0.0010493564695934765,245.75,1.569806346297264,0.010771890739852097,0.003241810661188538,426,81920,350.0,0.2218994140625,8
122.5,0.05185305381677979,1.1920928955078126e-08,15.968717896938324,361.97,-0.0002643093353981385,233.0,1.6131319537758828,0.011123619796580896,0.003219504197659262,426,92160,375.0,0.1962890625,9
75.0,0.058053761100577216,-1.080334186553955e-08,15.96871789097786,362.44,-0.0011194873230124358,228.75,1.665497650951147,0.012922293772862758,0.0030301157613848773,429,102400,375.0,0.2175537109375,10
97.5,0.054392709070102685,-3.3527612686157227e-09,15.968717777729035,362.05,-0.0014235131802706746,219.5,1.6638095267117023,0.01355444393993821,0.0025123409856632863,431,112640,375.0,0.1989990234375,11
100.0,0.05178912624205001,-1.0058283805847169e-08,15.968717688322068,363.66,-0.0012639352185942697,226.25,1.6468722850084305,0.011615680200338829,0.002895461189544335,434,122880,375.0,0.191455078125,12
75.0,0.050988949615671145,1.601874828338623e-08,15.968717682361603,359.72,-0.0012917484549689108,207.25,1.64365289285779,0.007946956580781261,0.0037356965349545136,436,133120,325.0,0.236376953125,13
72.50000000000001,0.055008843809228436,-1.9371509552001954e-08,15.968717694282532,352.61,-0.0009544288972392678,184.25,1.668329258263111,0.01019071962691669,0.0027159814455075095,439,143360,300.0,0.1962646484375,14
50.0,0.0514062422043294,3.725290298461914e-09,15.968716531991959,346.11,-0.001382932315391372,168.0,1.6676586411893368,0.01018244076327619,0.0029157478677689142,442,153600,277.5000000000002,0.1999755859375,15
50.0,0.05768313279341529,1.080334186553955e-08,15.96871771812439,351.1,-0.0013244384877907577,187.5,1.6766894824802876,0.011278059145115548,0.003047344562583021,440,163840,352.5000000000002,0.222314453125,16
50.0,0.05626734454742276,1.1920928955078126e-08,15.968717730045318,352.02,-0.0012226316488522571,209.75,1.693488822877407,0.011695485562086105,0.0028497469160811304,440,174080,385.00000000000085,0.205078125,17
50.0,0.05437732111731645,9.313225746154785e-09,15.968717592954636,360.65,-0.0014943816862796667,211.75,1.6555141039192676,0.010090845818558592,0.0038462376015786504,440,184320,375.0,0.262841796875,18
50.0,0.05535518978126449,-4.8428773880004884e-09,15.96870772242546,366.13,-0.000995059876368032,198.0,1.6323986805975437,0.008527440549075038,0.002862015325767686,442,194560,350.0,0.20048828125,19
50.0,0.049466946077799764,-1.1175870895385742e-08,15.96871742606163,365.32,-0.0015687637231167173,181.25,1.6589803896844386,0.007812058170020464,0.003269486142056621,443,204800,327.5000000000002,0.2322265625,20
50.0,0.05236542040011901,2.1979212760925294e-08,15.968717694282532,361.63,-0.001720058377395617,165.0,1.6125651992857457,0.008151503819681239,0.002954258905106144,443,215040,352.5000000000002,0.2205810546875,21
50.0,0.05250225801209966,3.3527612686157227e-09,15.96871771812439,361.09,-0.0012394466026307781,168.5,1.595003865659237,0.008721704492199934,0.0032943774789146118,443,225280,357.5000000000007,0.2369140625,22
47.50000000000001,0.049582057335844774,2.7939677238464355e-08,15.968717455863953,356.77,-0.0013570341809099773,149.5,1.5625203266739844,0.007376773080602561,0.0034800072522898516,444,235520,255.00000000000043,0.2617919921875,23
50.0,0.04748168243369681,-1.1920928955078126e-08,15.968716669082642,361.32,-0.0015638644028513227,143.75,1.4952252462506295,0.006453879343803237,0.0027450580052970964,445,245760,250.0,0.2022705078125,24
50.0,0.0463259937636466,-1.1548399925231934e-08,15.96871576309204,360.5,-0.0009728534965688596,137.25,1.4918495409190655,0.007055285619867391,0.002999161586564014,445,256000,250.0,0.2042724609375,25
50.0,0.04821815424528655,-1.9371509552001954e-08,15.968717682361603,359.71,-0.0015270154348399957,128.25,1.5115144789218902,0.008462480968955789,0.0030660977839033878,446,266240,202.50000000000023,0.193017578125,26
50.0,0.046650639676369586,-1.7508864402770997e-08,15.96871758699417,359.15,-0.0011814545414381428,139.75,1.4237029418349265,0.008263784015798591,0.002624339793078434,447,276480,225.0,0.175,27
50.0,0.039943751898775526,-2.1979212760925294e-08,15.96871709227562,352.53,-0.0012356228784483393,142.5,1.3992204666137695,0.006931089796489686,0.0028021181540310637,447,286720,202.50000000000023,0.1498291015625,28
25.0,0.04569212641834618,1.30385160446167e-08,15.968717271089554,350.2,-0.0009424667954590404,138.25,1.4928966343402863,0.007181629590354533,0.0031123892025789247,447,296960,225.0,0.22724609375,29
25.0,0.04738475629730038,3.725290298461914e-09,15.96871703863144,338.08,-0.000531110804877244,120.0,1.5321849688887597,0.007291861112287279,0.002766909571323595,447,307200,225.0,0.165576171875,30
25.0,0.051643866861939045,2.9802322387695314e-09,15.968717575073242,335.01,-0.0012826198028051295,128.0,1.6560812190175056,0.007572422397720402,0.0038849860932714366,448,317440,250.0,0.2909912109375,31
0.0,0.05063031054433527,-3.7252902984619143e-10,15.968717473745347,327.58,-0.001289647791418247,118.5,1.7060555286705494,0.0059659927019311,0.004393176872486038,448,327680,227.5000000000002,0.2809814453125,32
0.0,0.05048738510259761,-7.82310962677002e-09,15.96871749162674,333.7,-0.0009680088041932322,129.5,1.7070304058492183,0.006786303376702563,0.0035734495341444017,449,337920,250.0,0.2447998046875,33
0.0,0.05156868044789559,-2.4959444999694825e-08,15.968713849782944,332.05,-0.0009068763680261327,108.25,1.6851917065680027,0.00648914717964999,0.0038174563205302546,449,348160,202.50000000000023,0.25341796875,34
22.500000000000007,0.05492084516383681,0.0,15.968717801570893,340.06,-0.0015560801897663624,121.25,1.721399138122797,0.008572874961646448,0.004142362905486152,449,358400,227.5000000000002,0.304736328125,35
50.0,0.05391108785411484,1.4901161193847657e-09,15.96871775984764,342.65,-0.0012955219619470882,142.25,1.6908065274357795,0.009506226154917386,0.0032933112408272793,449,368640,252.50000000000023,0.249267578125,36
47.50000000000001,0.05109598799152163,1.1548399925231934e-08,15.968717557191848,345.82,-0.0010816215202794411,163.25,1.6956787973642349,0.009012361775239697,0.003399321744041117,449,378880,277.5000000000002,0.220263671875,37
25.0,0.05268116345120434,7.078051567077636e-09,15.968717652559281,343.66,-0.0014098579111305298,167.5,1.7359187945723533,0.007946065936266677,0.0035433024338090034,448,389120,305.00000000000045,0.2601318359375,38
25.0,0.05481884260498835,7.078051567077636e-09,15.96871749162674,337.61,-0.0010009332276240458,153.5,1.7332982085645199,0.008533242082194192,0.0029771822647035153,448,399360,302.5000000000002,0.2263427734375,39
22.500000000000007,0.05263700450878467,6.7055225372314455e-09,15.968717455863953,322.92,-0.0005106750897539314,121.25,1.7555826976895332,0.006155324860583278,0.0032137565611833454,448,409600,225.0,0.2234375,40
25.0,0.05257021414385925,-3.7252902984619143e-10,15.968717622756959,315.82,-0.0015812166988325772,114.75,1.7649009078741074,0.006661859896848909,0.003709591267329415,448,419840,225.0,0.2931396484375,41
0.0,0.049911716997736943,-4.097819328308106e-09,15.968716645240784,305.59,-0.0010140910613699815,84.5,1.6846882961690426,0.003997938328336659,0.0031908909253843378,448,430080,175.0,0.2319091796875,42
0.0,0.04962474963510608,8.195638656616212e-09,15.968717187643051,309.71,-0.0009094089480640832,93.0,1.6128484986722469,0.006630107081764436,0.0029921759400053814,448,440320,177.50000000000023,0.21689453125,43
