policy_entropy,policy_gradient_bias_correction,P09:episode_rewards,frames,q_loss,advantage_norm,grad_norm,episode_length,model_prob_std,fps,PMM:episode_rewards,avg_q_retraced,policy_gradient_loss,rollout_prob_std,policy_loss,P01:episode_rewards,epoch_idx,explained_variance,avg_q_selected
2.1336498419443766,0.0,0.0,7200,0.0014132886466541096,0.21132896517713864,0.18690522858864936,0,0.021389345467711488,505,0.0,0.004968485647502045,-0.0009099518896012645,0.021389344598477085,-0.0009099518896012645,0.0,1,-4.929902235666911,0.006065873812015828
2.19169549147288,0.0,0.0,14400,0.00020630700096262443,0.07168491718669733,0.05218688927318092,0,0.00638006686543425,273,0.0,-0.0003057775446601833,-0.000625418575744637,0.00638006686543425,-0.000625418575744637,0.0,2,-5.005206076304118,0.0004261975848445824
2.1963802258173626,0.0,0.0,21600,1.9744843484659214e-05,0.036382391179601355,0.007903670350175543,0,0.0030089211844218275,317,0.0,0.0013098997122142463,-0.00013317311568243894,0.0030089212853151065,-0.00013317311568243894,0.0,3,-5.470581658681234,0.0013950123965817815
2.1962006807327272,0.0,0.0,28800,2.4347051839868074e-05,0.04697036917010943,0.005934473801205013,0,0.004789901478216052,350,0.0,0.0009698769242580359,-2.9518301107600565e-05,0.004789901392844816,-2.9518301107600565e-05,0.0,4,-4.076201224327088,0.0009412370141262727
2.1969505310058595,0.0,0.0,36000,8.329548830943167e-06,0.022320557882388434,0.00215585834073141,0,0.001973358343821019,374,0.0,0.0008088552257201324,-2.0685521258201332e-05,0.0019733582894938687,-2.0685521258201332e-05,0.0,5,-5.029503814379374,0.0008080949322902597
2.1968077023824057,0.0,0.0,43200,1.1120970051100205e-05,0.02925007153923313,0.0026734578352479712,3324.6666666666665,0.0027339453343302013,389,0.0,0.0002920495820035285,-0.0001385080512704917,0.002733945359553521,-0.0001385080512704917,0.0,6,-4.653084850311279,0.0004475560557087495
2.1971243619918823,0.0,0.0,50400,2.7652221916696362e-06,0.011923301701123516,0.0019144876898054596,3324.6666666666665,0.0009923318206953506,402,0.0,-0.00015250507793401386,5.694128659949153e-05,0.0009923318478589256,5.694128659949153e-05,0.0,7,-4.860458095868428,-0.0002155125317585771
2.1971853017807006,0.0,0.0,57600,2.007737094800177e-06,0.011518867732957006,0.0014853047341653936,3324.6666666666665,0.0008492444079214086,415,0.0,-0.0004016642547261048,3.865405071034426e-05,0.0008492443555345138,3.865405071034426e-05,0.0,8,-5.51581400235494,-0.00042656363560430083
2.1970366716384886,0.0,0.0,64800,5.241148650725336e-06,0.019995068572461604,0.0015093787625082848,3324.6666666666665,0.0017737067440369476,422,0.0,-0.00033570921683955625,3.389421100716087e-05,0.001773706724634394,3.389421100716087e-05,0.0,9,-4.601153484980265,-0.00034913217577923204
2.1971179882685345,0.0,0.0,72000,2.868023995479992e-06,0.013453714386560022,0.0010152541318499341,3324.6666666666665,0.0012543467271219318,431,0.0,-0.0007885856576346366,6.71609830988018e-05,0.001254346730032315,6.71609830988018e-05,0.0,10,-5.0653488794962565,-0.0008448110840011698
