frames,episode_length,advantage_norm,fps,PMM:episode_rewards,epoch_idx,grad_norm,explained_variance,policy_entropy,policy_loss,P09:episode_rewards,P01:episode_rewards,value_loss
8000,168.8409090909091,1.3046846939623356,774,1.1590909090909092,1,0.7110525751652331,-0.568673677444458,1.35555526971817,-0.008853724142536521,3.0,0.0,0.019742666307756736
16000,172.70652173913044,1.2417474219202995,803,1.2065217391304348,2,0.232508548516162,0.0002988570928573608,1.3780476570129394,0.004371735563036054,3.0,0.0,0.014612309107615146
24000,171.79,1.144930607303977,827,1.17,3,0.349162303254929,-0.05269744098186493,1.360523825287819,0.004870455516211223,3.0,0.0,0.019850915677561715
32000,171.74,1.1527841857075691,840,1.2,4,0.2271953712245195,0.024228028655052185,1.368726600408554,0.0011673562665237113,3.0,0.0,0.013077992459075176
40000,167.82,0.9929680130630731,848,1.05,5,0.2049106548304512,-0.020698497891426085,1.3626640117168427,0.0017199243356299122,3.0,0.0,0.010216353570394859
48000,161.5,1.408897927850485,854,0.89,6,1.1012700512498532,-0.06698367297649384,1.3371461963653564,-0.010885359773674282,2.0,0.0,0.061496409612591375
56000,161.83,1.216472303941846,858,0.96,7,0.38978511159642193,0.06411777794361115,1.3224094569683076,-0.0037454919310403057,2.0,0.0,0.013034761805829475
64000,168.02,1.372797438800335,862,1.22,8,0.4629447499358028,0.13111864149570465,1.3457225418090821,-0.0048941534454934295,2.0,0.0,0.015763317427190487
72000,172.8,1.3934019480645656,864,1.28,9,0.4048084173030177,0.27538121581077574,1.3662378907203674,-0.004723840949882287,3.0,0.0,0.014813554081192705
80000,178.48,1.2399666771292686,865,1.34,10,0.3686804079318605,0.4838734197616577,1.3603884732723237,-0.002277919193729758,3.1000000000000085,0.0,0.012143906212877482
88000,184.43,1.4622388690710069,868,1.55,11,0.4386623909213845,0.6536423695087433,1.3602143788337708,-0.004558241198246833,4.0,0.0,0.015083425513003021
96000,191.91,1.492618714570999,868,1.69,12,0.48323150542132304,0.7164627981185913,1.3593226754665375,-0.004300609254278243,5.0,0.0,0.01579152140300721
104000,211.89,1.3952133658528327,869,2.2,13,0.4173926493624232,0.7472379553318024,1.3673028194904326,-0.0017347031114650236,5.0,0.0,0.01380344018805772
112000,210.59,1.2689493334293365,868,2.12,14,0.42838747027105084,0.7969441306591034,1.361161150932312,-0.004832380216757883,5.0,0.0,0.011252179704606534
120000,191.35,1.131373288333416,868,1.68,15,0.38726918157670825,0.8342722904682159,1.3668434619903564,-0.0033011533899843927,4.1000000000000085,0.0,0.00946060492482502
128000,180.82,0.9888029545545578,867,1.41,16,0.2912852664150434,0.8578999298810959,1.353382683992386,-0.0027202963635500053,4.0,0.0,0.0069855734641896565
136000,191.43,1.2255283111333848,868,1.7,17,0.4362288080610737,0.8869808107614517,1.3341085815429687,-0.00397106306598289,5.0,0.0,0.011945568362716586
144000,207.75,1.0482988950610161,868,2.15,18,0.3096956159252576,0.8615293604135513,1.3403817844390868,-0.0006101028702687472,5.0,0.0,0.007994881253689528
152000,212.28,0.9217333376407624,870,2.27,19,0.257430111244357,0.9293288147449493,1.3459233438968659,0.0005001865600934252,5.1000000000000085,0.0,0.007058994984836317
160000,216.91,0.8459279009699822,871,2.34,20,0.2251163488569604,0.9471719551086426,1.336773817539215,-0.001174300056300126,5.0,0.0,0.0052368541876785454
168000,221.14,0.8670356751978398,873,2.48,21,0.2610044657741632,0.950299546122551,1.3338016259670258,-0.0018519776218454353,6.1000000000000085,0.0,0.005772724029084202
176000,221.6,0.8284193676710129,874,2.55,22,0.23316299234280333,0.9384477359056472,1.335229389667511,-0.002686281529440748,7.200000000000017,0.0,0.005373485310119577
184000,213.45,0.7537559574842453,876,2.32,23,0.19777914513536646,0.9571902805566788,1.3300357902050017,-0.0012022571374836844,5.0,0.0,0.0044904015908832666
192000,198.81,0.7343898102641105,875,1.9,24,0.2230422380055664,0.9519211477041245,1.3304704821109772,-0.001682533294078894,5.0,0.0,0.004359463809523731
200000,201.36,0.7827648675441742,877,2.01,25,0.2337934102115422,0.950685727596283,1.3444065511226655,-0.0020811831711398552,5.1000000000000085,0.0,0.00490810886665713
208000,205.3,0.9795950955152511,878,1.99,26,0.645868066498511,0.9443655860424042,1.326481157541275,-0.014701910503063118,5.0,0.0,0.03648445867816918
216000,214.95,0.7405531904101372,879,2.2,27,0.1931105711867242,0.9608539885282517,1.3400375461578369,-0.0007745063296169974,5.0,0.0,0.0042665396133088505
224000,199.86,0.6800062368810177,879,1.84,28,0.18786357896990646,0.9567585760354995,1.32532989859581,-0.001701748171763029,5.0,0.0,0.003882139565248508
232000,198.18,0.6550420877337456,880,1.84,29,0.1745908030937167,0.9663111966848373,1.3509363806247712,-1.1123152158347693e-05,5.0,0.0,0.0033961794545757586
240000,207.25,0.7518987183272838,880,2.02,30,0.1943474058943205,0.959622705578804,1.355557074546814,-0.0012387383382883854,5.0,0.0,0.004430833873047959
248000,208.38,0.6738337720930576,881,2.15,31,0.16768556300864748,0.9657660096883773,1.3488292396068573,-0.0003615394758526236,5.0,0.0,0.003933648250822443
256000,198.5,0.8882005424797534,881,1.93,32,0.2571419096890133,0.9323299425840378,1.3675996840000153,-0.0022309598338324577,5.1000000000000085,0.0,0.0064907544871675785
264000,205.8,0.6794409447908402,882,2.14,33,0.16254241585402365,0.9613513660430908,1.359583683013916,-0.0003507500003979658,6.1000000000000085,0.0,0.0038899938971735538
272000,211.97,0.6819895924627781,883,2.24,34,0.18380455321871803,0.9522144162654876,1.341691722869873,-0.0006003203960426618,6.0,0.0,0.0038254086903179996
