frames,policy_entropy,approx_kl_divergence,explained_variance,epoch_idx,episode_length,policy_loss,fps,grad_norm,clip_fraction,value_loss,P01:episode_rewards,P09:episode_rewards,advantage_norm,PMM:episode_rewards
10240,0.17861564010575057,7976551.021820923,-2.2914916083216665,1,276.59375,0.03888665315332673,398,1206321280.5348792,0.301904296875,1457015479.7504349,0.0,0.0,15.968572634458543,3.90625
20480,1.0682911414653062,0.010565442191972352,-1.4901161193847657e-09,2,276.80555555555554,0.0016223325448663673,328,0.056236111841887704,0.313623046875,0.0027992329186245614,0.0,50.0,15.96857722401619,17.01388888888889
30720,1.2517602898180484,0.0069843069353737516,-2.2351741790771484e-09,3,277.86,-8.904216010705568e-05,351,0.027967028260735695,0.249169921875,0.0015215901484788574,0.0,50.0,15.968593925237656,19.0
40960,1.3244892902672292,0.006351925694920624,0.0,4,280.74,-0.00034405535843688994,367,0.03351034742460614,0.2702392578125,0.002358860638012672,0.0,75.0,15.968661975860595,25.25
51200,1.3924551881849765,0.004621629572807251,-1.6763806343078613e-08,5,288.34,-0.00025720997145981526,379,0.03959583647724712,0.24912109375,0.003858283367583226,0.0,77.50000000000021,15.968715631961823,33.75
61440,1.5541416563093662,0.004755156971202723,-1.0058283805847169e-08,6,297.08,-0.0009906215367664118,383,0.044620642260480646,0.2699462890625,0.0049175754833697734,0.0,102.50000000000021,15.968711936473847,52.0
71680,1.5419498287141322,0.003805719833587773,1.4528632164001465e-08,7,301.41,-0.0007371225976385177,388,0.04665719298120261,0.2439208984375,0.00474245444816006,0.0,125.0,15.96871621608734,60.5
81920,1.5008175663650036,0.003928828188497846,-9.685754776000977e-09,8,302.71,-0.0016000794374122051,390,0.04477908464930467,0.2807373046875,0.005008547883565484,0.0,200.0,15.9687129676342,76.5
92160,1.5117609433829784,0.0035149293941685754,-5.587935447692871e-09,9,300.4,-0.0009204329631756991,393,0.04844321703733247,0.2427490234375,0.005443941481462389,0.0,177.50000000000023,15.96871725320816,78.0
102400,1.434369195997715,0.0039276009744753535,-2.7567148208618165e-08,10,299.75,-0.0013850658491719515,396,0.04204568394795975,0.247412109375,0.004127812343620007,0.0,175.0,15.968710190057754,72.0
112640,1.5357560999691486,0.004363836342895411,1.4156103134155273e-08,11,304.4,-0.0011415413340728265,399,0.04776881428784553,0.2833740234375,0.004988740352295906,0.0,150.0,15.968658870458603,68.0
122880,1.6607364676892757,0.003929508058678266,-4.8428773880004884e-09,12,318.6,-0.0010142216393433045,401,0.05231363120735479,0.228759765625,0.00969945057258883,0.0,225.0,15.968717736005782,99.0
133120,1.6987122409045696,0.0028806913885318862,1.601874828338623e-08,13,329.0,-0.0009809074839722599,402,0.052945432389841195,0.2142822265625,0.009534016427915048,22.500000000000007,277.5000000000002,15.968717789649963,134.5
143360,1.6913683347404003,0.003141403330300818,-4.097819328308106e-09,14,341.19,-0.0009387673620949499,404,0.05404549625261797,0.21259765625,0.010422436821500014,50.0,325.0,15.968717730045318,170.5
153600,1.6957787796854973,0.004152738691369962,3.725290298461914e-09,15,341.55,-0.0017247369192773475,407,0.050763480602876054,0.2589599609375,0.009806184434637544,50.0,325.0,15.96871789097786,179.25
163840,1.6834086433053017,0.0032320751799488788,-2.9802322387695314e-09,16,337.69,-0.0010119297970959452,408,0.055264803474497935,0.2243896484375,0.009910916197804908,50.0,325.0,15.968717730045318,176.25
174080,1.633727142214775,0.003191019620260249,4.097819328308106e-09,17,339.45,-0.0014224329614080488,407,0.05323024031969885,0.2387451171875,0.008801465144605914,50.0,330.0000000000004,15.968716776371002,177.75
184320,1.6200032189488411,0.0034865451830910386,-1.1920928955078126e-08,18,332.93,-0.0012838139664381742,408,0.050754862020159705,0.23828125,0.008144538911915333,47.50000000000001,307.5000000000006,15.968717563152314,156.25
194560,1.6736673913896083,0.002853292504732963,5.960464477539063e-09,19,337.12,-0.0009391656236402923,410,0.05300392197972396,0.2193603515625,0.009440109307979583,25.0,377.5000000000002,15.968717753887177,171.25
204800,1.6870470628142358,0.0038220614170768386,1.080334186553955e-08,20,326.68,-0.0009686300487373956,411,0.054092474187741615,0.2271484375,0.009488162265006395,25.0,302.5000000000002,15.968717736005782,146.75
215040,1.6770963862538337,0.003174081297811426,-9.313225746154785e-09,21,329.21,-0.0016565477177209686,412,0.053809635032559824,0.2417724609375,0.01140546989190625,50.0,325.0,15.968717819452285,167.5
225280,1.6382606871426106,0.0033901361563380304,8.195638656616212e-09,22,332.51,-0.0017774122119590175,412,0.053379299138777016,0.230517578125,0.012061476733288145,50.0,350.0,15.96871782541275,181.5
235520,1.5963760398328304,0.002566872781051188,1.4156103134155273e-08,23,341.77,-0.001208840444451198,413,0.05053662586711448,0.163818359375,0.0107651830312534,50.0,352.5000000000002,15.968717658519745,207.0
245760,1.5904667772352696,0.003205820380685509,2.2351741790771484e-08,24,342.72,-0.0008935408419347368,414,0.05244722403766704,0.2256591796875,0.008920013466195087,50.0,477.5000000000002,15.968717885017394,213.25
256000,1.5721033856272697,0.003783610243306157,5.960464477539063e-09,25,331.05,-0.0017296177808020729,413,0.04909438727316141,0.2451171875,0.006548255630127642,50.0,305.00000000000045,15.968716657161712,169.5
266240,1.613938184082508,0.0032564012606883354,4.097819328308106e-09,26,315.84,-0.0013474329565724475,414,0.04971401405521653,0.2538330078125,0.006442472604209115,25.0,250.0,15.968716526031494,137.25
276480,1.6088965587317943,0.00311204564484342,-1.3411045074462891e-08,27,314.52,-0.001149944718417828,414,0.05065693792918415,0.231298828125,0.006016612149505818,0.0,227.5000000000002,15.968717658519745,109.75
