P01:episode_rewards,clip_fraction,fps,policy_entropy,grad_norm,policy_loss,value_loss,advantage_norm,episode_length,explained_variance,frames,P09:episode_rewards,epoch_idx,PMM:episode_rewards,approx_kl_divergence
0.0,0.2579345703125,174,1.6254342652857303,307.271081950087,0.013563917107603629,41.96687085305457,15.968717885017394,316.5,-0.0764780055731535,10240,185.00000000000014,1,90.83333333333333,0.09818887631809085
2.5000000000000133,0.1747314453125,170,1.7249439179897308,0.46575037849714224,-0.0007306979248824063,0.01896488751517609,15.96871801018715,318.83870967741933,-1.7881393432617187e-08,20480,200.0,2,100.80645161290323,0.002596911671844282
25.0,0.1188232421875,179,1.779718178510666,0.20911051782946685,-0.001939782478439156,0.019371097174007444,15.968718093633651,326.82978723404256,6.332993507385254e-09,30720,275.0,3,136.70212765957447,0.0016980781458102
47.50000000000001,0.0243896484375,184,1.7812814965844155,0.09817346306841163,-0.0013716386754822451,0.02023518566857092,15.968718141317368,330.54,-2.384185791015625e-08,40960,305.00000000000045,4,157.25,0.0006691597121815107
50.0,0.0083740234375,186,1.7629301048815251,0.09054995762458284,-0.0008454875216557412,0.024482182174688207,15.968718105554581,338.67,-1.2665987014770507e-08,51200,452.50000000000017,5,193.5,0.00038471053713635684
50.0,0.00732421875,189,1.7639277771115303,0.0894119204107696,-0.0012179357861896278,0.022646680899197236,15.968718200922012,340.84,-3.129243850708008e-08,61440,475.0,6,204.25,0.0004453263103329164
50.0,0.0080322265625,191,1.7613736413419248,0.08501071988695029,-0.00099701074504992,0.022016676724888384,15.968718177080154,347.15,-3.7252902984619143e-10,71680,502.5000000000002,7,211.0,0.0004964913810347582
25.0,0.002490234375,192,1.7734022296965122,0.0687241203306834,-0.0006693584731692681,0.016869310352194588,15.968717956542969,336.98,-3.3527612686157227e-09,81920,475.0,8,181.0,0.00028442193680078276
47.50000000000001,0.0,191,1.7888587608933448,0.06190820265778922,-0.0006528714628075249,0.020010107924463227,15.96871789097786,332.27,-1.601874828338623e-08,92160,300.0,9,162.5,0.0001509734292142184
25.0,0.0,193,1.785314191877842,0.05702595803876855,-0.0006816145209086244,0.018961087221396156,15.968717926740647,328.68,1.1920928955078126e-08,102400,275.0,10,145.75,0.00018508926392755143
50.0,0.0,193,1.777021771669388,0.0601819667158741,-0.001032165169090149,0.021032817228115164,15.968718135356903,333.09,7.82310962677002e-09,112640,275.0,11,163.75,0.00022812272353061046
25.0,0.0,193,1.7728672839701176,0.05587834878377901,-0.0003861900218907977,0.02026198062230833,15.968718004226684,331.7,-2.458691596984863e-08,122880,300.0,12,158.75,0.00012565311734853425
25.0,0.0,193,1.7844511725008487,0.055885089035195255,-0.00046715263633814177,0.017892757317167707,15.968717938661575,334.17,-7.450580596923828e-09,133120,325.0,13,168.75,0.00011502571624468771
