explained_variance,P01:episode_rewards,P09:episode_rewards,episode_length,advantage_norm,policy_loss,epoch_idx,PMM:episode_rewards,policy_entropy,value_loss,approx_kl_divergence,grad_norm,clip_fraction,fps,frames
-0.4137013379484415,125.0,280.0,325.0344827586207,15.968718189001084,0.06640195928994216,1,229.31034482758622,0.5178253242957402,163039617.69880313,805697.9735598614,295234617.5509139,0.4073486328125,268,10240
3.7252902984619143e-10,150.0,325.0,317.3809523809524,15.968717944622039,0.0012520033109467477,2,241.66666666666666,0.6752804629504681,0.02064488989999518,0.002746949300887991,0.2328523671789589,0.07451171875,252,20480
-1.4901161193847657e-09,175.0,325.0,317.7938144329897,15.968717783689499,-0.00026929492814815604,3,240.97938144329896,0.6689528908580542,0.017209739377722143,0.0034496957738610946,0.11281975523809598,0.0951416015625,267,30720
5.215406417846679e-09,150.0,325.0,318.42,15.968717783689499,0.0002620900198962772,4,229.5,0.5484480390325188,0.014785305289842654,0.0014895278556135594,0.08528341547755086,0.0624755859375,272,40960
0.0,150.0,275.0,323.66,15.968717885017394,0.0007004650877206586,5,219.25,0.6529722528532147,0.015756081105791964,0.002455049689459088,0.06918551872479538,0.0742919921875,279,51200
9.685754776000977e-09,150.0,275.0,330.13,15.968717926740647,-9.919845688273199e-05,6,222.0,0.6887253750115633,0.01597851688711671,0.0013396207927144133,0.058863335481156555,0.0542724609375,282,61440
-3.5390257835388184e-08,175.0,300.0,327.62,15.968718057870865,-0.0005422460773843341,7,238.75,0.7328705187886954,0.01772289070941042,0.0012883208353173358,0.06126495472092802,0.072119140625,283,71680
2.0116567611694337e-08,175.0,302.5000000000002,326.05,15.968718081712723,-0.00013581284656538628,8,246.25,0.8589945062994957,0.017801182996481656,0.0018034920098443763,0.06180822062553078,0.0753662109375,284,81920
-1.3411045074462891e-08,200.0,325.0,322.83,15.968718206882476,-0.0012184323255496564,9,262.5,0.9266240496188403,0.01948075288964901,0.0020950345211645073,0.04719966815898119,0.1037109375,285,92160
5.960464477539063e-09,200.0,325.0,322.87,15.968718183040618,-0.00019275879822089337,10,265.0,0.9843383733183145,0.01816054033115506,0.0024211220923348264,0.04768113544948609,0.102392578125,285,102400
-2.9802322387695314e-09,200.0,350.0,329.31,15.968718087673187,-0.0008142668037180556,11,275.25,0.9712357308715582,0.017338766765897164,0.001989538812858882,0.04139222908746061,0.0853759765625,286,112640
-1.7508864402770997e-08,200.0,350.0,329.26,15.968718081712723,-0.000841046614368679,12,270.0,1.0076761938631535,0.018672029944718817,0.0017677336480971916,0.0457112075129751,0.091455078125,286,122880
-9.313225746154785e-09,175.0,352.5000000000002,331.4,15.968717926740647,-0.0008616673050710233,13,273.75,1.087199854105711,0.01983770729857497,0.0019679655641539283,0.048926329548827856,0.1060302734375,287,133120
7.450580596923829e-10,200.0,350.0,322.71,15.968717986345291,-0.0006160608671052614,14,269.75,1.0470100879669189,0.018800051827565768,0.002450195803528743,0.055085287817841576,0.1364990234375,287,143360
-5.215406417846679e-09,200.0,375.0,320.8,15.968718105554581,-0.0008625961847428699,15,276.25,1.1186133407056331,0.01919161938712932,0.0022424851316415586,0.05347351333413104,0.1184326171875,287,153600
6.332993507385254e-09,200.0,375.0,320.24,15.968718045949936,-0.0011093351502495352,16,279.0,1.2381953112781048,0.019591228308854625,0.0023773483551849496,0.05737224690413032,0.1493896484375,286,163840
-6.7055225372314455e-09,200.0,350.0,321.96,15.968718075752259,-0.0005000096636649687,17,280.75,1.2597500666975976,0.018664057657588273,0.002095113068133969,0.05450784822333603,0.108837890625,285,174080
-2.7567148208618165e-08,200.0,350.0,327.35,15.968718141317368,-0.001053767696430441,18,288.0,1.2461388655006886,0.018977436464047058,0.0020722249103585,0.051836015861544,0.1207763671875,285,184320
-5.587935447692871e-09,200.0,350.0,326.59,15.968717968463897,-0.001047876712982543,19,281.5,1.1896209359169005,0.018822461369563826,0.001944787790546343,0.05221008673875303,0.125048828125,284,194560
7.450580596923828e-09,197.5,350.0,328.13,15.968717974424361,-0.0009820706072787289,20,277.5,1.2458633787930011,0.018703444086713716,0.0023578289526852815,0.055002680005700785,0.143701171875,283,204800
-7.450580596923828e-09,197.5,350.0,327.21,15.968718075752259,-0.0012818791525205596,21,272.5,1.2682028986513614,0.019320612287265247,0.0020304565620563155,0.054536790661920145,0.1087890625,283,215040
-2.60770320892334e-08,175.0,350.0,330.52,15.968718135356903,-0.0008145938121742802,22,276.5,1.3752462215721608,0.018308489545597696,0.0023126493212430434,0.05020723912001045,0.1033935546875,282,225280
-2.1979212760925294e-08,200.0,375.0,333.7,15.968718081712723,-0.001321629522863077,23,287.75,1.3899706602096558,0.020149546238826588,0.0026181417349107504,0.05625394641724252,0.150244140625,282,235520
-7.450580596923828e-09,200.0,352.5000000000002,332.25,15.968717974424361,-0.000539675823529251,24,288.75,1.398829561471939,0.01978210572269745,0.002123461923360992,0.05521598235446952,0.1215087890625,282,245760
-1.6763806343078613e-08,200.0,375.0,333.33,15.968717914819717,-0.0015113611378183122,25,286.75,1.4162013813853265,0.017895148484240054,0.002394264417063141,0.06150931023533625,0.1675048828125,283,256000
3.725290298461914e-09,175.0,375.0,336.12,15.968718045949936,-0.0008226153549912851,26,278.0,1.417842074483633,0.016996994233340956,0.00207421086723798,0.057459330370550975,0.133154296875,283,266240
-4.097819328308106e-09,150.0,375.0,341.22,15.968717992305756,-0.0010687981091905385,27,263.75,1.4581002347171306,0.015176380996126681,0.002301048196909505,0.06137400715029291,0.1697509765625,283,276480
5.960464477539063e-09,150.0,375.0,345.04,15.968717849254608,-0.001189284734937246,28,245.75,1.4448883675038815,0.015038880980864634,0.0022066217276915266,0.05883714180891271,0.1436279296875,283,286720
