epoch_idx,explained_variance,approx_kl_divergence,grad_norm,policy_entropy,P01:episode_rewards,episode_length,frames,PMM:episode_rewards,policy_loss,clip_fraction,fps,value_loss,advantage_norm,P09:episode_rewards
1,-0.12022674679756165,0.1953037582185066,265.51588470511285,1.3047827553702518,135.0,345.36,10240,275.0,0.028372442289401077,0.2872802734375,197,33.86688847518526,15.968719291687012,450.00000000000034
2,0.007853308692574501,0.002572654726009209,1.0165364307890299,1.6756526082754135,125.0,349.94642857142856,20480,260.26785714285717,-0.0008454178110696376,0.172607421875,182,0.03617400813382119,15.968718326091766,387.5
3,-3.7252902984619143e-10,0.0022037892218918385,0.49351776549978316,1.7178791075944901,125.0,351.8720930232558,30720,261.9186046511628,-0.0008152339603839209,0.1394775390625,186,0.027228133258176968,15.968718457221986,425.0
4,-1.4901161193847656e-08,0.0017140569496802982,0.27314535047250155,1.7420163035392762,100.0,347.89,40960,247.5,-0.0015766648910357616,0.10732421875,191,0.02699358363170177,15.968718361854553,405.00000000000045
5,1.1175870895385742e-09,0.001552705663073084,0.19053679742127055,1.7565159060060977,75.0,343.37,51200,234.0,-0.0017320990016742143,0.110205078125,195,0.0245255085057579,15.968718326091766,575.0
6,7.450580596923829e-10,0.0011190770126489724,0.13767563757922865,1.7673573970794678,50.0,343.94,61440,221.25,-0.0015692601140472108,0.0656982421875,193,0.02475771711906418,15.968718534708023,530.0000000000005
7,-1.4901161193847656e-08,0.0003549731730714711,0.09453033111817614,1.7851182609796523,47.50000000000001,337.49,71680,204.0,-0.0008451373902062187,0.005224609375,193,0.01920403515396174,15.968718004226684,575.0
8,0.0,0.00025797670425333765,0.07407952227335399,1.7792342960834504,25.0,330.21,81920,173.25,-0.0007289963359653484,0.0,194,0.018704307539155706,15.968718206882476,402.5000000000002
9,1.3411045074462891e-08,0.00022980515500634625,0.06051004478541353,1.7848193138837813,25.0,326.06,92160,168.75,-0.0007970124970597681,0.0047119140625,194,0.020211133279372007,15.968718135356903,427.5000000000002
10,5.587935447692871e-09,0.00017381093337078823,0.0662588112958185,1.7755956321954727,25.0,330.45,102400,181.0,-0.0006751106509909732,0.0,194,0.021980018561589532,15.968718153238296,427.5000000000002
11,-1.862645149230957e-08,0.00015005899468718554,0.062030372304763416,1.7747680008411408,25.0,335.36,112640,185.0,-0.0006075946279452182,0.0,194,0.02168599713477306,15.968718147277832,355.00000000000045
12,-8.568167686462402e-09,0.00012362799138294634,0.06260631065250855,1.7814647011458873,47.50000000000001,336.79,122880,197.0,-0.00044556140273925847,0.0,194,0.0231436871283222,15.968718320131302,500.0
13,-1.1548399925231934e-08,0.00015590270059959722,0.06080893890759609,1.7827495448291302,47.50000000000001,342.87,133120,201.25,-0.0006214383463884587,0.0,193,0.022264426728361285,15.968718236684799,525.0
14,-1.3411045074462891e-08,0.00016810860022875573,0.061899882473415026,1.7796203069388867,50.0,344.43,143360,216.0,-0.0006886890734676854,0.0,193,0.020852792079676875,15.968718063831329,530.0000000000005
15,1.1175870895385742e-09,0.00010121385075372303,0.06134873840817495,1.7827453814446925,25.0,344.72,153600,214.75,-0.00044376820806064644,0.0,194,0.02152840721537359,15.968718230724335,502.5000000000002
16,1.1175870895385742e-08,0.00017615888215658516,0.060071190672302474,1.7787475794553758,25.0,330.94,163840,181.5,-0.0007760214808513411,0.0,194,0.016499814722919837,15.968717914819717,477.5000000000002
17,-1.2293457984924316e-08,0.00019619098517011934,0.06414791312892859,1.769516797363758,25.0,333.62,174080,184.0,-0.0007729213670245372,0.0,195,0.022930179109971506,15.96871821284294,427.5000000000002
18,-1.7508864402770997e-08,0.00012133634865243436,0.059979935894379,1.7799949683248997,25.0,333.88,184320,176.0,-0.0004931672610837268,0.0,195,0.020878981979331003,15.968718439340591,357.5000000000007
19,-1.1175870895385742e-09,9.832425234250764e-05,0.06260554748757825,1.7747297406196594,50.0,341.19,194560,198.75,-0.0004263938948497525,0.0,194,0.025692967686336488,15.968718236684799,402.5000000000002
20,2.6077032089233397e-09,0.00012060120108152717,0.05848794843307169,1.7740920670330524,50.0,346.61,204800,215.5,-0.0003790215454500867,0.0,194,0.02255298344534822,15.96871812939644,457.5000000000006
21,-9.685754776000977e-09,0.00017161152382456636,0.05845952314132884,1.7812725394964217,50.0,349.66,215040,208.5,-0.0007113085568562383,0.0,194,0.021046660117281134,15.96871811747551,412.5000000000011
22,-3.3527612686157227e-09,0.00013456262744035997,0.057801528641325275,1.7844159461557865,25.0,347.77,225280,195.5,-0.0006084667747927597,0.0,194,0.01695153152832063,15.968718039989472,480.00000000000045
23,2.9802322387695314e-09,8.665045733060594e-05,0.05442081912697044,1.780541368573904,25.0,338.91,235520,151.0,-0.00037706836410507095,0.0,195,0.01805633827461861,15.968718260526657,255.00000000000043
24,-1.2293457984924316e-08,0.00011169199815057596,0.056660235371410274,1.7766282238066196,25.0,346.16,245760,164.25,-0.00044062740926165134,0.0,195,0.021399530745111407,15.968718260526657,352.5000000000002
25,-1.2293457984924316e-08,0.0001407601573587769,0.055889786514111736,1.7820491999387742,25.0,336.99,256000,158.0,-0.0005558264056162443,0.0,196,0.018833603538223543,15.968717926740647,302.5000000000002
26,-4.470348358154297e-09,0.00011491830422265537,0.052939006845016824,1.7867396533489228,25.0,339.97,266240,179.5,-0.0005085684391815448,0.0,196,0.022773045022040604,15.968718081712723,352.5000000000002
27,-1.4528632164001465e-08,0.00010151102931850175,0.05352672793557016,1.7814698919653893,50.0,329.7,276480,176.75,-0.0004517277731793001,0.0,196,0.023198583081830294,15.96871817111969,350.0
28,-3.054738044738769e-08,0.0001377345803134311,0.05629806812776924,1.7764015689492225,50.0,332.6,286720,193.25,-0.000497908603574615,0.0,196,0.021437632615561596,15.968718206882476,500.0
29,2.0116567611694337e-08,0.0001742010981097053,0.05897909999016848,1.7849305406212808,50.0,338.2,296960,197.25,-0.0007224221459182445,0.0,196,0.019495103337976615,15.968718123435973,500.0
