episode_length,P01:episode_rewards,fps,value_loss,epoch_idx,clip_fraction,explained_variance,approx_kl_divergence,policy_entropy,PMM:episode_rewards,P09:episode_rewards,grad_norm,policy_loss,advantage_norm,frames
342.38461538461536,37.5,207,0.4669874793849885,1,0.3113037109375,0.024741946533322335,0.006997885369129026,1.589703194051981,215.3846153846154,600.0,18.76566344881239,0.004926046106993454,15.96871920824051,10240
353.0181818181818,50.0,210,0.23851529499515892,2,0.1812255859375,0.1682572066783905,0.0027489058830728413,1.7026478350162506,241.36363636363637,600.0,5.47915849371847,-0.002306457175291143,15.968719226121902,20480
349.6931818181818,50.0,220,0.22243904899805783,3,0.1404541015625,0.388914493098855,0.0022178032533705736,1.7325856611132622,243.4659090909091,575.0,5.962350359136613,-0.003174935933930101,15.968719297647477,30720
348.72,50.0,224,0.14447765303775667,4,0.1353271484375,0.41161260902881625,0.0021644982080036806,1.7206859551370144,234.5,550.0,4.248277308917303,-0.003646758611921541,15.968719166517257,40960
360.68,50.0,226,0.15506165428087115,5,0.1275390625,0.6090795364230871,0.002032368243272107,1.7101389214396476,261.75,575.0,3.6472820775724673,-0.004956427436991362,15.968719232082368,51200
369.31,75.0,227,0.1448211391456425,6,0.1241943359375,0.7162075854837895,0.0020221901363360025,1.7120797373354435,271.5,575.0,3.777095243111347,-0.004863370010571089,15.968719398975372,61440
375.38,125.0,228,0.12740804287604987,7,0.1342529296875,0.7225110955536366,0.002102742905208584,1.7237277895212173,305.75,577.5000000000002,3.2922878161489875,-0.006145018855750095,15.968719297647477,71680
391.49,150.0,230,0.11702738325111568,8,0.1489013671875,0.7910536322742701,0.002331154579633537,1.7229855634272098,349.25,602.5000000000002,2.5678849234619587,-0.006512973158896785,15.968719244003296,81920
386.58,150.0,231,0.12389940381981432,9,0.1686279296875,0.743234322220087,0.0025891850382325356,1.7329225599765778,329.0,600.0,2.3362895379971333,-0.0059954095624561885,15.968719202280045,92160
386.14,125.0,231,0.10924387569539248,10,0.12216796875,0.7698601569980383,0.0020933739721843607,1.7167518205940724,332.5,600.0,2.708185811736125,-0.006096402436378412,15.968719202280045,102400
381.91,125.0,232,0.10806345092132688,11,0.1578125,0.7911735408008098,0.0024944051398282045,1.7166789442300796,323.25,600.0,2.5376227288367414,-0.006458015775933745,15.968719297647477,112640
376.46,125.0,232,0.12952848558779806,12,0.136474609375,0.7459517303854227,0.002138766362986947,1.7224376007914544,308.5,555.0000000000005,2.5508936624417147,-0.0056016215370618735,15.968719273805618,122880
376.81,125.0,232,0.11096756758634001,13,0.142138671875,0.7720700837671757,0.0022673713276165457,1.7315252467989921,310.5,550.0,2.5511099890026343,-0.006894800603913609,15.968719232082368,133120
387.05,150.0,231,0.13986207698471845,14,0.1293212890625,0.8075990673154593,0.0020862504684831446,1.7081721395254135,346.75,602.5000000000002,2.6361036216330738,-0.007393751816925942,15.96871926188469,143360
396.72,175.0,232,0.14880946530029177,15,0.1387451171875,0.8050474062561989,0.0022063783980914493,1.7213015392422677,354.5,600.0,2.727595149899303,-0.007313431142392801,15.968719393014908,153600
399.75,175.0,233,0.13916964358650147,16,0.1334716796875,0.7900862120091915,0.0021312548422887318,1.7317218959331513,365.5,602.5000000000002,2.941651874308317,-0.007051093924019369,15.968719232082368,163840
404.75,125.0,232,0.12753193641547114,17,0.13779296875,0.8015424836426973,0.0021082886923753353,1.7320273235440253,369.75,652.5000000000002,2.1502399078959873,-0.007075895872185356,15.968719220161438,174080
405.33,147.5,232,0.12323355122935027,18,0.1252197265625,0.8099608678370714,0.002073347087298589,1.744888724386692,379.75,652.5000000000002,2.154097634958827,-0.007735528615739895,15.968719220161438,184320
408.85,150.0,233,0.09466499846894294,19,0.167236328125,0.8314818769693375,0.002544117088018855,1.73015503436327,391.0,675.0,1.887281478281596,-0.008363117986300494,15.968719178438187,194560
419.43,150.0,233,0.11752500745933503,20,0.1642822265625,0.8396943792700767,0.002483688955499292,1.738111375272274,399.0,675.0,2.0435021589756617,-0.008889907618868164,15.968719393014908,204800
422.48,175.0,233,0.11239732692483813,21,0.13623046875,0.7848100729286671,0.002145512997049367,1.7329549327492715,416.75,652.5000000000002,1.7087007645541383,-0.008749443794658873,15.968719291687012,215040
421.18,175.0,234,0.10614308589138091,22,0.152001953125,0.8357393350452185,0.0024118638036500625,1.7364372804760932,398.5,650.0,1.840102170992988,-0.009846828642912442,15.968719172477723,225280
424.96,197.5,234,0.12672562459483744,23,0.14462890625,0.7340339630842209,0.002264368750798265,1.7318048723042012,398.25,625.0,2.010844172073643,-0.00857672505590017,15.968719166517257,235520
416.74,175.0,234,0.1150278806919232,24,0.158740234375,0.8448426313698292,0.0025056929887344757,1.716905264556408,398.0,650.0,1.9524964433053935,-0.009786289980547735,15.968719172477723,245760
413.46,175.0,234,0.12954917103052138,25,0.1416748046875,0.8012164089828729,0.002299904082224499,1.7187638685107232,384.25,627.5000000000002,2.031462947593523,-0.008408612832863583,15.968719387054444,256000
419.03,200.0,234,0.1026615419657901,26,0.1433349609375,0.8659197874367237,0.0023231055089130426,1.7117107450962066,408.0,650.0,2.014082164616832,-0.008872607917146525,15.96871926188469,266240
421.94,200.0,234,0.09607030164916068,27,0.162353515625,0.8511256739497185,0.002500164320099791,1.7044694297015668,428.5,700.0,1.9764490401794337,-0.010854207872762344,15.968719255924224,276480
428.93,225.0,234,0.11249505225569009,28,0.1414306640625,0.8461481086909771,0.002310196608505404,1.6944946929812432,435.5,700.0,2.068413610866496,-0.00909631554968655,15.968719279766082,286720
