episode_length,epoch_idx,policy_entropy,PMM:episode_rewards,explained_variance,grad_norm,value_loss,P01:episode_rewards,approx_kl_divergence,advantage_norm,policy_loss,clip_fraction,frames,P09:episode_rewards,fps
341.6296296296296,1,1.1811283096144394,150.92592592592592,-1.1580250449478626,956107364.8944852,1110088586.830902,15.000000000000002,3358936.2001588745,15.968717944622039,0.037515120121315707,0.4361083984375,10240,340.0000000000002,172
342.58620689655174,2,1.4794364966452123,177.1551724137931,-3.3527612686157227e-09,0.07536724158365338,0.010923042794456706,17.500000000000004,0.0028159048553789033,15.968717926740647,-0.0008221300777222496,0.1916015625,20480,365.0000000000002,181
346.685393258427,3,1.4751845315098762,191.2921348314607,3.3527612686157227e-09,0.04944274389665395,0.011064035995514133,25.0,0.0035897431061584937,15.968717920780183,-0.0017525794071843847,0.23076171875,30720,360.0000000000001,194
349.97,4,1.4969013780355453,222.0,-1.601874828338623e-08,0.05282214537779088,0.013103929612407228,72.50000000000001,0.0025858364208090736,15.968717789649963,-0.00057021519751288,0.1648681640625,40960,455.0000000000004,205
347.3,5,1.5488810047507287,226.0,-1.4156103134155273e-08,0.05666048022465307,0.01032280775380059,50.0,0.003015430374676953,15.968715739250182,-0.0012023356157442322,0.2326904296875,51200,525.0,214
342.0,6,1.5534494198858737,218.25,1.564621925354004e-08,0.053325245463272476,0.010704503009765175,50.0,0.0028961294247494608,15.968718004226684,-0.0014779522964090575,0.1917724609375,61440,500.0,220
338.49,7,1.5256689392030238,209.5,4.097819328308106e-09,0.054179660837680076,0.012423683949418774,50.0,0.0030938421893097257,15.968717789649963,-0.001793388373334892,0.2116943359375,71680,455.0000000000004,224
338.72,8,1.477321057021618,220.5,-8.195638656616212e-09,0.0549493979766556,0.014261914188318769,72.50000000000001,0.0029404603813759423,15.968717783689499,-0.001429292877583066,0.1854248046875,81920,500.0,226
350.88,9,1.4648062013089658,263.25,0.0,0.05005847725192677,0.01430492348736152,100.0,0.0028394321205041707,15.968718087673187,-0.0011560662434931146,0.1755126953125,92160,527.5000000000002,228
352.59,10,1.4725325204432012,275.0,4.097819328308106e-09,0.049192072838233215,0.013534719764720649,125.0,0.0029335128248135335,15.968717765808105,-0.0010815226887643803,0.16806640625,102400,550.0,230
351.23,11,1.4379210248589516,270.0,-2.2351741790771484e-09,0.054007645037216404,0.016059472951747013,147.5,0.0025459454887027276,15.968717986345291,-0.0006512746171210892,0.154541015625,112640,502.5000000000002,232
351.39,12,1.5031165078282356,276.0,-3.725290298461914e-09,0.05465675786587754,0.014425713071250356,150.0,0.0028754522465305856,15.968717902898788,-0.0012030572928779294,0.1961669921875,122880,412.5000000000011,233
344.5,13,1.5477533645927906,246.5,-3.3527612686157227e-09,0.052842818127930555,0.013086263225704897,150.0,0.0029546545604944184,15.968717688322068,-0.0010697381821955787,0.191650390625,133120,375.0,232
342.1,14,1.4837492153048515,237.0,-5.960464477539063e-09,0.04981669852786057,0.01223957623296883,147.5,0.0025987187635564623,15.968717813491821,-0.000998241781780962,0.157763671875,143360,375.0,234
339.12,15,1.4810813598334789,206.25,-2.7194619178771972e-08,0.055243081798598756,0.009922752518104972,72.50000000000001,0.0028705212273621326,15.968717914819717,-0.001654357679944951,0.2168701171875,153600,300.0,234
343.81,16,1.5081735901534556,210.75,-8.940696716308593e-09,0.0508171747054438,0.013072686888335738,72.50000000000001,0.0023994099582523632,15.96871777176857,-0.0009185488321236335,0.1614501953125,163840,375.0,234
340.91,17,1.5847753055393696,200.0,1.7136335372924803e-08,0.052997337218250305,0.00910316711251653,50.0,0.0032757981395889146,15.968717795610427,-0.001197756659530569,0.226806640625,174080,382.5000000000007,234
341.79,18,1.5025387473404408,196.75,-1.4901161193847657e-09,0.05649284921227412,0.010477336419717176,50.0,0.0031405925461967855,15.968717753887177,-0.001408332714709104,0.230078125,184320,427.5000000000002,235
333.86,19,1.4851547308266162,185.75,8.195638656616212e-09,0.054504111324650474,0.011126515696378191,25.0,0.0025967721643695542,15.968717592954636,-0.0015030127993668429,0.1791015625,194560,332.5000000000006,235
331.5,20,1.516686888039112,192.0,9.313225746154785e-09,0.057701902581001,0.012924334275885485,50.0,0.002728224006318669,15.968717700242996,-0.0013968466268124758,0.1979248046875,204800,302.5000000000002,236
330.06,21,1.574505940824747,196.75,6.332993507385254e-09,0.054620350520251396,0.008524450993354549,50.0,0.0037099145461525042,15.968717616796493,-0.0008205413032555953,0.227734375,215040,405.00000000000045,236
