explained_variance,avg_q_selected,PMM:episode_rewards,policy_entropy,frames,episode_length,model_prob_std,avg_q_retraced,advantage_norm,P09:episode_rewards,epoch_idx,q_loss,policy_loss,P01:episode_rewards,rollout_prob_std,policy_gradient_bias_correction,grad_norm,policy_gradient_loss,fps
-46.45394280751546,0.0008739099343074485,0.0,2.188675077756246,7200,0,0.008846625142420331,0.0007023583670767645,0.037127123400568965,0.0,1,0.0002313972381671192,6.949965355336947e-05,0.0,0.008846625282118718,0.0,0.03554229021768536,6.949965355336947e-05,320
-191.43933709462485,0.0005152907894322804,0.0,2.1806806723276773,14400,0,0.01099415960488841,0.0004354397297902324,0.01599808569687108,0.0,2,0.00018312636202608701,-1.5493591589195907e-05,0.0,0.010994159201315294,0.0,0.10583237597480001,-1.5493591589195907e-05,177
-61.327010520299275,-0.0003538431675527439,0.0,2.196862316131592,21600,0,0.0027099340843657655,-0.0003739092440810055,0.017490664822980763,0.0,3,2.316049816120843e-05,5.000582291359024e-06,0.0,0.0027099339951140184,0.0,0.003269155917652908,5.000582291359024e-06,210
-41.481030527750654,0.000255831596829618,0.0,2.196570324897766,28800,0,0.003849526948761195,0.0003901939830939227,0.024962463602423667,0.0,4,1.815252489905106e-05,-1.0810294270413578e-05,0.0,0.00384952681682383,0.0,0.0032126975770574643,-1.0810294270413578e-05,241
-127.03785901069641,-0.0005534018101267672,0.0,2.1970561504364015,36000,0,0.001611671612287561,-0.0005960722986856126,0.010736037759731214,0.0,5,7.714679759374121e-06,1.6757655674837225e-05,0.0,0.001611671594825263,0.0,0.0012330553767168932,1.6757655674837225e-05,265
-33.66910397211711,-0.0006161560408751636,0.0,2.1970129092534383,43200,3325.1666666666665,0.002028292679460719,-0.0006587852312804898,0.015053633678083619,0.0,6,6.240781666141023e-06,1.31623817082982e-05,0.0,0.0020282926678191872,0.0,0.0013568973929050034,1.31623817082982e-05,283
-51.35397542317708,-0.0007493293097165103,0.0,2.1971782128016155,50400,3325.1666666666665,0.0008818879975782087,-0.0007645779619148622,0.004374879466680189,0.0,7,1.883054498345397e-06,2.4161056762750378e-05,0.0,0.0008818880363833159,0.0,0.0008645225712207014,2.4161056762750378e-05,298
-19.984841442108156,-5.6879279888259286e-05,0.0,2.197158114115397,57600,3325.1666666666665,0.0011122218857053667,-6.030489021213725e-05,0.00824391709951063,0.0,8,3.91723153067384e-06,-8.119155290842173e-06,0.0,0.0011122218527210256,0.0,0.0011216459703438989,-8.119155290842173e-06,312
-17.21969790458679,-0.000839564847319707,0.0,2.197123106320699,64800,3325.1666666666665,0.0013471152041650688,-0.0008534453896572814,0.010222927294671535,0.0,9,2.491385026814896e-06,2.2026334181646235e-05,0.0,0.0013471152313286438,0.0,0.0007164740333356636,2.2026334181646235e-05,323
-62.140695079167685,-0.0008746987435491368,0.0,2.1971683661142984,72000,3325.1666666666665,0.0009373827497862901,-0.0008792013104539365,0.006822142167948186,0.0,10,1.604037551790801e-06,1.663082682531088e-05,0.0,0.0009373827633680776,0.0,0.000538587075915682,1.663082682531088e-05,334
