PMM:episode_rewards,value_loss,frames,advantage_norm,grad_norm,policy_entropy,fps,epoch_idx,explained_variance,P01:episode_rewards,P09:episode_rewards,episode_length,policy_loss
1.0,0.027290313102860182,8000,1.3403709593228996,0.8069846420246121,1.3254323004186153,253,1,-0.9414637410640716,0.0,2.0,164.86363636363637,0.011380831502974616
0.9473684210526315,0.011886833587736874,16000,1.1035225597023963,0.1624503406976927,1.3791640019416809,156,2,-0.013775985836982727,0.0,2.0,162.70526315789473,0.0033430905686691404
1.27,0.016228030379952543,24000,1.3583102034777403,0.18833165201077923,1.3773259127140045,170,3,-0.015411062240600586,0.0,3.0,178.0,4.7899662749841806e-05
1.41,0.013742570991407774,32000,1.1932595624402165,0.17094740138504214,1.368194215297699,170,4,-0.021394590735435485,0.0,3.0,185.17,0.0002790549183555413
1.13,0.010238407551155434,40000,0.9582242194190621,0.1391558834306064,1.3710489916801452,178,5,-0.02278615355491638,0.0,3.0,172.34,0.0018250980251468718
1.26,0.01767687323384962,48000,1.4498850848525762,0.2368491518129873,1.3751707780361175,180,6,-0.0196314013004303,0.0,4.0,177.61,0.00230106447590515
1.67,0.018709742992905377,56000,1.486724034845829,0.3174620627359586,1.375916633605957,185,7,-0.0589008629322052,0.0,4.0,193.3,0.005662034401320852
1.72,0.015010868199024117,64000,1.289693945199251,0.23814257041800982,1.369775425195694,190,8,-0.027335145473480225,0.0,4.0,194.95,0.00016495550516992807
1.48,0.014962239478336414,72000,1.299321064427495,0.23557396512050632,1.3793495631217956,191,9,-0.005036598443984986,0.0,4.0,184.48,0.0018650147796142847
1.41,0.014557534853738617,80000,1.2352770198881626,0.28434753257061357,1.380913417339325,193,10,-0.8928511255979538,0.0,3.1000000000000085,182.77,0.0013304596254602075
1.43,0.019207839047012384,88000,1.5088979859650136,0.3847310915249568,1.3463548362255096,195,11,0.14626604914665223,0.0,4.0,184.21,-0.0033591596825863234
1.75,0.012588357847707812,96000,1.2761219608783723,0.29548212723220274,1.3673707914352418,193,12,0.2615828275680542,0.0,5.0,193.28,0.0016389086339040659
