grad_norm,approx_kl_divergence,P01:episode_rewards,frames,fps,episode_length,policy_entropy,value_loss,advantage_norm,epoch_idx,PMM:episode_rewards,explained_variance,policy_loss,P09:episode_rewards,clip_fraction
211.09022297505535,0.047632847062641884,0.0,10240,169,329.48275862068965,1.6171412900090218,29.914074983727186,15.968719297647477,1,104.3103448275862,-0.035532274097204206,0.014496568906179164,200.0,0.361083984375
1.532900005397774,0.003181376249631285,20.000000000000018,20480,175,334.3220338983051,1.7185454301536083,0.11068340735509992,15.968719106912612,2,131.35593220338984,7.82310962677002e-09,-0.0003093524126597913,250.0,0.196533203125
0.8155262476964846,0.0019694004647476506,25.0,30720,180,339.7865168539326,1.772092854231596,0.043238789099268614,15.968718713521957,3,144.38202247191012,-1.899898052215576e-08,-0.0012451676735508953,250.0,0.136572265625
0.20866373273537658,0.0012138205589138807,25.0,40960,182,334.31,1.7782338321208955,0.0165692412709177,15.968718022108078,4,138.25,-2.9802322387695314e-09,-0.0016876915782631841,250.0,0.080078125
0.10191341454285388,0.0003517291809743028,25.0,51200,184,337.23,1.780004045367241,0.02439954905421473,15.968718284368515,5,160.5,-1.825392246246338e-08,-0.0008875985178747215,300.0,0.0106689453125
0.08060411718584551,0.00028275290510038076,25.0,61440,186,337.53,1.7876762129366397,0.0215482054365566,15.968718391656875,6,177.75,-4.097819328308106e-09,-0.0008454918086499674,350.0,0.00361328125
0.06217350690017108,0.00020082555033198445,25.0,71680,187,339.25,1.7803425788879395,0.018033610036945903,15.968718004226684,7,192.5,-4.470348358154297e-09,-0.0006814886670326814,360.0000000000009,0.0
0.06474198637886303,0.00015643033919925385,47.50000000000001,81920,189,345.78,1.7855966947972775,0.02006487136532087,15.968718123435973,8,210.5,1.1175870895385742e-09,-0.0006290711386100156,477.5000000000002,0.0
0.07018991950721588,0.00017763027845063561,50.0,92160,189,344.13,1.7808766707777977,0.02129126496729441,15.968718189001084,9,213.0,-2.9802322387695314e-09,-0.0006086626077376423,505.00000000000045,0.0
0.06527319697252601,0.00016675639522460982,50.0,102400,189,345.95,1.7824472919106484,0.022707568475743754,15.968718218803406,10,212.25,8.568167686462402e-09,-0.0006027460542100016,500.0,0.0
0.06834285897859338,0.00025878342227869666,75.0,112640,189,343.53,1.771941613405943,0.023503157042432575,15.968718218803406,11,210.5,-5.215406417846679e-09,-0.000908866067766212,477.5000000000002,0.0
0.06972335530596288,0.00012046920846167097,50.0,122880,190,337.17,1.7694706484675407,0.02095072633237578,15.968718135356903,12,196.25,-3.3527612686157227e-09,-0.00045981230978213715,430.0000000000004,0.0
0.062156719792648876,0.00015453390863129357,50.0,133120,190,336.1,1.7664160706102847,0.023257176706101744,15.968718236684799,13,190.5,1.1175870895385742e-09,-0.0006908821020260803,352.5000000000002,0.0
0.06441901211792654,0.0001854073886491392,47.50000000000001,143360,190,335.94,1.7715982511639594,0.019298103768960573,15.968717861175538,14,182.0,-1.1175870895385742e-09,-0.0006239537895453395,325.0,0.0
0.06364601057202934,0.00015413255851797202,25.0,153600,190,333.52,1.7755816914141178,0.018228427186841145,15.968717956542969,15,166.75,4.8428773880004884e-09,-0.0006136731164588128,277.5000000000002,0.0
0.06646944067845822,0.00015637110484760796,25.0,163840,191,339.0,1.7778341680765153,0.02234063143550884,15.968718034029006,16,173.0,-1.862645149230957e-08,-0.0006349462764774216,277.5000000000002,0.0
0.06699752596325169,0.00013203192107766882,25.0,174080,191,338.46,1.7849814616143704,0.020584646274801343,15.968718200922012,17,171.5,-1.862645149230957e-09,-0.0005521745170881332,275.0,0.0
0.06350813954146009,0.0002043013400854221,50.0,184320,192,342.48,1.7881401613354684,0.021728613512823357,15.968718135356903,18,194.5,-8.940696716308593e-09,-0.0009231514784914907,387.5000000000011,0.0
0.056648006772118696,0.00011823729676407879,25.0,194560,192,340.54,1.782984171807766,0.02009219797910191,15.96871821284294,19,190.5,2.2351741790771484e-09,-0.00048284553922712804,425.0,0.0
0.05527736508101261,0.00012057297607750427,47.50000000000001,204800,192,335.35,1.7826230190694332,0.02224480271106586,15.968718326091766,20,183.0,1.9744038581848144e-08,-0.0005047765480412636,352.5000000000002,0.0
0.05673632055163963,0.00016029043779965945,25.0,215040,192,331.91,1.77698680087924,0.019598782673710957,15.968717944622039,21,166.0,1.3411045074462891e-08,-0.0007391353901766706,327.5000000000002,0.0
0.05644930504956745,0.00010017796009407221,25.0,225280,192,331.32,1.7770361825823784,0.022107863321434707,15.968718236684799,22,174.0,-1.2293457984924316e-08,-0.0004430039422004484,327.5000000000002,0.0
0.056337377235571105,0.00015324688796880537,25.0,235520,192,330.89,1.7753616482019425,0.020108694527880288,15.968718039989472,23,179.5,-1.3411045074462891e-08,-0.0006554326300829416,407.5000000000006,0.0
0.05595092053455371,0.00015673032374223793,25.0,245760,192,335.36,1.7824027769267559,0.02344125959207304,15.968718338012696,24,191.25,-7.078051567077636e-09,-0.0007242846080771414,452.50000000000017,0.0
0.055528646651507474,9.875062561981451e-05,50.0,256000,192,345.53,1.7763989351689815,0.024204975768225268,15.968718296289444,25,199.0,-1.2665987014770507e-08,-0.00038529304329131263,405.00000000000045,0.0
0.05639474021626423,9.336856005859318e-05,25.0,266240,192,343.43,1.779182268679142,0.02101545241457643,15.968718153238296,26,204.25,-2.6822090148925782e-08,-0.00042727297277451727,477.5000000000002,0.0
0.05397802451330387,7.716792378111847e-05,25.0,276480,192,342.64,1.7755949184298516,0.019971502479165792,15.968718099594117,27,199.75,-2.9802322387695314e-09,-0.0003201436435119831,450.0,0.0
