fps,frames,epoch_idx,PMM:episode_rewards,policy_entropy,episode_length,clip_fraction,advantage_norm,P01:episode_rewards,explained_variance,P09:episode_rewards,grad_norm,policy_loss,value_loss,approx_kl_divergence
501,10240,1,177.8846153846154,0.22214107680119968,346.7307692307692,0.247265625,15.968718039989472,150.0,-0.4093269001692533,237.5,1186027395.1649082,0.04796836854820867,1426550242.0558665,4205145.174617249
558,20480,2,168.30357142857142,0.9298700453713536,342.8392857142857,0.21748046875,15.96871775984764,150.0,-5.587935447692871e-09,212.5,0.07453786017794603,0.002162824518745765,0.009321756145618565,0.006761340384264259
557,30720,3,154.16666666666666,1.2850599624216557,339.6222222222222,0.153955078125,15.968717652559281,75.0,6.332993507385254e-09,202.50000000000023,0.04332852791395759,-0.0005560738289204891,0.00872526775665392,0.0028833951840056215
550,40960,4,136.25,1.3113573372364045,328.9,0.21689453125,15.968717652559281,50.0,1.080334186553955e-08,200.0,0.047281286701854275,-0.00023087877561920323,0.007007237470043037,0.0037423744327838905
544,51200,5,117.25,1.3514841720461845,322.18,0.1791259765625,15.968715614080429,47.50000000000001,-2.9802322387695314e-09,200.0,0.04700133545058557,-0.00036648405111918694,0.006353011197947467,0.003223321145162572
539,61440,6,87.25,1.4374244071543216,306.86,0.2355224609375,15.96871064901352,25.0,-1.5273690223693846e-08,175.0,0.04507484390811026,-0.0013352732537896372,0.003797628113321139,0.003799769596969327
540,71680,7,62.5,1.4348582491278647,297.08,0.24765625,15.968711841106416,0.0,-1.0058283805847169e-08,125.0,0.042024893718678936,-0.0006915520600159653,0.003644306657959362,0.005457158337594592
537,81920,8,50.5,1.5522050231695175,290.17,0.306787109375,15.968661934137344,0.0,1.30385160446167e-08,100.0,0.0465000728516531,-0.0009590371875674464,0.004432633144206788,0.0049749373594977445
537,92160,9,60.5,1.5964090317487716,291.14,0.3343994140625,15.968715947866439,0.0,6.332993507385254e-09,125.0,0.04625011926051753,-0.00177126704256807,0.004437485182324963,0.006015707390508851
535,102400,10,64.75,1.5070475727319717,293.59,0.330224609375,15.968700093030929,0.0,-1.1920928955078126e-08,102.50000000000021,0.042083594897759445,-0.0013997784655657597,0.003417451694840423,0.004713492141331699
533,112640,11,62.0,1.593356204777956,293.86,0.3440185546875,15.968709778785705,0.0,-9.313225746154785e-09,102.50000000000021,0.04388705929775016,-0.0019503310941217933,0.003695059831119352,0.005362049983330053
531,122880,12,50.5,1.5696592055261136,294.54,0.244970703125,15.96859148144722,0.0,-3.091990947723389e-08,100.0,0.044287007057323746,-0.0007951025507281883,0.002618740839284939,0.003214334867834623
533,133120,13,56.0,1.5451559387147427,298.97,0.3162353515625,15.968714851140977,0.0,2.2351741790771484e-09,125.0,0.045775168005290814,-0.0012653807672904805,0.00430536675179809,0.00502254040727621
532,143360,14,51.5,1.5736114792525768,296.62,0.3084228515625,15.968703025579453,0.0,5.587935447692871e-09,125.0,0.04826780101486724,-0.0013440211354463828,0.004635152637344308,0.004576231931559959
532,153600,15,82.5,1.592462696135044,305.89,0.2629638671875,15.968717479705811,0.0,1.1175870895385742e-09,150.0,0.053859905370799245,-0.001114149246859597,0.00696544579905094,0.004136833584834676
532,163840,16,103.5,1.5570821315050125,309.65,0.274267578125,15.968715333938599,0.0,-9.685754776000977e-09,207.50000000000063,0.04888704781495128,-0.0015364502934971825,0.0067355877557474745,0.004730851977262774
530,174080,17,109.75,1.5540995128452777,311.87,0.2022705078125,15.968716561794281,25.0,-1.2293457984924316e-08,230.0000000000004,0.048357580575813394,-0.0013177211716538296,0.006563351522618177,0.0031618129781804784
529,184320,18,120.25,1.5620723329484463,316.47,0.2401611328125,15.968717658519745,25.0,1.2665987014770507e-08,225.0,0.05097889434309187,-0.0015201511087070685,0.008562390605948166,0.003199373569566433
530,194560,19,130.25,1.5333127960562707,322.81,0.18798828125,15.968717646598815,25.0,8.195638656616212e-09,230.0000000000004,0.052736733618895436,-0.0008910274314985145,0.010962803338770755,0.0025464078532195346
531,204800,20,182.75,1.3922143250703811,338.02,0.1507080078125,15.96871793270111,50.0,0.0,277.5000000000002,0.04610214242229291,-0.0012094023255485808,0.01314946877737384,0.002278028476075633
531,215040,21,218.0,1.328137043863535,347.21,0.1314697265625,15.968717789649963,75.0,-8.195638656616212e-09,352.5000000000002,0.045740736697006165,-0.0007631476097230916,0.014218836012878456,0.0020454219436601305
530,225280,22,232.25,1.3899190858006478,345.17,0.112939453125,15.968717783689499,97.5,3.725290298461914e-09,352.5000000000002,0.049381267461545655,-4.5065862650517374e-05,0.012452104403928388,0.0018708459301137736
530,235520,23,208.0,1.4532521113753318,332.44,0.2102294921875,15.968717432022094,50.0,-1.0058283805847169e-08,350.0,0.052357169503888204,-0.000937557706492953,0.009105847169689697,0.002902460292852993
530,245760,24,181.5,1.4968545600771903,324.28,0.1845947265625,15.968717527389526,50.0,1.601874828338623e-08,327.5000000000002,0.04760755197081962,-0.0013533086304960307,0.009479088106127164,0.0025252376839830504
531,256000,25,164.5,1.517226903885603,322.77,0.2356689453125,15.968717855215072,25.0,-1.862645149230957e-08,277.5000000000002,0.05253987544492844,-0.0011868170578964055,0.011364983705061605,0.003514662088741716
531,266240,26,178.25,1.4567080438137054,327.87,0.1693603515625,15.96871789097786,47.50000000000001,1.2665987014770507e-08,327.5000000000002,0.05077364981110162,-0.0010693239000829635,0.012178645814128686,0.0026103335225570847
