episode_length,explained_variance,model_prob_std,PMM:episode_rewards,grad_norm,policy_gradient_loss,policy_entropy,epoch_idx,avg_q_retraced,policy_gradient_bias_correction,q_loss,P09:episode_rewards,P01:episode_rewards,frames,fps,policy_loss,rollout_prob_std,avg_q_selected,advantage_norm
0,-69.0166228612264,0.008072294372444352,0.0,0.028504666245740946,4.373600015128432e-06,2.1910098950068155,1,0.0014576773867399121,0.0,0.00020106955077305125,0.0,0.0,7200,328,4.373600015128432e-06,0.008072294372444352,0.0015349730107118375,0.03303285303215186
0,-106.17523180643717,0.0047497552431498965,0.0,0.02462751653508871,-3.763785014238389e-05,2.194256790479024,2,6.939589250881303e-05,0.0,0.00013931055351955972,0.0,0.0,14400,195,-3.763785014238389e-05,0.004749755293596536,0.0005684490322285759,0.015467368128399054
0,-49.12575750350952,0.0023489276296459138,0.0,0.0032778301627109977,2.9360369217101835e-05,2.1968799511591595,3,-0.0014719927596161142,0.0,2.4052359791918812e-05,0.0,0.0,21600,230,2.9360369217101835e-05,0.0023489276024823385,-0.0015192397147378264,0.015031692308063309
0,-44.788717937469485,0.0037252028414513916,0.0,0.0030341151399028853,2.133724447617169e-05,2.1966083367665608,4,-0.000876832326563696,0.0,1.8653954308926284e-05,0.0,0.0,28800,260,2.133724447617169e-05,0.0037252029268226277,-0.0008421328524642983,0.025199112598784268
0,-154.48764125506082,0.0013931046424355978,0.0,0.0010592640963900941,2.1751887440283706e-05,2.197078728675842,5,-0.0009658769374558081,0.0,8.68260144670785e-06,0.0,0.0,36000,285,2.1751887440283706e-05,0.001393104638555087,-0.0009813672377883146,0.009963791724294424
3324.75,-86.14107693036398,0.0018874719690453881,0.0,0.00125123219123188,1.6563391770555806e-05,2.1970141649246218,6,-0.0008278218311412881,0.0,7.105975896593009e-06,0.0,0.0,43200,305,1.6563391770555806e-05,0.0018874719622544943,-0.0008496963336559322,0.014534937039328118
3324.75,-106.65268173217774,0.0005552037279509628,0.0,0.0005962846226627219,1.7219667756644222e-05,2.1971866448720294,7,-0.0006706586893415079,0.0,3.4659064416094526e-06,0.0,0.0,50400,323,1.7219667756644222e-05,0.0005552037386223674,-0.0006737312702171039,0.0038285112008452416
3324.75,-48.420952479044594,0.0006690736685413867,0.0,0.0007725783982844354,1.2632438820977162e-05,2.197189283370972,8,-0.0006187889501840497,0.0,3.1877193066520705e-06,0.0,0.0,57600,338,1.2632438820977162e-05,0.0006690736695115144,-0.0005899053313138818,0.00491249350986133
3324.75,-30.576909987131753,0.001187168635078706,0.0,0.0006683456556583829,1.942523548450481e-05,2.1971295833587647,9,-0.0007369414777106916,0.0,2.8326337343287377e-06,0.0,0.0,64800,350,1.942523548450481e-05,0.001187168637504025,-0.0008074136412081619,0.009382608354402085
3324.75,-503.33551222483317,0.0008107914890085037,0.0,0.0004648374642823227,1.626599172368515e-05,2.1971686919530233,10,-0.0007394421457623442,0.0,1.814937260746774e-06,0.0,0.0,72000,361,1.626599172368515e-05,0.000810791490948759,-0.0007767146918922663,0.006235538253289027
3324.75,-121.44999616940817,0.0014017427851892232,0.0,0.0006948995749860483,1.629736048016639e-05,2.197126762072245,11,-0.000633242423646152,0.0,2.5673745597032393e-06,0.0,0.0,79200,369,1.629736048016639e-05,0.0014017428123527982,-0.0006661999604451314,0.011335164207654696
3324.875,-158.18681292533876,0.00027002606560320904,0.0,0.00016501460775917011,1.298700184027742e-05,2.197214714686076,12,-0.00072727061342448,0.0,4.7352481213162416e-07,0.0,0.0,86400,376,1.298700184027742e-05,0.0002700260556594003,-0.0007342964740625272,0.0021247270691674204
3324.875,-83.19388955434164,0.0003691850940716298,0.0,0.0003353625171004534,1.7240333401484047e-05,2.1972088098526,13,-0.0007486154655149828,0.0,9.590963223615745e-07,0.0,0.0,93600,381,1.7240333401484047e-05,0.00036918512802609863,-0.0007422939301856483,0.0019298019818961621
3324.875,-117.04133694966634,0.0002490744319705603,0.0,0.00033368288313469154,1.65327269617895e-05,2.19721364180247,14,-0.0007547508430434391,0.0,1.058172177910895e-06,0.0,0.0,100800,387,1.65327269617895e-05,0.0002490744368211987,-0.0007352788030402735,0.0024604505335446445
3324.875,-105.24405059814453,0.0012328594845409195,0.0,0.0005763006353843599,1.8809870372630636e-05,2.197157287597656,15,-0.0008716618409380317,0.0,1.809699809977398e-06,0.0,0.0,108000,392,1.8809870372630636e-05,0.0012328595146148776,-0.0008551070466637611,0.010330373510563125
3324.875,-1480.2119599342345,0.0003659994143769533,0.0,0.00019503567198448014,1.5740870408838722e-05,2.1972108761469524,16,-0.0007475976347147177,0.0,4.156330605316801e-07,0.0,0.0,115200,397,1.5740870408838722e-05,0.00036599942480582587,-0.0007501152499268453,0.0027825566590763628
3325.027777777778,-53.644038702249524,0.0009554584079757792,0.0,0.0004039822334099604,1.7521620874069256e-05,2.197180522822199,17,-0.0007393812000962152,0.0,1.2660721021720776e-06,0.0,0.0,122400,398,1.7521620874069256e-05,0.0015016711707037413,-0.000772176837917724,0.008565870317835352
3325.027777777778,-56.92617649453027,0.0004095294105470188,0.0,0.00018983262394121472,1.4889919045799615e-05,2.1972150284335727,18,-0.0006714750863778005,0.0,3.836354832016422e-07,0.0,0.0,129600,395,1.4889919045799615e-05,0.002269285741933836,-0.0006824192687146559,0.0036748369833586613
3325.027777777778,-70.40379276358892,0.0003800049675034628,0.0,0.00017561035331528695,1.3235743662406094e-05,2.197216697912367,19,-0.0006390520639090228,0.0,3.3937404929886554e-07,0.0,0.0,136800,391,1.3235743662406094e-05,0.0022213086895878824,-0.0006412660650884,0.0034899977074510096
3325.027777777778,-139.47894895230652,0.00033993249378172984,0.0,0.00011913017712029184,1.3950205771876994e-05,2.1972184924852276,20,-0.0005985963246267702,0.0,2.1437014020759971e-07,0.0,0.0,144000,388,1.3950205771876994e-05,0.0020588567489936856,-0.0006141638398652762,0.0031166308715138554
3325.027777777778,-1156.2100768544435,0.0003093043931363912,0.0,0.00011162474791934234,1.2381307700808786e-05,2.19721952547472,21,-0.0005605132006921513,0.0,1.9401936218220844e-07,0.0,0.0,151200,385,1.2381307700808786e-05,0.0016905596821945635,-0.0005698741510272994,0.002982397395542494
3325.027777777778,-394.16075414063437,0.0003173344279546308,0.0,0.00010116859936790628,1.2158432024353198e-05,2.1972197875017847,22,-0.0005358635338818501,0.0,1.6323855592044047e-07,0.0,0.0,158400,381,1.2158432024353198e-05,0.0018926120438433188,-0.0005489229624072323,0.0030656352773335777
3324.6875,-421.8380731643192,0.00021413664043761638,0.0,6.452169675927442e-05,1.0884622668216915e-05,2.197222196970668,23,-0.0004888572617750873,0.0,9.339248524247662e-08,0.0,0.0,165600,379,1.0884622668216915e-05,0.0017591515948250827,-0.0004899143778484791,0.0021352027329891235
3324.6875,-446.26828507617034,0.000196622041008167,0.0,7.334157840415401e-05,1.0510503639080726e-05,2.197222673583914,24,-0.00046874146914873684,0.0,8.267795815479138e-08,0.0,0.0,172800,377,1.0510503639080726e-05,0.0018206221520385376,-0.00047443359213021635,0.001862523509731141
3324.6875,-939.9275036316037,0.00016690106463922454,0.0,5.528677901012484e-05,9.515307272855717e-06,2.1972231290296276,25,-0.0004506626000823286,0.0,6.254702847459316e-08,0.0,0.0,180000,374,9.515307272855717e-06,0.0017875563588610676,-0.00045401997978197875,0.00163848944499593
3324.6875,-172.74698715844482,0.00025733537463356557,0.0,7.576960361829169e-05,9.922198596102314e-06,2.1972214794348153,26,-0.00042483631756757857,0.0,1.0403884921977653e-07,0.0,0.0,187200,373,9.922198596102314e-06,0.001647338980939085,-0.0004278798166600243,0.0024309249809188523
3324.6875,-1415.0306613384164,0.0001584304114437095,0.0,4.4678379704345075e-05,8.892349625952308e-06,2.197223442357684,27,-0.00040343566594639834,0.0,5.07369517778092e-08,0.0,0.0,194400,370,8.892349625952308e-06,0.0018097092871906147,-0.00040903783794275355,0.0015351879177511107
3324.75,-257.9402654780723,0.00021496545317435477,0.0,6.127155377366644e-05,8.097846967639825e-06,2.1972224158989,28,-0.0003781413767129865,0.0,7.395693736701416e-08,0.0,0.0,201600,368,8.097846967639825e-06,0.001735238429525592,-0.00038073485242938254,0.002098292346179027
