clip_fraction,policy_loss,PMM:episode_rewards,approx_kl_divergence,P09:episode_rewards,grad_norm,episode_length,epoch_idx,value_loss,fps,frames,advantage_norm,policy_entropy,explained_variance,P01:episode_rewards
0.4966552734375,0.05292621953794878,104.46428571428571,1560203.1357142394,175.0,517008217.7283946,326.0357142857143,1,501218768.8534258,173,10240,15.968717592954636,1.0103847331027076,-1.2454346597194672,17.500000000000004
0.202392578125,-0.0004829696525121108,114.75409836065573,0.003927214521263522,200.0,0.07259050883944358,328.1311475409836,2,0.008461773305680254,165,20480,15.968717795610427,1.4189481772482395,-1.4901161193847657e-09,25.0
0.221533203125,-0.0014817278348346007,147.52747252747253,0.003617628672054707,250.0,0.04760780009974311,334.989010989011,3,0.010314379848477984,180,30720,15.968717652559281,1.5493296019732952,-2.6077032089233397e-09,25.0
0.2155517578125,-0.0012395856567309238,161.5,0.00374548635296037,302.5000000000002,0.04973889625527411,336.54,4,0.009094735682811005,189,40960,15.96871766448021,1.5429689861834048,5.960464477539063e-09,47.50000000000001
0.246630859375,-0.0018107436255377252,183.75,0.004161444208403964,332.5000000000006,0.05420063062923939,337.64,5,0.009632699616486207,196,51200,15.96871783733368,1.565299441665411,-7.450580596923828e-09,47.50000000000001
0.271435546875,-0.0014858096699754241,163.75,0.0039019030832605495,302.5000000000002,0.0530372793699734,330.32,6,0.010024132557737176,202,61440,15.968717902898788,1.567229188978672,-7.450580596923828e-09,25.0
0.1958984375,-0.0011432930230512283,196.5,0.003127360468124607,425.0,0.05370355457421009,335.63,7,0.011383112053954392,206,71680,15.968717616796493,1.5753979563713074,-4.097819328308106e-09,47.50000000000001
0.217333984375,-0.0016461128761875443,213.25,0.003149298269300971,502.5000000000002,0.05369854426502586,334.0,8,0.012448496881188476,210,81920,15.968717789649963,1.5305295147001743,-1.0058283805847169e-08,50.0
0.1896728515625,-0.0017339587193418993,234.5,0.0027067774338149775,502.5000000000002,0.0542168065801382,336.41,9,0.013819201443402563,214,92160,15.968717753887177,1.4687602654099465,5.215406417846679e-09,75.0
0.1827392578125,-0.00111742953195062,220.75,0.0028829843593598525,352.5000000000002,0.0512822665736962,332.52,10,0.012013801222201437,216,102400,15.96871783733368,1.5148651801049708,5.960464477539063e-09,100.0
0.2575927734375,-0.0020162069493380843,200.5,0.003837100445730357,325.0,0.05191090744680996,331.63,11,0.010159671098881518,218,112640,15.96871770620346,1.5591659009456635,6.7055225372314455e-09,75.0
