fps,PMM:episode_rewards,policy_loss,grad_norm,value_loss,epoch_idx,P01:episode_rewards,advantage_norm,P09:episode_rewards,policy_entropy,explained_variance,frames,episode_length
244,2.1818181818181817,0.07039460260886699,22.132287887125266,0.6954506618057349,1,0.0,4.318290883377195,8.200000000000003,1.2727857717871667,-4.752883157134056,8000,199.3030303030303
231,1.5714285714285714,0.0013749305266537704,0.1316560179664808,0.008516739361189138,2,0.0,0.8781209551170468,4.0,1.3844346880912781,-0.45761688113212584,16000,184.46428571428572
241,1.4,-0.001102061936398968,0.11692269421131439,0.008948031126237765,3,0.0,0.9237121941894293,4.0,1.38187744140625,-0.40500462234020235,24000,181.29
245,1.33,8.564271149225533e-05,0.10253617562448968,0.007936807627811505,4,0.0,0.8515807516872883,4.0,1.3807648825645447,-0.25048093557357787,32000,182.57
247,1.28,-0.00036737964328494856,0.1109327917279606,0.009233703848649384,5,0.0,0.9456835399195552,4.0,1.377803350687027,-0.3492129880189896,40000,180.54
247,1.57,-0.00019143007346428931,0.1041908985351808,0.00949664681837021,6,0.0,0.9814869112148881,4.0,1.3771740341186522,-0.13718031406402587,48000,188.39
252,1.56,0.0011558641766896472,0.09978750464268378,0.009278146814685896,7,0.0,0.9388165315985679,4.0,1.3762089288234711,-1.8399858170747756,56000,188.43
254,1.38,0.0014135388110298663,0.09452757286245028,0.007739879058572114,8,0.0,0.8321993628330528,4.0,1.380645956993103,-1.8207117539644242,64000,183.9
256,1.32,0.0002962512597150635,0.10712951986029591,0.010045205677088234,9,0.0,1.0214465724676847,3.0,1.3823358297348023,-0.12512256920337678,72000,183.77
259,1.4,0.0014094727844349108,0.09782935023547436,0.009102826003527298,10,0.0,0.9287011517211795,4.0,1.381915522813797,-0.15039770662784577,80000,185.3
256,1.3,-0.0009494372454355471,0.08456839432786639,0.00771329887353204,11,0.0,0.8241989897191524,4.0,1.383115861415863,-0.13888018786907197,88000,179.32
257,1.21,0.0028805978246964513,0.10003510176471118,0.009196480877581053,12,0.0,0.946967698186636,3.0,1.3856262242794037,-0.14699231803417206,96000,177.25
259,1.24,-0.00046958719192844,0.12509871666624567,0.010085730641221743,13,0.0,1.0037333817780019,3.0,1.385262930393219,-0.12091374754905701,104000,179.08
257,1.36,0.0012230621295748279,0.09372094742840804,0.00854013864708577,14,0.0,0.8851697321608663,4.0,1.3842877495288848,-0.15473116397857667,112000,182.69
