epoch_idx,avg_q_retraced,episode_length,model_prob_std,policy_loss,frames,grad_norm,rollout_prob_std,avg_q_selected,policy_gradient_loss,P01:episode_rewards,q_loss,policy_entropy,explained_variance,PMM:episode_rewards,policy_gradient_bias_correction,P09:episode_rewards,fps,advantage_norm
1,0.004330979140164951,0,0.006831619678996504,-8.916069699959432e-05,7200,0.017234752514026466,0.006831619593625268,0.00431078834614406,-8.916069699959432e-05,0.0,9.875956360095491e-05,2.1937214612960814,-33.32394320170085,0.0,0.0,0.0,320,0.03134065996855497
2,0.013039414689410478,0,0.0231019914324861,-0.0001158817760066692,14400,0.2663645779503546,0.02310199145770942,0.01344761117361486,-0.0001158817760066692,0.0,0.0012800994133006802,2.1031125724315642,-417.5630990703901,0.0,0.0,0.0,180,0.08340097403464218
3,0.0011660883746420344,0,0.0016583199379965664,-2.2836584200073655e-05,21600,0.002247947579595366,0.0016583199438173323,0.0012196304807730485,-2.2836584200073655e-05,0.0,2.4442166735146507e-05,2.1970426559448244,-233.1471663792928,0.0,0.0,0.0,212,0.007777712595028182
4,0.0010307199496310203,0,0.0031514945478799444,-2.4811281048187083e-05,28800,0.0026665829349867497,0.003151494493552794,0.0010402337376338741,-2.4811281048187083e-05,0.0,1.6072725535802117e-05,2.196793786684672,-57.26988582611084,0.0,0.0,0.0,243,0.01862377457631131
5,0.0007313734269700945,0,0.0012988068046979606,-1.6981537904333284e-05,36000,0.0010560685884491107,0.001298806742609789,0.000759595387110797,-1.6981537904333284e-05,0.0,4.417819445734494e-06,2.197110120455424,-188.48839801152548,0.0,0.0,0.0,270,0.007622370201473435
6,0.0009747698728460819,3323.8333333333335,0.0018359201863252868,-2.329995019560253e-05,43200,0.001230490496442012,0.0018359201436396687,0.0010053387629644325,-2.329995019560253e-05,0.0,4.486452907788892e-06,2.19705339272817,-15.601147476832072,0.0,0.0,0.0,292,0.012519743704857925
7,0.0006088942679828809,3323.8333333333335,0.0011085689669319738,-1.807280030637533e-05,50400,0.0024838794060646446,0.0011085689281268667,0.0006328897493707093,-1.807280030637533e-05,0.0,2.4680141639995177e-06,2.1969555457433065,-30.962221852938335,0.0,0.0,0.0,312,0.005620450456626713
8,0.00031180372200954783,3323.8333333333335,0.0007687704482426246,-4.75344886581297e-06,57600,0.0006613099271869428,0.0007687704230193049,0.0003214328327885596,-4.75344886581297e-06,0.0,2.464134059702398e-06,2.1971867799758913,-28.61530335744222,0.0,0.0,0.0,328,0.004644845274742693
9,0.0008461476885713637,3323.8333333333335,0.001366568316007033,-1.805706508820985e-05,64800,0.0007013479368331804,0.0013665683043655008,0.0008692892171287288,-1.805706508820985e-05,0.0,2.7488892859158417e-06,2.197122351328532,-17.033940680821736,0.0,0.0,0.0,340,0.009145311351555089
10,0.000744322722312063,3323.8333333333335,0.001004638437492152,-1.902782677234427e-05,72000,0.0005979537195998612,0.0010046384316713859,0.0007823716257310783,-1.902782677234427e-05,0.0,2.032256750794659e-06,2.197155984242757,-60.074644581476846,0.0,0.0,0.0,349,0.007136179087683559
11,0.0007207339998179426,3323.8333333333335,0.0015583619358949363,-1.5860766435101444e-05,79200,0.000755406594027491,0.0015583619358949363,0.0007655003360317399,-1.5860766435101444e-05,0.0,3.1814346262611557e-06,2.1971093893051146,-19.70059779485067,0.0,0.0,0.0,358,0.011802029497145365
12,0.0008167021655632804,3324.1666666666665,0.0005077808901357155,-2.401736900689381e-05,86400,0.00036212854842330604,0.0005077808959564815,0.0008318264968693257,-2.401736900689381e-05,0.0,6.453165208123816e-07,2.197206473350525,-18.81376730600993,0.0,0.0,0.0,368,0.003940762222434084
13,0.0002305280399620339,3324.1666666666665,0.0005861218029167503,-9.335909532381947e-06,93600,0.0010026721250249008,0.0005861217815739413,0.00021636059621717627,-9.335909532381947e-06,0.0,8.832258278819912e-07,2.197169319788615,-36.93141082127889,0.0,0.0,0.0,376,0.002816602603221933
14,0.0006380307251068492,3324.1666666666665,0.0005151772357445832,-1.1036849629893671e-05,100800,0.0004072692484011831,0.0005151772076108803,0.0006396310607669875,-1.1036849629893671e-05,0.0,1.2978158707710463e-06,2.1972055673599242,-27.152471208572386,0.0,0.0,0.0,382,0.004242732837640991
15,0.0010441669165932885,3324.1666666666665,0.001492580259218812,-2.4394134571063356e-05,108000,0.000701938418872776,0.001492580262129195,0.0010646689789912975,-2.4394134571063356e-05,0.0,2.7759987105469008e-06,2.197127866744995,-27.617092275619505,0.0,0.0,0.0,390,0.011175402170435215
16,0.0007214695157017559,3324.1666666666665,0.0005195652711942482,-1.5372944972114055e-05,115200,0.00027368801420405575,0.0005195652590676521,0.0007250165702619901,-1.5372944972114055e-05,0.0,8.968565467171174e-07,2.1972002824147543,-112.51140947341919,0.0,0.0,0.0,395,0.003801672354650994
17,0.0007149973534640851,3324.25,0.001190874395342873,-2.0840085350162417e-05,122400,0.0005259536014713944,0.002845956502634282,0.0007515622340982035,-2.05755620788951e-05,0.0,1.757836096913216e-06,2.1971602438555826,-12.743447014322184,0.0,-2.645232733343481e-07,0.0,396,0.00916241638839534
18,0.0006794646470089907,3324.25,0.0005634724074733971,-1.712006473454378e-05,129600,0.0002946418201818523,0.0032967294744990776,0.0006825406709770616,-1.7013874615916886e-05,0.0,5.704239161106055e-07,2.1972076232155797,-16.794911175139998,0.0,-1.0619012766620285e-07,0.0,394,0.004342403895478504
19,0.0005985095577288933,3324.25,0.0005102533912919824,-1.3116911856170512e-05,136800,0.00023916866721952854,0.005419538738849317,0.0006001077790055658,-1.3034650050282206e-05,0.0,5.37003178216592e-07,2.1972115397642527,-20.25343933116191,0.0,-8.226181136258617e-08,0.0,390,0.004422007730565152
20,0.0006010260034944474,3324.25,0.00046497196206473745,-1.2954364750760259e-05,144000,0.00018246669747197793,0.004662104801847827,0.0006048139021808906,-1.3023955169804217e-05,0.0,4.0443696103048453e-07,2.1972134408055166,-18.363220768643437,0.0,6.959041273704416e-08,0.0,390,0.003898648602226454
