epoch_idx,policy_loss,PMM:episode_rewards,explained_variance,policy_entropy,value_loss,episode_length,fps,advantage_norm,grad_norm,frames,P09:episode_rewards,P01:episode_rewards
1,-0.013556966236792504,1.173913043478261,-2.60166599214077,1.3191288477182388,0.04514894150241162,165.8695652173913,249,1.7889612063020468,2.178285102772182,8000,3.0,0.0
2,-0.0004700340780254919,0.97,-0.0971216070652008,1.3474362564086915,0.015257683143936447,159.67,224,1.09033512160182,0.36763791054555967,16000,2.0,0.0
3,-0.0021836498802440475,1.08,-0.07928823292255402,1.3518367850780486,0.01574058862082893,165.74,239,1.3519262178987264,0.35638208195400084,24000,3.0,0.0
4,0.0022311263883602805,1.17,-0.00289101243019104,1.319243198633194,0.047553703439480156,168.39,249,1.493775608688593,0.945356677128338,32000,3.0,0.0
5,-0.0018212438002228736,0.95,0.011997138857841491,1.3586329567432402,0.00926761480717687,160.37,253,1.0112651209533214,0.2582807300555712,40000,3.0,0.0
6,0.00400052804779989,1.04,0.08562852025032043,1.3437444472312927,0.013398347685288171,165.57,255,1.247952635884285,0.38505823492686647,48000,3.0,0.0
7,-0.0012132318936346565,1.25,0.20102225363254547,1.3795377027988434,0.013871292377007193,173.64,258,1.3259446446597576,0.3622865174139401,56000,3.0,0.0
8,-0.0019810388333280572,1.26,0.2545211774110794,1.3755275011062622,0.020909600812301504,176.86,259,1.3184345689415933,0.5490262803188493,64000,3.0,0.0
9,-0.00044565252464963124,1.18,0.3561897820234299,1.3760289335250855,0.012051566984737291,173.69,261,1.23809406965971,0.334782039348911,72000,3.0,0.0
10,-0.0031479099346324803,1.26,0.5851745504140854,1.375722336769104,0.013671769857173785,176.65,260,1.3407504668831824,0.40344412083058095,80000,3.0,0.0
11,-0.0024820174800697713,1.51,0.5609413039684296,1.3690092718601228,0.015191316039999948,184.91,260,1.4307566943764687,0.3906867247058791,88000,4.1000000000000085,0.0
12,-0.0019362975418334826,1.82,0.7642622911930084,1.359756006002426,0.013655651498120279,197.6,261,1.3604165282845497,0.3722199865634012,96000,5.0,0.0
13,-0.002665538414439652,1.9,0.8166158992052078,1.342035311460495,0.01261745701311156,203.48,261,1.2547660025954246,0.39266485558197756,104000,5.1000000000000085,0.0
14,-0.0030896039318758996,1.73,0.7984890079498291,1.3332869338989257,0.013061634288169444,194.56,261,1.3509441059827805,0.3903077054041597,112000,5.0,0.0
15,-0.0030641820664459372,2.16,0.8189367520809173,1.3566978251934052,0.012731456274632364,207.98,262,1.3314571344852448,0.3930738617160417,120000,5.0,0.0
16,-0.00043024135346058756,2.19,0.8841591042280197,1.3549712216854095,0.007373924930579961,209.48,261,1.015578387081623,0.2863772463426041,128000,5.0,0.0
17,-0.0028548147703986613,2.15,0.8728603184223175,1.3446978509426117,0.011373473892454057,211.58,262,1.2658612710237502,0.3629498379210396,136000,5.0,0.0
18,-0.0037319659237982704,2.3,0.9060295152664185,1.3444850277900695,0.008808184644440189,216.96,263,1.0960214570164681,0.3254688367857861,144000,5.0,0.0
19,-0.0016406277954229154,2.6,0.9253244334459305,1.33502224445343,0.0063019485748372975,226.93,263,0.9365240943431854,0.2548320010962246,152000,5.200000000000017,0.0
