fps,advantage_norm,PMM:episode_rewards,episode_length,P09:episode_rewards,explained_variance,frames,clip_fraction,value_loss,grad_norm,approx_kl_divergence,policy_loss,P01:episode_rewards,policy_entropy,epoch_idx
188,15.968716549873353,153.90625,321.625,150.0,-4.064087430015206,10240,0.140234375,268162023.1733171,402382123.2870781,2586153.1440268513,0.04070147369684492,125.0,0.08943225120860374,1
191,15.968717950582505,202.734375,319.953125,275.0,4.470348358154297e-09,20480,0.09697265625,0.01877144901227439,0.11788092986893225,0.004463326823827174,0.0026366555619461,132.50000000000003,0.6025649131275713,2
205,15.968717986345291,213.56382978723406,319.3936170212766,275.0,1.1920928955078126e-08,30720,0.1667236328125,0.016243437000048287,0.08582383730413665,0.004890253684243362,0.0015960825461661444,150.0,1.184075903147459,3
211,15.96871777176857,256.5,333.32,350.0,1.1548399925231934e-08,40960,0.2085693359375,0.015664703733636997,0.052040843746982327,0.0035780775090756833,-0.0013066925250313944,150.0,1.4301449730992317,4
215,15.96871782541275,266.25,341.62,352.5000000000002,1.30385160446167e-08,51200,0.20712890625,0.015019307608599774,0.053598174855327495,0.003255952452514066,-0.0013118696289893706,175.0,1.5417065672576427,5
220,15.968717974424361,272.5,348.52,375.0,2.7567148208618165e-08,61440,0.1848876953125,0.014668227087531705,0.05630119160874888,0.002948324351677911,-0.0014001194369484438,150.0,1.6023795872926712,6
223,15.968717980384827,270.0,346.34,402.5000000000002,-1.30385160446167e-08,71680,0.1572509765625,0.015789547428721563,0.053032524553651136,0.0027745144795403576,-0.0008383448686799966,147.5,1.5860458239912987,7
226,15.968717831373215,283.75,348.16,552.5000000000002,-3.7252902984619143e-10,81920,0.1535400390625,0.016149857244454325,0.05069638721701841,0.0024474694731225098,-0.001081718250134145,125.0,1.5076250322163105,8
227,15.968717885017394,286.5,347.69,460.0000000000008,8.940696716308593e-09,92160,0.1710205078125,0.016326034953817726,0.05486417450254181,0.002823416420699232,-0.001074555408922606,147.5,1.4868942581117153,9
229,15.968717867136002,297.75,347.03,552.5000000000002,1.862645149230957e-09,102400,0.19365234375,0.015807250354555435,0.056210991751815695,0.0027393828937988473,-0.0011840273025882197,150.0,1.5244560100138187,10
229,15.968717831373215,279.75,342.64,350.0,1.2665987014770507e-08,112640,0.1286376953125,0.01578182953671785,0.05082372117962415,0.002035166362941254,-0.0008462314159260132,150.0,1.5236843943595886,11
230,15.96871793270111,260.75,338.14,350.0,2.2351741790771484e-09,122880,0.174072265625,0.013149806849105517,0.05655670833646033,0.002543504337313607,-0.0014712960059114267,125.0,1.5327466391026974,12
231,15.968717736005782,246.0,334.16,327.5000000000002,-7.078051567077636e-09,133120,0.1843017578125,0.014599306989111938,0.056706503806882025,0.0026057483966781094,-0.001501444306995836,125.0,1.557597067207098,13
232,15.968717914819717,234.5,330.07,327.5000000000002,-4.470348358154297e-09,143360,0.2302001953125,0.015118687224457972,0.05420131349241446,0.003343754547859135,-0.0017309143600868992,125.0,1.5741280429065228,14
232,15.968717849254608,253.5,337.51,350.0,-2.3096799850463868e-08,153600,0.1980712890625,0.015509548639238346,0.056760573579546135,0.0030248616713834053,-0.0009732247432111763,150.0,1.619649951905012,15
233,15.96871771812439,253.25,340.6,352.5000000000002,-2.2724270820617674e-08,163840,0.1844970703125,0.01494271246046992,0.055059494392161804,0.0030319215031113346,-0.0011295157739368733,150.0,1.635712917149067,16
233,15.968717992305756,272.75,343.43,377.5000000000002,9.685754776000977e-09,174080,0.161083984375,0.01633630639553303,0.05437876388463331,0.0023899019890677663,-0.0012625593852135352,150.0,1.59356669485569,17
233,15.968717831373215,278.25,347.99,377.5000000000002,-4.8428773880004884e-09,184320,0.1804931640625,0.01536411210836377,0.055471022483383356,0.0027148465945401766,-0.0012799720356269973,150.0,1.643000464141369,18
233,15.968717920780183,285.75,345.27,437.500000000001,-9.685754776000977e-09,194560,0.1901123046875,0.016327171547163743,0.05697879883634738,0.003037645833614988,-0.0015273250686732355,147.5,1.666992399841547,19
232,15.968717789649963,288.75,351.51,482.5000000000007,-6.332993507385254e-09,204800,0.1739990234375,0.014471286632760894,0.054125892939283826,0.0027005508196566554,-0.0015885920431173873,150.0,1.6630786411464213,20
233,15.968717694282532,291.75,357.19,482.5000000000007,2.0489096641540527e-08,215040,0.18828125,0.015526285057421773,0.055067731825798584,0.0025060967887611694,-0.0016046335698774784,150.0,1.6208263538777827,21
233,15.96871793270111,288.75,359.98,427.5000000000002,-7.450580596923829e-10,225280,0.18427734375,0.014761783316498623,0.05532086564990389,0.0025281567873889797,-0.001270916389694321,150.0,1.5794273681938649,22
233,15.968717813491821,265.0,354.15,375.0,1.4156103134155273e-08,235520,0.1654541015625,0.01549324236693792,0.05524956445871676,0.002350725248169283,-0.0010234070690785303,150.0,1.5511187344789505,23
233,15.968717801570893,264.5,351.52,350.0,-1.1175870895385742e-09,245760,0.1208251953125,0.015653778248815798,0.05310769304943276,0.001911669779968861,-0.0005791564672108507,150.0,1.5821988634765147,24
234,15.968717974424361,259.75,343.33,350.0,-8.568167686462402e-09,256000,0.1552978515625,0.015191781151224859,0.052647032962795014,0.0024298602974909046,-0.0011730491929483832,150.0,1.5398437656462192,25
234,15.968717974424361,260.5,341.69,350.0,-3.3527612686157227e-09,266240,0.17451171875,0.01565581315662712,0.05092356810247931,0.002848054531136768,-0.001127704136160901,150.0,1.5200004763901234,26
234,15.968717861175538,260.0,345.25,350.0,-7.82310962677002e-09,276480,0.19892578125,0.01450347885111114,0.05360977790844466,0.002723583670530161,-0.0019303337052406278,147.5,1.537013253569603,27
234,15.968717908859253,254.25,343.75,352.5000000000002,1.080334186553955e-08,286720,0.2079833984375,0.01474330849305261,0.058909164031038276,0.002995533137300299,-0.0007884344235208118,125.0,1.6580951318144799,28
234,15.968717724084854,270.5,350.1,402.5000000000002,1.0430812835693359e-08,296960,0.190869140625,0.014773677528137342,0.05596525389753565,0.0028470438681551967,-0.001601636691702879,150.0,1.643860676884651,29
