frames,explained_variance,fps,episode_length,P09:episode_rewards,epoch_idx,policy_entropy,approx_kl_divergence,clip_fraction,PMM:episode_rewards,advantage_norm,grad_norm,policy_loss,P01:episode_rewards,value_loss
10240,-0.6220881443470716,193,295.21875,100.0,1,0.08941079807414039,1108526.3672187142,0.2329833984375,39.0625,15.968715733289718,255159260.97042722,0.048154105010553394,0.0,228714430.41871157
20480,-1.080334186553955e-08,200,290.4507042253521,25.0,2,8.945770461042408e-07,0.0,0.0,17.6056338028169,15.967776411771775,0.4357912760326251,3.712904117492144e-07,0.0,0.04502617608428928
30720,1.1548399925231934e-08,211,289.12,0.0,3,4.761156965571445e-06,3.979039320256561e-14,0.0,11.25,15.966329622268677,0.08078177157648961,-2.2795990162194357e-07,0.0,0.001142782452408424
40960,1.4528632164001465e-08,219,286.5,0.0,4,1.895509120117822e-05,3.126388037344441e-14,0.0,0.0,15.809581023454665,0.05732666512012359,4.978234983354923e-07,0.0,0.0006794702355495264
51200,-1.9744038581848144e-08,225,286.49,0.0,5,0.02288304814432838,0.11375619639749175,0.0177001953125,0.0,15.968439614772796,0.1257007289535324,0.0012054169999373698,0.0,0.002754569737278889
61440,-1.5273690223693846e-08,227,286.26,0.0,6,2.9026877797377894e-06,0.0,0.0,0.0,15.855000233650207,0.008925011852584538,-7.007648036960746e-07,0.0,2.5818583359008624e-05
71680,8.195638656616212e-09,229,286.54,0.0,7,2.992770265564104e-06,0.0,0.0,0.0,10.170059537142516,3.57191448518748e-06,1.8958745613417704e-07,0.0,1.6282441665014671e-12
81920,-2.1979212760925294e-08,232,286.22,0.0,8,0.028027563410273616,0.0014455272448604007,0.0195556640625,0.0,15.421986162662506,0.15044988064861545,0.0002239977580302366,0.0,0.010981851656812288
92160,-1.3462729826569557,233,288.37,25.0,9,0.5403554239633734,697096043.82484,0.3449951171875,6.5,15.968641173839568,285014402.17228997,0.01732508197724201,0.0,186701265.1496555
102400,1.3411045074462891e-08,236,288.23,50.0,10,0.6466064907028339,0.014049875963826963,0.235986328125,8.0,15.968360942602157,0.04284057722673471,0.0020434150069490896,0.0,0.0008737468511889279
112640,-1.0058283805847169e-08,235,286.89,50.0,11,1.26075234785676,0.007266665576628384,0.3893310546875,10.75,15.96649710536003,0.03947953799192624,-0.0008312155807288946,0.0,0.0009428732721601232
122880,-3.7252902984619143e-10,237,285.18,50.0,12,1.4297778010368347,0.008994012379753257,0.351171875,17.25,15.968690878152847,0.04015672312477777,4.1580951801734045e-05,0.0,0.0024481377470756626
133120,-4.470348358154297e-09,238,287.99,75.0,13,1.4059226997196674,0.0061335339817105705,0.3169677734375,34.75,15.96871359348297,0.03981307813884658,-0.0014705864155985181,0.0,0.0036377418017405462
143360,-1.1175870895385742e-08,238,292.73,100.0,14,1.489242397993803,0.006184708713090003,0.3074462890625,56.0,15.968695658445359,0.0438494737279045,-0.0007882669648097363,0.0,0.004424891775710815
153600,-1.1175870895385742e-09,239,298.18,127.50000000000021,15,1.545023547858,0.0033380805906972457,0.2201171875,70.5,15.968716722726821,0.04843323869813794,-0.0007125996198737994,0.0,0.005628697506330127
163840,5.215406417846679e-09,239,300.66,175.0,16,1.5318292818963528,0.004691338138172796,0.297705078125,74.5,15.968717014789581,0.04813964590637166,-0.0009206533613905776,0.0,0.0049842978957940435
174080,0.0,239,303.69,175.0,17,1.652695792168379,0.0046406601763635535,0.2726806640625,90.25,15.968691611289978,0.048062411937081884,-0.0010045429919046,0.0,0.006238459091657234
184320,-2.5331974029541015e-08,240,303.91,200.0,18,1.6314791031181812,0.005322704663740296,0.3139404296875,96.25,15.9686509847641,0.048770477787429156,-0.0011813204029749614,0.0,0.005482423661887026
194560,-2.570450305938721e-08,240,307.27,200.0,19,1.652861274033785,0.00582171115518122,0.2982177734375,102.25,15.968717318773269,0.04710004515603389,-0.0009773029218195007,0.0,0.006529462765593052
