explained_variance,rollout_prob_std,P09:episode_rewards,avg_q_selected,q_loss,epoch_idx,policy_gradient_loss,P01:episode_rewards,avg_q_retraced,policy_gradient_bias_correction,grad_norm,frames,episode_length,fps,advantage_norm,policy_entropy,policy_loss,PMM:episode_rewards,model_prob_std
-40.025269730885825,0.013089113465199868,0.0,0.003865068918094039,0.0004428920331217038,1,-0.00025405873372316516,0.0,0.00435502816302081,0.0,0.09082455795027862,7200,0,340,0.03801404355714719,2.1696669260660806,-0.00025405873372316516,0.0,0.01308911363594234
-240.49749437967935,0.008980107819661498,0.0,0.009947497952574243,0.00027533316948999225,2,-6.16144527157303e-05,0.0,0.01014793294792374,0.0,0.08204406277634171,14400,0,215,0.016615145451699693,2.1795827031135557,-6.16144527157303e-05,0.0,0.008980107551906258
-79.02521069844563,0.0020967251621186733,0.0,0.004363938374444843,1.7358654804411345e-05,3,-0.00010175068655371433,0.0,0.0042357784928753976,0.0,0.0027642158096798392,21600,0,260,0.009624206693843007,2.1969753185908,-0.00010175068655371433,0.0,0.0020967251698796948
-19.157012303670246,0.0033383252409597236,0.0,0.0036365031419942776,1.5826559221447192e-05,4,-8.572988375211328e-05,0.0,0.003469382389448583,0.0,0.002672572578434711,28800,0,280,0.021751600364223123,2.1967450936635333,-8.572988375211328e-05,0.0,0.003338325268123299
-22.020408217112223,0.0014645157032646238,0.0,0.00291451090015471,5.5028355025873075e-06,5,-6.257596505747643e-05,0.0,0.002885158631640176,0.0,0.0010737748799998132,36000,0,302,0.009812879166565836,2.197087303797404,-6.257596505747643e-05,0.0,0.0014645157013243686
-22.498846832911173,0.0020709713203056405,0.0,0.0024526032929619154,6.947747393345101e-06,6,-6.072202456077018e-05,0.0,0.002374254799603174,0.0,0.0014398710767987528,43200,3324.8333333333335,324,0.015601400611922145,2.197009865442912,-6.072202456077018e-05,0.0,0.0020709713203056405
-69.0614539305369,0.0009183979884255678,0.0,0.0022636497587276002,5.889111427374397e-06,7,-4.3038443800469393e-05,0.0,0.002282474197757741,0.0,0.0009431806816103921,50400,3324.8333333333335,342,0.007499133228945235,2.19716960589091,-4.3038443800469393e-05,0.0,0.0009183979961865892
-130.78888295491535,0.0008627882751170545,0.0,0.002982403353477518,7.092482860571181e-06,8,-7.039782861587204e-05,0.0,0.0028949921446231506,0.0,0.0008760927720056015,57600,3324.8333333333335,357,0.005011814359265069,2.19718755086263,-7.039782861587204e-05,0.0,0.0008627882984001189
-34.066647322972614,0.0014680935690800348,0.0,0.0021298350339444974,4.40661012438189e-06,9,-4.483930752030574e-05,0.0,0.0020823026541620495,0.0,0.000861240365720724,64800,3324.8333333333335,369,0.011139019827047984,2.197106051445007,-4.483930752030574e-05,0.0,0.0014680935671397795
-39.6920358022054,0.0011608925968175754,0.0,0.001727176286901037,3.135935577347482e-06,10,-4.1934199818645844e-05,0.0,0.0017513096720601121,0.0,0.0007617804360172772,72000,3324.8333333333335,380,0.00834148279003178,2.197141448656718,-4.1934199818645844e-05,0.0,0.0011608925968175754
-15.435514100392659,0.0017475932409676412,0.0,0.001954838396826138,4.540361084082179e-06,11,-3.770679297948239e-05,0.0,0.0020326007002343734,0.0,0.0009214915714276168,79200,3324.8333333333335,388,0.014279160908578585,2.197080643971761,-3.770679297948239e-05,0.0,0.0017475932196248322
-53.88373408317566,0.0005870293107970308,0.0,0.0009242907573934645,1.2524474224543761e-06,12,-2.802550716296537e-05,0.0,0.0009400076989550144,0.0,0.0003923816711827534,86400,3324.3333333333335,394,0.004562407491418222,2.1972014268239337,-2.802550716296537e-05,0.0,0.0005870293272892014
-82.75168288548788,0.0006142478601153319,0.0,0.0015180144750047476,3.7335431879152263e-06,13,-3.1135753336760295e-05,0.0,0.001540457047910119,0.0,0.0006187903996196191,93600,3324.3333333333335,400,0.004817820006671051,2.1971969683965047,-3.1135753336760295e-05,0.0,0.0006142478436231613
-76.99813130696614,0.0004833287656462441,0.0,0.0009761583603297671,2.1148787785326323e-06,14,-2.5126494468471112e-05,0.0,0.0009752030988844732,0.0,0.00030017051867853593,100800,3324.3333333333335,405,0.003412490477785468,2.1972105900446572,-2.5126494468471112e-05,0.0,0.00048332877243713784
-18.24296474456787,0.0015800870101278027,0.0,0.001617266814961719,3.334968384175833e-06,15,-3.434983705119521e-05,0.0,0.0016400363373880586,0.0,0.0008266210601713012,108000,3324.3333333333335,410,0.012866433704039082,2.1971164544423423,-3.434983705119521e-05,0.0,0.0015800869868447384
-57.128110027313234,0.0005569510011506888,0.0,0.0008034544851398095,1.1510109620379202e-06,16,-1.3551808918540094e-05,0.0,0.0007750798172007005,0.0,0.0003016933051608022,115200,3324.3333333333335,414,0.004376126713274668,2.1971983432769777,-1.3551808918540094e-05,0.0,0.0005569510040610719
-21.853588281295917,0.001944142979518224,0.0,0.0010942839583380933,1.965901808915008e-06,17,-2.8969973152275136e-05,0.0,0.0010820867792047527,-1.2480656212214095e-09,0.0005419955646391658,122400,3324.027777777778,413,0.010464091595364228,2.1971619706147565,-2.8971221221537888e-05,0.0,0.0011486986624183217
-41.605980239797525,0.0030918105132030894,0.0,0.0006459607844751899,1.82035853969902e-06,18,-1.3619179909134255e-05,0.0,0.0006244972737403785,2.8238403363711574e-08,0.0003709016642744678,129600,3324.027777777778,407,0.006428680383209472,2.1972004841055193,-1.359094153001563e-05,0.0,0.0006098952427584674
-31.174811854952228,0.003413419561231094,0.0,0.0005557201637924346,6.777141819182874e-07,19,-1.1979673274629357e-05,0.0,0.0005552439699489955,2.7239640396049424e-08,0.00027027107118226574,136800,3324.027777777778,401,0.005118770515241306,2.197212060279947,-1.1952433639950171e-05,0.0,0.0005140419439719091
-49.87204794893246,0.003068771667330076,0.0,0.0004587814960295405,4.155640854428318e-07,20,-9.691357220367587e-06,0.0,0.0004493250602120368,3.8282767369867135e-08,0.00018272667380627892,144000,3324.027777777778,394,0.004412835106695389,2.1972157315622445,-9.6530744616485e-06,0.0,0.0004284553933267655
-77.24419382900159,0.0027401010443413223,0.0,0.00040923838762782955,3.216398427827891e-07,21,-1.025474156537606e-05,0.0,0.0004009856975689116,3.161999903722046e-08,0.00015906888383551227,151200,3324.027777777778,389,0.004082719583912641,2.1972169567258266,-1.022312156367825e-05,0.0,0.00039338432136833867
-29.826407128987174,0.0024657207011077177,0.0,0.00037149985996606235,2.728471795866091e-07,22,-8.437038237606284e-06,0.0,0.0003731468504625212,1.830844884422702e-08,0.00015052615232412836,158400,3324.027777777778,385,0.004008381400321274,2.197218043542413,-8.418729792737995e-06,0.0,0.00037194042573059115
