approx_kl_divergence,clip_fraction,advantage_norm,explained_variance,value_loss,P01:episode_rewards,policy_loss,episode_length,epoch_idx,P09:episode_rewards,PMM:episode_rewards,grad_norm,fps,frames,policy_entropy
0.010952821859610768,0.271533203125,15.96871946454048,0.18879853188991547,1.0326043455861509,125.0,0.010384992831313866,362.88,1,465.00000000000034,258.0,42.090324106544884,219,10240,1.00963363237679
0.002987340745608515,0.178466796875,15.968719387054444,0.2570657517760992,0.17944175829179584,140.00000000000003,0.0004148158917814726,349.03508771929825,2,344.9999999999999,245.6140350877193,6.137702976169338,208,20480,1.448124699294567
0.002488118903727787,0.1572021484375,15.968719327449799,0.42865187861025333,0.16577176335267724,125.0,-0.0015038482706586365,346.32954545454544,3,357.49999999999994,249.4318181818182,5.7996586176885865,220,30720,1.6293500140309334
0.0019396115844305128,0.1116455078125,15.968719232082368,0.46327496841549876,0.13465048521757125,125.0,-0.003322919554193504,348.45,4,385.00000000000085,256.5,3.6940775108716464,226,40960,1.6995401360094546
0.0019166409909988434,0.11787109375,15.968719214200974,0.5035535659641027,0.142752244672738,125.0,-0.0041839542067464205,348.42,5,552.5000000000002,261.5,3.9650575453841825,227,51200,1.7284345172345639
0.0020225297293567156,0.1244384765625,15.968719279766082,0.6468265734612941,0.13140559778548777,122.5,-0.004095916744699934,357.44,6,577.5000000000002,263.75,3.9759926867417095,230,61440,1.7120572745800018
0.0020723228959926687,0.1278564453125,15.968719297647477,0.6885731246322393,0.1227787830401212,125.0,-0.004140942333469866,358.78,7,440.00000000000125,260.75,3.8142184460949493,231,71680,1.6902358897030354
0.002302942123015187,0.1505615234375,15.968719154596329,0.7818757180124521,0.12392950830981135,125.0,-0.0054252860572887585,369.72,8,575.0,286.75,4.335229676486451,233,81920,1.7195873826742172
0.001796899266264766,0.1016845703125,15.96871920824051,0.7828706603497266,0.1162667713360861,125.0,-0.004907865555287572,371.9,9,575.0,287.75,3.0527445445167816,234,92160,1.7486962378025055
0.0020330879188579848,0.127490234375,15.968719279766082,0.6601217694580555,0.1380437939427793,150.0,-0.005584941414417699,374.43,10,575.0,290.25,3.2219560871114097,235,102400,1.7530251048505305
