P01:episode_rewards,PMM:episode_rewards,explained_variance,frames,policy_entropy,episode_length,P09:episode_rewards,advantage_norm,epoch_idx,policy_loss,value_loss,fps,grad_norm
0.0,1.0256410256410255,-3.3532290065288546,8000,1.3232288441061975,167.7948717948718,3.0,1.9898819142580033,1,-0.017435903235345905,0.06506762131211871,740,1.9242009309960733
0.0,1.1686746987951808,-0.008004007339477539,16000,1.3563685631752014,174.44578313253012,3.799999999999997,1.1694983666948975,2,0.004059317374340026,0.012932828113257529,756,0.23935306860469197
0.0,1.4,-0.038103638887405394,24000,1.3596512365341187,182.56,5.0,1.0441963550448419,3,-0.0012084562882955653,0.010730215860894532,780,0.19097657483709335
0.0,1.38,0.007957690358161927,32000,1.3589572358131408,180.22,4.0,1.2017008209228515,4,0.000988250541704474,0.013617865664300552,797,0.20692500803494554
0.0,1.42,-0.0072511577606201175,40000,1.3768564116954805,183.02,4.0,1.3672484148293733,5,0.0011350023731938564,0.015861669362930115,803,0.23492608082402794
0.0,1.54,0.028097266554832457,48000,1.3832052266597747,188.12,4.0,1.123994094952941,6,-0.00013722177245654166,0.011572423252528097,809,0.19053756878305045
0.0,1.4,-0.01932492733001709,56000,1.3638133823871612,183.14,4.0,1.2973343200236558,7,0.0004811977618282981,0.015110352044393949,812,0.28593808208539756
0.0,1.49,0.24774904131889344,64000,1.3712857675552368,187.48,4.0,1.3006762963533403,8,0.0009527929261093959,0.014253017072333023,816,0.3201730084356856
0.0,1.51,0.30168774783611296,72000,1.3813953948020936,190.33,4.1000000000000085,1.3123108328878879,9,0.0031227713183034213,0.01837604707441642,817,0.46366135706173145
0.0,1.62,0.4841483587026596,80000,1.375907940864563,194.78,4.0,1.3548237730562687,10,-0.0013178489753045142,0.014504017262952402,819,0.3553203536692244
0.0,1.5,0.6278939896821976,88000,1.3637670946121216,186.27,3.1000000000000085,1.1471453262865543,11,-0.0037806513588293455,0.010504649820213673,819,0.3305564933453009
0.0,1.47,0.5939912438392639,96000,1.3532055556774139,183.42,3.1000000000000085,1.369240605533123,12,-0.0033117297547869385,0.013715971504570917,816,0.378092611879755
0.0,1.61,0.7793921315670014,104000,1.3658842039108277,189.67,4.0,1.2645324796438218,13,-0.004907194402539972,0.012511378271738068,817,0.3310350770335092
0.0,1.68,0.8060561293363571,112000,1.328575940132141,193.47,5.0,1.3918071153759957,14,-0.006090875306545058,0.013990984177216887,819,0.4151989058840256
0.0,1.7,0.8147530454397202,120000,1.30618847489357,196.96,5.0,1.1014896458387375,15,-0.0027165423246333377,0.008833269834285602,817,0.3103714358199751
0.0,2.07,0.8816932994127273,128000,1.353228121995926,209.33,5.0,1.1628139996528626,16,-0.0007562438433524222,0.010189286172389985,817,0.32155380849462767
0.0,2.22,0.9223953396081924,136000,1.3374756741523743,210.35,5.1000000000000085,0.9900481116771698,17,-0.00476778089592699,0.00736682511458639,819,0.3235098792504539
0.0,2.46,0.9054745548963546,144000,1.3295572352409364,219.12,8.100000000000009,0.9402218586206437,18,-0.000817165101179853,0.007117640344658866,821,0.2556172470361615
0.0,2.56,0.9397989439964295,152000,1.351393953561783,223.52,9.0,0.8557206016778945,19,0.0001751246367348358,0.0057857416139449926,822,0.21498986231672196
0.0,2.26,0.8896585601568222,160000,1.3481563639640808,208.62,9.0,0.9812583026289939,20,-0.003785203512161388,0.008568564212182536,824,0.2935716282324285
0.0,2.13,0.9536821341514587,168000,1.3198318159580231,204.36,6.300000000000026,0.8347207954525948,21,-0.0007773289426768315,0.005228105652786325,824,0.22682042386661116
0.0,2.34,0.9480722469091415,176000,1.3638039672374724,214.42,6.0,0.885851608812809,22,-0.00011967529368121176,0.005983492505620234,826,0.22467096326765135
0.0,2.13,0.9390960144996643,184000,1.3662733507156373,211.76,5.0,0.8129123160243035,23,0.0005467918240174186,0.0053908324829535555,826,0.20079350415851793
0.0,2.04,0.9276892185211182,192000,1.3517800796031951,207.55,5.0,0.9636410954594612,24,-0.0006344147293566493,0.0073773871670709925,826,0.25624316266388136
0.0,2.26,0.9564833074808121,200000,1.3438503432273865,213.38,6.1000000000000085,0.8005131247639656,25,-0.001432801043265499,0.004972136854194105,827,0.20768689082566713
0.0,2.26,0.9676293414831162,208000,1.344862413406372,210.34,7.1000000000000085,0.658485639244318,26,-4.7261489671655e-05,0.003535852241329849,828,0.16434924035450937
0.0,2.12,0.9605334782600403,216000,1.355170991420746,206.17,6.0,0.7238721351325512,27,0.0005993054149439559,0.004440244359720964,828,0.18555969041082926
0.0,2.27,0.9540836864709854,224000,1.3481236469745637,211.27,6.1000000000000085,0.8029941835999489,28,-0.003918844770014402,0.005416064913733862,829,0.21375509120813838
0.0,2.29,0.9574701249599457,232000,1.32982839345932,213.73,6.0,0.6602138774096966,29,-0.0019531753573392052,0.003918524975306354,830,0.16393066204028447
0.0,2.24,0.9768061000108719,240000,1.3367769253253936,211.07,6.1000000000000085,0.5204070384800434,30,-0.0006022473839402665,0.0025047607558371966,831,0.1418939146653941
0.0,1.99,0.9335904508829117,248000,1.349752185344696,200.85,5.1000000000000085,0.8235731755197048,31,-0.0014649953459229437,0.0058499255153583365,831,0.2101585426456873
0.0,1.93,0.9605101197957993,256000,1.358395028114319,203.11,5.0,0.7610552063584328,32,-0.0001180552810546942,0.004513637139461934,832,0.16434435077945014
0.0,2.17,0.9373325425386428,264000,1.3544817399978637,212.3,5.1000000000000085,0.8204705895483494,33,-0.0011251116159837692,0.005750169110688148,832,0.1926699974152365
