P09:episode_rewards,episode_length,fps,policy_entropy,policy_gradient_loss,P01:episode_rewards,frames,q_loss,rollout_prob_std,grad_norm,policy_gradient_bias_correction,avg_q_retraced,model_prob_std,avg_q_selected,advantage_norm,explained_variance,policy_loss,PMM:episode_rewards,epoch_idx
0.0,0,328,2.1729130029678343,-8.636833821640267e-06,0.0,7200,0.0006313863981631584,0.012844851535434524,0.07956668699330827,0.0,-0.00031261241989947547,0.012844851869158447,-0.00018977705506889226,0.029362555220723154,-113.35089645385742,-8.636833821640267e-06,0.0,1
0.0,0,184,2.194854752222697,8.831240954047341e-06,0.0,14400,0.0001507564111307147,0.005390457358832161,0.022675590332063053,0.0,-0.002129447410212985,0.00539045730450501,-0.002277231057814788,0.015930232095221677,-94.22089049021403,8.831240954047341e-06,0.0,2
0.0,0,219,2.196815085411072,4.714579696762182e-05,0.0,21600,2.210414462145612e-05,0.0027909802234110733,0.003240925587813956,0.0,-0.002528767307133724,0.002790980180725455,-0.002485040280347069,0.014923966924349467,-44.88077379862467,4.714579696762182e-05,0.0,3
0.0,0,248,2.1965048631032307,7.070479521947467e-05,0.0,28800,2.5156691905673748e-05,0.004080446083874752,0.0030933916136604398,0.0,-0.002682905871188268,0.004080445986861984,-0.0027929486920281,0.0268730149914821,-38.10580348968506,7.070479521947467e-05,0.0,4
0.0,0,274,2.197007163365682,3.311495239965249e-05,0.0,36000,1.3838426275469828e-05,0.001923898671520874,0.0013721905195444657,0.0,-0.0015555358569448194,0.0019238986909234275,-0.0016502281127031893,0.013064950332045555,-98.24766874313354,3.311495239965249e-05,0.0,5
0.0,3324.5,295,2.196906503041585,4.889083170193468e-05,0.0,43200,1.27915095466354e-05,0.0025240909347000223,0.0016341226008587382,0.0,-0.0015730677832228443,0.0025240909152974686,-0.0014815270968635255,0.018683550662050644,-43.00313078562419,4.889083170193468e-05,0.0,6
0.0,3324.5,314,2.197105081876119,1.9417002901415494e-05,0.0,50400,9.538664403407893e-06,0.001329361938405782,0.0013373763221350493,0.0,-0.0008687527539829413,0.001329361950047314,-0.0009170922397364242,0.007923294448604186,-79.1693738937378,1.9417002901415494e-05,0.0,7
0.0,3324.5,330,2.1971369902292888,2.1319273810149752e-05,0.0,57600,6.849790293017577e-06,0.001394429678718249,0.0014705922793133814,0.0,-0.0008273264325301473,0.0013944297175233562,-0.0008676196991776427,0.008702291501685977,-43.007551511128746,2.1319273810149752e-05,0.0,8
0.0,3324.5,344,2.1970665216445924,2.3017327506143678e-05,0.0,64800,6.283079437707784e-06,0.00172406872928453,0.000926146763462071,0.0,-0.0011663505749311299,0.0017240687215235085,-0.0011859477400624505,0.012359635919953387,-37.27911192576091,2.3017327506143678e-05,0.0,9
0.0,3324.5,355,2.1971336682637532,2.2421044115124762e-05,0.0,72000,4.70781465840749e-06,0.001205326560496663,0.0007457665296688124,0.0,-0.0007870461248482267,0.0012053265440044925,-0.0008395852773295094,0.008266112902977815,-263.4350172360738,2.2421044115124762e-05,0.0,10
0.0,3324.5,365,2.197080612182617,1.7657480970001416e-05,0.0,79200,4.597814722728799e-06,0.00175140486486877,0.0008745927990154418,0.0,-0.000980957552868252,0.0017514048532272378,-0.0009768312683869833,0.013455388380680233,-73.59317779541016,1.7657480970001416e-05,0.0,11
