approx_kl_divergence,PMM:episode_rewards,explained_variance,grad_norm,P01:episode_rewards,fps,epoch_idx,frames,policy_loss,episode_length,value_loss,P09:episode_rewards,policy_entropy,advantage_norm,clip_fraction
0.019712638913462328,15.625,-0.003641827404499054,42.61333249387416,0.0,220,1,10240,0.01608424626792839,290.125,1.1431546887848527,50.0,1.4036089200526476,15.968719333410263,0.408837890625
0.002862785694469943,31.428571428571427,0.15474248826503753,2.359252111951526,0.0,212,2,20480,-0.0014418326420127415,293.7857142857143,0.038020672157290394,100.0,1.6185559764504434,15.968718177080154,0.1902587890625
0.0019789731086805444,52.5,0.12077435292303562,1.763522835109765,0.0,220,3,30720,-0.003529065376642393,300.4,0.06410325344186277,125.0,1.7583434149622916,15.968718963861466,0.1249755859375
0.002077418916417363,95.0,0.18673132732510567,2.1566814190557055,0.0,225,4,40960,-0.004561961059516761,313.76,0.10245491191744804,227.5000000000002,1.7732635475695133,15.96871930360794,0.1330078125
0.0016481927675729522,156.75,0.40379674546420574,2.728151583595067,25.0,227,5,51200,-0.005029800885677105,332.62,0.1260195193812251,327.5000000000002,1.757568596303463,15.968719387054444,0.089794921875
0.0019328404568571774,210.0,0.4843140922486782,2.9314732685350378,50.0,230,6,61440,-0.005905276778503321,349.98,0.1383855193387717,375.0,1.7125250011682511,15.968719309568405,0.117041015625
0.0019237711096596443,252.25,0.5482213441282511,3.1490511043552045,75.0,233,7,71680,-0.0055663828978140375,357.05,0.14460022221319377,475.0,1.7224001571536065,15.968719244003296,0.1170654296875
0.0019476427988368498,279.75,0.6957542076706886,2.9373859618553664,125.0,234,8,81920,-0.005534992229513591,366.84,0.13033850505016745,550.0,1.7277019597589969,15.968719244003296,0.122412109375
0.002274487539625939,303.75,0.7779098063707351,2.5504891654334476,125.0,235,9,92160,-0.006364833573752548,368.4,0.12271241093985737,575.0,1.7160331815481187,15.968719309568405,0.143896484375
0.002121623978564742,332.75,0.702489522844553,2.7015058501384113,175.0,236,10,102400,-0.006071852107379527,380.37,0.13115280910860747,627.5000000000002,1.7098893627524376,15.968719178438187,0.1347412109375
