epoch_idx,episode_length,policy_entropy,PMM:episode_rewards,approx_kl_divergence,frames,P01:episode_rewards,clip_fraction,advantage_norm,fps,grad_norm,policy_loss,value_loss,P09:episode_rewards,explained_variance
1,298.34375,1.4433013632893563,74.21875,0.2729606917205277,10240,0.0,0.350537109375,15.968718039989472,187,200.16834032510656,0.016436607856303454,24.85598366371414,172.50000000000006,-0.06840399727225303
2,308.125,1.7050596982240678,101.953125,0.0021156862832754086,20480,0.0,0.1359375,15.968717980384827,180,0.3252377298157828,-0.0006460243053879822,0.016705751804693136,250.0,-3.3155083656311036e-08
3,311.0103092783505,1.7464932262897492,117.01030927835052,0.001737766825058884,30720,0.0,0.116357421875,15.968718200922012,186,0.2008501537177369,-0.0019565393653465436,0.02147427967574913,260.0000000000001,-1.2665987014770507e-08
4,329.86,1.7571832455694676,165.25,0.0007456428139263948,40960,25.0,0.04033203125,15.96871845126152,187,0.1254248190329031,-0.001441641745986999,0.026021226204466074,300.0,-6.332993507385254e-09
5,343.12,1.7754768565297128,196.5,0.0005780510511442571,51200,50.0,0.016845703125,15.968718123435973,189,0.11159761982970413,-0.0014301377595984377,0.020354301440238486,305.00000000000045,8.568167686462402e-09
6,341.35,1.7739823944866657,179.0,0.00019886274484370858,61440,47.50000000000001,0.0,15.968717753887177,191,0.06706978539660352,-0.0006511829888040666,0.014815337397158146,300.0,0.0
7,332.98,1.783455167710781,155.75,0.00019977783922584536,71680,25.0,0.0,15.968718039989472,192,0.07091044590926862,-0.0006521417639305582,0.019941543581080624,275.0,-4.470348358154297e-09
8,324.48,1.787024474143982,137.25,0.00017248458639187447,81920,25.0,0.0,15.96871787905693,192,0.06695075194518173,-0.0007082184001774294,0.016218373086303473,252.50000000000023,-4.097819328308106e-09
9,323.01,1.7833199076354505,142.5,0.00015108331450548463,92160,25.0,0.0,15.968717950582505,192,0.06646209532140211,-0.000629906384710921,0.016720982486731373,275.0,1.1175870895385742e-08
10,324.34,1.7760575883090497,158.0,0.000191601559997423,102400,25.0,0.0,15.968718349933624,192,0.07646209939536094,-0.0007787105012539541,0.023504826104908717,302.5000000000002,-5.960464477539063e-09
11,330.09,1.7739504754543305,170.5,0.00010451623249778663,112640,25.0,0.0,15.968718320131302,193,0.06232999229053755,-0.0003286630002548918,0.025119543133769184,327.5000000000002,-1.2293457984924316e-08
12,338.08,1.7802569970488549,194.0,0.00018920977283620743,122880,50.0,0.0,15.968718177080154,193,0.06864306173439313,-0.0007178880232459051,0.019775131400092506,352.5000000000002,-1.7881393432617187e-08
13,341.84,1.7871668972074986,196.25,9.885012334045484e-05,133120,50.0,0.0,15.96871811747551,193,0.05990377416217674,-0.00031462659680983054,0.02361591249355115,377.5000000000002,2.3469328880310058e-08
