P01:episode_rewards,avg_q_selected,grad_norm,model_prob_std,policy_gradient_bias_correction,epoch_idx,q_loss,episode_length,explained_variance,policy_gradient_loss,rollout_prob_std,policy_loss,avg_q_retraced,fps,PMM:episode_rewards,policy_entropy,advantage_norm,frames,P09:episode_rewards
0.0,0.0038347503636032344,0.08985940021542871,0.013474889487649003,0.0,1,0.0006621110816316407,0,-65.70560032526652,-0.00018430151374862664,0.013474889347950618,-0.00018430151374862664,0.0037957016068200272,322,0.0,2.165304640928904,0.03422745546946923,7200,0.0
0.0,-0.04330062409474825,0.47164850950627574,0.0598652189442267,0.0,2,0.001900145840318146,0,-260.27811776399614,0.0002092413631449593,0.05986522018599014,0.0002092413631449593,-0.0420968690856777,193,0.0,1.8594874111935495,0.02854864066466689,14400,0.0
0.0,-0.00016274810034625867,0.005445927092900173,0.0031967644424488145,0.0,3,3.138610572932521e-05,0,-259.71532847086587,-1.5917131700386258e-06,0.0031967644463293254,-1.5917131700386258e-06,-0.0002631966005234669,228,0.0,2.196634602546692,0.008119320729747415,21600,0.0
0.0,-0.0009379968079883839,0.004181929006257805,0.0037476496460537114,0.0,4,2.7686301109497435e-05,0,-167.12313003540038,2.1983822277131062e-05,0.0037476496150096257,2.1983822277131062e-05,-0.0008153692547542353,258,0.0,2.196627457936605,0.018188148147116105,28800,0.0
0.0,-0.00020721339181667037,0.0019985767217320497,0.001802117583186676,0.0,5,1.0941823832884741e-05,0,-401.3467006365458,1.4113144667741533e-06,0.0018021175696048886,1.4113144667741533e-06,-0.00029754358365607914,281,0.0,2.197038427988688,0.008239747343274454,36000,0.0
0.0,-0.00041834555492338646,0.0020919871965557934,0.0023943409343094874,0.0,6,9.194649510391174e-06,3324.5833333333335,-50.90918305714925,1.0643044659749041e-05,0.0023943409925171483,1.0643044659749041e-05,-0.0004307761480352686,302,0.0,2.196958287556966,0.014149890498568614,43200,0.0
0.0,-0.0002059221799148266,0.0021611398882628525,0.0014801003194103639,0.0,7,4.923488601586238e-06,3324.5833333333335,-71.8898983001709,7.3205050796332214e-06,0.0014801003135895977,7.3205050796332214e-06,-0.0001660682031797478,320,0.0,2.1970314979553223,0.006634773771899442,50400,0.0
0.0,1.0962954979731876e-05,0.0016711548870186718,0.0011649407000125696,0.0,8,3.5822877369658577e-06,3324.5833333333335,-85.65555241902669,-1.029640539703299e-06,0.0011649407194151233,-1.029640539703299e-06,-2.9967731279612053e-05,335,0.0,2.1971469640731813,0.003522408070663611,57600,0.0
0.0,-0.00036868468371646185,0.000967846135045179,0.0015746825743311395,0.0,9,3.7924326382684132e-06,3324.5833333333335,-27.739116954803468,6.7044259367321505e-06,0.0015746825646298626,6.7044259367321505e-06,-0.0003721491752154786,347,0.0,2.1970948298772175,0.009805575742696722,64800,0.0
0.0,-9.089631166716571e-05,0.0008194268498298992,0.0011911790982897703,0.0,10,2.4909848832521675e-06,3324.5833333333335,-83.31200942993163,3.3973662823427732e-06,0.0011911790992598982,3.3973662823427732e-06,-7.929203165986109e-05,359,0.0,2.19713876247406,0.00676538123904417,72000,0.0
