frames,explained_variance,avg_q_retraced,rollout_prob_std,epoch_idx,P09:episode_rewards,fps,grad_norm,model_prob_std,episode_length,policy_entropy,q_loss,policy_gradient_loss,policy_loss,avg_q_selected,PMM:episode_rewards,P01:episode_rewards,policy_gradient_bias_correction,advantage_norm
7200,-65.62583729426066,0.008290969564889868,0.008947352793378134,1,0.0,323,0.04169891868674373,0.008947353274561465,0,2.1887155850728353,0.000434299466238978,-6.939350436520423e-05,-6.939350436520423e-05,0.008595299681959052,0.0,0.0,0.0,0.02990500864883264
14400,-78.57097307840984,0.006530187837779522,0.004883224000999083,2,0.0,179,0.025329378160728628,0.004883223884583761,0,2.1951574166615804,7.816964055867478e-05,-0.0001296794221464855,-0.0001296794221464855,0.006807743695875009,0.0,0.0,0.0,0.020308312339087326
21600,-33.588443636894226,0.0027098207036033274,0.0025879668809163075,3,0.0,214,0.0037218609663000474,0.0025879669546460113,0,2.196769881248474,2.997448685467437e-05,-7.317020402600368e-05,-7.317020402600368e-05,0.0027367158016810816,0.0,0.0,0.0,0.023418049762646356
28800,-58.38861401875814,0.0031995981582440434,0.0037396066395255427,4,0.0,247,0.00297148420057016,0.003739606666689118,0,2.1965927839279176,1.70977762536495e-05,-7.693402118699547e-05,-7.693402118699547e-05,0.0030277713155858993,0.0,0.0,0.0,0.026232745956319074
36000,-168.97478948434193,0.0011674732891454672,0.0015514604116712387,5,0.0,273,0.0013722759817146287,0.0015514604019699618,0,2.1970467964808145,9.392611354996916e-06,-1.3660250359256072e-05,-1.3660250359256072e-05,0.0012327504649268424,0.0,0.0,0.0,0.01283092595792065
43200,-88.85921179453531,0.0013029320157405286,0.002080429573349344,6,0.0,295,0.00141035851341095,0.002080429614094707,3324.8333333333335,2.1969651142756144,7.725472467730773e-06,-5.5769575478355664e-05,-5.5769575478355664e-05,0.0013189151308324655,0.0,0.0,0.0,0.015641221000502508
50400,-123.07558844089507,0.0001672994701200044,0.0005299965346542497,7,0.0,315,0.0005297048653685251,0.0005299965715191017,3324.8333333333335,2.197197604179382,2.8764579838025384e-06,-1.850204966065879e-06,-1.850204966065879e-06,0.00017971329772687266,0.0,0.0,0.0,0.005094934223840634
57600,-69.57594363292058,0.000433125308381932,0.000738309879670851,8,0.0,330,0.0012517851421750598,0.0007383098893721277,3324.8333333333335,2.197157557805379,3.176373797941778e-06,5.8718416684181795e-06,5.8718416684181795e-06,0.00040098018380376745,0.0,0.0,0.0,0.009147353780766329
64800,-32.632239739100136,0.0006350283670447728,0.0011793098266934976,9,0.0,344,0.0006812645716908317,0.0011793098034104331,3324.8333333333335,2.197133469581604,2.4342646886073755e-06,-7.795445113364015e-06,-7.795445113364015e-06,0.0006111436105584289,0.0,0.0,0.0,0.00910140925164645
72000,-1106.7560259580612,0.00033188039136196795,0.0008403191476342424,10,0.0,354,0.0005090983863949128,0.0008403191279891568,3324.8333333333335,2.197170289357503,1.7060899314932007e-06,-1.1533361122436267e-05,-1.1533361122436267e-05,0.000295374346508955,0.0,0.0,0.0,0.00614392652156918
79200,-277.8372670809428,0.0007840303500415757,0.0013615179103605138,11,0.0,364,0.0007735657713927481,0.001361517937524089,3324.8333333333335,2.1971320311228433,2.8885516409597282e-06,-8.40170189538488e-06,-8.40170189538488e-06,0.0007835720945877256,0.0,0.0,0.0,0.012326323466065029
86400,-267.2361070473989,-9.986762840223189e-06,0.00025884466279724926,12,0.0,372,0.00015004482222536386,0.00025884465188331284,3324.5,2.1972143093744916,4.2515460544715705e-07,-1.7885294708008813e-05,-1.7885294708008813e-05,-1.0284273230354302e-05,0.0,0.0,0.0,0.0020181678293738512
93600,-97.75911764303844,0.00022824739317002242,0.0002475740334678752,13,0.0,380,0.000235384267661658,0.0002475740303149602,3324.5,2.1972142934799193,7.195403715816914e-07,-3.234192831769178e-06,-3.234192831769178e-06,0.00023617050416457157,0.0,0.0,0.0,0.00317470477699923
100800,-87.33476408322652,4.679146392542558e-05,0.0002834905465230501,14,0.0,387,0.0006067562313861921,0.00028349055270761406,3324.5,2.1972013314565024,2.2925102102296552e-06,-4.087046447409648e-06,-4.087046447409648e-06,6.382401309868631e-05,0.0,0.0,0.0,0.005250583418334524
108000,-255.8253166993459,0.00043301400631510963,0.0010972277975573282,15,0.0,394,0.0005070847053054262,0.0010972278020441688,3324.5,2.197170639038086,1.568244994961295e-06,-9.32960564495507e-06,-9.32960564495507e-06,0.00045846626114022607,0.0,0.0,0.0,0.009123184629182409
115200,-3096.5420738538105,2.1345922626399745e-05,0.0003774473760131514,16,0.0,400,0.00023683096311873008,0.0003774473760131514,3324.5,2.1972082297007245,6.355400694009934e-07,1.240427316891631e-06,1.240427316891631e-06,3.443624324669751e-05,0.0,0.0,0.0,0.0033670688745284375
122400,-50.82281578495388,0.0002730793189550966,0.0014574101701862038,17,0.0,402,0.0004449148922697923,0.0009068603033873452,3324.3055555555557,2.1971837811053745,1.2132497710622951e-06,-1.4453887970154888e-05,-1.4453887970154888e-05,0.0002630566272374482,0.0,0.0,0.0,0.008234844356192051
129600,-60.65992540827188,-3.018514205690954e-06,0.0023604481829133683,18,0.0,398,0.00027693384492053055,0.00041507781482501526,3324.3055555555557,2.1972143545226444,5.244590500153904e-07,6.835743639143896e-07,6.835743639143896e-07,-3.435389172281966e-06,0.0,0.0,0.0,0.005138917092838918
136800,-46.041588138436516,-1.3866400161647109e-05,0.0021456139692044313,19,0.0,395,0.00019734787981502013,0.0003439249295959637,3324.3055555555557,2.1972169176138268,3.2690335711848503e-07,3.6987344436082916e-06,3.6987344436082916e-06,-1.8020298801218963e-05,0.0,0.0,0.0,0.003991641984601628
144000,-117.011565006492,-2.3600534814514507e-05,0.0021749165088419463,20,0.0,393,0.00016324901849398257,0.000339651449066926,3324.3055555555557,2.197218522533538,2.1453181248688217e-07,1.955269847207012e-06,1.955269847207012e-06,-3.299870964264344e-05,0.0,0.0,0.0,0.003732788706186381
151200,-861.8215594793445,-3.208425339532065e-05,0.0024845089972588765,21,0.0,389,0.00014695807888098238,0.00028679703192711377,3324.3055555555557,2.1972202586258986,1.810556548279393e-07,2.5995890973664966e-06,2.5995890973664966e-06,-3.3739356728022335e-05,0.0,0.0,0.0,0.0032630870726492725
158400,-426.11045531339744,-2.964893349810585e-05,0.0025882020418311227,22,0.0,387,9.592401444095131e-05,0.00027911785376947407,3324.3055555555557,2.1972205956146196,1.556494254359515e-07,3.886158510689148e-07,3.886158510689148e-07,-2.8315554800180676e-05,0.0,0.0,0.0,0.0025945988341600627
165600,-703.494168338435,-4.219605537613576e-05,0.0019839370651032963,23,0.0,385,7.853233255355101e-05,0.0002025513875973379,3324.2708333333335,2.197222384233323,8.813147969098765e-08,1.9877764609537125e-06,1.9877764609537125e-06,-3.938888794548818e-05,0.0,0.0,0.0,0.0021122091639446286
