fps,policy_loss,P09:episode_rewards,episode_length,PMM:episode_rewards,advantage_norm,clip_fraction,epoch_idx,P01:episode_rewards,grad_norm,explained_variance,policy_entropy,approx_kl_divergence,frames,value_loss
172,0.03867590633300324,22.500000000000053,276.9375,4.6875,15.968596619367599,0.2873291015625,1,0.0,1206321256.4217958,-2.291491624712944,0.18456900630502596,7976550.224948257,10240,1457015479.7504258
174,0.0033294327775365675,50.0,279.7916666666667,13.194444444444445,15.968666446208953,0.3931396484375,2,0.0,0.060247144597710835,-2.6077032089233397e-09,1.0406596081331372,0.023187092470925562,20480,0.0024203124269000396
189,-0.00020159918276476673,75.0,283.02,23.0,15.968710774183274,0.2859619140625,3,0.0,0.03662860046527729,-3.3527612686157227e-09,1.3303759388625622,0.007697564858995065,30720,0.002922477440512239
196,-0.00069085595823708,75.0,287.03,34.0,15.968638396263122,0.25693359375,4,0.0,0.03346218257913245,-3.725290298461914e-09,1.3728793114423752,0.005799381976487439,40960,0.002813783239398049
201,-0.0005315623944625259,100.0,291.36,42.75,15.968716192245484,0.3210205078125,5,0.0,0.0443540427869842,-5.215406417846679e-09,1.5725394308567047,0.005077797032390663,51200,0.00421433170582759
205,-0.0011954523222811985,100.0,293.54,46.0,15.968680375814438,0.3348876953125,6,0.0,0.041441418708560995,-2.9802322387695314e-09,1.6092498622834683,0.005686903193577564,61440,0.002618348807076032
206,-0.001313829572609393,100.0,297.92,46.75,15.968713414669036,0.2955810546875,7,0.0,0.043790831292458345,5.960464477539063e-09,1.6333944633603097,0.00541686158230732,71680,0.0031319982895524844
209,-0.0009226332047546748,75.0,297.64,38.5,15.968635433912278,0.32783203125,8,0.0,0.04798845936998573,-7.450580596923828e-09,1.614202506840229,0.005370428639525926,81920,0.0027227653528160366
211,-0.0012000259761407507,77.50000000000021,296.76,42.25,15.96852291226387,0.305322265625,9,0.0,0.045743719475341976,-1.5273690223693846e-08,1.6744542755186558,0.004895911442599754,92160,0.002723129626525356
212,-0.000626149960589828,175.0,301.49,66.0,15.968716907501221,0.275537109375,10,0.0,0.053948952626750056,1.1548399925231934e-08,1.6998678721487521,0.004199015896779202,102400,0.006451796511782959
213,-0.0021135900729859713,202.50000000000023,312.91,88.75,15.968716752529144,0.336279296875,11,0.0,0.054751452770510745,-1.0058283805847169e-08,1.616371861100197,0.00423780016276396,112640,0.008499909402314643
214,-0.0018085613010043744,227.5000000000002,326.36,116.75,15.968717533349992,0.3306884765625,12,25.0,0.05198119699182794,2.9802322387695314e-09,1.6966555923223496,0.004881412844474653,122880,0.006914243534959041
214,-0.001072687646956183,250.0,332.74,137.25,15.968717521429062,0.2687255859375,13,25.0,0.053102455794096406,2.6077032089233397e-09,1.7181427225470542,0.003988462229574452,133120,0.00829805077482888
217,-0.0010146401084057289,300.0,336.4,149.75,15.968717551231384,0.22392578125,14,25.0,0.05679205922711218,-2.2351741790771484e-09,1.7465098708868028,0.00337297342293823,143360,0.010665303170389962
218,-0.0010355232592701214,350.0,340.08,172.75,15.968717688322068,0.1943115234375,15,25.0,0.05495868637342505,5.215406417846679e-09,1.7620241902768612,0.003005917788266288,153600,0.010491802550859575
