q_loss,policy_gradient_bias_correction,policy_gradient_loss,PMM:episode_rewards,episode_length,model_prob_std,policy_entropy,frames,grad_norm,explained_variance,avg_q_retraced,policy_loss,rollout_prob_std,advantage_norm,fps,epoch_idx,P09:episode_rewards,avg_q_selected,P01:episode_rewards
0.0021074017889380534,-2.0277691562912517e-12,-0.00034061104423320406,0.0,0,0.06345314433177313,2.036960240205129,7200,0.08593760591321113,-32.12025680541992,0.007345441538685312,-0.0003406110461734594,0.06345314520100752,0.09153037071228028,519,1,0.0,0.007824276050087065,0.0
0.0013403909027412434,-1.0143326919139402e-11,-3.450889022739527e-05,0.0,0,0.045934825328489144,2.073136814435323,14400,0.07474091999481502,-147.77914953231812,0.009658022073563189,-3.450889798841672e-05,0.04593482439716657,0.04670299535306791,653,2,0.0,0.009383779554627835,0.0
1.875271647501601e-05,0.0,3.2099026733097465e-05,0.0,0,0.011009490210562944,2.191929046312968,21600,0.0031508756448084237,-25.343941068649293,-0.0023671610397286713,3.2099026733097465e-05,0.011009489931166173,0.01859140827630957,738,3,0.0,-0.0023538529484843215,0.0
4.938298124367672e-05,0.0,0.0001375167462507913,0.0,0,0.013235816825181245,2.1898844480514525,28800,0.005417657756648947,-13.700430409113567,-0.005228477863177735,0.0001375167462507913,0.01323581679413716,0.048340153569976486,688,4,0.0,-0.005391581790657559,0.0
1.4579257793911893e-05,0.0,1.3469424023545192e-07,0.0,0,0.00865707575964431,2.194002628326416,36000,0.0021428470652498414,-9.359041110674541,-0.0011415057039509218,1.3469424023545192e-07,0.008657075650990009,0.021563937903071442,729,5,0.0,-0.001161567225547818,0.0
2.7639759249116954e-05,0.0,7.121924642585024e-05,0.0,3324.75,0.010404567327350378,2.1925387461980184,43200,0.0035926146521239755,-12.1134846051534,-0.0025258081514039077,7.121924642585024e-05,0.010404567249740164,0.036687006180485086,706,6,0.0,-0.0027136914810398593,0.0
4.713707987017793e-06,0.0,-1.1854836698906486e-05,0.0,3324.75,0.00799136790446937,2.1945873339970907,50400,0.0014598517013431267,-15.983090623219807,0.0010297742575251809,-1.1854836698906486e-05,0.0079913679510355,0.01266035633161664,681,7,0.0,0.001048104952982006,0.0
2.76899197236465e-06,0.0,-1.3538802780506861e-05,0.0,3324.75,0.00888334894552827,2.1940330982208254,57600,0.0011180109264086542,-14.472411314646402,0.0007417832811673482,-1.3538802780506861e-05,0.008883348992094397,0.00959008843638003,661,8,0.0,0.0007357592519838362,0.0
1.7266069395797482e-05,0.0,5.0699002107042665e-06,0.0,3324.75,0.009485504341622193,2.193452723821004,64800,0.00236267988043701,-9.224147494633993,-0.0009493426031743486,5.0699002107042665e-06,0.00948550432610015,0.027702763909474015,643,9,0.0,-0.0009558581106830389,0.0
1.1374769131104283e-05,0.0,1.739534724644424e-05,0.0,3324.75,0.007239598858480652,2.194862953821818,72000,0.0016272799184205817,-17.620456345876057,1.1738110333681107e-05,1.739534724644424e-05,0.0072395987963924805,0.018879030481912196,580,10,0.0,-5.066919839009642e-05,0.0
2.3090885422523875e-05,0.0,1.9993771335672742e-05,0.0,3324.75,0.008807581601043541,2.1939553658167523,79200,0.002861350977213029,-9.354181281725566,-0.0015117817602003925,1.9993771335672742e-05,0.008807581632087629,0.035959927225485445,540,11,0.0,-0.0015206433833858076,0.0
2.7617111385325187e-06,0.0,-8.953257832899908e-06,0.0,3324.0416666666665,0.005475878668949008,2.195967133839925,86400,0.0007343321841385995,-15.164242426554361,0.0009560242857939253,-8.953257832899908e-06,0.005475878746559222,0.008262953519200285,531,12,0.0,0.0009142770659915793,0.0
1.5639663814681626e-06,0.0,-1.874063378295432e-05,0.0,3324.0416666666665,0.006029227050021291,2.1957338094711303,93600,0.0006071607679190833,-29.06557191212972,0.0007639828564909597,-1.874063378295432e-05,0.006029227127631505,0.005323683191090822,529,13,0.0,0.0008006386167835444,0.0
1.1993805121808995e-06,0.0,-2.1197790677736823e-05,0.0,3324.0416666666665,0.005599997146055103,2.19595099290212,100800,0.0005633326737341361,-17.468833700815836,0.001113965532082754,-2.1197790677736823e-05,0.00559999713053306,0.005957807538410028,529,14,0.0,0.0011124669971953457,0.0
1.3850938698093766e-05,0.0,3.4235293477043645e-05,0.0,3324.0416666666665,0.007062084103624026,2.195154905319214,108000,0.0021857064850970883,-11.272135925292968,-0.0014314938676458647,3.4235293477043645e-05,0.007062084041535854,0.03090441459789872,529,15,0.0,-0.0014188481043674983,0.0
3.936627305497117e-06,0.0,-2.9932003477976347e-05,0.0,3324.0416666666665,0.004721566553538044,2.196251145998637,115200,0.0007009519844577372,-11.38053866227468,0.0007646537638114144,-2.9932003477976347e-05,0.004721566506971916,0.010171420561770598,528,16,0.0,0.0007161312949998925,0.0
1.2048212423133956e-05,3.968242145017737e-06,1.507075919680237e-05,0.0,3324.25,0.006320702350456958,2.1955510677231684,122400,0.001796532312863158,-7.952229540701266,-0.0004354789033522332,1.9039001402453086e-05,0.011150574396554104,0.028525264625635892,519,17,0.0,-0.0005317325000650844,0.0
2.530229451794061e-06,6.597961682008951e-06,-9.700160312351929e-06,0.0,3324.25,0.004011611584721813,2.1965623700618746,129600,0.0007157948982471422,-11.306790439666264,0.00025277609185321933,-3.1021986095195654e-06,0.01709641438422887,0.011889046310901732,503,18,0.0,0.00025742470419424813,0.0
