policy_gradient_bias_correction,P01:episode_rewards,advantage_norm,epoch_idx,grad_norm,avg_q_selected,episode_length,model_prob_std,fps,policy_loss,policy_entropy,rollout_prob_std,explained_variance,q_loss,avg_q_retraced,PMM:episode_rewards,frames,policy_gradient_loss,P09:episode_rewards
0.0,0.0,0.0841974165290594,1,0.031903503305260955,0.00512435867228002,0,0.04348228586216767,441,4.304190841442808e-05,2.112242384751638,0.0434822853654623,-13.808698987960815,0.0006188581571526205,0.005112523282878101,0.0,7200,4.304190841442808e-05,0.0
-2.3277800048265273e-09,0.0,0.11240876234757403,2,0.7599560452091466,0.08561291977724371,0,0.0808191878721118,208,-0.001028510143623862,1.7725411457320055,0.0808191874374946,-935.0055484831333,0.017887980282345475,0.09028142642734262,0.0,14400,-0.001028507810466787,0.0
0.0,0.0,0.008621252592032154,3,0.0035620344153574016,0.008589438690493504,0,0.006213646506269773,254,-0.00020055136707621083,2.1955867211023965,0.006213646506269773,-150.66613254547119,2.1981638595510353e-05,0.008588083057353894,0.0,21600,-0.00020055136707621083,0.0
0.0,0.0,0.03146657772983114,4,0.006245126124630887,0.008131568242485324,0,0.008552445673073332,284,-0.00017064392557889125,2.193920103708903,0.008552445704117418,-221.66478136380513,7.100058480015529e-05,0.007849729480221867,0.0,28800,-0.00017064392557889125,0.0
0.0,0.0,0.012565111268001299,5,0.0026215448263869567,0.00672207809984684,0,0.004860817966982722,300,-0.00013729858028455055,2.196003278096517,0.0048608180213098725,-436.780185286204,1.8586271441260275e-05,0.006613915273919702,0.0,36000,-0.00013729858028455055,0.0
0.0,0.0,0.02370076118192325,6,0.0029964217084881015,0.006729327118955552,3324.6666666666665,0.005813408177345991,308,-0.00018761030642053811,2.1955300251642864,0.005813408169584969,-247.93086907068889,2.19371501467928e-05,0.006610130611807108,0.0,43200,-0.00018761030642053811,0.0
0.0,0.0,0.006006176940475901,7,0.001755111765575944,0.005546396815528472,3324.6666666666665,0.0033053709426894783,316,-0.00010560771722036103,2.196761457125346,0.0033053709659725426,-152.08084459304808,7.189551752162515e-06,0.005511121079325676,0.0,50400,-0.00010560771722036103,0.0
0.0,0.0,0.004457596782594919,8,0.0006762474329114655,0.007699386744449536,3324.6666666666665,0.0037479406455531716,324,-0.00018311148887732996,2.1966545502344768,0.0037479405446598927,-43.56551566918691,1.4599059151502539e-06,0.007582122910146912,0.0,57600,-0.00018311148887732996,0.0
0.0,0.0,0.015521388671671351,9,0.001295957222986651,0.006101317858944337,3324.6666666666665,0.005259655625559389,332,-0.00012519499929718829,2.1959749619166056,0.0052596556954085825,-14.849518092473348,9.104752150316623e-06,0.006041594718893369,0.0,64800,-0.00012519499929718829,0.0
0.0,0.0,0.011276460982238253,10,0.0010594576090965935,0.00544226987597843,3324.6666666666665,0.004347720090299845,339,-0.0001279773844847417,2.196360985438029,0.004347720090299845,-143.92510251998903,5.643179863075905e-06,0.005417341645807028,0.0,72000,-0.0001279773844847417,0.0
0.0,0.0,0.022813232654395204,11,0.0016191815084070952,0.006502228882163763,3324.6666666666665,0.005931811213182907,346,-0.00013291511974481787,2.1957109769185386,0.0059318113218372066,-19.90696583588918,1.2190579426866559e-05,0.006441740086302161,0.0,79200,-0.00013291511974481787,0.0
0.0,0.0,0.005551282231075068,12,0.0007665546238622821,0.004302072486219307,3324.375,0.003182383580133319,352,-0.00012393534149547728,2.196778662999471,0.0031823835258061686,-128.5994151910146,2.4303980798852837e-06,0.0042720134059588116,0.0,86400,-0.00012393534149547728,0.0
0.0,0.0,0.0048947390479346115,13,0.0005974002328151576,0.006543272438769539,3324.375,0.0032227041587854425,357,-0.00013097742736742173,2.196803092956543,0.0032227041743074854,-46.03439577023188,1.4899878806318156e-06,0.006492317716280619,0.0,93600,-0.00013097742736742173,0.0
0.0,0.0,0.003576639294624329,14,0.00033583289835980256,0.005045726724589864,3324.375,0.003103667024212579,361,-0.00012302573159104214,2.196836733818054,0.003103667078539729,-26.664313626289367,5.361347807782598e-07,0.00497521103049318,0.0,100800,-0.00012302573159104214,0.0
0.0,0.0,0.02251590060380598,15,0.0014709573540077686,0.006082431746957203,3324.375,0.005531445362915595,366,-0.00013005427414706597,2.1959214289983113,0.005531445401720703,-28.145434912045797,1.0975064664838404e-05,0.005993755790404976,0.0,108000,-0.00013005427414706597,0.0
0.0,0.0,0.006915971260362615,16,0.0005445529950492777,0.004217734948421518,3324.375,0.0032009472992892067,370,-8.403397653940677e-05,2.196762291590373,0.0032009472604840996,-63.652868302663165,2.422064787547621e-06,0.004204185966712733,0.0,115200,-8.403397653940677e-05,0.0
-2.3622118934271522e-06,0.0,0.021054233812619855,17,0.0012696300186209393,0.005224874617424718,3324.3055555555557,0.004517742812749929,371,-0.00014122690984679916,2.196348121257686,0.007820734192719486,-9.40001503335736,7.815708574541896e-06,0.005219637836217535,0.0,122400,-0.00013886469809604602,0.0
-6.312446978187413e-06,0.0,0.010064781640847857,18,0.0005744318302593177,0.003923203729514387,3324.3055555555557,0.003390328342996774,366,-9.135196533488805e-05,2.1967532014026845,0.018568100204423964,-8.34267186789601,2.0901952906726403e-06,0.0038633877476036706,0.0,129600,-8.503951853404105e-05,0.0
-2.402592877376748e-06,0.0,0.008631940698856302,19,0.0004731857895727291,0.003603778344492192,3324.3055555555557,0.0031580530617092905,362,-8.019570856439325e-05,2.196816416493169,0.01722018435054148,-6.5356852502781875,1.4255402135060522e-06,0.0035656622114157667,0.0,136800,-7.779311549932924e-05,0.0
-3.2736128700628636e-07,0.0,0.008955828735985851,20,0.00043916446700179344,0.0026379507714352772,3324.3055555555557,0.0031108833550692353,358,-5.399583294746886e-05,2.196829681828539,0.01506558252128935,-6.550027302666,1.526904533499396e-06,0.0026102314859834403,0.0,144000,-5.36684716221274e-05,0.0
-1.3361227149394451e-06,0.0,0.007436183802404678,21,0.0003372580130376875,0.002052463138412571,3324.3055555555557,0.0035079856048813632,355,-4.302432504974128e-05,2.1967240578976885,0.01242071969058271,-10.585009578195194,1.1415080091348876e-06,0.0020319821764979876,0.0,151200,-4.168820231649878e-05,0.0
-4.9945552576438874e-08,0.0,0.007862137096117727,22,0.00034818246366643174,0.0016773116235604642,3324.3055555555557,0.003683294968494145,353,-3.4177471286238023e-05,2.1966736198323114,0.016232783299637957,-8.50144540362888,1.18866297509025e-06,0.0016478944413943547,0.0,158400,-3.412752578597933e-05,0.0
-1.0665400822890106e-06,0.0,0.005767252216002104,23,0.0002481970024081164,0.001348791412284497,3324.2083333333335,0.00388469192467965,350,-3.0357133506709696e-05,2.1966126653473212,0.01550727802187096,-18.37262337237833,6.70228230006527e-07,0.0013417377459145861,0.0,165600,-2.9290593432051308e-05,0.0
-7.992881862531299e-07,0.0,0.004952988688070969,24,0.0001998161786388727,0.001248340448157151,3324.2083333333335,0.004004553812356624,346,-2.7459607315379287e-05,2.1965753960830194,0.01831260979120412,-10.070551286807651,4.5743811943267995e-07,0.0012349628460940807,0.0,172800,-2.66603190886357e-05,0.0
-7.519079157170752e-07,0.0,0.004618486299052783,25,0.0001806410297560135,0.0009924349874152938,3324.2083333333335,0.003997619049519736,344,-2.3169663744479956e-05,2.196577455654862,0.013106915784440667,-9.798007202435711,3.9145904104463075e-07,0.0009828940778288271,0.0,180000,-2.241775577346293e-05,0.0
-1.4375493630428226e-06,0.0,0.00580268522875418,26,0.00021592227208606536,0.0008172343602157924,3324.2083333333335,0.003974731869520694,343,-1.6449794926893565e-05,2.1965843413683475,0.013908089204348266,-6.008211121281619,5.53693010843723e-07,0.00081307718144941,0.0,187200,-1.501224555374426e-05,0.0
-2.7040893508685545e-07,0.0,0.004093165890383827,27,0.0001522483936103734,0.0006746552062649575,3324.2083333333335,0.004106503776249983,342,-1.4304992155044245e-05,2.196540921327298,0.013263193768992399,-13.880510500385647,3.289707378576673e-07,0.0006600959904161749,0.0,194400,-1.4034583253752344e-05,0.0
-1.4812927313302892e-06,0.0,0.0053514190591010475,28,0.0001892840395617543,0.0004966425953769614,3324.233333333333,0.0040997804965264605,340,-1.3143157662341911e-05,2.196543273919474,0.012520694410830006,-8.109504477337556,4.7053351999827303e-07,0.00047638059200065465,0.0,201600,-1.1661864961945607e-05,0.0
1.3219532795411801e-08,0.0,0.003716094187282521,29,0.00013175111904945703,0.0003574131126221066,3324.233333333333,0.00425470481377228,339,-7.60616320954951e-06,2.1964905057918456,0.012670897858343013,-15.077096522970805,2.74451620134924e-07,0.00035388673032266235,0.0,208800,-7.619382707993001e-06,0.0
-1.8638479285486044e-08,0.0,0.0034130759158816307,30,0.0001168860291192059,0.0004301178717333454,3324.233333333333,0.004401187583934712,337,-9.517926776820804e-06,2.1964395580373743,0.014816726989601863,-10.529667806596985,2.0753430437623274e-07,0.00042656575379378553,0.0,216000,-9.49928829945557e-06,0.0
-4.2877986418191646e-07,0.0,0.0036558005708352465,31,0.00012467253257882397,0.00032666672787031744,3324.233333333333,0.004412878785311939,336,-8.29083353242365e-06,2.19643498049842,0.011330694540418566,-8.763237871702701,2.8823093003793063e-07,0.00032786368144852094,0.0,223200,-7.86205367588007e-06,0.0
-2.0415691186032238e-07,0.0,0.0038240669384039293,32,0.00012669299527552934,0.00032513521875915575,3324.233333333333,0.004472877519782978,336,-7.5566712140829186e-06,2.196413764180961,0.013442627783989773,-11.210244599807044,2.5522441501726174e-07,0.00032538226548274027,0.0,230400,-7.35251431203631e-06,0.0
-1.4642355266358113e-07,0.0,0.0039000577363572484,33,0.00012796153895278036,0.00027771007994156137,3324.233333333333,0.004491574528261221,335,-6.044103931826397e-06,2.196407198896483,0.011872979981107784,-10.150877201386864,2.7764713605790644e-07,0.00027273865461398917,0.0,237600,-5.8976803906688135e-06,0.0
5.913958734092361e-08,0.0,0.003134008746147585,34,0.00010388578157192765,0.0002580406150064803,3324.3333333333335,0.0046220568927293195,335,-4.929948520240277e-06,2.196359000868268,0.010620265136415596,-13.14148063004017,1.9985580734693278e-07,0.0002564860138071318,0.0,244800,-4.989088075688194e-06,0.0
