rollout_prob_std,epoch_idx,policy_entropy,policy_gradient_bias_correction,grad_norm,policy_gradient_loss,model_prob_std,q_loss,avg_q_retraced,episode_length,P09:episode_rewards,frames,PMM:episode_rewards,explained_variance,fps,avg_q_selected,policy_loss,P01:episode_rewards,advantage_norm
0.014811967127025127,1,2.1607451677322387,0.0,0.11796086761220832,-0.00010663483131073311,0.014811966645841798,0.0006367307423715829,0.006884764088317752,0,0.0,7200,0.0,-87.19868933359781,337,0.00712602159474045,-0.00010663483131073311,0.0,0.02869480730344852
0.003609835278863708,2,2.1963362137476605,0.0,0.008859254511682572,-3.291719967819517e-05,0.0036098352478196225,7.2306057215125e-05,0.0029963089698109495,0,0.0,14400,0.0,-125.59052699406942,198,0.0029706341520068236,-3.291719967819517e-05,0.0,0.017565146709481876
0.00312877194955945,3,2.1967479308446247,0.0,0.003491101383035568,-3.280366721204094e-05,0.0031287719573204714,1.676019295094496e-05,0.0013757273011530439,0,0.0,21600,0.0,-13.658807134628296,235,0.0013420045957900583,-3.280366721204094e-05,0.0,0.016707719831417004
0.004813443054445088,4,2.1962215105692544,0.0,0.004591716579624155,-3.1280201839460156e-05,0.004813443073847641,2.6070443436765344e-05,0.0014326120406622067,0,0.0,28800,0.0,-15.801664956410725,263,0.00136855561286211,-3.1280201839460156e-05,0.0,0.029802774746591845
0.002245258109178394,5,2.19692177772522,0.0,0.001760967586642957,-1.5860170151427155e-05,0.0022452580742537975,1.3565718609243049e-05,0.0007467635732609779,0,0.0,36000,0.0,-48.58413677215576,288,0.000797463613950337,-1.5860170151427155e-05,0.0,0.013932881907870372
0.003054758052652081,6,2.196761067708333,0.0,0.0023080338486770303,-2.9091577737479686e-05,0.0030547580293690166,1.3906718125629898e-05,0.0008651537676390338,3323.6666666666665,0.0,43200,0.0,-20.42345519065857,309,0.0009030800206043447,-2.9091577737479686e-05,0.0,0.022202855876336493
0.0014909887356528392,7,2.1970757166544597,0.0,0.0018457955276147393,-4.038482425509453e-06,0.0014909887666969249,7.77021773501474e-06,0.00012874353603062143,3323.6666666666665,0.0,50400,0.0,-59.77011515299479,327,0.00013183238106648787,-4.038482425509453e-06,0.0,0.007916943356394767
0.0015619071472125748,8,2.197112464904785,0.0,0.001692994130013655,-4.8402372935167175e-06,0.0015619071821371714,7.156668971219915e-06,0.0002477934527632897,3323.6666666666665,0.0,57600,0.0,-35.25975472132365,343,0.00021555962487885457,-4.8402372935167175e-06,0.0,0.006469493157540759
0.002148677893759062,9,2.1969806512196857,0.0,0.001274424475644237,-1.063975583595796e-05,0.0021486779092811047,8.967640383161779e-06,0.0005421197488127897,3323.6666666666665,0.0,64800,0.0,-19.457835245132447,356,0.0005471030179402685,-1.063975583595796e-05,0.0,0.014940607827156782
0.0014894649405808498,10,2.197078474362691,0.0,0.0008654433049315814,-9.932990529174883e-06,0.0014894649473717436,6.01103245116974e-06,0.0003899768293194938,3323.6666666666665,0.0,72000,0.0,-101.53773509661356,368,0.0003885746791032337,-9.932990529174883e-06,0.0,0.010181186891471346
0.002350505518067318,11,2.19696462949117,0.0,0.0012929791984562932,-7.939374055846808e-06,0.00235050555493217,7.37511391738129e-06,0.0005816390041218256,3323.6666666666665,0.0,79200,0.0,-33.34889257748922,377,0.0006306509596470278,-7.939374055846808e-06,0.0,0.018232927153197426
0.0007418949351025125,12,2.197184427579244,0.0,0.0004613470341015347,-1.552011328366613e-05,0.0007418949438336616,2.5030054302987994e-06,0.00031525120430160315,3324.0833333333335,0.0,86400,0.0,-82.29217910766602,383,0.00035051643984237063,-1.552011328366613e-05,0.0,0.005191707517951727
0.0008625444597176586,13,2.1971801996231077,0.0,0.0008050346158525446,-1.6037697624445477e-06,0.0008625444606877863,3.283762195375554e-06,0.00012390659141298482,3324.0833333333335,0.0,93600,0.0,-52.0862611134847,389,9.589646492713655e-05,-1.6037697624445477e-06,0.0,0.003801032823200027
0.0006917590547042588,14,2.1971965551376345,0.0,0.00046346305555354354,-4.710886499026401e-06,0.0006917590915691107,1.9988687540717365e-06,0.00021268976361170643,3324.0833333333335,0.0,100800,0.0,-74.1359151204427,395,0.00019618369054417902,-4.710886499026401e-06,0.0,0.0035267272886509698
0.0018613179728466398,15,2.19707403977712,0.0,0.0009240208361463668,-9.99827305368702e-06,0.0018613179970998317,4.517187481193711e-06,0.0004915315427448755,3324.0833333333335,0.0,108000,0.0,-29.94475727081299,400,0.00045344640432934586,-9.99827305368702e-06,0.0,0.014387390048553547
0.0006809616737882606,16,2.1971838315327963,0.0,0.0003669330568416561,-5.69602415131006e-07,0.0006809616631168561,1.972806254949925e-06,0.00016968852787613287,3324.0833333333335,0.0,115200,0.0,-119.58821833928427,404,0.00017432410289378215,-5.69602415131006e-07,0.0,0.005210062954574823
0.0021371209350883164,17,2.1971065555867697,-2.756650256211894e-10,0.0007842220518309816,-5.048029486615073e-06,0.0015852514165773139,3.5937588178689823e-06,0.00024207380344152055,3324.3333333333335,0.0,122400,0.0,-20.617606799678196,403,0.0001985109714193217,-5.04830515445918e-06,0.0,0.012800603320427293
0.0031775900820810395,18,2.1972023918114885,7.086063083268831e-08,0.0002758664014498959,1.601371014752879e-06,0.0006493772303957164,9.302654539375762e-07,-6.017407379732683e-05,3324.3333333333335,0.0,129600,0.0,-33.13345297351134,398,-5.81058844158977e-05,1.672231637180862e-06,0.0,0.005051227488893812
