frames,fps,advantage_norm,P01:episode_rewards,clip_fraction,episode_length,grad_norm,P09:episode_rewards,policy_entropy,epoch_idx,policy_loss,approx_kl_divergence,PMM:episode_rewards,explained_variance,value_loss
10240,445,15.968711751699448,0.0,0.453564453125,355.12,1190103509.7410676,215.00000000000003,0.669076404097509,1,0.05708417966216075,4811070.144560281,99.0,-0.4770856130868196,1412948847.9870925
20480,351,15.96871719956398,0.0,0.200244140625,322.95081967213116,0.03683268526198131,200.0,1.2275108985602856,2,-0.0002775565786578227,0.004000495189893627,81.9672131147541,7.450580596923829e-10,0.004562430003488771
30720,384,15.968717843294144,0.0,0.2142822265625,327.4021739130435,0.0437611701151342,297.5000000000001,1.5050790198147297,3,-0.0005680408234184142,0.00416602434268043,114.1304347826087,-4.470348358154297e-09,0.008501148652430856
40960,401,15.96871771812439,0.0,0.2026611328125,325.12,0.05174022483364861,377.5000000000002,1.5939152024686336,4,-0.001337965279526543,0.003292522782373908,141.75,5.960464477539063e-09,0.012040848947435734
51200,408,15.9687175989151,25.0,0.232958984375,342.41,0.0566055147875974,475.0,1.665211495757103,5,-0.0011924916376301552,0.0035556520153022576,199.0,-3.725290298461914e-09,0.011165923458793258
61440,418,15.968717855215072,50.0,0.191943359375,349.31,0.051859917183489,405.00000000000045,1.562729861587286,6,-0.0012408187198161614,0.0031526965714533616,208.75,-5.960464477539063e-09,0.012213110688026062
71680,423,15.968717938661575,75.0,0.1854248046875,356.61,0.051365362498674697,480.00000000000045,1.5733786582946778,7,-0.0017066311669623247,0.002780575501546423,233.0,-2.458691596984863e-08,0.01305450521176681
81920,430,15.96871787905693,75.0,0.1792724609375,354.39,0.05090383879142718,550.0,1.5213577285408975,8,-0.0017072102666134015,0.002718736557255852,240.0,4.8428773880004884e-09,0.01403138082823716
92160,434,15.968717658519745,125.0,0.1891845703125,357.28,0.05675753104632029,377.5000000000002,1.5361902378499508,9,-0.0015044509113067762,0.0028414494658520082,251.25,0.0,0.014874692444573156
102400,435,15.968717980384827,125.0,0.2177978515625,349.38,0.05934484741894214,377.5000000000002,1.537409596145153,10,-0.0016134016044816236,0.0031964846291316464,255.75,-1.0430812835693359e-08,0.015217150235548616
112640,438,15.968718022108078,150.0,0.15908203125,355.32,0.056631432055163244,427.5000000000002,1.5036557853221892,11,-0.0011578933877899543,0.0023582127015743027,286.5,-8.195638656616212e-09,0.017036873326287606
122880,439,15.968717885017394,150.0,0.22919921875,349.72,0.06272985698659514,400.0,1.502509457617998,12,-0.0019324141736433375,0.00311120519842234,290.25,2.2351741790771484e-09,0.01659734075947199
133120,443,15.968717873096466,175.0,0.1574462890625,353.56,0.05486633179352679,505.00000000000045,1.543794037401676,13,-0.0008466644656436983,0.0024713975556096557,311.25,-2.7939677238464355e-08,0.016173201255151072
143360,444,15.968717974424361,175.0,0.1544189453125,361.22,0.05638718135149554,502.5000000000002,1.5786717914044857,14,-0.0012501545184932183,0.002474339162904471,318.75,6.7055225372314455e-09,0.015611069690203294
153600,445,15.968717849254608,172.5,0.228369140625,358.43,0.05514345975340722,407.5000000000006,1.5830169580876827,15,-0.0015173930125456537,0.0034698597570809397,286.25,-1.3783574104309083e-08,0.01377550505058025
163840,447,15.968717986345291,150.0,0.1649658203125,355.53,0.05264747066186163,400.0,1.615037953108549,16,-0.0009174525090202224,0.0024233966875499393,272.75,-1.9371509552001954e-08,0.014016728817659896
174080,448,15.968717843294144,147.5,0.2108154296875,353.67,0.05902085072512808,500.0,1.6313422709703445,17,-0.0016269398915028433,0.003106301960417568,273.5,-1.862645149230957e-09,0.014817953027159093
184320,450,15.968717795610427,125.0,0.1403564453125,354.85,0.05062229841647732,502.5000000000002,1.4892611227929593,18,-0.0013299827696755528,0.0024185517896626154,273.5,-2.1979212760925294e-08,0.014180145307909698
194560,450,15.9687180519104,150.0,0.13134765625,358.32,0.050476295684602344,400.0,1.3275563284754752,19,-0.0007983129024069057,0.0021186964591606737,273.25,-3.725290298461914e-09,0.01571503430895973
204800,451,15.96871775984764,150.0,0.1749267578125,353.31,0.05406079784794633,400.0,1.3458146676421165,20,-0.0014032684804988094,0.0026463963878853745,274.25,7.82310962677002e-09,0.016092661913717166
215040,450,15.968717753887177,197.5,0.1764404296875,355.66,0.05405235996920003,350.0,1.3010544024407864,21,-0.0017299261275184109,0.002567520890602282,275.75,-1.0058283805847169e-08,0.016937055462040006
225280,452,15.968717980384827,200.0,0.1207275390625,348.82,0.048228116587658014,350.0,1.3318213760852813,22,-0.000826199024595553,0.002067475389003448,277.25,-1.7136335372924803e-08,0.01659158927795943
235520,453,15.968717670440673,200.0,0.1671630859375,354.3,0.056638415237499865,350.0,1.454224019497633,23,-0.0009852858653175644,0.0023766269813336295,279.75,4.097819328308106e-09,0.015376494040538091
