P09:episode_rewards,explained_variance,grad_norm,value_loss,policy_entropy,advantage_norm,epoch_idx,PMM:episode_rewards,policy_loss,fps,P01:episode_rewards,episode_length,frames
3.0,-0.5686736035346985,0.7110527155253185,0.019742667299942694,1.3555552542209626,1.3046847468614577,1,1.1590909090909092,-0.008853726304369047,194,0.0,168.8409090909091,8000
3.0,-0.0004347759485244751,0.23453675859058717,0.014575410956458654,1.3780520009994506,1.2413717748969793,2,1.2087912087912087,0.005142378706368618,164,0.0,172.87912087912088,16000
3.0,-0.07688448190689087,0.20921763934130702,0.01062713519287172,1.3773253989219665,0.9741400347650051,3,1.12,0.0036863982229988325,173,0.0,169.54,24000
3.0,0.02246907353401184,0.21579703973360675,0.01174335435836838,1.3827940952777862,1.0882742396742104,4,1.1,0.0025086700834799558,187,0.0,169.37,32000
3.1000000000000085,0.03981048941612244,0.2482281218207735,0.014089878661761758,1.3725668668746949,1.294743378907442,5,1.26,0.001115282339451369,184,0.0,178.47,40000
3.0,0.03591988444328308,0.28990068665618984,0.012347217611932138,1.3640107858180999,1.1424304687976836,6,1.33,0.0025772779045655624,188,0.0,181.27,48000
3.0,0.06072998821735382,0.5367991274099503,0.02202806512977986,1.3717028141021728,1.3381316900253295,7,1.28,-0.00015589547067065723,190,0.0,177.94,56000
4.0,0.2321135663986206,0.6319969747537231,0.02556717327272054,1.374342588186264,1.7200162732601165,8,1.51,-0.004451282738009468,190,0.0,187.38,64000
4.0,0.3967671877145767,0.40462328959533095,0.013568705986835993,1.3753742229938508,1.2983483219146728,9,1.57,-0.007953109331137966,192,0.0,191.14,72000
4.0,0.6368331772089004,0.46097742073706455,0.01815693181939423,1.3711654818058014,1.5622515326738358,10,1.72,-0.005401900488650426,193,0.0,195.76,80000
4.0,0.4847442662715912,0.3180369669646365,0.009090862208104226,1.3791492640972138,1.0607797300815582,11,1.38,-0.0015786811566795222,197,0.0,183.53,88000
3.0,0.7995372307300568,0.40655000298309524,0.012416020964737982,1.375699758529663,1.3013304141163826,12,1.3,-0.0022095719559001737,201,0.0,178.94,96000
5.0,0.7678701096773147,0.4456410544679531,0.012265411495463922,1.3694204795360565,1.274889305830002,13,1.64,-0.0037128730145923328,201,0.0,190.82,104000
6.0,0.8563501083850861,0.4335938810777799,0.012253607025486416,1.3608838355541228,1.2423323553800583,14,1.91,-0.005640228955890052,202,0.0,200.51,112000
5.0,0.8106023854017258,0.3350023890381224,0.008892932294984349,1.3609558141231537,1.1131641551852227,15,1.85,-0.0027422487933654338,205,0.0,200.31,120000
5.0,0.8918655514717102,0.31408170444812206,0.00798076017992571,1.360167851448059,1.0663102942705154,16,1.81,-0.0001963443390559405,208,0.0,199.64,128000
6.0,0.8468975079059601,0.37170319364205034,0.01110869126569014,1.3464914119243623,1.1790052935481072,17,1.94,-0.0009733329783193767,209,0.0,203.39,136000
6.0,0.9180847591161728,0.29478427041148314,0.0070327943036681976,1.3489044415950775,0.9471449267864227,18,2.02,-0.0009865350188920275,210,0.0,205.65,144000
5.0,0.8625864642858505,0.34685102439652615,0.010754472260596231,1.3537184011936187,1.1585010653734207,19,1.96,-0.0021793833927949893,211,0.0,204.68,152000
5.0,0.8172490340471268,0.37243093989474957,0.01038462261436507,1.3633701848983764,1.1479087144136428,20,1.99,-0.0011646165029378609,211,0.0,205.57,160000
6.0,0.9374584877490997,0.2901124386790483,0.006573643516167067,1.3546839094161987,0.9544874656200409,21,2.3,-0.000988165890739765,212,0.0,216.66,168000
7.1000000000000085,0.9153046923875808,0.30893362760319126,0.008471075617126188,1.3610298943519592,1.0612928488850593,22,2.44,6.345198096823878e-05,213,0.0,219.29,176000
8.100000000000009,0.9261594986915589,0.22961734934951025,0.005628014655085281,1.3574816513061523,0.8386033041775227,23,2.59,-0.001204994809231721,214,0.0,224.39,184000
5.0,0.9339128869771958,0.2572698991507963,0.005929106631374453,1.3640527963638305,0.8841964477300643,24,2.02,-1.74405868165195e-05,214,0.0,203.64,192000
5.0,0.8988405537605285,0.24383891662273188,0.0050455795146990565,1.3588411712646484,0.8102552583813667,25,1.6,-0.0018049260790576227,213,0.0,186.9,200000
5.0,0.9531765002012252,0.2423075311815412,0.005347148450964596,1.3376496207714081,0.8279009972512722,26,1.98,-0.0018231893924530596,213,0.0,201.42,208000
9.0,0.9518456202745438,0.22264497776657785,0.005686012231744825,1.3490179753303528,0.8364109361171722,27,2.44,-0.00022985575720667838,215,0.0,218.21,216000
9.0,0.960014991760254,0.2098880692284135,0.0041004654882999605,1.3510893023014068,0.6974651749432087,28,2.64,-0.0007535300790914335,214,0.0,225.44,224000
7.200000000000017,0.9542035454511643,0.21193886170438628,0.004048045892268419,1.3436691176891327,0.7125061304867267,29,2.26,-0.0019403240692918188,214,0.0,212.42,232000
5.0,0.9462021148204803,0.25909245565224137,0.005457947069662623,1.3455370581150055,0.8218999993801117,30,2.07,-0.0030899775050056634,215,0.0,205.02,240000
5.1000000000000085,0.9604485261440278,0.1986585412928482,0.0037859433286939748,1.3448141241073608,0.68801808655262,31,2.02,-4.4135821517556907e-05,216,0.0,201.58,248000
5.1000000000000085,0.954979481101036,0.19739924536161113,0.003825724373164121,1.3331005883216858,0.6888294266164303,32,1.87,-0.002836884988937527,217,0.0,195.75,256000
6.300000000000026,0.9700288999080658,0.1873405080572824,0.0033574387928820217,1.324916079044342,0.6298502583801746,33,2.18,-0.0003976173093542457,218,0.0,206.85,264000
6.0,0.9738787466287613,0.15520930813313497,0.002831978817703202,1.327344044446945,0.573042399585247,34,2.15,-0.0011123138331458904,218,0.0,206.53,272000
6.1000000000000085,0.9586308258771896,0.19404147677292713,0.0041122209545574155,1.334487383365631,0.6596274745464324,35,1.97,-0.0017524262744700535,219,0.0,198.8,280000
5.0,0.9750940608978271,0.15403068520686125,0.00255258070785203,1.3413583981990813,0.5513033871352673,36,1.78,-0.00014890976206515915,219,0.0,191.42,288000
5.0,0.9682054966688156,0.16286756569026817,0.0029727613052818926,1.350101374387741,0.5793519414961338,37,1.52,-0.0007676617125980556,219,0.0,184.51,296000
