model_prob_std,avg_q_selected,P09:episode_rewards,P01:episode_rewards,advantage_norm,q_loss,explained_variance,avg_q_retraced,frames,policy_gradient_bias_correction,policy_loss,fps,PMM:episode_rewards,policy_entropy,policy_gradient_loss,episode_length,epoch_idx,grad_norm,rollout_prob_std
0.009386212945294877,-0.0006210137100424618,0.0,0.0,0.03781014488389094,0.00020842214180447627,-31.691326840718588,-0.00046263131704715,7200,0.0,3.0098990464466624e-06,322,0.0,2.184539794921875,3.0098990464466624e-06,0,1,0.04631766306125629,0.009386212828879555
0.006760101555846632,0.000738760407633284,0.0,0.0,0.01758986261362831,6.0723891328962055e-05,-72.9812957127889,0.0008249963428530312,14400,0.0,-3.745906891102398e-06,182,0.0,2.1916607141494753,-3.745906891102398e-06,0,2,0.03825444392845604,0.006760101517041524
0.003231455568068971,-0.0011890232931667318,0.0,0.0,0.017274712119251488,1.8214037315071133e-05,-19.903190898895264,-0.0011984510672239897,21600,0.0,1.9692926554171208e-05,217,0.0,2.19663143157959,1.9692926554171208e-05,0,3,0.004557578068994815,0.0032314555486664177
0.0038131578204532463,-0.0013428446254692972,0.0,0.0,0.024288769826913872,1.7292962244634206e-05,-13.205402247111003,-0.0014910078064228097,28800,0.0,3.186612061654159e-05,249,0.0,2.1966003735860187,3.186612061654159e-05,0,4,0.003087175312825401,0.0038131578049312035
0.0018984037723081806,-0.001097688463050872,0.0,0.0,0.012025390549873312,6.3998983781251205e-06,-11.129304647445679,-0.0010394659844071914,36000,0.0,2.631926178082722e-05,275,0.0,2.197027842203776,2.631926178082722e-05,0,5,0.0013382036803875836,0.0018984037645471592
0.0022574825619813056,-0.0007919099614961549,0.0,0.0,0.01673286911100149,7.93846569043429e-06,-31.279653771718344,-0.0007393461181284996,43200,0.0,2.9148640161717292e-05,298,0.0,2.196966298421224,2.9148640161717292e-05,3324.9166666666665,6,0.0014817744773940522,0.0022574825212359428
0.0010473829344846309,-0.0001279675617297471,0.0,0.0,0.00744430727014939,5.176626151145077e-06,-52.542195383707686,-8.990894367949901e-05,50400,0.0,5.970358057538761e-06,316,0.0,2.197156310081482,5.970358057538761e-06,3324.9166666666665,7,0.001014933051632957,0.001047382918962588
0.001188006413091595,-9.983759656127708e-05,0.0,0.0,0.009982991715272267,7.304857206236193e-06,-37.782833862304685,-8.837720482309426e-05,57600,0.0,-7.150875904926579e-06,333,0.0,2.197121278444926,-7.150875904926579e-06,3324.9166666666665,8,0.0014755854041606656,0.001188006418912361
0.0015723813752022882,-0.00047771581387981616,0.0,0.0,0.011266485663751762,4.402826141358673e-06,-17.46844727198283,-0.0004554097487319571,64800,0.0,8.845196403702478e-06,347,0.0,2.1970985015233357,8.845196403702478e-06,3324.9166666666665,9,0.0008148089242007036,0.0015723813519192239
0.001134533088770695,-0.0003848809409343327,0.0,0.0,0.008531452164364357,2.7933372374870184e-06,-21.487648804982502,-0.0003576298273401335,72000,0.0,8.44252602121287e-06,357,0.0,2.1971500476201373,8.44252602121287e-06,3324.9166666666665,10,0.0006004256716264238,0.001134533077129163
0.001768185337035296,-0.00032905664538702696,0.0,0.0,0.013710104549924532,3.925534184645585e-06,-12.714316860834758,-0.0003822764672804624,79200,0.0,6.107637958052692e-06,367,0.0,2.1970804214477537,6.107637958052692e-06,3324.9166666666665,11,0.0009344388061896032,0.0017681853583781048
0.0005188908486161381,1.4355234759477753e-05,0.0,0.0,0.004041422189523776,9.558519603084884e-07,-47.68795970280965,3.662559859852384e-05,86400,0.0,5.940010331073608e-06,375,0.0,2.1972059488296507,5.940010331073608e-06,3324.75,12,0.0002534498594813635,0.0005188908554070319
0.0006061773601686582,0.000508472298857517,0.0,0.0,0.0045212037861347195,3.260600396023013e-06,-57.13111931482951,0.0004959886985792158,93600,0.0,-7.690216093673523e-06,382,0.0,2.1972002188364663,-7.690216093673523e-06,3324.75,13,0.0006464790018167566,0.0006061773708400627
0.0006522689131088555,3.191702940436395e-05,0.0,0.0,0.006103665366147955,2.1728970637013844e-06,-42.99529068072637,5.365855296541137e-05,100800,0.0,-6.158232903885619e-06,389,0.0,2.1971718072891235,-6.158232903885619e-06,3324.75,14,0.0007743897638509349,0.0006522689674360057
0.001082651510175007,-3.629779832863278e-05,0.0,0.0,0.009129153393829862,1.715891545472914e-06,-16.778668959935505,-6.332256371024413e-05,108000,0.0,7.27407943183304e-07,395,0.0,2.197174588839213,7.27407943183304e-07,3324.75,15,0.00047924024986356736,0.0010826514878620704
0.0005013429865357466,4.1613078019508974e-05,0.0,0.0,0.003677156831448277,6.153725839415831e-07,-37.61446231206258,5.2861410161616125e-05,115200,0.0,-4.4349273669771113e-07,401,0.0,2.1972076098124185,-4.4349273669771113e-07,3324.75,16,0.00023249985258591446,0.0005013429836253636
0.0009696159789266874,3.141080393279914e-05,0.0,0.0,0.008411775475473232,1.4893435765220683e-06,-12.445757721530066,2.9088468428336267e-05,122400,0.0,-4.7266263439585775e-07,403,0.0,2.1971810674099697,-4.7266263439585775e-07,3325.0,17,0.0004332154734394859,0.0018797666997910248
0.0005499146283622992,0.00020659483724201407,0.0,0.0,0.005721834878269065,9.833275475782874e-07,-13.826881999767647,0.00021868541257395277,129600,0.0,2.2357825730388127e-07,398,0.0,2.1972072212563623,2.2357825730388127e-07,3325.0,18,0.0003709118116787866,0.003147598727840184
