fps,frames,episode_length,explained_variance,policy_loss,clip_fraction,P09:episode_rewards,policy_entropy,epoch_idx,value_loss,P01:episode_rewards,advantage_norm,PMM:episode_rewards,approx_kl_divergence,grad_norm
530,10240,354.36,-0.3285839598625898,0.03393128181742213,0.3434814453125,325.0,1.3204655562645287,1,2182219513.45535,150.0,15.968717926740647,246.0,19375096.991426706,1759933055.065844
552,20480,352.07272727272726,-9.313225746154785e-09,-0.001184656123223249,0.1775634765625,350.0,1.5050091721117496,2,0.016350800162763336,160.0,15.968718194961548,266.8181818181818,0.002953416556465527,0.07625221713496162
556,30720,355.59302325581393,-1.601874828338623e-08,-0.0010394833370810375,0.18466796875,350.0,1.6014793030917645,3,0.013476860962691717,150.0,15.968717682361603,264.5348837209302,0.0026304924831947575,0.05331567453523629
560,40960,354.33,-6.332993507385254e-09,-0.0012495563038100953,0.2072998046875,375.0,1.662051872164011,4,0.013002022229193244,150.0,15.968717831373215,268.25,0.003116968416884447,0.05580318619729482
558,51200,355.02,-7.450580596923828e-09,-0.000974148962268373,0.171728515625,382.5000000000007,1.610415529459715,5,0.013159991695283679,125.0,15.968717747926712,260.0,0.0029663470067362143,0.05090661448692927
557,61440,347.51,-1.5273690223693846e-08,-0.0012537092650745762,0.195068359375,327.5000000000002,1.6081942401826381,6,0.012290325238427612,100.0,15.96871793270111,230.75,0.0027140800031020262,0.05407980881196724
560,71680,356.24,3.7252902984619143e-10,-0.001954745836701477,0.1917236328125,380.00000000000045,1.526815900951624,7,0.013302455180382821,100.0,15.968717849254608,245.25,0.0028076485146783627,0.04977097636672837
555,81920,350.47,-7.82310962677002e-09,-0.0011536563608387951,0.2031494140625,375.0,1.581431157141924,8,0.011947932626935654,75.0,15.968717974424361,226.0,0.002906134857903453,0.05376061175976764
555,92160,348.3,-1.1175870895385742e-08,-0.0018500845413655042,0.1990234375,375.0,1.5961062602698803,9,0.01310897908260813,75.0,15.968717908859253,227.75,0.002776693368832639,0.055241511637322584
554,102400,347.17,3.3527612686157227e-09,-0.0019485604334477102,0.24326171875,350.0,1.6464104704558848,10,0.014675629239354749,75.0,15.968717807531357,228.5,0.0029936415470501743,0.05948696322700738
550,112640,347.12,-1.601874828338623e-08,-0.001615128324556281,0.2398681640625,350.0,1.6976736441254616,11,0.014240837641409598,97.5,15.968717724084854,238.25,0.003617436413105679,0.057987502917948984
549,122880,355.52,-2.0116567611694337e-08,-0.001785549039959733,0.2113037109375,407.5000000000006,1.6404499009251594,12,0.013259233531425708,150.0,15.968717843294144,268.25,0.0029209386484581046,0.056187732787176405
549,133120,358.92,1.862645149230957e-09,-0.0015653140133508713,0.1932861328125,502.5000000000002,1.5555796138942242,13,0.014507004129700362,125.0,15.968717819452285,271.75,0.002636553410934539,0.05548606076318382
549,143360,372.25,5.215406417846679e-09,-0.0014031896367669105,0.1849609375,525.0,1.4832061126828193,14,0.01385985787928803,125.0,15.96871775984764,283.75,0.0026686500221785535,0.05343390750291438
549,153600,381.19,1.4528632164001465e-08,-0.0009752563924848801,0.1541748046875,452.50000000000017,1.4806658700108528,15,0.013902332408179063,125.0,15.968717765808105,284.0,0.002453456586931679,0.049517778533370055
551,163840,386.25,1.1548399925231934e-08,-0.002211307998004486,0.194384765625,382.5000000000007,1.4782085560262204,16,0.013964754403787083,147.5,15.968717753887177,285.75,0.002979189455481901,0.05310553384779383
551,174080,382.16,-4.470348358154297e-09,-0.0014482551374385365,0.1713134765625,380.00000000000045,1.472096524387598,17,0.013194479481899179,125.0,15.968717801570893,271.0,0.0024244257419013594,0.05302966300905145
551,184320,383.75,1.4901161193847657e-09,-0.0013196227235312108,0.197998046875,425.0,1.481223437190056,18,0.012526402744697407,125.0,15.968717789649963,265.5,0.002908582181089514,0.053731214961303085
550,194560,391.69,-7.078051567077636e-09,-0.0008489596673825872,0.1240234375,375.0,1.3836941406130792,19,0.012338766832908733,125.0,15.968717801570893,254.75,0.0020737438201450685,0.04779231786805968
549,204800,395.22,-1.2293457984924316e-08,-0.0011407660767872585,0.1901123046875,550.0,1.4441617481410502,20,0.013345048778865021,125.0,15.968717700242996,270.25,0.002707695526797238,0.052950923338649904
549,215040,389.87,-1.6763806343078613e-08,-0.0014688222436234355,0.1818115234375,575.0,1.5359767273068428,21,0.014694870078528766,125.0,15.968717908859253,288.75,0.002720815121949727,0.054055078425089366
548,225280,381.97,-8.940696716308593e-09,-0.0012670386349782348,0.1764404296875,600.0,1.5692867457866668,22,0.015869420778471977,147.5,15.968717873096466,306.0,0.002836265199675836,0.05730312941626263
547,235520,369.18,-6.332993507385254e-09,-0.0015490715311898384,0.2036865234375,575.0,1.5239716678857804,23,0.014723625691840426,175.0,15.96871793270111,307.25,0.0028148640184326723,0.05743074908677202
548,245760,368.54,-8.195638656616212e-09,-0.0011863549196277745,0.1931884765625,502.5000000000002,1.5770723469555379,24,0.014880162649205886,175.0,15.968718034029006,302.75,0.002762269532877326,0.05508570115393578
548,256000,358.31,-1.862645149230957e-09,-0.0006068987968319561,0.1729736328125,400.0,1.5900816097855568,25,0.014056835198425688,175.0,15.968717730045318,268.25,0.0026253836336422864,0.05638673047281558
547,266240,358.88,-1.1548399925231934e-08,-0.0017162733933218989,0.1982666015625,400.0,1.601333075761795,26,0.013482482131803409,125.0,15.968717861175538,262.0,0.002896756387366395,0.05508506168553272
547,276480,357.92,-1.9744038581848144e-08,-0.0013131782536220272,0.1910888671875,400.0,1.631171502172947,27,0.01315372652024962,125.0,15.968717831373215,261.5,0.00254547968688712,0.05406868568278517
548,286720,353.78,-1.825392246246338e-08,-0.0014861300183838465,0.185009765625,350.0,1.6160183355212212,28,0.01338952351215994,125.0,15.968717885017394,247.25,0.0024796868852035915,0.05301752535951709
548,296960,347.51,2.6077032089233397e-09,-0.0006563190396263963,0.21123046875,325.0,1.5601655125617981,29,0.011769429161358858,122.5,15.968717902898788,223.5,0.0029727682093948714,0.053458351010434904
548,307200,345.63,1.4901161193847657e-09,-0.0012025062864267967,0.1765869140625,350.0,1.6064611986279487,30,0.014599424868356437,75.0,15.968717968463897,223.25,0.002531110264897052,0.055846889810202346
548,317440,347.64,-1.2665987014770507e-08,-0.001411324577202322,0.2232421875,350.0,1.6870668068528176,31,0.013208005462365691,97.5,15.968717765808105,230.5,0.003024752653959695,0.05745221068152332
549,327680,349.19,-1.1175870895385742e-08,-0.0012814593123039232,0.236181640625,400.0,1.727570117264986,32,0.011549973802175373,75.0,15.968717634677887,242.75,0.003186258052824087,0.05511509607111763
549,337920,343.68,-3.054738044738769e-08,-0.0015475619075004943,0.2817626953125,400.0,1.7220206938683986,33,0.008406830967487622,50.0,15.968717628717423,218.75,0.004169548209233653,0.05429609511006398
548,348160,322.63,-6.7055225372314455e-09,-0.0026590139023028314,0.33623046875,350.0,1.6502096235752106,34,0.006304766053381173,25.0,15.968717509508133,152.5,0.004282285754669601,0.048844299849615316
549,358400,313.74,4.8428773880004884e-09,-0.00146712029381888,0.23857421875,227.5000000000002,1.5957050405442714,35,0.005217044064568199,0.0,15.968716269731521,108.25,0.0033642316282794125,0.04707400288787785
549,368640,311.23,-3.7252902984619143e-10,-0.00131582443282241,0.269873046875,152.50000000000023,1.637529304623604,36,0.005182862300210899,0.0,15.968715810775757,84.0,0.00435143426209379,0.04769665454256259
549,378880,313.1,-3.7252902984619143e-10,-0.0015008233745902543,0.297412109375,152.50000000000023,1.6699886247515678,37,0.006896818431141582,22.500000000000007,15.968717533349992,86.25,0.004454165229435603,0.05087829332399243
549,389120,317.33,-1.1548399925231934e-08,-0.001600897024036385,0.260546875,175.0,1.6989205949008466,38,0.007985299401298107,25.0,15.968717557191848,95.25,0.0034219084202959495,0.053164473560029346
548,399360,322.12,-1.564621925354004e-08,-0.001858908526628511,0.3012451171875,225.0,1.67921976223588,39,0.0076022114700322165,25.0,15.968716567754745,109.5,0.004110667204622586,0.05228860373272361
548,409600,330.13,-7.450580596923829e-10,-0.0012586536187882303,0.2381591796875,227.5000000000002,1.6699659146368504,40,0.006753560364808208,25.0,15.968715679645538,116.0,0.0028685499133302983,0.051285512878022896
548,419840,331.23,7.82310962677002e-09,-0.0015230921548209154,0.2974853515625,225.0,1.7289401337504386,41,0.007150739569016196,25.0,15.968717235326768,114.25,0.004351153162883747,0.05157213328607781
548,430080,336.34,-1.2665987014770507e-08,-0.001437210277072154,0.23525390625,325.0,1.6643081687390804,42,0.009158861456671729,25.0,15.968717640638351,146.5,0.0032880622160575967,0.05209342450702943
548,440320,345.13,-5.960464477539063e-09,-0.001405635453556897,0.2085205078125,325.0,1.5789216615259647,43,0.009592403406531957,25.0,15.96871742606163,162.75,0.0031607534964336994,0.05141122255918993
548,450560,353.03,-1.1920928955078126e-08,-0.0016258592902886448,0.2176513671875,350.0,1.4731225751340389,44,0.008545962693460751,50.0,15.968717682361603,178.25,0.0032872656093616117,0.04487562061887223
548,460800,352.87,-1.1548399925231934e-08,-0.0011653516397927889,0.169677734375,300.0,1.4573246255517005,45,0.00842523546382381,50.0,15.968717485666275,163.25,0.002639111667258476,0.044483039348936534
547,471040,356.36,-6.7055225372314455e-09,-0.0008901391007384518,0.2219970703125,300.0,1.5227410949766635,46,0.010120195392300958,50.0,15.968717688322068,168.75,0.0034679790473092,0.04964459116128045
547,481280,346.96,-1.4901161193847657e-09,-0.0014093726367718773,0.2832763671875,275.0,1.6516280010342599,47,0.00834706463033399,25.0,15.968716984987259,160.0,0.004027559593566821,0.051635723214145925
548,491520,353.6,6.332993507385254e-09,-0.0015169628590228968,0.2383544921875,282.5000000000007,1.6985908277332782,48,0.012512893296661786,25.0,15.968717861175538,189.75,0.003094409859022562,0.05788091113967858
547,501760,346.05,2.9802322387695314e-09,-0.001418411343183834,0.1978759765625,375.0,1.6752706684172154,49,0.0127735246278462,25.0,15.968717986345291,197.75,0.00250901420693026,0.055600916927542564
548,512000,351.71,1.9744038581848144e-08,-0.001058300167278503,0.186181640625,425.0,1.6708731435239315,50,0.015189374398323708,72.50000000000001,15.968717896938324,243.75,0.002441888532314351,0.057517762492016
548,522240,352.94,7.078051567077636e-09,-0.0013868473870388698,0.2154541015625,402.5000000000002,1.6412122786045074,51,0.015112678377772682,97.5,15.968717908859253,252.0,0.0027686981929491592,0.05727713691425683
548,532480,356.77,1.0058283805847169e-08,-0.000674215240360354,0.1781494140625,402.5000000000002,1.621081180125475,52,0.012751702236710117,97.5,15.968717712163926,259.5,0.002779730179008766,0.05314915389828627
547,542720,356.72,-9.685754776000977e-09,-0.0009310634100984317,0.194677734375,375.0,1.6461210243403912,53,0.013388102845055982,97.5,15.96871782541275,240.5,0.002542235385294589,0.05335689480407322
547,552960,363.52,1.862645149230957e-09,-0.0017182390291054616,0.21875,425.0,1.614226372539997,54,0.010553870758303673,97.5,15.968717700242996,250.5,0.002948163821918115,0.051308212380449116
547,563200,357.04,-2.0116567611694337e-08,-0.0012041172212775564,0.1850341796875,475.0,1.4904120422899723,55,0.012533414633071515,75.0,15.968717741966248,238.25,0.0024551160534258543,0.04787303090420918
547,573440,364.89,2.6077032089233397e-09,-0.0012584083237015876,0.15556640625,527.5000000000002,1.485840816795826,56,0.013051295532932272,100.0,15.968717855215072,258.25,0.0022184846112622836,0.04938443724222191
547,583680,372.47,-2.0116567611694337e-08,-0.0007790126077452441,0.1677490234375,552.5000000000002,1.511614230275154,57,0.010614129557507113,75.0,15.968717789649963,254.5,0.002156824373710009,0.050069123115498694
546,593920,367.84,-9.313225746154785e-09,-0.0010174891613132786,0.2958251953125,407.5000000000006,1.6230982407927512,58,0.0071956242805526925,50.0,15.968715536594392,214.5,0.004050879884107417,0.05022943581102838
546,604160,357.91,-2.16066837310791e-08,-0.0019275124854175375,0.291845703125,407.5000000000006,1.6803719647228719,59,0.009490133218059782,25.0,15.968717813491821,191.75,0.0033492453724193183,0.05210200637079011
545,614400,336.91,-7.078051567077636e-09,-0.0014420577936107293,0.2466796875,400.0,1.696597308665514,60,0.008314857419145482,25.0,15.968717241287232,160.0,0.0033891248259692473,0.05211947347053547
544,624640,330.59,-2.384185791015625e-08,-0.0014135277597233653,0.2507080078125,400.0,1.6603942975401877,61,0.006832349130127114,25.0,15.968717485666275,155.0,0.0031586805793722304,0.0490908654784742
544,634880,329.65,9.313225746154785e-09,-0.0013313600658875658,0.2611328125,332.5000000000006,1.7149489901959896,62,0.009998234544764274,25.0,15.968717789649963,155.0,0.0032702237396051714,0.053537486433323275
544,645120,327.53,4.470348358154297e-09,-0.0009334426278655883,0.210791015625,332.5000000000006,1.7455236457288266,63,0.008348225141207876,25.0,15.968717485666275,155.5,0.003035413320094449,0.05213093104462193
544,655360,328.59,-4.097819328308106e-09,-0.0015207536431262269,0.283935546875,327.5000000000002,1.706356444209814,64,0.007751601661675522,25.0,15.968717169761657,157.0,0.0038459313918394857,0.051665462884007474
543,665600,324.36,-1.080334186553955e-08,-0.0011822891032352346,0.2437744140625,282.5000000000007,1.6408817678689958,65,0.007908975434293097,25.0,15.968717563152314,146.25,0.0030600632536618376,0.049740712361568094
543,675840,333.55,-4.097819328308106e-09,-0.0009681802192062605,0.1671630859375,302.5000000000002,1.5619483552873135,66,0.012279145648062696,25.0,15.968717986345291,156.75,0.002032588941682434,0.05213027140891374
543,686080,343.32,2.7194619178771972e-08,-0.0015960171309416181,0.21572265625,325.0,1.5854875847697258,67,0.013403682636271697,50.0,15.968717795610427,187.75,0.0028111277754305775,0.054100811172804165
543,696320,354.99,1.1175870895385742e-09,-0.001881965985376155,0.1743896484375,352.5000000000002,1.5135667763650418,68,0.014591853393358178,72.50000000000001,15.968717986345291,228.75,0.0021621384946342915,0.052845162698915295
543,706560,356.32,-3.725290298461914e-09,-0.0012226507584273349,0.1826171875,415.00000000000125,1.5426319725811481,69,0.012542334687896072,122.5,15.968717730045318,254.0,0.002178187707363577,0.05214133990456944
542,716800,359.37,-9.313225746154785e-09,-0.0011880933310749243,0.2200439453125,577.5000000000002,1.6365701697766781,70,0.013196111643628683,97.5,15.968717885017394,271.5,0.0028547689606853053,0.05274089903147805
542,727040,354.66,9.313225746154785e-09,-0.0010520160951273283,0.201806640625,555.0000000000005,1.6374058738350867,71,0.011751434313555364,50.0,15.96871793270111,263.25,0.0024398488553742936,0.05610448576739994
542,737280,347.73,-3.2782554626464846e-08,-0.001663992935209535,0.19833984375,525.0,1.632587093114853,72,0.013771763224212918,50.0,15.968717831373215,244.75,0.0025034398635739308,0.05730978688693746
542,747520,347.99,-8.940696716308593e-09,-0.0009555707740219078,0.1554931640625,450.0,1.6197796531021595,73,0.012613763587432913,72.50000000000001,15.96871766448021,240.25,0.0020613009553471784,0.05189728589034529
