PMM:episode_rewards,P01:episode_rewards,episode_length,P09:episode_rewards,epoch_idx,advantage_norm,fps,frames,grad_norm,policy_gradient_bias_correction,explained_variance,q_loss,policy_entropy,policy_gradient_loss,policy_loss,avg_q_retraced,model_prob_std,avg_q_selected,rollout_prob_std
0.0,0.0,0,0.0,1,0.11946866065263748,285,7200,0.1444658242658202,0.0,-4.868814706802368,0.00036912345531163736,2.1394588987032575,0.0004204072339537864,0.0004204072339537864,-0.007375131811325749,0.019485238303119937,-0.007781277461132655,0.01948523853595058
0.0,0.0,0,0.0,2,0.06099936291575432,336,14400,0.04997732892462861,0.0,-4.503288682301839,9.150141912262673e-05,2.1895652532577516,-0.0005319498732660577,-0.0005319498732660577,-0.0019174896966433152,0.007016360728691022,-0.0013345019334034683,0.007016360495860378
0.0,0.0,0,0.0,3,0.03828799650073052,372,21600,0.005810151245945406,0.0,-4.601875321070353,2.1287625289308685e-05,2.196680013338725,7.451468272847705e-05,7.451468272847705e-05,0.001521508064858305,0.0033223644519845643,0.0013694135122932494,0.003322364358852307
0.0,0.0,0,0.0,4,0.05162291911741098,395,28800,0.006673084849683527,0.0,-3.989793380101522,2.9384855558115912e-05,2.196159251530965,-6.894822296696171e-05,-6.894822296696171e-05,0.0024612713100699087,0.0049896785523742436,0.002465436867593477,0.004989678591179351
0.0,0.0,0,0.0,5,0.023506644275039436,410,36000,0.0024140014955257205,0.0,-3.7606189489364623,8.235253221755557e-06,2.1969484170277913,-4.4470638567872814e-05,-4.4470638567872814e-05,0.0015271444882576665,0.002097350911935791,0.0015355065348558127,0.0020973508420865984
0.0,0.0,3324.75,0.0,6,0.03061377877990405,420,43200,0.0027674603011918555,0.0,-4.85063525835673,1.1389043875927503e-05,2.196826442082723,-6.376140712139507e-05,-6.376140712139507e-05,0.0006303791177060703,0.002766233882478749,0.0006869476701164483,0.002766233845613897
0.0,0.0,3324.75,0.0,7,0.013585966173559427,428,50400,0.0020614476706896693,0.0,-5.014056364695231,3.4096573813258146e-06,2.1970518827438354,1.4418975630784796e-05,1.4418975630784796e-05,9.781710062573741e-05,0.0012352104143549998,8.998539901199365e-05,0.001235210398832957
0.0,0.0,3324.75,0.0,8,0.01220560014868776,433,57600,0.0012375180576564158,0.0,-4.562456067403158,1.9126280828155967e-06,2.1971863746643066,-6.941458877918194e-06,-6.941458877918194e-06,0.00033695227102725767,0.0009562543108283232,0.00033698319930408616,0.0009562542584414283
0.0,0.0,3324.75,0.0,9,0.02095723388095697,437,64800,0.0015899611318817453,0.0,-4.110934543609619,5.955736222063024e-06,2.197038745880127,2.5187067709945647e-05,2.5187067709945647e-05,3.8501021405560704e-05,0.0017834829302349438,-9.953252932367226e-07,0.0017834828468039632
0.0,0.0,3324.75,0.0,10,0.014926444405379395,443,72000,0.0010649053772269275,0.0,-5.221782620747884,3.4532364580286413e-06,2.1971152782440186,-1.5264396779457456e-05,-1.5264396779457456e-05,-0.00014043303356932788,0.0012411729956511408,-0.0001246228862631445,0.0012411729810992255
0.0,0.0,3324.75,0.0,11,0.022222433984279633,449,79200,0.001434212307036493,0.0,-4.364650106430053,5.4154767260191266e-06,2.1970452467600503,1.5839009013992229e-07,1.5839009013992229e-07,4.3754917070752225e-05,0.0019251545153868696,3.0870996727117014e-05,0.0019251544212844844
0.0,0.0,3324.0416666666665,0.0,12,0.00642078419526418,453,86400,0.00038025050483997825,0.0,-5.956043879191081,8.364181406742924e-07,2.1972018082936606,2.93798247033313e-05,2.93798247033313e-05,-0.0005779052086533435,0.00044967993405104303,-0.0006040851008341027,0.0004496799112530425
0.0,0.0,3324.0416666666665,0.0,13,0.007110716837147871,457,93600,0.0008399946325939865,0.0,-5.187518215179443,1.2347706994357092e-06,2.1971890687942506,1.7707444764406926e-05,1.7707444764406926e-05,-2.7882006058158974e-05,0.0005419446194233993,-4.4510243848587074e-05,0.0005419446305798677
0.0,0.0,3324.0416666666665,0.0,14,0.0046303327661007644,460,100800,0.0002735815965278561,0.0,-5.245367153485616,2.8527694671727963e-07,2.19722048441569,1.2764693913898857e-05,1.2764693913898857e-05,-0.0003479366045212373,0.00029732839514811835,-0.00036006697240130355,0.0002973283616787133
0.0,0.0,3324.0416666666665,0.0,15,0.016000316152349113,465,108000,0.0008816989847391657,0.0,-4.691149504979451,2.5276538451635135e-06,2.1971423705418904,-3.458132064129889e-05,-3.458132064129889e-05,-9.320092058260344e-05,0.0013725366816894772,-4.736668195448601e-05,0.0013725366142656034
0.0,0.0,3324.0416666666665,0.0,16,0.005462075870794555,471,115200,0.00028933549794670193,0.0,-5.567392500241597,5.495026522102837e-07,2.1972082058588662,2.4426177583336538e-05,2.4426177583336538e-05,-0.0005218097758188378,0.0004148974835212963,-0.0005259845391265116,0.0004148974798833175
0.0,0.0,3324.25,0.0,17,0.013743115716324946,473,122400,0.0006940534324897166,-4.534667865569915e-08,-4.699574594939196,1.8954692847786796e-06,2.1971591042589256,-2.8152831135996704e-05,-2.819817781381028e-05,-0.0004223019710998752,0.0011729430867503485,-0.00038316169337863194,0.0024099054104630745
0.0,0.0,3324.25,0.0,18,0.005635874298537919,466,129600,0.00023588163149156682,-1.5164277850493548e-08,-5.001321940384214,4.7335257961494526e-07,2.1972123571236932,2.4027847552528803e-05,2.4012683240592138e-05,-0.000618994797393772,0.00045769300916689983,-0.0006328315348022557,0.004296412329645497
