frames,PMM:episode_rewards,value_loss,epoch_idx,fps,explained_variance,episode_length,grad_norm,P01:episode_rewards,clip_fraction,policy_entropy,advantage_norm,P09:episode_rewards,approx_kl_divergence,policy_loss
10240,51.5625,8.126040067398572,1,173,-0.40519683957099917,301.875,80.01151852039843,0.0,0.340966796875,1.6725498382467776,15.96871821284294,122.50000000000006,0.10896152529403505,0.005082911037970916
20480,116.53225806451613,0.017011108217411676,2,174,-2.6077032089233397e-09,313.0483870967742,0.4280344265166767,0.0,0.1625244140625,1.7678808517754079,15.968717908859253,197.49999999999997,0.002114336016006746,-0.0014249099891458171
30720,143.94736842105263,0.022656971258402336,3,184,-8.940696716308593e-09,320.33684210526314,0.24449778923485593,0.0,0.1119873046875,1.7593380004167556,15.968718034029006,395.0000000000007,0.0017487566060481186,-0.0012219339952935116
40960,183.25,0.021198046908830294,4,192,-2.0861625671386717e-08,330.5,0.19537377411190696,25.0,0.0789306640625,1.7722680643200874,15.968718069791795,477.5000000000002,0.0013819654906683354,-0.0017442855489207432
51200,189.75,0.01954983124305727,5,192,-1.4156103134155273e-08,334.38,0.10348996478685135,25.0,0.026611328125,1.7822878070175647,15.968717926740647,477.5000000000002,0.0006161375725383777,-0.0012986960762646049
61440,167.5,0.017883611886645667,6,196,-7.450580596923828e-09,328.08,0.095004292124428,47.50000000000001,0.0206787109375,1.763315599411726,15.968717843294144,425.0,0.0005789745907662791,-0.0011896612948476104
71680,146.75,0.019074604075285606,7,197,1.4528632164001465e-08,325.19,0.07361497056860943,25.0,0.0008544921875,1.7863503456115724,15.96871811747551,277.5000000000002,0.00018438530074398328,-0.00041638183174654844
81920,143.75,0.01724587898788741,8,199,-6.7055225372314455e-09,320.65,0.06904100209230428,25.0,0.0,1.7867657780647277,15.96871811747551,300.0,0.00017706489761089018,-0.0007912184606539086
92160,156.0,0.019213177199708296,9,199,-2.7939677238464355e-08,329.14,0.06627198191756216,25.0,0.0020263671875,1.7790079288184644,15.968718016147614,302.5000000000002,0.00025010216252745464,-0.0008324496662680758
102400,152.25,0.016362814014428295,10,198,-1.7508864402770997e-08,325.41,0.06523241731272778,25.0,0.0,1.7856980606913566,15.96871793270111,302.5000000000002,0.00014248214863847862,-0.0003623590026109014
112640,151.5,0.020460443940828556,11,198,-4.8428773880004884e-09,326.11,0.06923307826864437,25.0,0.00107421875,1.7752166725695133,15.968718141317368,275.0,0.00026101622275902513,-0.0010445678744872566
122880,164.25,0.023291358491405845,12,199,1.0430812835693359e-08,331.06,0.06706350214834572,25.0,0.0058349609375,1.768450789898634,15.968718230724335,275.0,0.00023986279736991633,-0.000717339225957403
133120,165.75,0.019012294098502025,13,200,9.313225746154785e-09,329.13,0.06989640654784735,25.0,0.0,1.7774913601577282,15.968717950582505,280.00000000000045,0.0002033708017776803,-0.0007567358392407186
143360,193.5,0.02589071439579129,14,200,-1.9744038581848144e-08,337.53,0.06445780420150186,50.0,0.0,1.774128183722496,15.968718445301056,400.0,0.00014773356790662718,-0.0005682414048351347
153600,192.25,0.020776333974208683,15,200,-3.3527612686157227e-08,337.37,0.0635347555677734,25.0,0.0,1.7797479450702667,15.968718093633651,410.00000000000085,0.00018051879370517554,-0.0006267670130910119
163840,207.0,0.023017172492109238,16,200,-1.6763806343078613e-08,346.66,0.05614176679802578,25.0,0.0,1.7832818165421487,15.968718189001084,500.0,0.00010311413310173378,-0.00042277446991647596
174080,207.25,0.020613975083688275,17,199,1.4156103134155273e-08,353.5,0.05390231532740784,25.0,0.0,1.7868967913091183,15.968718141317368,500.0,8.388466411552997e-05,-0.00032045127809396943
184320,188.5,0.01854384800826665,18,200,9.685754776000977e-09,352.32,0.05556950042029638,25.0,0.0,1.7888199009001255,15.968718063831329,355.00000000000045,0.00010292236817690536,-0.000453241225113743
194560,190.5,0.017454654454195407,19,200,-1.4901161193847656e-08,352.82,0.05677313945205916,25.0,0.0,1.7877442948520184,15.9687180519104,500.0,9.794526922419777e-05,-0.00040774001099634915
