q_loss,frames,avg_q_selected,P09:episode_rewards,P01:episode_rewards,PMM:episode_rewards,epoch_idx,rollout_prob_std,policy_gradient_loss,grad_norm,explained_variance,policy_loss,policy_gradient_bias_correction,avg_q_retraced,advantage_norm,fps,episode_length,policy_entropy,model_prob_std
0.00044588434532973525,7200,0.003857751258571322,0.0,0.0,0.0,1,0.013979615597054362,2.2994535296068837e-05,0.09629643553359836,-4.985096295674642,2.2994535296068837e-05,0.0,0.004019816724273066,0.09845520891249179,424,0,2.164557393391927,0.013979615022738775
0.0004232394902373926,14400,0.0036379343713633717,0.0,0.0,0.0,2,0.008229094743728637,-0.0005641155448756763,0.08877934396697486,-5.3395871003468836,-0.0005641155448756763,0.0,0.0030451758958709736,0.08660821256538233,358,0,2.18970468044281,0.008229094929993153
1.4830989145290612e-05,21600,-0.0028149534094457826,0.0,0.0,0.0,3,0.0030465885220716396,0.00011257111931020821,0.005027382445091135,-5.274531253178915,0.00011257111931020821,0.0,-0.0027319592132698744,0.03326402343809605,367,0,2.1967530409495035,0.0030465886617700257
3.356349659497937e-05,28800,-0.0014928610752879953,0.0,0.0,0.0,4,0.0051540151587687435,0.00010397631510083253,0.006251888216248566,-5.0425944328308105,0.00010397631510083253,0.0,-0.0014018589896295452,0.05302508566528559,387,0,2.1960670153299966,0.005154015053994954
8.833774309853955e-06,36000,-0.0030585223032782477,0.0,0.0,0.0,5,0.002220232301624492,0.00017801026236459924,0.0022080225440663727,-4.691439771652222,0.00017801026236459924,0.0,-0.002937489070851977,0.02457449200252692,404,0,2.19691375096639,0.0022202323734139403
1.302547679718676e-05,43200,-0.002084090382171174,0.0,0.0,0.0,6,0.0031679923413321376,0.00010694387880600213,0.003145132631895601,-4.97348682085673,0.00010694387880600213,0.0,-0.0020289255170306813,0.03249737505490581,415,3324.1666666666665,2.1967215220133465,0.003167992321929584
4.273146195525138e-06,50400,-0.001975879325376203,0.0,0.0,0.0,7,0.0012849398849842449,8.743790625279265e-05,0.0019160305890505915,-5.300958108901978,8.743790625279265e-05,0.0,-0.0019452539874085537,0.016070081138362488,425,3324.1666666666665,2.1971192439397176,0.0012849399296101182
3.332143372366166e-06,57600,0.0007471485955951114,0.0,0.0,0.0,8,0.0011584405554458499,2.328798353990654e-05,0.0018181486551572072,-5.010239672660828,2.328798353990654e-05,0.0,0.0007992961327545345,0.015475706507762274,433,3324.1666666666665,2.1971540530522664,0.0011584406660404057
7.4162175640897965e-06,64800,-0.0015627350274977894,0.0,0.0,0.0,9,0.0022226060624234377,0.00010628538272309622,0.001773076876360125,-4.812577946980794,0.00010628538272309622,0.0,-0.0014713530409305045,0.02404392814884583,437,3324.1666666666665,2.1969645977020265,0.002222606107049311
4.848855500464803e-06,72000,-0.0015072820339507114,0.0,0.0,0.0,10,0.0015657453419407829,-4.354723757084382e-05,0.0013495534535709198,-5.499010229110718,-4.354723757084382e-05,0.0,-0.0015981395651275914,0.017785211947436135,443,3324.1666666666665,2.1970693747202557,0.0015657453429109107
7.565108315551091e-06,79200,-0.0013580186195516339,0.0,0.0,0.0,11,0.0023335222707828508,0.00011556531179242786,0.0017253415410567153,-4.7855207602183025,0.00011556531179242786,0.0,-0.0012642111668052772,0.026095841871574522,448,3324.1666666666665,2.1969677845637006,0.0023335223251100008
1.283216510235737e-06,86400,-0.0013347103447207095,0.0,0.0,0.0,12,0.0007103606272721663,1.3970596091894549e-05,0.0006142698677564748,-5.762655115127563,1.3970596091894549e-05,0.0,-0.0013583161402493716,0.008382296189665794,452,3324.0,2.1971888542175293,0.0007103606369734431
2.0043461309645256e-06,93600,0.0005405952142609749,0.0,0.0,0.0,13,0.0007147904330243667,-1.934490248155877e-05,0.001201972933045551,-5.48807806968689,-1.934490248155877e-05,0.0,0.0005164741693685452,0.01083700181916356,456,3324.0,2.1971895694732666,0.0007147904941424107
1.3714365394434935e-06,100800,-0.0008242799046759804,0.0,0.0,0.0,14,0.0006617292703595013,5.461473938339622e-06,0.0006733311003859454,-5.517927185694377,5.461473938339622e-06,0.0,-0.0008208922537354131,0.009373551389823357,458,3324.0,2.1972009261449177,0.0006617293033438425
4.5033128363532645e-06,108000,-0.001072994313047578,0.0,0.0,0.0,15,0.001797812956889781,7.067295797848298e-05,0.0011477838266769533,-4.932503016789754,7.067295797848298e-05,0.0,-0.0010235830365369718,0.020553688704967498,460,3324.0,2.1970846096674603,0.0017978130121870588
1.2978893015732259e-06,115200,-0.0011279494870298852,0.0,0.0,0.0,16,0.0007117200914459924,6.215145732918851e-05,0.0004828787650921575,-4.940387233098348,6.215145732918851e-05,0.0,-0.0010779711708892136,0.00861995171289891,463,3324.0,2.1971858421961468,0.0007117200914459924
3.740567566102489e-06,122400,-0.0006152971787646709,0.0,0.0,0.0,17,0.0025434843110535496,7.5372268212872545e-06,0.0009705545243693536,-4.5590519020576314,7.53729061728784e-06,6.379566998128262e-11,-0.0006405379333150521,0.01825298803202468,462,3324.1111111111113,2.1971115880353107,0.0015611682433483932
9.305316572112457e-07,129600,-0.00013239803403548324,0.0,0.0,0.0,18,0.004109774623254438,7.372590952876461e-06,0.0003961636154488918,-3.972811608834872,7.368257243970653e-06,-4.333663993586849e-09,-0.0001273609558571929,0.008483162478906616,455,3324.1111111111113,2.1972050976910915,0.0006404800522628532
