PMM:episode_rewards,fps,advantage_norm,P01:episode_rewards,frames,policy_loss,grad_norm,episode_length,explained_variance,value_loss,policy_entropy,epoch_idx,P09:episode_rewards
1.1395348837209303,271,2.3813122222572565,0.0,8000,-0.01782269812792947,7.226132185505675,171.72093023255815,-1.95027188539505,0.1892239818195594,1.3017540365457534,1,3.0
1.184782608695652,264,1.131253744289279,0.0,16000,0.001141966860741377,0.17624788990765278,173.58695652173913,-0.017504703998565675,0.012051970716083816,1.3711385488510133,2,3.0
1.43,269,1.316094083674252,0.0,24000,0.003748019360937178,0.23229813928949447,182.95,-0.033500730991363525,0.015481159161754476,1.3782281947135926,3,4.0
1.64,273,1.292657046355307,0.0,32000,-0.00015716055931989104,0.21181019372167392,192.84,-0.006261243224143982,0.014637406598167218,1.38222132563591,4,4.0
1.49,273,1.188804639801383,0.0,40000,0.0038364354707300665,0.20816019974656563,187.27,0.010901586413383483,0.013384957407479305,1.382646737098694,5,3.0
1.52,275,1.3492985702678562,0.0,48000,0.0011982222690130584,0.2428228355989892,189.59,-0.021145882606506346,0.016006839180190583,1.3821549451351165,6,3.0
1.45,272,1.070291121378541,0.0,56000,-0.0009259534332159092,0.34924061112074084,185.49,0.008274519443511963,0.013935682353439916,1.377869518995285,7,3.0
1.29,275,1.3786704739183187,0.0,64000,0.0015240707440534608,0.30363502865098035,179.79,0.021554905772209167,0.0162755399438538,1.3784767878055573,8,3.0
1.41,271,1.2600754692405463,0.0,72000,-0.00017279889027122409,0.3204083402435186,182.83,0.0021199101209640504,0.01432810749298369,1.3769896614551544,9,3.0
1.31,270,1.0219786328077316,0.0,80000,0.001725346773455385,0.2857562781484779,177.23,0.049326642751693725,0.010143276303861058,1.3785547614097595,10,3.0
1.29,270,1.1641486696898937,0.0,88000,0.0005994861436192878,0.3275234075830377,175.49,0.12620190560817718,0.011528565485787113,1.3777207601070405,11,3.0
1.06,271,1.1014694023132323,0.0,96000,-0.006102894154173555,0.5310991589486924,167.19,0.11496422290802003,0.0200057722353813,1.3510835951566695,12,3.0
0.91,270,1.4044977726042271,0.0,104000,-0.0035755281514138915,0.8041728150309585,162.42,-0.2498827427625656,0.031179946293123068,1.356836371421814,13,2.1000000000000085
1.21,270,1.2612176325917244,0.0,112000,-0.006635610356752295,0.5339017669877544,171.45,0.4269599312543869,0.013673152336850762,1.375671455860138,14,3.0
1.29,271,1.2828495091199874,0.0,120000,-0.004540781323448755,0.4534407012405754,175.92,0.4865317565202713,0.013786199220776325,1.3763259387016296,15,3.0
1.21,271,1.2356468191742898,0.0,128000,-0.001122851403652021,0.39318716863378184,175.81,0.6411402893066406,0.01136666895414237,1.3675712883472442,16,3.0
1.6,271,1.2523513379693032,0.0,136000,-0.0014536800982750718,0.3812489464144429,187.63,0.6042331719398498,0.011232688614400103,1.36955100774765,17,4.0
1.57,271,1.220177836716175,0.0,144000,-0.003541065636090934,0.41371403216472863,187.16,0.3183799886703491,0.01127489614940714,1.3481859064102173,18,4.0
1.06,272,1.2618016788363458,0.0,152000,-0.0019482893287204206,0.3829596877777425,167.67,0.5208862608671189,0.012122650989331305,1.3582973754405976,19,3.0
0.94,271,1.0848842334747315,0.0,160000,-0.0018358351394999772,0.34712617107336624,159.88,0.47084537386894226,0.009426788655109703,1.3365833675861358,20,3.0
0.93,272,1.3577852854132653,0.0,168000,-0.00871649361710297,0.46712057072503177,159.92,0.5596322029829025,0.01392469223414082,1.324289265871048,21,3.0
0.95,272,1.0036465828120709,0.0,176000,-0.0004566866910317913,0.28469808183674267,159.32,0.5521714150905609,0.008149326930288225,1.345754097700119,22,2.1000000000000085
0.85,272,1.0725346891582013,0.0,184000,-0.00402544019423658,0.3780933776705328,156.08,0.692934302687645,0.00867453812097665,1.3688333249092102,23,2.0
1.04,272,1.2801413905620576,0.0,192000,-0.002947066646302119,0.39523702298526664,167.47,0.7513434725999832,0.011881054396508262,1.3777864456176758,24,3.0
1.26,272,1.205124647319317,0.0,200000,-0.0028878288867417723,0.3780778524601607,177.58,0.7789001661539078,0.010340166061650962,1.361202883720398,25,3.0
1.48,273,1.2287776270508766,0.0,208000,-0.004768771347007714,0.37900886379079984,184.93,0.8055611461400985,0.01105625944212079,1.3709420669078827,26,5.0
1.78,273,1.1661485281586648,0.0,216000,-0.004087888631620445,0.4424130033519038,194.82,0.8229284530878067,0.014403203708934598,1.3544103491306305,27,5.0
1.68,273,1.0893170696496963,0.0,224000,-0.0019599917758023368,0.3186936799341971,190.61,0.8687927198410034,0.008763696589739993,1.368542937040329,28,5.0
1.84,273,1.3018116393685342,0.0,232000,-0.00798234027792205,0.587515630663002,200.04,0.8764908558130264,0.02022727979114279,1.3275845476984978,29,5.0
1.66,273,1.0239699384570122,0.0,240000,-0.00220103191153612,0.29580443279630797,192.93,0.9244732457399368,0.007547018256736919,1.3456328558921813,30,5.0
2.07,274,0.9566452440619468,0.0,248000,0.00031752244918607173,0.2668127792640435,207.84,0.934895686507225,0.006483096060110256,1.3399299216270446,31,5.1000000000000085
2.19,274,0.9066168078780175,0.0,256000,-0.0010207074927166104,0.255447624550678,210.1,0.9286348778009414,0.006246538961713668,1.357749787569046,32,8.0
2.01,274,0.9778510320186615,0.0,264000,-0.0029963040427537636,0.2791461883902215,203.32,0.904312441945076,0.007196611415711231,1.357688583135605,33,7.1000000000000085
1.85,275,0.8212286868691444,0.0,272000,-0.0013459188662818633,0.2241092242551344,197.63,0.9594209653139114,0.0048951820109505205,1.3290235435962676,34,5.1000000000000085
2.12,275,0.7406770494580269,0.0,280000,-0.00197474288434023,0.2053606949325618,208.9,0.9595737022161483,0.0043038323294604195,1.3318315207958222,35,5.1000000000000085
2.33,275,0.750100833773613,0.0,288000,0.0004388912913418608,0.1905511063013558,216.85,0.9660534542798996,0.004059261606889777,1.3481017351150513,36,5.1000000000000085
2.35,275,0.6881558778882026,0.0,296000,-0.0011224699945887552,0.17110705879249008,216.25,0.9630095249414444,0.0037054407765390353,1.3421584045886994,37,5.0
2.45,276,0.6787680542469025,0.0,304000,-0.0001874109570053406,0.17006647797146343,217.79,0.9660076129436493,0.003639964160392992,1.342818648815155,38,9.0
2.26,276,0.7238382104039193,0.0,312000,-0.001269661549013108,0.19615587235226906,209.72,0.9554281502962112,0.004181782444647979,1.3574964880943299,39,9.0
2.1,276,0.7986105728149414,0.0,320000,-0.0015833474423197914,0.21370580759969862,203.85,0.9515404045581818,0.004870964320725761,1.3610389304161072,40,5.0
1.93,277,0.8381430587172508,0.0,328000,0.0005474797451165614,0.21378738584777357,198.64,0.937378375530243,0.005229448371683248,1.3442732882499695,41,5.0
2.43,277,0.8299799418449402,0.0,336000,-0.001026280619262252,0.19983755967548192,215.97,0.9466606342792511,0.005193979242467322,1.3537245774269104,42,8.0
