epoch_idx,policy_gradient_bias_correction,fps,grad_norm,avg_q_retraced,explained_variance,advantage_norm,P09:episode_rewards,avg_q_selected,policy_loss,rollout_prob_std,P01:episode_rewards,episode_length,model_prob_std,PMM:episode_rewards,policy_entropy,q_loss,frames,policy_gradient_loss
1,0.0,335,0.06836127448999532,-0.004153418403196459,-26.49677448272705,0.04083982855081558,0.0,-0.004700059421884362,-6.643843613953019e-05,0.011723290430381894,0.0,0,0.011723290290683508,0.0,2.1773505449295043,0.00037106276771131283,7200,-6.643843613953019e-05
2,0.0,217,0.01650368421296703,-0.004343167362579455,-37.53396499156952,0.0186798261012882,0.0,-0.004417307921539759,8.16337096694042e-05,0.004274981534884622,0.0,0,0.004274981402947257,0.0,2.1953560670216876,3.486560913188441e-05,14400,8.16337096694042e-05
3,0.0,261,0.0026932369655126645,-0.0014728427631780505,-32.48618148167928,0.013821655279025435,0.0,-0.0014531871430032576,4.360097265892667e-05,0.002323338315666964,0.0,0,0.0023233382768618562,0.0,2.196944506963094,1.042742618816798e-05,21600,4.360097265892667e-05
4,0.0,282,0.0038504595987295634,-0.0004748922320989853,-45.615557765960695,0.02938308901308725,0.0,-0.00040408558306808117,1.1659980733232564e-05,0.0043889873350660006,0.0,0,0.004388987337006256,0.0,2.196370792388916,2.3486723406070573e-05,28800,1.1659980733232564e-05
5,0.0,304,0.001253667166098319,-0.0005090399890226156,-80.04906717936198,0.012073788326233625,0.0,-0.0005017515367702192,6.953467305947925e-06,0.0016538221680093557,0.0,0,0.0016538222009936968,0.0,2.1970234473546344,7.561436715756524e-06,36000,6.953467305947925e-06
6,0.0,325,0.001946694052925549,-0.0006071350987743548,-30.16880226135254,0.01898807124234736,0.0,-0.0006578864894436265,3.16693923556007e-05,0.0024502969540966054,0.0,3324.8333333333335,0.0024502968900681783,0.0,2.1968963066736857,1.0155764387794382e-05,43200,3.16693923556007e-05
7,0.0,343,0.0011863646621203534,-7.691961915128332e-05,-76.23539150555929,0.0059542579033101594,0.0,-0.00016551173747008836,5.266306677261431e-07,0.0009094794319632152,0.0,3324.8333333333335,0.0009094793950983634,0.0,2.1971277554829913,6.171429284525706e-06,50400,5.266306677261431e-07
8,0.0,357,0.0006439737384558018,-0.00018940690704312147,-93.9916670958201,0.004806978177900116,0.0,-0.00016437976737506687,4.154901645847531e-06,0.0006833155532755578,0.0,3324.8333333333335,0.0006833155765586222,0.0,2.197197373708089,3.2912916746378567e-06,57600,4.154901645847531e-06
9,0.0,369,0.0009757772928471453,-0.00041535851582542215,-31.55944709777832,0.012522196187637747,0.0,-0.00041477977450388913,5.493263603284504e-06,0.0015957868541590869,0.0,3324.8333333333335,0.0015957869016953433,0.0,2.197068174680074,5.105887684446012e-06,64800,5.493263603284504e-06
10,0.0,379,0.0007020580553917676,-0.0002097488705961344,-165.96292289098105,0.008196418460768958,0.0,-0.00020489532810946304,8.157274585111433e-06,0.001105077272707907,0.0,3324.8333333333335,0.0011050772576709279,0.0,2.1971288124720254,3.317513865871054e-06,72000,8.157274585111433e-06
