PMM:episode_rewards,policy_loss,explained_variance,advantage_norm,grad_norm,episode_length,policy_entropy,value_loss,epoch_idx,fps,P09:episode_rewards,frames,P01:episode_rewards
1.15,-0.02639026127406396,-1.4342678648233413,1.595562962293625,1.243662014814324,171.85,1.3606451547145844,0.04471597196919447,1,271,3.0,8000,0.0
1.4827586206896552,0.0034437359526054935,-0.056502271294593814,1.1902770545706154,0.2218493246035189,184.58620689655172,1.3692108476161957,0.013627735122408922,2,161,4.0,16000,0.0
1.62,-0.0008607926780223352,-0.024839838147163392,1.276549517773092,0.21920188007640082,186.29,1.3697136569023132,0.01405659878415463,3,175,4.0,24000,0.0
1.33,0.0020905310078524054,-0.10027676701545715,0.9958030929975211,0.17616176529384997,175.97,1.3669413208961487,0.010813071048251004,4,182,4.0,32000,0.0
1.41,0.00018322482974326705,-0.05269877254962921,1.0872788592614233,0.1865662510805826,183.07,1.381306562423706,0.011698220655821387,5,182,4.0,40000,0.0
1.32,0.0018170471955090762,-0.041982783675193786,1.043368662111461,0.18551520894867288,179.85,1.383469295501709,0.011331621882782202,6,184,3.0,48000,0.0
1.08,0.0010911833978025243,-0.029197441935539244,1.0492114570736886,0.1667931877147719,168.37,1.3812714755535125,0.011138210255439844,7,185,3.0,56000,0.0
1.12,0.0016978971380740403,-0.017091310024261473,1.0369770827516913,0.17549888650627404,169.87,1.3781711328029633,0.011031641435820347,8,186,3.0,64000,0.0
1.15,0.002057338876766153,-0.01261323094367981,1.083808370307088,0.17226672042432056,171.84,1.3825085854530335,0.012094433730107995,9,189,3.0,72000,0.0
1.3,0.002610162280034274,-0.02250808000564575,1.2287623845413327,0.17595295578008052,175.9,1.3787863457202911,0.013626730149762806,10,192,4.0,80000,0.0
1.62,0.001937183271656977,0.005257695913314819,1.4738336762040853,0.22117309104175426,191.62,1.3820244657993317,0.017962328791873004,11,192,4.0,88000,0.0
1.52,-0.002330517139052972,-0.038751473426818846,1.213730701878667,0.2584619892048897,189.61,1.3705321145057678,0.013392658778429904,12,192,4.0,96000,0.0
1.28,0.0008971279342949856,-0.00195869505405426,1.1908792304247617,0.20880647942169342,178.85,1.36697558760643,0.0124986827140674,13,192,3.0,104000,0.0
1.39,0.0021382739976979794,-0.021682957410812376,1.2090037616342306,0.22757135636843542,180.47,1.3612459349632262,0.01348765839546104,14,193,3.0,112000,0.0
1.31,0.001783700204687193,-0.031952540874481204,1.0521863140910863,0.20576853644106743,176.46,1.3641743779182434,0.010673531792199355,15,194,3.0,120000,0.0
1.14,0.0020960479104542174,0.022016044855117798,1.0812675565481187,0.23943435709922256,172.55,1.379046926498413,0.010705350825301139,16,195,3.0,128000,0.0
0.8,-0.0003369466032017954,-0.34397314608097074,0.7608735915273428,0.15679802155684644,160.42,1.3817859423160552,0.005901840648730286,17,197,2.0,136000,0.0
0.86,0.001777457270072773,0.0881680679321289,1.2702757421135902,0.3143876295486358,163.21,1.3765950274467469,0.01369326453845133,18,198,2.0,144000,0.0
1.21,-0.0006618736078962684,0.0081535804271698,1.249490956813097,0.31728861683542187,177.79,1.373281742334366,0.012499128801282495,19,200,3.0,152000,0.0
1.12,-0.0063895837777818085,0.3952536427974701,1.4905473113059997,0.5849769744886276,171.67,1.366971094608307,0.0260225835791789,20,201,2.1000000000000085,160000,0.0
1.22,-0.0028070070669036795,0.272458621263504,1.3058681513369084,0.3062563309186611,175.37,1.3734315538406372,0.013157475430198247,21,202,2.1000000000000085,168000,0.0
1.4,-0.0004705979356367607,0.45524361908435823,1.3162611258029937,0.34199584284745016,182.29,1.372694433927536,0.01369807083887281,22,204,3.0,176000,0.0
1.31,-0.0014137795027636458,0.6787830632925034,1.2696465604007243,0.3047384588351727,178.74,1.380255651473999,0.012888572313822805,23,204,3.1000000000000085,184000,0.0
1.53,-0.002019512492697686,0.6190525859594345,1.3502536803483962,0.3493867655665007,186.38,1.3699654388427733,0.014542008611315396,24,205,4.0,192000,0.0
1.49,-0.00173077009501867,0.6582488930225372,1.243600666821003,0.3120639853734787,183.6,1.3659256494045258,0.012289590384461917,25,204,4.0,200000,0.0
1.26,-0.0009168686054181307,0.6571506494283677,1.1628801336884498,0.269083894370639,177.12,1.3723105931282042,0.01016670297976816,26,204,3.0,208000,0.0
1.21,-0.0007156684494111687,0.7364186376333237,1.1143766754865647,0.27280517770614976,175.36,1.3777631580829621,0.009526086473488248,27,204,3.0,216000,0.0
1.18,0.0009161305776797235,0.74887999355793,1.1887822243571282,0.2970793648495847,173.05,1.374897699356079,0.010909736746689304,28,204,3.0,224000,0.0
1.3,-0.005446413424360799,0.8454410660266877,1.1830290752649306,0.33578496708142935,179.24,1.3606066858768464,0.01006988898065174,29,206,3.0,232000,0.0
1.84,-0.0012607791143818758,0.9240154868364334,0.9538574168086051,0.24477200174606742,198.13,1.327694934606552,0.006402383999666199,30,207,5.0,240000,0.0
2.06,-0.0005354853161406936,0.8982252967357636,1.036423447728157,0.2597994501703529,204.67,1.339494732618332,0.007969077093875968,31,208,6.0,248000,0.0
1.85,-0.0010559958266094327,0.9370558148622513,0.9539463216066361,0.22260759426363674,197.14,1.3469457578659059,0.006617558939033188,32,207,5.1000000000000085,256000,0.0
2.17,-0.0021938153519295155,0.9002981007099151,1.0562995445728303,0.27871500555841183,206.77,1.334321323633194,0.008673955810954793,33,208,6.0,264000,0.0
2.43,-0.0007026522292289883,0.9310713577270507,0.9103224340081215,0.22693464917474818,215.18,1.337470874786377,0.006576647942420095,34,209,8.100000000000009,272000,0.0
1.95,-0.0008087251576944254,0.9035724920034408,0.8635014137625694,0.20525510830756066,199.56,1.3690411853790283,0.005423382215667516,35,209,6.1000000000000085,280000,0.0
1.61,-0.0028038268769159914,0.9476811176538468,0.8598633855581284,0.22815069334507862,189.81,1.3521983683109284,0.005897339578368701,36,210,5.0,288000,0.0
1.6,-0.0016071285220095888,0.9582115012407303,0.6768078535795212,0.15735841146368937,190.54,1.3536096966266633,0.003796965017390903,37,211,5.0,296000,0.0
1.76,-0.0003353993067139527,0.9528986358642578,0.7546370485424996,0.1876905804191695,194.37,1.3598384284973144,0.004483050089911558,38,211,5.0,304000,0.0
1.79,-0.0013462840160354973,0.9264740478992463,0.8560157963633537,0.20300922485344752,195.83,1.3668409621715545,0.005671799152623862,39,211,5.0,312000,0.0
