frames,episode_length,P01:episode_rewards,explained_variance,PMM:episode_rewards,policy_loss,value_loss,policy_entropy,fps,P09:episode_rewards,advantage_norm,epoch_idx,grad_norm
8000,170.25,0.0,-1.0793957495689392,1.025,-0.00860758124901622,0.07571750724398953,1.3077112069725991,256,3.1000000000000014,1.8616279927641153,1,2.173455503016914
16000,176.12222222222223,0.0,-0.060155968070030215,1.2333333333333334,0.0028906399915285875,0.013498582165957486,1.3516947937011718,172,3.0,1.2208523143082857,2,0.2377530497811028
24000,184.35,0.0,-0.004895311594009399,1.43,-0.0011340350238606333,0.01633366941157874,1.3545223546028138,176,4.0,1.3544841795414686,3,0.26265339080998806
32000,184.83,0.0,-0.008962323069572448,1.44,0.002809990515888785,0.013527464665712615,1.3733081412315369,176,4.0,1.1876895682513713,4,0.21001206877985873
40000,178.84,0.0,0.04854819536209107,1.33,0.0036141128331655635,0.012352096853010152,1.3807586586475373,179,3.0,1.1085681449621916,5,0.20609970351648574
48000,183.17,0.0,0.1059194940328598,1.43,3.3114748366642746e-05,0.01549615893545706,1.3790714931488037,183,4.0,1.3426233706623316,6,0.260388272196481
56000,202.83,0.0,0.24615739047527313,1.9,-0.004006755310110748,0.022836493278155102,1.3729873847961427,182,5.0,1.6285964250564575,7,0.5021620849374246
64000,212.41,0.0,0.35537253201007846,2.1,-0.003195575110439677,0.015550066577852704,1.3714550375938415,183,5.0,1.4278926306962967,8,0.4206290378749833
72000,213.03,0.0,0.6468951380252839,2.09,-0.0026082678989041595,0.014441878972575069,1.332537760734558,184,5.1000000000000085,1.3954103741049766,9,0.38082020483483936
80000,219.95,0.0,0.6909873104095459,2.31,-0.000683048998034792,0.01714333112584427,1.3662353980541229,189,6.0,1.5439386934041976,10,0.43770093417121686
88000,217.28,0.0,0.7647323763370514,2.23,-0.002169317262014374,0.011828899743268267,1.3719185531139373,192,5.1000000000000085,1.244653858244419,11,0.34526214497721824
