#{"t_start": 1544021271.0459015, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
5.0,329,68.476264
0.0,129,75.394279
2.0,202,114.58531
0.0,129,121.144275
0.0,127,129.61127
0.0,127,138.279775
0.0,127,149.705716
5.0,349,176.463809
0.0,127,186.698296
0.0,129,197.643863
1.0,175,214.345246
2.0,204,228.079081
0.0,129,241.633374
0.0,129,250.270175
2.0,223,265.297306
4.0,301,292.692338
1.0,176,302.467865
0.0,127,308.726475
6.0,398,343.694962
1.0,172,366.719145
0.0,129,372.607167
0.0,129,380.433933
0.0,127,388.084081
2.0,202,401.801342
4.0,321,427.866405
0.0,125,436.627514
1.0,155,444.392066
0.0,129,451.902601
0.0,125,458.845191
2.0,204,471.760984
0.0,127,480.019274
1.0,155,491.257232
9.0,398,519.07851
0.0,129,525.389534
0.0,127,535.05772
2.0,202,545.743885
0.0,127,552.041251
3.0,248,567.768817
1.0,157,577.861013
3.0,268,598.453426
3.0,248,613.121426
6.0,397,638.860501
0.0,129,644.447711
3.0,253,662.1507
0.0,127,670.400213
0.0,129,680.111622
4.0,297,700.851277
4.0,320,717.672751
2.0,202,730.019134
0.0,129,739.071411
2.0,198,750.645778
0.0,125,757.998387
0.0,127,766.281981
5.0,346,785.346104
0.0,125,792.185113
0.0,127,800.144764
0.0,127,807.653559
5.0,352,830.82554
2.0,220,844.821012
0.0,125,853.027217
10.0,452,882.054807
0.0,129,891.7789
2.0,202,902.847683
6.0,400,932.991521
2.0,202,944.845783
0.0,129,953.282268
5.0,366,974.524493
4.0,297,994.064621
0.0,125,1001.048448
0.0,129,1012.859497
2.0,198,1028.182311
0.0,127,1036.096594
0.0,129,1043.943871
2.0,198,1056.780161
2.0,202,1070.738962
0.0,127,1079.585889
2.0,202,1092.243729
2.0,202,1105.253904
0.0,127,1111.809954
6.0,378,1135.793823
2.0,198,1147.225135
0.0,129,1156.054095
0.0,127,1163.620764
2.0,198,1176.420847
0.0,127,1185.56195
6.0,377,1212.177136
1.0,173,1222.560137
0.0,129,1232.837355
10.0,453,1263.601089
3.0,250,1277.403363
0.0,129,1284.753508
0.0,127,1293.156443
1.0,178,1305.967667
2.0,202,1321.61124
5.0,350,1346.376485
8.0,350,1371.236332
0.0,127,1379.188894
0.0,125,1387.508632
5.0,329,1408.007365
5.0,326,1427.855808
1.0,170,1437.415761
0.0,125,1446.787876
5.0,350,1472.983906
0.0,127,1480.447547
3.0,245,1495.556423
4.0,297,1516.646438
0.0,127,1525.214188
0.0,125,1535.18673
1.0,155,1546.818763
0.0,129,1554.240613
5.0,350,1579.04224
3.0,234,1595.099339
4.0,299,1619.96427
0.0,129,1628.025362
2.0,201,1643.174127
0.0,127,1651.001741
0.0,129,1658.880541
3.0,230,1673.187558
1.0,155,1682.89322
0.0,125,1691.071953
14.0,487,1722.194887
0.0,129,1732.407789
2.0,202,1747.249904
0.0,127,1755.073509
0.0,125,1761.564988
1.0,173,1772.971049
0.0,129,1780.765231
4.0,299,1799.954231
0.0,129,1809.14735
1.0,176,1821.079285
0.0,127,1831.098342
0.0,127,1841.195498
2.0,200,1857.585849
5.0,350,1878.445981
0.0,129,1886.344371
0.0,129,1896.150738
0.0,129,1904.368719
0.0,129,1915.461886
0.0,129,1923.038513
0.0,129,1931.059304
0.0,129,1939.277337
0.0,127,1946.747617
0.0,129,1953.159508
0.0,129,1962.046216
2.0,202,1974.220667
0.0,127,1981.402573
0.0,129,1989.588156
1.0,175,2000.351968
0.0,129,2007.03272
0.0,127,2016.330062
1.0,176,2029.761284
1.0,151,2036.633616
0.0,127,2045.345906
4.0,299,2064.110673
6.0,380,2094.715518
9.0,404,2120.608266
3.0,248,2137.479045
6.0,399,2162.744287
11.0,478,2198.588315
1.0,176,2209.567335
3.0,228,2225.935825
0.0,127,2235.93883
0.0,127,2245.621319
2.0,199,2258.76976
1.0,156,2270.32246
0.0,125,2278.146766
4.0,297,2297.581369
1.0,177,2308.82486
4.0,297,2328.263314
5.0,350,2351.763301
1.0,155,2361.466598
3.0,252,2378.334066
1.0,155,2390.629981
2.0,229,2407.997937
0.0,129,2416.933726
1.0,175,2428.785367
1.0,176,2439.976099
5.0,293,2460.787567
3.0,270,2478.455725
3.0,234,2494.061651
5.0,304,2510.163723
3.0,248,2526.989443
8.0,429,2554.62507
1.0,155,2564.615283
1.0,153,2577.325456
1.0,155,2585.493956
0.0,127,2593.748607
0.0,129,2601.930408
1.0,155,2610.809017
3.0,247,2627.167454
0.0,129,2635.127231
3.0,230,2648.580369
4.0,297,2668.310587
1.0,173,2679.193141
4.0,299,2697.416761
5.0,349,2718.193192
0.0,127,2726.531279
9.0,425,2758.066802
7.0,411,2787.658643
0.0,129,2797.829566
1.0,154,2809.752168
2.0,206,2824.791073
1.0,155,2837.980975
2.0,187,2852.073969
5.0,350,2873.013548
3.0,254,2891.068992
0.0,127,2898.516266
2.0,202,2910.870019
10.0,432,2942.725868
1.0,157,2953.225979
2.0,183,2968.698264
1.0,175,2981.194397
7.0,418,3003.860797
2.0,183,3015.44847
1.0,173,3032.896154
2.0,222,3049.074003
1.0,155,3060.089015
5.0,350,3089.458526
1.0,176,3102.360514
1.0,157,3111.949481
2.0,203,3123.335363
2.0,187,3133.037818
0.0,127,3143.265164
0.0,129,3151.893066
0.0,129,3159.248664
9.0,404,3188.833667
1.0,155,3199.96582
1.0,155,3210.267735
3.0,228,3225.765306
5.0,326,3247.288773
1.0,155,3257.06763
2.0,200,3271.007447
7.0,449,3302.617618
0.0,127,3310.012631
4.0,293,3331.874309
1.0,175,3345.187429
10.0,426,3372.021852
2.0,182,3386.683973
3.0,251,3403.488009
6.0,394,3432.201367
0.0,125,3443.398184
1.0,152,3453.387573
2.0,202,3464.201694
2.0,206,3476.138273
2.0,200,3486.868364
0.0,127,3492.613041
3.0,247,3511.149395
9.0,404,3538.837475
10.0,409,3568.617428
4.0,264,3588.293286
12.0,533,3623.435222
12.0,508,3655.425991
10.0,457,3690.751561
5.0,307,3713.849329
5.0,344,3739.057587
5.0,350,3760.217801
5.0,293,3781.022869
10.0,435,3810.481242
7.0,369,3833.715601
5.0,350,3858.798156
9.0,425,3886.326578
1.0,155,3895.825716
3.0,252,3914.891589
11.0,481,3959.705893
2.0,184,3971.795289
6.0,398,4002.365031
8.0,297,4026.899482
2.0,209,4041.684629
13.0,370,4078.395125
10.0,453,4111.201137
6.0,357,4133.291274
9.0,328,4153.123468
4.0,292,4172.821241
4.0,282,4190.293763
14.0,598,4232.465802
11.0,501,4266.676644
4.0,261,4284.15948
6.0,343,4308.108281
3.0,255,4326.036473
7.0,427,4355.224797
2.0,206,4372.341283
14.0,481,4401.568986
5.0,314,4424.075283
6.0,357,4447.830796
9.0,328,4469.527152
2.0,186,4482.034555
8.0,299,4499.925458
3.0,238,4516.148042
10.0,503,4549.599992
5.0,296,4577.286253
7.0,429,4603.08992
11.0,432,4629.422323
19.0,630,4675.552223
13.0,334,4697.443821
6.0,366,4726.303247
4.0,302,4747.905229
7.0,248,4760.963594
8.0,496,4797.911655
17.0,359,4822.570829
7.0,405,4847.877618
6.0,359,4871.297914
23.0,698,4912.088782
8.0,398,4936.753675
8.0,452,4972.508421
5.0,346,4997.044331
15.0,463,5026.902188
5.0,294,5045.520817
4.0,320,5066.513396
12.0,511,5103.740436
13.0,479,5135.675487
8.0,411,5164.220463
15.0,429,5189.680527
16.0,632,5236.23765
10.0,552,5276.345953
5.0,272,5295.826441
12.0,522,5329.193632
14.0,402,5356.020066
12.0,444,5388.509738
17.0,575,5426.088488
11.0,457,5458.078929
8.0,428,5491.040348
20.0,683,5538.634193
16.0,534,5573.481853
15.0,556,5610.935178
11.0,556,5646.360835
17.0,602,5684.674085
29.0,803,5740.162312
13.0,573,5780.904694
15.0,576,5817.193606
14.0,547,5855.078072
12.0,434,5884.993546
15.0,714,5934.369459
14.0,596,5971.438248
12.0,321,5995.032384
14.0,597,6036.058656
15.0,667,6074.801078
14.0,385,6102.969619
5.0,292,6119.05356
10.0,454,6151.507653
13.0,579,6190.410955
9.0,328,6213.676762
2.0,206,6226.852143
4.0,297,6249.9094
11.0,536,6285.835943
9.0,437,6318.618641
13.0,598,6353.728148
7.0,395,6378.973647
10.0,452,6408.726473
12.0,302,6429.309918
12.0,550,6468.871323
9.0,456,6501.265648
20.0,667,6544.204868
16.0,575,6594.2523
14.0,530,6629.374552
14.0,368,6655.11719
26.0,972,6728.093496
18.0,646,6777.124955
20.0,624,6814.348418
7.0,398,6843.047493
16.0,558,6879.609666
8.0,353,6902.876558
12.0,537,6939.675415
12.0,409,6967.882607
7.0,407,6994.014822
19.0,559,7028.02625
5.0,281,7050.221209
20.0,573,7086.628691
24.0,676,7137.116134
20.0,575,7182.586898
18.0,649,7225.470949
7.0,410,7248.331254
12.0,607,7287.351115
12.0,417,7320.394594
10.0,341,7347.029449
13.0,502,7383.659474
21.0,519,7418.186435
19.0,833,7475.720206
12.0,593,7508.990463
3.0,253,7524.405561
22.0,661,7567.156432
22.0,692,7614.13673
14.0,629,7656.769481
14.0,669,7705.961197
13.0,602,7743.965458
20.0,667,7785.958241
17.0,723,7838.788434
20.0,645,7883.28788
26.0,908,7948.245615
20.0,752,7997.339422
13.0,652,8036.945958
20.0,741,8080.649053
34.0,914,8141.470314
37.0,1120,8216.849281
29.0,817,8279.800704
44.0,955,8348.577705
17.0,644,8392.166228
16.0,542,8424.128621
24.0,762,8476.649059
13.0,479,8508.229695
37.0,884,8573.593884
5.0,296,8594.677014
19.0,686,8641.15514
53.0,1111,8715.319803
27.0,765,8768.53055
23.0,813,8825.54637
19.0,680,8874.966
14.0,637,8921.064662
23.0,571,8955.414636
17.0,801,9003.473874
23.0,901,9069.343459
68.0,1474,9166.947808
20.0,575,9197.503543
13.0,532,9233.140788
21.0,761,9287.046394
0.0,123,9293.878599
42.0,1027,9367.877538
38.0,867,9429.630949
30.0,865,9493.39667
35.0,614,9532.90676
26.0,876,9592.887531
37.0,926,9654.579761
18.0,538,9693.566253
42.0,1191,9770.125335
9.0,421,9798.46925
23.0,527,9835.589051
16.0,587,9870.14542
1.0,155,9881.970239
4.0,300,9905.218127
0.0,127,9914.349968
1.0,176,9925.437463
1.0,157,9936.556977
2.0,200,9948.023911
2.0,202,9958.910517
0.0,127,9965.832707
3.0,226,9978.896535
1.0,154,9989.514468
0.0,125,9997.276861
2.0,202,10010.404777
0.0,125,10018.897845
3.0,254,10038.327067
0.0,125,10046.073041
1.0,155,10056.113864
1.0,153,10066.909087
1.0,178,10077.168726
4.0,279,10096.321394
0.0,129,10103.858876
2.0,200,10119.067547
0.0,127,10127.567894
10.0,451,10156.289545
0.0,129,10163.7436
0.0,129,10171.222064
0.0,129,10179.603811
2.0,202,10193.604155
0.0,129,10202.462507
3.0,230,10218.628785
1.0,153,10228.623035
3.0,246,10242.894878
0.0,127,10249.961839
2.0,218,10263.606198
2.0,198,10277.022352
0.0,129,10283.898185
0.0,127,10292.814485
2.0,200,10307.872255
2.0,221,10322.68301
0.0,127,10331.033816
5.0,348,10357.184286
1.0,175,10370.890457
0.0,129,10381.390938
0.0,129,10390.599067
4.0,289,10411.928842
0.0,127,10418.809886
1.0,172,10430.811048
3.0,275,10446.649266
0.0,127,10453.819109
2.0,198,10467.0047
4.0,299,10486.118386
1.0,175,10497.21039
0.0,127,10504.832614
0.0,125,10511.863969
0.0,129,10520.116609
1.0,173,10532.313944
4.0,280,10550.477129
3.0,253,10570.46331
2.0,203,10584.826779
1.0,170,10597.461008
3.0,228,10614.058471
4.0,299,10634.107666
0.0,129,10640.742996
2.0,206,10656.153631
0.0,129,10665.67018
0.0,127,10674.559367
2.0,221,10691.766494
0.0,129,10699.015708
0.0,127,10706.756658
0.0,127,10714.442885
5.0,329,10737.802662
0.0,129,10746.092735
0.0,127,10752.672945
2.0,184,10764.75984
0.0,127,10772.066943
2.0,227,10786.830643
3.0,268,10805.780369
1.0,177,10816.603721
4.0,321,10839.874784
1.0,155,10848.532336
1.0,175,10857.57837
2.0,200,10871.886369
0.0,127,10879.265925
3.0,218,10895.852794
1.0,173,10907.321933
2.0,202,10918.301928
0.0,129,10925.593729
0.0,129,10932.255424
3.0,252,10947.524532
0.0,125,10956.198174
2.0,200,10970.279884
2.0,201,10984.344018
0.0,127,10994.414789
1.0,157,11006.516391
1.0,173,11022.306587
1.0,172,11033.653095
2.0,200,11045.635172
3.0,221,11068.981067
0.0,127,11076.460448
0.0,127,11083.690428
1.0,176,11093.681702
4.0,281,11113.755112
1.0,171,11123.470181
1.0,173,11137.650934
0.0,127,11144.576003
0.0,127,11151.721802
0.0,127,11158.717142
0.0,129,11173.973436
0.0,127,11180.142248
1.0,157,11190.637902
0.0,125,11198.821218
0.0,125,11225.735862
0.0,129,11234.916914
5.0,330,11262.427688
0.0,127,11269.634044
1.0,175,11281.65973
0.0,129,11291.736084
1.0,173,11305.420485
1.0,159,11316.024337
1.0,159,11326.140842
0.0,123,11333.547609
0.0,129,11341.487339
1.0,175,11353.594135
1.0,173,11365.67201
2.0,206,11379.229151
1.0,155,11389.266456
0.0,127,11395.397208
2.0,225,11409.274954
0.0,127,11417.116464
1.0,171,11426.391999
0.0,129,11434.453712
2.0,223,11448.300377
1.0,157,11458.079506
0.0,129,11468.229454
2.0,200,11482.067591
0.0,127,11489.684606
0.0,129,11497.052078
3.0,252,11515.196694
0.0,127,11528.973478
1.0,157,11538.944346
0.0,129,11546.277643
3.0,251,11573.465302
1.0,155,11583.571184
5.0,331,11614.443681
2.0,183,11630.201974
1.0,154,11639.482465
0.0,125,11646.580899
1.0,157,11660.464215
0.0,129,11668.767338
1.0,174,11678.666486
0.0,127,11692.528661
2.0,223,11709.681224
0.0,129,11717.636814
0.0,127,11727.62415
0.0,129,11737.990749
0.0,127,11748.161893
1.0,175,11762.081752
0.0,127,11769.60054
2.0,202,11787.790514
1.0,157,11798.534996
1.0,175,11813.408148
1.0,153,11850.445896
2.0,204,11862.777195
0.0,129,11869.336873
1.0,175,11884.234191
1.0,175,11895.895124
4.0,260,11910.782993
3.0,220,11936.927361
3.0,232,11953.590517
0.0,129,11961.120693
0.0,129,11978.253839
3.0,270,11997.420311
0.0,127,12005.171267
0.0,129,12024.253571
0.0,129,12032.123924
4.0,299,12051.168661
0.0,127,12069.926512
0.0,129,12078.953958
1.0,171,12091.287027
1.0,173,12107.124923
0.0,127,12114.942657
2.0,184,12125.503803
1.0,171,12135.764908
0.0,125,12143.193964
0.0,127,12151.607742
5.0,282,12171.224498
3.0,230,12188.919705
1.0,154,12199.693636
4.0,271,12220.796842
4.0,301,12239.565087
1.0,157,12251.433594
0.0,129,12260.7371
3.0,248,12277.826616
5.0,350,12310.734554
0.0,127,12318.405453
9.0,401,12347.496495
2.0,222,12362.044415
0.0,127,12383.627729
4.0,297,12399.463599
1.0,171,12408.156414
0.0,127,12437.751323
0.0,129,12446.027722
2.0,186,12455.735552
1.0,173,12476.818634
0.0,129,12484.374316
3.0,230,12499.069796
5.0,346,12534.484008
2.0,218,12545.205489
0.0,125,12551.255228
0.0,125,12563.609746
0.0,127,12572.617973
1.0,173,12583.528098
1.0,151,12618.628673
0.0,127,12625.539805
4.0,299,12645.291757
4.0,321,12693.248469
0.0,129,12701.202899
2.0,202,12737.051025
4.0,297,12763.008632
0.0,129,12769.675235
2.0,200,12782.401366
0.0,125,12791.013164
2.0,202,12803.410559
6.0,357,12827.434816
1.0,171,12838.429921
4.0,299,12873.288403
5.0,352,12910.182697
2.0,225,12923.195967
1.0,173,12933.640951
2.0,204,12947.126527
0.0,127,12954.51201
5.0,345,12986.733969
0.0,127,12994.82756
3.0,274,13012.946455
4.0,302,13042.075386
1.0,155,13051.221475
1.0,171,13064.354707
1.0,155,13098.195997
2.0,206,13114.140342
3.0,275,13156.912635
0.0,127,13165.806626
1.0,170,13176.123755
1.0,173,13205.683516
1.0,172,13219.169591
1.0,154,13232.562164
2.0,203,13243.66234
0.0,125,13253.543769
4.0,321,13276.974049
0.0,127,13284.172825
1.0,172,13295.452264
8.0,478,13359.254507
1.0,157,13372.853426
0.0,125,13380.729386
0.0,127,13408.029349
0.0,129,13415.598393
5.0,350,13439.274739
0.0,125,13458.114897
9.0,404,13488.25664
0.0,127,13499.893658
0.0,125,13507.103878
2.0,220,13521.037425
0.0,129,13540.455526
2.0,198,13553.546999
0.0,125,13561.26452
1.0,157,13569.819181
0.0,127,13580.343193
2.0,201,13595.837951
0.0,129,13606.400486
1.0,175,13635.720849
0.0,123,13643.924009
2.0,199,13656.434117
2.0,224,13679.777617
1.0,157,13689.054128
1.0,155,13699.094264
0.0,129,13708.050972
0.0,127,13730.620796
1.0,152,13740.058021
0.0,125,13746.770739
1.0,174,13757.052639
0.0,127,13771.194952
0.0,127,13777.370815
2.0,200,13790.44081
0.0,129,13797.236565
0.0,127,13823.608601
0.0,127,13832.401187
5.0,350,13864.937037
0.0,129,13873.183432
3.0,248,13890.062921
1.0,173,13902.800406
0.0,129,13910.498088
2.0,202,13923.590235
0.0,129,13931.312961
1.0,157,13958.112364
0.0,127,13966.952921
4.0,299,14006.597125
0.0,123,14013.716826
1.0,153,14023.405883
8.0,375,14062.199134
0.0,129,14074.130998
0.0,129,14083.746572
0.0,127,14091.330327
7.0,410,14137.373743
1.0,175,14170.11902
7.0,400,14196.004773
3.0,251,14216.008906
1.0,157,14226.949097
1.0,175,14235.881142
2.0,183,14266.904676
2.0,201,14279.729297
0.0,127,14287.770099
3.0,250,14318.837652
0.0,129,14327.056017
0.0,129,14333.511746
1.0,176,14344.418548
3.0,270,14363.836772
2.0,218,14377.604662
1.0,157,14406.568947
0.0,127,14417.758383
1.0,154,14428.966755
6.0,377,14460.768594
0.0,129,14467.710959
1.0,173,14484.732448
0.0,129,14493.089496
1.0,173,14505.798633
4.0,279,14525.337719
0.0,127,14535.251627
1.0,155,14546.55856
0.0,127,14556.924714
3.0,252,14583.100624
1.0,176,14595.518306
0.0,127,14603.481539
0.0,129,14618.573102
3.0,270,14636.936082
2.0,206,14650.379721
6.0,403,14676.25673
1.0,153,14702.063236
0.0,129,14710.124089
2.0,181,14720.370616
1.0,176,14732.451518
0.0,129,14742.964532
1.0,171,14757.369849
0.0,129,14764.170887
1.0,157,14791.834086
0.0,129,14802.570768
0.0,127,14812.49943
0.0,129,14820.106445
10.0,455,14872.454105
4.0,282,14915.843257
0.0,129,14924.166491
1.0,155,14935.567519
3.0,232,14952.452208
0.0,127,14960.889632
0.0,129,14970.571474
0.0,127,14978.839681
0.0,129,14985.027946
0.0,127,15010.271397
3.0,250,15024.911321
0.0,129,15031.619199
0.0,129,15055.562221
6.0,397,15083.638642
0.0,125,15093.847637
0.0,127,15102.893778
2.0,225,15117.558599
0.0,125,15140.516967
1.0,173,15151.427329
0.0,129,15161.245466
4.0,278,15199.89671
5.0,353,15221.031955
4.0,258,15251.493036
0.0,129,15258.632098
2.0,204,15269.818176
2.0,220,15296.192883
2.0,185,15310.007862
0.0,127,15317.019194
0.0,129,15325.163622
1.0,173,15334.903522
3.0,252,15350.552215
2.0,202,15372.808222
0.0,129,15383.523211
0.0,127,15391.765155
1.0,174,15418.482419
0.0,127,15426.112792
3.0,233,15439.024147
1.0,176,15454.390326
1.0,173,15466.331462
0.0,129,15472.682242
0.0,127,15480.756359
0.0,129,15495.249379
5.0,319,15515.035627
5.0,349,15564.763299
3.0,245,15583.137085
0.0,127,15593.405243
2.0,186,15626.662321
0.0,127,15634.819237
0.0,129,15643.36732
0.0,127,15667.444186
0.0,129,15674.390243
3.0,248,15689.997732
4.0,295,15712.459449
4.0,278,15728.775183
2.0,206,15751.798464
0.0,129,15759.518881
2.0,206,15773.675107
1.0,171,15794.175495
0.0,125,15801.486999
3.0,252,15821.417718
1.0,153,15832.326308
2.0,198,15843.101022
0.0,127,15851.739381
0.0,123,15860.403661
1.0,169,15893.15013
1.0,153,15901.821939
3.0,253,15920.204462
5.0,352,15965.934992
1.0,155,15975.548568
0.0,127,15984.107664
0.0,127,15993.139989
3.0,270,16012.139786
1.0,158,16021.267497
2.0,182,16034.149474
0.0,127,16043.209517
0.0,127,16049.953413
0.0,127,16061.194393
2.0,226,16076.512581
2.0,202,16090.108022
0.0,127,16112.514231
2.0,221,16126.056959
1.0,176,16136.108778
0.0,127,16159.994487
2.0,202,16173.035656
0.0,127,16180.893852
3.0,249,16207.419409
0.0,127,16215.711661
0.0,129,16223.448418
4.0,271,16255.010685
4.0,302,16277.892554
0.0,125,16290.95956
1.0,157,16301.107107
1.0,155,16310.826733
1.0,176,16326.209949
1.0,175,16354.771365
2.0,202,16368.824985
2.0,198,16382.116749
0.0,129,16407.698267
2.0,202,16420.468366
2.0,198,16432.171673
0.0,127,16452.118053
2.0,202,16467.548144
0.0,125,16475.622385
1.0,155,16503.035016
1.0,155,16514.010681
1.0,171,16524.757357
6.0,405,16563.110578
0.0,125,16572.302602
0.0,127,16580.420013
1.0,155,16612.501632
0.0,129,16620.234666
0.0,129,16629.073737
2.0,202,16644.570144
0.0,127,16668.107291
6.0,356,16691.158156
3.0,272,16722.909198
0.0,129,16733.258365
4.0,319,16755.785207
0.0,129,16762.829485
1.0,171,16771.924159
1.0,155,16787.881858
0.0,127,16796.758881
1.0,155,16808.818972
1.0,155,16820.435491
0.0,129,16835.817601
0.0,129,16842.767956
1.0,175,16856.810609
0.0,129,16868.248376
3.0,268,16897.587172
5.0,348,16941.82407
4.0,289,16960.587449
0.0,127,16968.911741
0.0,129,16993.280402
2.0,207,17008.936984
0.0,129,17018.50966
1.0,173,17033.888218
0.0,129,17042.657066
1.0,173,17051.77272
0.0,127,17058.732995
2.0,220,17074.677187
3.0,270,17093.807001
5.0,352,17121.619836
0.0,127,17129.150107
4.0,301,17154.738986
1.0,174,17165.855023
0.0,129,17172.030133
0.0,129,17180.231263
1.0,177,17201.83418
