frames,grad_norm,value_loss,epoch_idx,advantage_norm,P09:episode_rewards,P01:episode_rewards,policy_entropy,policy_loss,clip_fraction,episode_length,approx_kl_divergence,fps,explained_variance,PMM:episode_rewards
10240,1773389221.1305346,2150882641.2333536,1,15.9686978161335,197.50000000000006,0.0,0.9055539609910384,0.07887818426479498,0.63349609375,312.34375,1430486.0265865496,543,-10.555799253284931,78.125
20480,0.07173501881478034,0.0034858891824441685,2,15.968684363365174,150.0,0.0,1.3550250709056855,0.0015194091070952708,0.293115234375,305.7846153846154,0.00802812528436334,498,1.1548399925231934e-08,58.46153846153846
30720,0.056863324574365756,0.004213314016637071,3,15.968705385923386,125.0,0.0,1.4405230171978474,-0.0011532931726833339,0.3035888671875,304.52,0.004886788992985202,468,-2.6077032089233397e-09,55.5
40960,0.05026080293732856,0.004536630857595014,4,15.968665426969528,100.0,0.0,1.4480367623269559,-0.0011310586574836633,0.3034423828125,302.15,0.00459607488119218,475,-5.215406417846679e-09,51.5
51200,0.05387683495311304,0.006392372194602558,5,15.968716889619827,152.50000000000023,0.0,1.5069594502449035,-0.0011781995977798942,0.269921875,307.98,0.003875087904452812,476,-6.332993507385254e-09,70.5
61440,0.04484364112152719,0.004101480880690645,6,15.968713504076003,152.50000000000023,0.0,1.4681242510676384,-0.0009188752133923117,0.2139892578125,306.88,0.0034825067709391535,474,-1.862645149230957e-08,70.0
71680,0.048438077878018224,0.0073315155066666195,7,15.968717366456985,177.50000000000023,0.0,1.4771403543651105,-0.0009779225903912448,0.211669921875,314.56,0.0029276715598598457,473,-2.1979212760925294e-08,89.25
81920,0.04614669091598421,0.003840366272018969,8,15.968705505132675,175.0,0.0,1.5159313708543778,-0.0011247109388932586,0.3181396484375,310.05,0.005123525025453546,474,1.1920928955078126e-08,77.5
92160,0.0450930534810279,0.0037987334874880043,9,15.96871508359909,175.0,0.0,1.5486754849553108,-0.0010838346810487566,0.325927734375,311.56,0.006524381564099712,471,-8.195638656616212e-09,76.25
102400,0.043500865178658636,0.004255044080422055,10,15.968696737289429,127.50000000000021,0.0,1.522489920258522,-0.0013240605454484466,0.2716796875,304.05,0.004552940370717806,472,5.587935447692871e-09,56.5
112640,0.03679684899133708,0.0032859617280697417,11,15.968661057949067,102.50000000000021,0.0,1.4127727948129176,-0.0015042150667795794,0.2200439453125,302.99,0.003616399588167951,472,1.1175870895385742e-09,54.75
122880,0.03826683802914051,0.0034447327328553713,12,15.96869483590126,100.0,0.0,1.4310030907392501,-0.0008975707809440791,0.254345703125,297.02,0.006181176981431236,473,-1.080334186553955e-08,49.5
133120,0.047039276836254786,0.006915771767853585,13,15.968717509508133,127.50000000000021,0.0,1.5614893928170204,-0.000719485859372071,0.1779296875,301.05,0.0034022792585858496,472,7.82310962677002e-09,62.0
143360,0.047941074973965755,0.005553854083197507,14,15.968702977895736,175.0,0.0,1.5723719403147698,-0.0011456559775979258,0.3148193359375,307.07,0.0056276420275708,473,-2.905726432800293e-08,77.25
153600,0.044214389187285694,0.0033564970096847447,15,15.968714290857315,175.0,0.0,1.6142771981656552,-0.0012400452971633058,0.24853515625,310.46,0.004362769201543415,472,2.2351741790771484e-09,77.75
163840,0.044982332481077525,0.0032369389294274243,16,15.968706685304642,125.0,0.0,1.5701228924095632,-0.0012492836212913971,0.2790771484375,305.95,0.0040296762414755,472,5.587935447692871e-09,59.75
174080,0.042912720583342535,0.004379724039017674,17,15.968709832429886,100.0,0.0,1.6389495484530925,-0.0014409945801162395,0.2968505859375,302.64,0.005101127369698588,472,7.82310962677002e-09,54.0
184320,0.05008541458314281,0.006126615106404642,18,15.968717443943024,125.0,0.0,1.7285078063607215,-0.0008803997727227398,0.277880859375,303.74,0.004423838011393855,470,1.080334186553955e-08,63.25
194560,0.050049773798297933,0.004972795265757668,19,15.968716645240784,127.50000000000021,0.0,1.675303339958191,-0.0005557098898862023,0.222900390625,306.24,0.003298528489790442,471,-3.7252902984619143e-10,75.25
204800,0.0488331838386631,0.0034957858346620794,20,15.96868280172348,127.50000000000021,0.0,1.6888425551354884,-0.001274908474078984,0.327587890625,304.68,0.004576558729695535,470,-2.9802322387695314e-09,73.25
215040,0.05040174984726724,0.0074327105074189605,21,15.968717676401138,152.50000000000023,0.0,1.6985490575432778,-0.0014556678819644731,0.2574462890625,306.54,0.0033550646144931305,470,-7.450580596923828e-09,81.0
225280,0.04848470580499529,0.004799411324961511,22,15.968716138601303,200.0,0.0,1.6903179831802846,-0.0007830050599295646,0.31787109375,306.57,0.005293789216045753,469,1.601874828338623e-08,88.25
235520,0.04815818335280116,0.005437567263565768,23,15.968713372945786,200.0,0.0,1.742270427942276,-0.0014608814613893627,0.2995361328125,310.32,0.004150203698497989,468,-3.7252902984619143e-10,93.25
245760,0.052289262400477245,0.005581118676309416,24,15.968717378377914,177.50000000000023,0.0,1.6841884709894657,-0.0015690318012275383,0.2998779296875,312.82,0.004009635436443659,468,4.8428773880004884e-09,85.25
256000,0.053872163094147794,0.005703821644320328,25,15.968714874982833,152.50000000000023,0.0,1.6471928276121617,-0.0005507818361365935,0.2505126953125,317.06,0.0034027935058361437,468,-5.960464477539063e-09,88.25
266240,0.049063449291300146,0.00560859247211738,26,15.968714100122451,175.0,0.0,1.703169547021389,-0.0018881325297115837,0.3865966796875,322.34,0.005750917502672337,468,9.685754776000977e-09,97.75
276480,0.047113071848612055,0.0040409112686973,27,15.96871504187584,150.0,0.0,1.6472014792263507,-0.001352832157863304,0.2672607421875,316.9,0.003960243485494175,468,-5.215406417846679e-09,81.0
