epoch_idx,grad_norm,explained_variance,fps,value_loss,P01:episode_rewards,policy_entropy,advantage_norm,P09:episode_rewards,episode_length,PMM:episode_rewards,frames,policy_loss
59,0.19473244805523318,0.9495045471191407,268,0.00508474510977976,0.0,1.3606017017364502,0.803372965157032,7.0,209.8,2.25,472000,-7.92775530135259e-05
60,0.2633806469097525,0.9142196542024612,268,0.00821816768264398,0.0,1.363758877515793,1.0543905144929886,8.0,231.18,2.81,480000,-0.0011581803142325952
61,0.21520949102339038,0.9206790739297867,268,0.005978346303454601,0.0,1.3657926833629608,0.8978762209415436,8.0,226.19,2.67,488000,0.00015004040222265757
62,0.2419939436274185,0.9324544262886048,268,0.006683495134930126,0.0,1.3686655867099762,0.9142989423871041,5.1000000000000085,211.57,2.21,496000,-0.0017294227912498172
63,0.25391299576760384,0.9428340774774552,268,0.006458272702875547,0.0,1.3557491195201874,0.9355582541227341,6.0,213.02,2.22,504000,-0.0028224248392507436
64,0.20156775265687532,0.9503219747543334,268,0.004992988220765255,0.0,1.360155955553055,0.8016793721914292,6.0,214.63,2.27,512000,-0.00013983450597152114
65,0.3216826638510599,0.9089038038253784,269,0.009588922385592013,0.0,1.3613048946857453,1.1673139417171479,6.0,225.54,2.55,520000,-0.002973435496678576
66,0.31612939931789513,0.8740464097261429,268,0.01017059814184904,0.0,1.3583842480182649,1.1836432141065598,6.1000000000000085,228.37,2.66,528000,-0.003913269462645985
67,0.307186898048458,0.8894456499814987,268,0.009242019804660231,0.0,1.3657834911346436,1.142438805103302,5.0,218.0,2.34,536000,-0.0025226683076471092
68,0.284603033041608,0.8839120602607727,269,0.010020487984875218,0.0,1.3593071734905242,1.1831610053777695,5.1000000000000085,219.5,2.47,544000,5.131591984536499e-05
69,0.26754539309699427,0.8775170761346817,269,0.0090544699865859,0.0,1.3602680242061616,1.130424914062023,5.1000000000000085,220.05,2.48,552000,9.306358406320214e-05
70,0.2855996785239044,0.9087542217969894,269,0.008781745815649628,0.0,1.356403992176056,1.1037294471263885,6.0,235.91,2.81,560000,-0.0029618087559356355
71,0.3289351615356662,0.7759759706258774,269,0.011818765860516578,0.0,1.3573032557964324,1.308833287358284,6.0,216.1,2.27,568000,-0.0009177168598398566
72,0.2954402758359969,0.8885361719131469,269,0.00910417694482021,0.0,1.3472319746017456,1.1259718251228332,5.0,202.1,1.93,576000,-0.003071799844983616
73,0.29366283164330786,0.8993207794427872,268,0.009355574728688225,0.0,1.3515766155719757,1.1564834773540498,4.0,200.35,1.94,584000,-0.001634013805014547
74,0.28574810113263605,0.9144676184654236,269,0.0075999688392039385,0.0,1.345349234342575,1.0412699669599532,6.0,221.36,2.5,592000,-0.0023371067267726176
75,0.23924737880313632,0.9203235179185867,269,0.0070769645430846136,0.0,1.3545525181293487,0.9730189803242684,9.0,240.24,3.08,600000,-7.41026148898527e-05
76,0.2937591862575154,0.9081422352790832,269,0.00901807383983396,0.0,1.341731573343277,1.1276208046078682,9.0,251.3,3.37,608000,-0.0013996035227319225
77,0.2338920733662267,0.9247192323207856,269,0.006422810705262236,0.0,1.3495397007465362,0.9168232971429825,7.1000000000000085,226.23,2.71,616000,-0.00023720489458355586
78,0.2836980063135831,0.9234706115722656,269,0.008005186230875552,0.0,1.3506411695480347,1.0798198574781417,6.1000000000000085,226.7,2.65,624000,-0.0030522772917174735
79,0.30011064794549897,0.8762934190034867,269,0.01047875416232273,0.0,1.3464498269557952,1.2315138274431228,6.200000000000017,227.19,2.71,632000,-0.00028067468549124896
80,0.2860452036638459,0.9151015704870225,269,0.008487027537776158,0.0,1.338252183198929,1.0936672276258468,6.1000000000000085,232.35,2.82,640000,-0.0028411202647839673
81,0.28058576952590825,0.9034345203638077,269,0.008521651822375133,0.0,1.3398915696144105,1.1002904188632965,7.1000000000000085,230.65,2.8,648000,-0.0015872533170113456
82,0.2831335751484923,0.9027515691518784,269,0.009082116802455858,0.0,1.328812757730484,1.1335151067376137,6.0,220.81,2.51,656000,-0.002181356744385994
83,0.3408493560702189,0.8905572617053985,270,0.011159241064451635,0.0,1.335893760919571,1.2651562315225602,6.0,226.99,2.65,664000,-0.0016877718945033848
84,0.27724461300394554,0.894551203250885,270,0.009277622045483441,0.0,1.3321810019016267,1.1323224127292633,8.100000000000009,241.31,3.13,672000,0.0007708609529072419
85,0.32135494954461763,0.8923769682645798,270,0.010000619529746473,0.0,1.3325213038921355,1.2008101114630698,9.100000000000009,260.5,3.6,680000,-0.0014153567915491294
86,0.29889955526178064,0.9060437804460526,270,0.00889095158316195,0.0,1.3288058710098267,1.1412635052204132,10.0,265.16,3.78,688000,-0.002791039268486202
87,0.31516704467451967,0.8922231441736221,270,0.010991500800009817,0.0,1.3311974453926085,1.2607080793380738,9.100000000000009,256.92,3.52,696000,0.0005809630715521053
88,0.3682923006760613,0.8700879180431366,270,0.013319792286492884,1.0,1.310176191329956,1.4007914274930955,9.0,265.84,3.77,704000,-0.005234977486543358
89,0.3366635483078948,0.8912938868999482,271,0.010254824433941394,0.9000000000000004,1.304775288105011,1.2222745287418366,7.200000000000017,271.56,3.86,712000,-0.004836598041292745
90,0.294895972368613,0.8999302053451538,271,0.009736127868527546,0.0,1.3146728670597077,1.1634469309449196,8.100000000000009,271.17,3.86,720000,-0.0010473907820414752
91,0.44416873311917754,0.8283014696836472,271,0.01641034390311688,0.0,1.282621351480484,1.5659026420116424,10.0,288.98,4.38,728000,-0.007874358407221962
92,0.39938298324016747,0.8245377236604691,272,0.016628343504853548,1.0,1.2821405565738677,1.5830199736356736,10.0,305.02,4.9,736000,-0.004516670100856573
93,0.35432733636240804,0.8910979402065277,272,0.011766189197078347,1.0,1.2995652091503143,1.3280190670490264,10.0,308.41,5.1,744000,-0.004320550739066675
94,0.40614780397502026,0.7960534477233887,272,0.01671122041530907,2.0,1.302951421737671,1.5948745542764664,11.0,328.36,5.72,752000,-0.0017198662413284182
95,0.34097860242247047,0.8550877380371094,272,0.01294752324000001,1.0,1.2939955747127534,1.386120240688324,10.0,307.3,5.18,760000,-0.0032408725057030095
96,0.36505050132025924,0.8492228221893311,272,0.01346338416216895,1.0,1.2815512585639954,1.4110490441322328,10.0,297.89,4.82,768000,-0.0034385659446706995
97,0.3317565210794137,0.8744219732284546,272,0.012217409959994256,0.0,1.3035361647605896,1.345592225790024,8.0,284.14,4.27,776000,-0.0012924264976754785
98,0.38291649010861795,0.863656429052353,272,0.014259078702889384,0.9000000000000004,1.290975377559662,1.4637301629781723,8.0,282.81,4.24,784000,-0.0018942101165885107
99,0.4097360296797716,0.8413669008016587,273,0.015636358275078237,1.0,1.2796419322490693,1.5319085836410522,9.0,299.79,4.57,792000,-0.004079262459417805
100,0.4493887396974195,0.8238291639089584,273,0.017501741712912917,1.9000000000000004,1.2407071483135224,1.631307260990143,10.0,320.68,5.16,800000,-0.005437927807033702
101,0.47753760290961295,0.7914198178052902,273,0.019844201146624982,2.0,1.2678243446350097,1.7389152073860168,10.0,330.27,5.46,808000,-0.005701252482831478
102,0.39246738849278434,0.8274076753854751,272,0.015119614973664285,2.0,1.2659638679027558,1.5159982615709304,11.0,355.04,6.25,816000,-0.004439331479079556
103,0.42670745951836375,0.8288351666927337,272,0.017537640240043402,2.0,1.2345559203624725,1.6175852435827256,11.0,351.12,6.29,824000,-0.008361412106023636
104,0.39356662251704333,0.8290232878923416,272,0.014836228839121758,2.0,1.2654428219795226,1.5072178411483765,11.0,356.37,6.45,832000,-0.002948688673786819
105,0.36652493008215914,0.8582320153713227,272,0.012899021925404668,2.0,1.272444841861725,1.3925859278440476,11.0,355.73,6.44,840000,-0.0007090884208446369
106,0.34601941071215153,0.869503321647644,273,0.012969970889389514,2.0,1.2902657437324523,1.399492445588112,11.0,344.9,5.95,848000,-0.0030223192830453626
107,0.4460980278454819,0.8227404189109803,273,0.016289467914029954,2.0,1.2779856789112092,1.5679075449705124,11.0,348.37,6.14,856000,-0.004040799663634971
108,0.37931210686627925,0.8503295695781707,273,0.013827433907426894,0.0,1.2723587906360627,1.4401608407497406,11.0,332.04,5.73,864000,-0.0007034663332160562
109,0.44179933050936077,0.8228025895357132,273,0.01714773379266262,1.0,1.2341920638084412,1.5996922856569291,11.100000000000009,341.19,6.1,872000,-0.009627281252687681
110,0.40456946276022726,0.8376946759223938,273,0.01652354371501133,0.0,1.2294250774383544,1.5771801948547364,13.0,344.34,6.44,880000,-0.005189866083965171
111,0.37815274383086406,0.8651904451847077,273,0.014679556323681026,0.0,1.2466889023780823,1.4713949340581893,13.0,334.94,6.11,888000,-0.0025397512019844724
112,0.3775731402842034,0.8696665853261948,273,0.01445010473486036,1.8000000000000007,1.2531284511089325,1.4735524249076843,12.0,342.99,6.27,896000,-0.004081743062415626
113,0.37644917389883964,0.8848371350765228,273,0.012996685244143009,0.0,1.2151643228530884,1.3932858288288117,11.0,317.91,5.48,904000,-0.004585316743468865
114,0.4999330741349299,0.7662691837549209,273,0.022346129924990236,2.0,1.2072339731454849,1.7570125710964204,11.0,327.31,5.63,912000,-0.004169207254672074
115,0.380745721238806,0.8465581727027893,273,0.013953304486349224,2.0,1.224838035106659,1.436875178217888,11.0,327.82,5.73,920000,-0.003990789429290089
116,0.42215365957127055,0.8555098450183869,274,0.016664494264405222,0.9000000000000004,1.2221280682086944,1.5602391213178635,11.0,314.53,5.42,928000,-0.006211241964483634
117,0.4553140394556127,0.7980399954319001,274,0.018081343588419257,0.9000000000000004,1.1888992512226104,1.6456005263328553,11.0,331.43,6.07,936000,-0.005684411608845039
118,0.4353448013026998,0.8262825721502304,274,0.017289519240148366,0.9000000000000004,1.16960258603096,1.6096577936410903,12.100000000000009,347.97,6.75,944000,-0.0042678861919557675
119,0.4005568970043604,0.8159248733520508,274,0.016427973648533226,0.0,1.228109105825424,1.5787978839874268,13.0,350.88,7.0,952000,-0.0028465592101201763
120,0.4260731182463764,0.8038703465461731,274,0.017375062792561947,0.9000000000000004,1.246230150461197,1.6165264195203781,13.100000000000009,368.16,7.52,960000,-0.0034881359850987793
121,0.37849366843411786,0.8267420917749405,274,0.014155409447848797,0.0,1.2352542090415954,1.4637880206108094,14.0,376.64,7.65,968000,-0.0008018792473012582
122,0.4033950206448702,0.8214826828241348,274,0.016128687616437674,0.9000000000000004,1.2343220567703248,1.5560938227176666,14.0,362.7,7.22,976000,-0.004284866815432906
123,0.5128671580819696,0.7634740531444549,274,0.02284515225794166,1.0,1.2285733366012572,1.8604546308517456,14.100000000000009,376.23,7.49,984000,-0.0043836529436521235
124,0.43106189829227426,0.828276954293251,274,0.01691642598481849,1.0,1.2777586817741393,1.5870280593633652,14.0,376.55,7.56,992000,-0.006581427482306026
125,0.46579748960544815,0.8034163242578507,274,0.01877363717183471,1.0,1.2438333082199096,1.6981556987762452,14.100000000000009,377.35,7.69,1000000,-0.005988832337661734
126,0.4509248521105526,0.8140468716621398,274,0.01855504578910768,2.0,1.2293717432022095,1.675511553287506,15.0,390.92,8.08,1008000,-0.0037684028560761363
127,0.45430180320004626,0.7899785196781158,274,0.019266199567355216,2.0,1.201602393388748,1.720117490887642,15.0,397.27,8.34,1016000,-0.00497409080631769
128,0.47127944655090914,0.7802687096595764,274,0.020282569439150393,2.0,1.2002621018886566,1.7582766008377075,15.0,382.16,7.82,1024000,-0.002297201224137098
129,0.4210011256442715,0.8479068690538406,274,0.016780498786829412,2.0,1.2266916918754578,1.5940936917066575,15.0,394.75,8.17,1032000,-0.003669839178182883
130,0.3839692977317712,0.8573130542039871,274,0.015082726327236742,1.9000000000000004,1.2328745937347412,1.4910072952508926,14.100000000000009,392.28,8.14,1040000,-0.0032288527809942024
131,0.4410851698768884,0.8196755385398865,274,0.01781339366454631,2.0,1.167125586271286,1.6416482746601104,14.100000000000009,403.28,8.55,1048000,-0.004020406924537383
132,0.41607774729239894,0.8045763546228408,274,0.016583325429819523,2.0,1.2213616287708282,1.5928535437583924,15.100000000000009,415.12,8.9,1056000,-0.005126998705673031
133,0.45466502543315124,0.8020015662908554,274,0.020018028458580375,2.0,1.188686273097992,1.7242947280406953,16.0,431.26,9.47,1064000,-0.005754582782101352
134,0.44259434854082563,0.8143713307380677,274,0.017333509940654038,2.0,1.2080101883411407,1.6334648078680039,16.0,426.04,9.23,1072000,-0.0020140661916229876
135,0.47354139705276027,0.7989506232738495,275,0.019974377010948955,2.9000000000000004,1.2182026541233062,1.725419772863388,16.0,430.06,9.43,1080000,-0.003642653964816418
136,0.4424353310829756,0.8145054364204407,275,0.01891758992569521,2.0,1.2348103189468385,1.6785858422517776,16.0,432.08,9.54,1088000,-0.0036889606685144827
137,0.41869863334885316,0.8759908819198609,275,0.01574956954922527,2.0,1.2438064754009246,1.5324066227674484,16.0,403.93,9.03,1096000,-0.0033422141341725364
138,0.41875032871030027,0.8223891627788543,275,0.016521154665388168,2.0,1.2494907009601592,1.5764118480682372,16.0,399.95,9.06,1104000,-0.0019488047662889584
139,0.44647322192250444,0.843455810546875,275,0.01876896952278912,2.0,1.237583794593811,1.6652453023195266,16.0,401.35,8.94,1112000,-0.003532225998642389
140,0.45126463342533923,0.8319149982929229,275,0.018434456596150995,2.0,1.2320330667495727,1.6546508479118347,16.0,398.78,8.57,1120000,-0.004287796936114319
141,0.45981234444020386,0.8151484203338623,275,0.019403249407187104,2.0,1.2112749540805816,1.7067265206575393,16.10000000000001,403.69,8.91,1128000,-0.007627844374860615
142,0.44718540203220974,0.8203331977128983,275,0.018945495090447365,2.0,1.2349988222122192,1.6901374846696853,16.0,416.05,8.95,1136000,-0.0025369416555622594
143,0.4873083520590172,0.8255479145050049,275,0.01914683685172349,2.0,1.2028219032287597,1.6853224951028825,15.0,411.91,8.69,1144000,-0.006798809407046065
144,0.4576897841675735,0.8288374030590058,275,0.020595986219123005,2.0,1.2022891104221345,1.7684438574314116,16.0,406.68,8.98,1152000,-0.004666558335939044
145,0.407960068583842,0.8421152317523957,275,0.01657440048176795,2.0,1.2421283781528474,1.5776907151937485,16.0,397.63,8.87,1160000,-0.0030833973770495503
146,0.4712915916622904,0.7832506775856019,275,0.01946423641871661,2.0,1.250903878211975,1.7070687717199327,15.0,392.03,8.47,1168000,-0.004641653584549203
147,0.49771054898728145,0.7877073878049851,275,0.020171613348647952,2.0,1.228647198677063,1.750757142305374,15.0,383.6,8.38,1176000,-0.006253307333681732
148,0.4513268565125718,0.7710441136360169,275,0.020466106282547115,2.0,1.2450316631793976,1.7589650744199752,15.0,392.52,8.6,1184000,-0.005481352360220626
149,0.39462361586921707,0.8503039520978928,275,0.014753219205886126,3.0,1.2457166945934295,1.4975071722269058,15.0,397.6,8.35,1192000,-0.004133796833921224
150,0.4082006958295316,0.8021646183729172,276,0.018529927609488368,3.0,1.2401968097686769,1.6740164625644685,15.0,403.4,8.6,1200000,0.001035209210240282
151,0.4482611922513292,0.817825476527214,276,0.018891774755902587,3.0,1.2294379222393035,1.6835972476005554,16.0,400.19,8.68,1208000,-0.005134351079177577
152,0.4694094060429536,0.7967965126037597,276,0.01954187869094312,3.0,1.2539165890216828,1.7219459849596024,15.100000000000009,408.17,8.79,1216000,-0.003692112197750248
153,0.4419420230538804,0.7818047285079956,276,0.019731097319163383,3.0,1.2516784381866455,1.7344771599769593,15.0,403.06,8.67,1224000,-0.0028904581372626126
154,0.47503113493965143,0.7842341309785843,276,0.021732992455363274,3.0,1.2432204067707062,1.801796310544014,15.0,402.55,8.81,1232000,-0.00662413550860947
155,0.4286026564862419,0.7856007158756256,276,0.018857507477514447,3.9000000000000004,1.2428432655334474,1.6928092312812806,15.0,407.8,9.11,1240000,-0.004263226785697043
156,0.39612975590864324,0.8111916935443878,276,0.01680463569704443,4.9,1.2636667537689208,1.5814694273471832,15.0,422.0,9.58,1248000,-0.0010527481776080095
157,0.47675226174758584,0.786400249004364,276,0.020099005312658846,5.0,1.2259753692150115,1.7504313838481904,16.0,422.02,9.6,1256000,-0.0037533631616406635
158,0.5248681718057684,0.7618177700042724,276,0.021367152854800224,5.0,1.1808134090900422,1.812290449142456,17.0,440.28,10.17,1264000,-0.0070650454622227694
159,0.5013124564641899,0.7589083868265152,276,0.02219022821635008,5.0,1.1972605288028717,1.8399101221561431,17.0,445.67,10.5,1272000,-0.00626325935460045
160,0.42196979662966144,0.7861891895532608,276,0.017327014869078994,5.9,1.2003055930137634,1.6125410389900208,17.0,457.5,10.83,1280000,-0.0013580134307267144
161,0.5231944207391028,0.7243765026330948,276,0.02366515949834138,6.0,1.1721557140350343,1.8921727049350738,17.0,469.66,11.0,1288000,-0.00696774229145376
162,0.5189101160176169,0.7708693128824234,276,0.021110245417803528,6.0,1.1586200714111328,1.791767498254776,16.0,472.04,10.96,1296000,-0.006969504388107453
163,0.5418705552144928,0.7067301845550538,276,0.026427771477028728,6.9,1.1617324709892274,1.99521251142025,17.10000000000001,478.57,11.49,1304000,-0.003171417798039329
164,0.49552990939306807,0.753548099398613,276,0.02325290855951607,7.0,1.1788822042942046,1.8791596692800523,16.200000000000017,482.73,11.84,1312000,-0.005971210580319166
165,0.5334884376345045,0.7359655749797821,276,0.02487072682008147,6.9,1.1706120705604552,1.952843315601349,16.200000000000017,484.31,11.87,1320000,-0.00419717553711962
166,0.537752599042088,0.7228050518035889,276,0.024848972419276832,6.0,1.1950805461406708,1.9075823616981507,17.10000000000001,479.75,11.59,1328000,-0.004667772999964654
167,0.5365697912069219,0.7041682583093644,277,0.026020715259946883,6.0,1.1994732749462127,1.9862696355581284,17.10000000000001,481.7,11.69,1336000,-0.003793666258570738
168,0.5009237123831745,0.7450608795881272,277,0.021901016673073172,6.9,1.186543128490448,1.8186167752742768,18.0,482.44,12.12,1344000,-0.006809018107014708
169,0.5100210186842529,0.7641735762357712,277,0.021092355963774026,6.9,1.1728904497623445,1.8001805222034455,17.10000000000001,479.74,11.82,1352000,-0.008173614458646625
170,0.5127126506058979,0.7402951431274414,277,0.022331988997757436,7.0,1.1197215521335602,1.847334589958191,17.0,480.41,11.9,1360000,-0.009391413187840954
171,0.49846953474795547,0.7623900949954987,277,0.0231096003158018,7.0,1.1755794990062713,1.8798164463043212,18.10000000000001,486.33,12.59,1368000,-0.00577560639299918
172,0.5430771739823718,0.7527647995948792,277,0.02522826744709164,7.0,1.1526613104343415,1.9478372848033905,19.10000000000001,492.86,13.13,1376000,-0.006331952081527561
