epoch_idx,grad_norm,explained_variance,fps,value_loss,P01:episode_rewards,policy_entropy,advantage_norm,P09:episode_rewards,episode_length,PMM:episode_rewards,frames,policy_loss
1,5.279738931768963,-5.51693274140358,269,0.17207215893469766,0.0,1.32812385648489,2.3436066856235267,2.0,171.30232558139534,1.069767441860465,8000,0.05574607642018236
2,0.39691812677418625,-0.4414807617664337,267,0.017147955743130296,0.0,1.377391390800476,1.2598095839843153,2.799999999999997,172.31182795698925,1.1397849462365592,16000,0.0031124615183944116
3,0.23108987129483466,-0.04795078098773956,266,0.01476832466964879,0.0,1.3752542090415956,1.2812379186600447,3.0,179.74,1.35,24000,0.0032989449705928564
4,0.20236614908910983,-0.38748984336853026,267,0.013699423989910428,0.0,1.3735714864730835,1.188477393463254,3.0,181.05,1.36,32000,0.0006337214912491618
5,0.25562250593412267,-0.023830061554908754,270,0.013155591833947256,0.0,1.3644987952709198,1.1814040433615447,4.0,185.71,1.47,40000,0.0016948555994895287
6,0.2016675607734661,-0.04395227313041687,273,0.010656894089370325,0.0,1.3760151660442352,1.0116063707321883,4.0,183.48,1.39,48000,0.001563455796058406
7,0.2531223082303356,-0.026675880551338196,272,0.014273420154531778,0.0,1.3788990938663483,1.2579171480238438,3.1000000000000085,179.71,1.27,56000,0.0028810834148316642
8,0.20692383713790857,-0.04029564380645752,274,0.010750188217207324,0.0,1.3593030631542207,1.0805166959762573,3.0,177.53,1.23,64000,-0.0009280898078577593
9,0.47662672686959,-0.05390333890914917,268,0.01963112785932026,0.0,1.3396488857269286,1.5319656229019165,4.0,182.38,1.41,72000,-0.0026541623810771853
10,0.3152830409369254,0.013025831580162048,268,0.012706915846501942,0.0,1.3511523294448853,1.2124846725165843,4.1000000000000085,192.39,1.77,80000,0.0004792156521580182
11,1.213101083176897,0.21912534952163695,269,0.0580831263557775,0.0,1.3342151342332362,1.9970393504202366,5.0,197.82,1.86,88000,0.003983238179935142
12,0.8194750594962877,0.46511815786361693,269,0.027995922022382727,0.0,1.3108548897504806,1.7679793334007263,4.1000000000000085,203.06,1.91,96000,-0.005448504097294062
13,0.3320663144049096,0.5287933188676834,268,0.011518211777147371,0.0,1.3722984039783477,1.2084809827804566,4.1000000000000085,201.76,1.83,104000,-0.0013021792279323562
14,0.3184377401519742,0.5968215328454971,268,0.009682568234857171,0.0,1.3744687473773955,1.1147913148999213,4.0,181.71,1.36,112000,0.002016267733561108
15,0.3928824923721615,0.6773464798927307,268,0.014853336985688657,0.0,1.354825098514557,1.4102759590744973,3.0,182.26,1.37,120000,-0.0017079863476101309
16,0.33134461407949445,0.7591576421260834,267,0.01083200284279883,0.0,1.3552679204940796,1.220988610982895,4.0,188.13,1.5,128000,-0.003926709438674152
17,0.7413750714593457,0.8132077312469482,267,0.02737234449130483,0.0,1.3401177155971526,1.4220470082759857,5.0,195.23,1.71,136000,-0.0022110887279268355
18,0.3023645399079056,0.8537424445152283,268,0.00891286391968606,0.0,1.3598648011684418,1.1087921842932702,5.0,197.41,1.84,144000,0.0002681711327750236
19,0.27316533952612054,0.8740586268901825,268,0.00762376043072436,0.0,1.36388210773468,1.030648029744625,5.0,191.49,1.76,152000,-0.0009607515308016445
20,0.3081714237016109,0.9108899736404419,269,0.009136591793503613,0.0,1.3313045704364777,1.1159453457593917,5.0,190.31,1.72,160000,-0.004663586804963415
21,0.2614465992881358,0.9005360156297684,269,0.007109258063137531,0.0,1.3524506199359894,0.9936427846550941,5.0,200.47,1.96,168000,0.000384215224039508
22,0.2561114421750294,0.9347146362066269,269,0.0067342577298404645,0.0,1.3432155776023864,0.9501649367809296,6.200000000000017,209.61,2.2,176000,-0.002011326103238389
23,0.23961816798271499,0.9322364848852157,268,0.005810791618423536,0.0,1.347179514169693,0.8942596101760865,8.0,208.1,2.2,184000,-0.0001588066332624294
24,0.2679343160683978,0.9198674583435058,269,0.00722009387158323,0.0,1.3504921352863313,0.9838898447155953,8.0,209.11,2.21,192000,0.0005994678975548595
25,0.23066870393599168,0.9263867086172104,269,0.005470197847171221,0.0,1.3604787349700929,0.8649316629767418,7.1000000000000085,206.31,2.11,200000,-0.00041124493553070353
26,0.2458286382713881,0.8929040175676346,269,0.006476050833880436,0.0,1.371307728290558,0.9010959947109223,5.0,188.49,1.55,208000,-0.00023478795032133348
27,0.21119074448909067,0.9388250637054444,269,0.005223318701027892,0.0,1.3595717680454253,0.8267287293076515,5.0,189.81,1.61,216000,-0.0014022635624860414
28,0.1991486355817778,0.9465658819675445,269,0.0046877834131009875,0.0,1.3532479333877563,0.7719162601232529,5.1000000000000085,194.71,1.85,224000,-0.00017799227440264077
29,0.1873699758989069,0.9543845546245575,268,0.003885424789332319,0.0,1.3478507602214813,0.6967566162347794,6.1000000000000085,201.29,2.03,232000,-0.001198589134728536
30,0.2091933437629157,0.9312905579805374,268,0.00522762548760511,0.0,1.3588210451602936,0.8117245262861252,5.1000000000000085,201.15,1.89,240000,-0.0011646705350722185
31,0.1996389915605672,0.9658601456880569,268,0.003582819260773249,0.0,1.338093113899231,0.7013130360841751,5.0,199.74,1.86,248000,-0.0006343662494327873
32,0.18213193233944,0.9582609140872955,268,0.003565283219941193,0.0,1.3428211319446564,0.6501335036754609,5.0,198.39,1.78,256000,-0.0014084768446628005
33,0.23260797831139599,0.9377474808692932,268,0.0060425638325978075,0.0,1.3565838193893434,0.8566369789838791,5.1000000000000085,202.99,1.93,264000,-0.0008084780973149463
34,0.24793090672103374,0.9019439202547074,269,0.006815318055450916,0.0,1.3557396233081818,0.881101305782795,5.0,195.01,1.73,272000,-0.000730945473187603
35,0.24903537597382264,0.94658467233181,269,0.0057242308446438985,0.0,1.3557889080047607,0.8411815586686134,6.0,209.45,2.15,280000,0.0007421603205148131
36,0.213692717576186,0.9529930830001831,269,0.004659290363197215,0.0,1.3587626564502715,0.7886095070838928,6.0,201.34,1.94,288000,-0.0020644107324187646
37,0.3340346315537801,0.9132806098461151,269,0.01465269173757406,0.0,1.3525966227054596,0.7957917521893978,7.1000000000000085,205.16,2.12,296000,-0.001456194045204029
38,0.18712889109515932,0.9595182156562805,269,0.0038366343363304624,0.0,1.3492487692832946,0.7058606921136379,6.0,199.03,1.9,304000,-0.0009207950555719435
39,0.20097980194377182,0.9468555241823197,270,0.00523353720549494,0.0,1.3516365599632263,0.8126139514148235,6.0,197.84,1.93,312000,3.947977631469257e-05
40,0.17398991756593052,0.968088505268097,270,0.003391162883490324,0.0,1.3518154692649842,0.683756315112114,6.200000000000017,208.72,2.19,320000,-8.839358983095736e-05
41,0.2136797726070602,0.9379424500465393,269,0.005522649660997558,0.0,1.3677702343463898,0.8519103470444679,5.0,200.59,1.87,328000,-0.00076448266627267
42,0.19627378981537935,0.9600982105731964,269,0.004053577110171318,0.0,1.344202734231949,0.7323331353068352,5.1000000000000085,206.59,2.01,336000,-0.0007037596133886837
43,0.17142439135392518,0.9339325141906738,269,0.0032962918184057345,0.0,1.362101261615753,0.623226181641221,5.1000000000000085,206.24,2.04,344000,0.0002462597077828832
44,0.16845577372341577,0.9615642476081848,269,0.00299108661536593,0.0,1.3651479709148406,0.640759274661541,5.0,195.82,1.71,352000,-0.0010896776843583211
45,0.2132670297139143,0.9520237499475479,270,0.0048452653514686975,0.0,1.3642996501922608,0.8092467585206031,5.0,188.94,1.53,360000,-0.0006941959461255465
46,0.16727405330847506,0.965555204153061,269,0.0033578598638996484,0.0,1.3541451382637024,0.6520660065114499,6.1000000000000085,208.93,2.13,368000,5.841452191816643e-05
47,0.2190962910222824,0.9533509117364883,269,0.004874209519766737,0.0,1.3657066452503204,0.7890140199661255,6.1000000000000085,213.42,2.26,376000,-0.0007994321483420208
48,0.24788736315855464,0.8872136533260345,269,0.007112650258350186,0.0,1.3481887865066529,0.9662540438771248,8.100000000000009,222.53,2.57,384000,-0.0005875377638585633
49,0.3291950319033621,0.8226835536956787,269,0.010708609758876265,0.0,1.3708689522743225,1.2212808775901793,6.200000000000017,208.02,2.23,392000,-7.834950229153038e-06
50,0.2933460979332541,0.9319167923927307,269,0.008649954357533716,0.0,1.3588826584815978,1.0564306163787842,5.0,198.38,1.87,400000,-0.002421002497430891
51,0.19429702449788835,0.9565594077110291,270,0.00443067459971644,0.0,1.3538101017475128,0.7611917358636856,5.1000000000000085,218.87,2.42,408000,-0.0018595584864669946
52,0.22093218377127954,0.9561650770902633,270,0.005315260511124507,0.0,1.352249674797058,0.8368009290099144,6.1000000000000085,220.26,2.41,416000,-0.0008531987893002224
53,0.23356107091033732,0.9376178646087646,270,0.006048802713339682,0.0,1.3640554165840149,0.8872235399484635,7.200000000000017,220.69,2.49,424000,-0.0010295011271955446
54,0.16150981063829412,0.9670316785573959,269,0.0031945308938156813,0.0,1.3602821552753448,0.6363597150146961,6.0,207.96,2.12,432000,-0.00044456164265284316
55,0.21509921280973604,0.9298163920640945,269,0.004892420793767087,0.0,1.3679761183261872,0.7900787979364395,5.0,194.48,1.77,440000,-0.0004163399862591177
56,0.34679864645441455,0.877945846915245,269,0.012411703751422466,0.0,1.3625754249095916,1.2887337285280227,5.1000000000000085,198.9,1.86,448000,-0.003127926967863459
57,0.2523405796847299,0.9161375838518143,268,0.006803528969176114,0.0,1.3566950845718384,0.9375655853748321,5.0,199.77,1.79,456000,-0.00291619107578299
58,0.22342342728602588,0.9501665300130844,268,0.0057855448441114276,0.0,1.3582058703899385,0.8969794017076492,6.0,210.36,2.18,464000,0.0003631598182255402
