explained_variance,grad_norm,P01:episode_rewards,PMM:episode_rewards,clip_fraction,policy_entropy,epoch_idx,episode_length,fps,advantage_norm,frames,policy_loss,value_loss,P09:episode_rewards,approx_kl_divergence
-3.8496608905494214,844851229.232373,80.0,160.0,0.337939453125,0.23133342608611543,1,487.73333333333335,465,15.968708842992783,10240,0.0875170878800418,922547475.0982292,209.99999999999997,4027120.672546521
-1.6391277313232423e-08,0.5161113557280148,80.0,228.03030303030303,0.0855224609375,0.4214858449995518,2,561.5757575757576,412,15.968715184926987,20480,0.00322479190363083,0.05238664732169127,520.0,0.007564560333207737
-2.3469328880310058e-08,0.08493078924708117,75.0,279.01785714285717,0.135107421875,0.6711150199174881,3,536.6071428571429,418,15.968717813491821,30720,0.0017148381313745631,0.010007390857936116,575.0,0.008240260060256332
0.0,0.07388511463893296,12.5,214.24418604651163,0.243798828125,0.9747775923460722,4,469.7906976744186,430,15.968613821268082,40960,0.0023891049651865613,0.0037652252003121055,550.0,0.009861514453859854
-4.470348358154297e-09,0.06549904772744725,0.0,157.75,0.2718017578125,1.331148199737072,5,385.85,430,15.968712937831878,51200,0.0006765887614164967,0.003033579553107302,502.5000000000002,0.005651872187559093
6.332993507385254e-09,0.06169667491630404,0.0,53.25,0.247412109375,1.3502821020781994,6,308.59,437,15.968710124492645,61440,0.0003005443266374641,0.0034888539147154064,125.0,0.005167426830257682
3.725290298461914e-09,0.04873157838695964,0.0,51.25,0.4120361328125,1.5627550058066846,7,299.67,439,15.968711906671524,71680,-0.0010480301163624973,0.0042000305577857945,100.0,0.008682230228652088
-3.3527612686157227e-09,0.04769449930999068,0.0,54.25,0.32421875,1.7023380786180495,8,299.71,443,15.968707287311554,81920,-0.0009479670072323643,0.0035820244466606256,100.0,0.006173925787607004
-9.313225746154785e-09,0.0496726682493699,0.0,71.5,0.31171875,1.7541179731488228,9,306.35,442,15.968717128038406,92160,-0.0008467111576464959,0.005922009087066726,150.0,0.004801483760184055
-3.7252902984619143e-10,0.05391273299413191,0.0,85.5,0.2943115234375,1.7516706056892872,10,310.74,445,15.968717515468597,102400,-0.0013919632361648836,0.007012514787129475,200.0,0.004450460527459654
4.8428773880004884e-09,0.05120881323993679,22.500000000000007,109.75,0.2852783203125,1.708445169776678,11,317.39,447,15.968713772296905,112640,-0.0012149390035119723,0.006414074800864001,225.0,0.004606124502902276
-1.601874828338623e-08,0.05545121732674176,25.0,120.25,0.265283203125,1.6931586757302284,12,324.13,448,15.968717753887177,122880,-0.0011940866817894858,0.008521365375236201,250.0,0.003576584983034081
1.862645149230957e-09,0.05072023754129379,0.0,120.75,0.2754150390625,1.7063861526548862,13,317.3,451,15.96871737241745,133120,-0.0013004955282667652,0.006006317142691842,252.50000000000023,0.004664591684866081
-8.940696716308593e-09,0.04825416077981004,0.0,113.0,0.2146728515625,1.5960046850144862,14,313.27,452,15.968717050552367,143360,-0.0010811652609845623,0.005812626439387713,250.0,0.0033730100957882316
3.725290298461914e-09,0.047063799008183506,0.0,83.5,0.2570068359375,1.5426929660141468,15,300.65,453,15.968712854385377,153600,-0.0005977703109238064,0.004676959646030809,175.0,0.003921625383139826
-6.7055225372314455e-09,0.04936805785160973,0.0,78.75,0.1962890625,1.6063392214477061,16,303.88,454,15.968717396259308,163840,-0.0012785634193278384,0.006316845296078099,150.0,0.0028219268956718225
-2.7939677238464355e-08,0.05370602465899985,0.0,97.25,0.1976806640625,1.605457203835249,17,312.48,454,15.968717783689499,174080,-0.0010069432340969798,0.008531984189176,200.0,0.0024533046432793524
-1.564621925354004e-08,0.05343813671439786,25.0,123.25,0.2310546875,1.6440705351531506,18,316.63,456,15.968717437982558,184320,-0.001420884535764344,0.009828569100614004,227.5000000000002,0.0035797465842961175
-1.825392246246338e-08,0.0527154591211909,25.0,190.5,0.2005615234375,1.6211205646395683,19,334.03,455,15.968716043233872,194560,-0.0017318283058557426,0.010627405100979103,525.0,0.0026965332769577797
-2.9802322387695314e-09,0.05561349568348559,25.0,195.25,0.210693359375,1.6495685547590255,20,332.75,455,15.968717819452285,204800,-0.0015926005522487684,0.010265422142401804,502.5000000000002,0.0029015680838938352
-7.078051567077636e-09,0.05499279528684821,50.0,220.5,0.2242919921875,1.6315198816359042,21,342.5,456,15.968717753887177,215040,-0.0016891296349058394,0.013152926045586355,505.00000000000045,0.0031323582961590548
-7.82310962677002e-09,0.05951537609916593,72.50000000000001,224.25,0.2110107421875,1.6223310716450214,22,348.07,455,15.968717920780183,225280,-0.0006669826441793702,0.01462616112694377,400.0,0.0030359380656591385
8.940696716308593e-09,0.05929490903220214,75.0,241.0,0.2148193359375,1.5992494091391563,23,351.43,455,15.968717777729035,235520,-0.0013438084384688408,0.014079408923862502,377.5000000000002,0.003048485715623883
-1.0430812835693359e-08,0.056876721563373936,122.5,254.0,0.24619140625,1.687915177643299,24,350.19,454,15.968717885017394,245760,-0.0020548000036797022,0.012767203015391715,405.00000000000045,0.0034277087911505077
4.470348358154297e-09,0.05457071016181608,75.0,243.25,0.2061279296875,1.7192437015473843,25,347.71,453,15.968717676401138,256000,-0.0010301014386641326,0.010699996285256929,475.0,0.002589577342314442
7.450580596923829e-10,0.05392866824537779,72.50000000000001,212.25,0.2519775390625,1.682657753676176,26,339.79,454,15.968717867136002,266240,-0.0015803872578544543,0.00956564818006882,427.5000000000002,0.003838088514339688
-2.0861625671386717e-08,0.044325519629091995,25.0,170.75,0.2468505859375,1.571462744474411,27,332.95,454,15.968717336654663,276480,-0.0017612727486266521,0.00626155309855676,377.5000000000002,0.0038275348127285724
1.3783574104309083e-08,0.044686754833591406,0.0,113.75,0.256201171875,1.5862512029707432,28,314.77,455,15.968655443191528,286720,-0.0015351925050708815,0.0037288693610002975,255.00000000000043,0.0036439703451947025
4.8428773880004884e-09,0.04544587873166843,0.0,83.0,0.2857177734375,1.6369150690734386,29,307.48,454,15.968716591596603,296960,-0.0010634456244588363,0.005297097932765382,150.0,0.004983179471946641
-1.1175870895385742e-08,0.04903725003368548,0.0,76.25,0.2193115234375,1.6922726862132549,30,306.68,454,15.968714767694474,307200,-0.001372059445566265,0.0060898342683161745,152.50000000000023,0.003079613878355758
8.568167686462402e-09,0.0519696236086607,0.0,99.0,0.2943603515625,1.650510134547949,31,313.25,453,15.96871709227562,317440,-0.0014022061754076277,0.005928176391466877,227.5000000000002,0.004019696838372511
1.3783574104309083e-08,0.04706577860248594,25.0,101.75,0.2572509765625,1.6176202021539212,32,313.2,454,15.96871708035469,327680,-0.0015480406720598694,0.006290366026269112,200.0,0.003835903282367781
1.862645149230957e-08,0.04587036322333943,0.0,88.25,0.2718994140625,1.5985794082283973,33,307.48,454,15.968712210655212,337920,-0.001211502536898479,0.003775061100209598,175.0,0.004533085854177443
-1.4528632164001465e-08,0.046592779708463115,0.0,73.5,0.198291015625,1.624139766395092,34,299.99,455,15.96870306134224,348160,-0.0008773739878961351,0.004979418582063744,150.0,0.0028850150234973173
