fps,approx_kl_divergence,advantage_norm,PMM:episode_rewards,episode_length,value_loss,frames,P09:episode_rewards,epoch_idx,policy_entropy,grad_norm,clip_fraction,P01:episode_rewards,explained_variance,policy_loss
327,73224.35317606755,15.968493318557739,3.125,285.3125,64074559.938691184,10240,0.0,1,0.08774590255730778,120151635.42959937,0.1958740234375,0.0,-0.9192909531295299,0.097723521761543
305,0.09442077236683169,15.968482041358948,2.4305555555555554,286.375,0.0015586649124882611,20480,0.0,2,0.41920293785224205,0.17487489996387245,0.1316650390625,0.0,3.7252902984619143e-10,0.0022368203604855807
302,0.010683783378590305,15.968640100955962,7.25,288.42,0.0019183293917720335,30720,25.0,3,1.3708117038011551,0.05249293852555774,0.35126953125,0.0,-1.1175870895385742e-09,0.00021168446492083603
301,0.005470818175626846,15.968716317415238,31.25,293.6,0.004679095924291232,40960,75.0,4,1.525188834220171,0.0453209683872746,0.2408203125,0.0,-1.4901161193847656e-08,-0.00012508046602306423
297,0.003540211784888925,15.968702548742295,48.0,298.25,0.0040137256845987675,51200,100.0,5,1.4588306739926338,0.042411455768433366,0.221533203125,0.0,-7.450580596923828e-09,-0.00013929606102465187
298,0.004040759568579233,15.96871691942215,58.75,303.18,0.00469607097422795,61440,125.0,6,1.492742720246315,0.04553318762886453,0.24970703125,0.0,0.0,-0.0009712473467516248
298,0.0035655478438911814,15.968705248832702,77.25,307.2,0.006737327422416684,71680,150.0,7,1.4753794223070145,0.04555939421110459,0.208447265625,0.0,1.1920928955078126e-08,-0.0014617067579820286
298,0.004693889875466084,15.968716669082642,96.5,313.64,0.006517262837337512,81920,202.50000000000023,8,1.534605249017477,0.053417059062607464,0.2999267578125,0.0,-2.9802322387695314e-09,-0.0014719378028530627
298,0.0031884175555433104,15.968716686964035,111.5,318.69,0.007028408904443495,92160,300.0,9,1.4883526265621185,0.04993045033306398,0.20146484375,0.0,-2.0489096641540527e-08,-0.0013535211168345996
299,0.00485157425023317,15.968714660406112,92.0,316.04,0.0034192910044012594,102400,225.0,10,1.2644219800829888,0.03627763188266754,0.23564453125,0.0,1.9744038581848144e-08,-0.0010032845886598807
298,0.0044550894306667034,15.968716967105866,73.0,307.96,0.004251808502021959,112640,155.00000000000043,11,1.5874478831887244,0.04575511339915126,0.268212890625,0.0,3.3527612686157227e-09,-0.0012671490578213707
299,0.0035847755653321657,15.968716651201248,62.5,301.31,0.004793766373995823,122880,127.50000000000021,12,1.6125206045806408,0.04875705177629796,0.2698974609375,0.0,-4.8428773880004884e-09,-0.0011922475903702434
299,0.0040717845306630805,15.968715417385102,59.75,299.35,0.003921616687779306,133120,125.0,13,1.6109758652746677,0.0474042489750785,0.2915771484375,0.0,-2.123415470123291e-08,-0.0018382576570729725
299,0.003767030683002304,15.968714910745621,57.0,298.17,0.003964420799222523,143360,125.0,14,1.6099071882665157,0.04604119164140029,0.2478515625,0.0,-5.960464477539063e-09,-0.0012831782947614555
299,0.004733072738486044,15.968715876340866,56.5,298.21,0.00409237136317202,153600,125.0,15,1.5773152530193328,0.04692249039378145,0.33173828125,0.0,-3.7252902984619143e-10,-0.0017320321436272933
298,0.0035721664965535638,15.968715333938599,57.0,296.7,0.004236245235256319,163840,125.0,16,1.5373642653226853,0.04790365979989317,0.244873046875,0.0,-1.862645149230957e-09,-0.0008110999187920243
297,0.005594929023482109,15.96870619058609,49.25,295.19,0.0032548500511698107,174080,100.0,17,1.5214438639581203,0.050048328287318776,0.3435791015625,0.0,-2.2351741790771484e-09,-0.001774571843088779
297,0.0034655755327491987,15.968684327602386,37.0,292.12,0.002242188460784433,184320,75.0,18,1.4383093409240246,0.0457877482306356,0.2497802734375,0.0,-8.940696716308593e-09,-0.0009703604864625959
296,0.003707223732223497,15.968715232610702,36.75,292.62,0.0033699217124649296,194560,75.0,19,1.4769029676914216,0.04440029580100353,0.19873046875,0.0,-1.3783574104309083e-08,-0.0005186516820685938
