P01:episode_rewards,frames,policy_loss,fps,P09:episode_rewards,clip_fraction,episode_length,policy_entropy,approx_kl_divergence,value_loss,advantage_norm,explained_variance,grad_norm,epoch_idx,PMM:episode_rewards
0.0,10240,0.05668361572015783,196,75.0,0.2847412109375,435.8636363636364,0.36592754937649313,4337642.545206582,3172645242.6686645,15.968702381849289,-5.895592828840018,2301539397.930248,1,21.59090909090909
0.0,20480,0.0012000397400697693,186,87.5,0.230859375,360.125,1.1104092761874198,0.00692418883791106,0.0035719607396558217,15.968704974651336,-2.0116567611694337e-08,0.04922114173661156,2,40.17857142857143
0.0,30720,0.0006489507228252478,197,125.0,0.2282958984375,347.5287356321839,1.3407485321164132,0.006263407076289695,0.004468399237731546,15.968710786104202,2.6077032089233397e-09,0.039509971678884426,3,55.172413793103445
0.0,40960,-0.0006147103358671302,206,152.50000000000023,0.257568359375,320.6,1.3237686276435852,0.005894210640212805,0.005129214429894091,15.96871697306633,-1.4901161193847657e-09,0.037790925030033416,4,81.5
0.0,51200,-0.0008775775240792427,212,230.0000000000004,0.2290283203125,324.28,1.4020180888473988,0.004897168540924213,0.006651701466398663,15.968717616796493,1.4528632164001465e-08,0.04144691428792692,5,98.5
0.0,61440,-0.0009122976065555122,215,230.0000000000004,0.2732666015625,325.68,1.394046362489462,0.005517918091481988,0.005882712914944932,15.968716549873353,1.4901161193847656e-08,0.0433438183541306,6,110.75
0.0,71680,-0.0012388466740958393,218,225.0,0.293310546875,325.4,1.5421809278428555,0.004854168300244055,0.007491396707064268,15.968717789649963,2.6077032089233397e-09,0.04794607529474464,7,106.75
0.0,81920,-0.0009522323773126118,219,225.0,0.304248046875,328.17,1.6618686459958554,0.004628981336009019,0.005647485486838378,15.968717122077942,-1.1175870895385742e-09,0.04958798295082453,8,112.5
25.0,92160,-0.0012614285300514894,223,225.0,0.27646484375,325.66,1.6835956625640391,0.003999826598226263,0.006182917542555266,15.96870551109314,-6.332993507385254e-09,0.05081989776396191,9,105.0
0.0,102400,-0.0011023144965292887,225,200.0,0.3156005859375,320.4,1.6844260595738887,0.005508157456029039,0.004434343978175548,15.968715673685073,-1.3783574104309083e-08,0.0475134220440484,10,90.5
0.0,112640,-0.000750466304452857,226,175.0,0.3071044921875,314.69,1.6700381569564342,0.004130424949832445,0.004972488198281155,15.968709421157836,1.7508864402770997e-08,0.049399002884129316,11,78.0
0.0,122880,-0.0013727953239140334,228,127.50000000000021,0.353759765625,306.64,1.666818619519472,0.0059052330523797995,0.003292143146531856,15.96867681145668,5.960464477539063e-09,0.04557136160260762,12,60.75
0.0,133120,-0.0013276130393933272,230,100.0,0.2898193359375,300.48,1.6624039120972156,0.00473776958185681,0.0032838604876133993,15.968676674365998,-1.0058283805847169e-08,0.046978071312804376,13,49.0
0.0,143360,-0.0011896187970705796,230,102.50000000000021,0.325830078125,299.0,1.721739024668932,0.004773690387219176,0.0050259000599425,15.968716377019883,-6.7055225372314455e-09,0.04801000732523344,14,53.75
0.0,153600,-0.0012011793383862822,231,152.50000000000023,0.252001953125,304.62,1.6937113478779793,0.003786640731618718,0.0062933823297044,15.968717259168624,5.960464477539063e-09,0.04916636989754397,15,75.25
0.0,163840,-0.0009423752526345197,232,175.0,0.262255859375,312.04,1.6759091779589652,0.0036420994410718776,0.00706819345994063,15.96871721148491,-3.3527612686157227e-09,0.0534799369238359,16,91.25
