explained_variance,value_loss,advantage_norm,policy_loss,P09:episode_rewards,epoch_idx,fps,frames,policy_entropy,P01:episode_rewards,episode_length,PMM:episode_rewards,grad_norm
-2.6400949364900588,0.10465168979651934,2.0394723981618883,-0.0313876836549025,2.200000000000003,1,256,8000,1.3124986442923545,0.0,169.43589743589743,1.0769230769230769,3.071053423559959
-0.02468439221382141,0.014121695557682869,1.166807635705918,0.001512241071322933,3.0,2,233,16000,1.3535026514530182,0.0,175.45555555555555,1.2333333333333334,0.23867310179843856
-0.00971584975719452,0.01718685272067887,1.4313706899434329,0.0018076427606865764,4.0,3,245,24000,1.3749259102344513,0.0,189.97,1.59,0.2480941246597799
0.00988312840461731,0.01307398261364142,1.151022745296359,0.0033763429740793073,4.0,4,253,32000,1.3782066071033479,0.0,188.13,1.57,0.22946982319774242
-0.21576545298099517,0.010740421752852853,1.0446390770375729,0.000845976233104011,3.0,5,257,40000,1.3711687004566193,0.0,177.75,1.3,0.26508430099444363
-0.04952930331230163,0.013938596582484024,1.2206454461067915,-0.00161295611425885,2.0,6,259,48000,1.3767208135128022,0.0,169.97,1.1,0.3318702363729416
-0.03176710486412048,0.03874152806958591,1.376396613419056,0.0044558725487149784,2.0,7,260,56000,1.3749975121021272,0.0,168.98,1.12,0.6357502430556252
0.15629375398159026,0.02208137741079554,1.5124944683909416,-0.007652350442949683,3.0,8,262,64000,1.370321019887924,0.0,179.56,1.38,0.5989623805775133
0.36511344015598296,0.013349861896131188,1.2692166647315026,-0.00036195763874275144,4.1000000000000085,9,262,72000,1.3800940549373626,0.0,188.04,1.55,0.38677837123173037
0.4480855756998062,0.05635216612135992,1.7789130267500877,0.003214413122041151,4.0,10,264,80000,1.3721936285495757,0.0,191.06,1.56,1.2207120994508927
0.6405297958850861,0.024145123389316722,1.5532234236598015,-0.004515613709809258,5.0,11,264,88000,1.3398274114727975,0.0,199.79,1.79,0.6621891271408546
0.6427413833141327,0.03673436293611303,1.8404438316822052,-0.009982884057099,5.0,12,265,96000,1.344455304145813,0.0,206.94,2.07,0.9128821413949929
0.7453789472579956,0.012434520452516154,1.3165468281507493,-0.0022852211146346234,5.0,13,265,104000,1.3595840322971344,0.0,210.74,2.1,0.4108522510688998
0.7252934765815735,0.01413591051241383,1.3363512712717056,-0.004233479805407114,5.0,14,266,112000,1.3494042074680328,0.0,196.66,1.78,0.4671189851686248
0.8043311178684235,0.012059994335286319,1.3053315782546997,-0.00501321200048551,4.1000000000000085,15,266,120000,1.3685752141475678,0.0,188.22,1.54,0.4323841145847762
0.8601556777954101,0.010913767806487158,1.2456821650266647,-0.003944735724217025,5.0,16,267,128000,1.3434001684188843,0.0,193.59,1.7,0.387168837085524
0.8825790101289749,0.008212584157590755,1.0463391381502152,-0.0025680876450496727,5.0,17,267,136000,1.3346234166622162,0.0,199.6,1.86,0.3457563583060819
0.9011937934160232,0.006609046360536013,0.9576103895902633,-0.002632357518305071,5.0,18,267,144000,1.3201146137714386,0.0,193.69,1.73,0.29277700342315954
0.931600256562233,0.005573071630205959,0.8821106699109077,-0.0001929574827590841,5.0,19,268,152000,1.3317952728271485,0.0,194.54,1.74,0.2585440968037983
0.9124825304746628,0.006555745352234226,0.9328893163800239,-0.0009581631203764118,5.0,20,268,160000,1.3309162831306458,0.0,202.07,1.95,0.27913952802695546
0.7084219604730606,0.03723464745446108,1.6211722317337989,-0.006679350055928807,5.0,21,268,168000,1.3429341304302216,0.0,206.4,2.03,1.0036950287082704
0.9074511235952377,0.007622396440128795,1.0236211800575257,-0.0018391780499950982,5.0,22,268,176000,1.3415904641151428,0.0,199.16,1.79,0.3001141093932451
0.9353923088312149,0.00642772852210328,0.9274187800288201,-0.0011926153136300854,5.0,23,269,184000,1.3326774144172668,0.0,213.61,2.19,0.2591538435835239
0.9476262056827545,0.004537230572896078,0.7760725721716881,-0.001001291811116971,6.0,24,269,192000,1.3360387444496156,0.0,218.4,2.37,0.20888477334196465
0.9647053116559983,0.004558042512217071,0.7792131173610687,-0.00022122457507066427,9.0,25,269,200000,1.3289149904251099,0.0,202.8,2.13,0.2239830968356479
0.9529021120071411,0.0036672678522882054,0.6814899259805679,-0.0016797667439095677,9.0,26,269,208000,1.3388859236240387,0.0,209.96,2.36,0.1950593585423263
0.9482484525442123,0.004981843935674988,0.817337948679924,-0.0005570351873757318,9.0,27,269,216000,1.3420919227600097,0.0,201.97,2.11,0.24892019381881048
0.9005771028995514,0.00833441928436514,1.0592969825863838,-0.00035572863813285947,6.0,28,269,224000,1.3604358315467835,0.0,196.82,1.88,0.29609260008677407
