episode_length,explained_variance,grad_norm,policy_gradient_loss,PMM:episode_rewards,avg_q_retraced,model_prob_std,q_loss,P09:episode_rewards,policy_gradient_bias_correction,policy_entropy,frames,advantage_norm,fps,policy_loss,avg_q_selected,rollout_prob_std,P01:episode_rewards,epoch_idx
0,-60.96101404825846,0.03411092614552423,-6.124084126213347e-05,0.0,0.008587407887292405,0.009142082106942931,0.0004634574985781607,0.0,0.0,2.189182090759277,7200,0.0373319361358881,328,-6.124084126213347e-05,0.008517104969359934,0.009142081843068202,0.0,1
0,-463.79936532974244,0.246176379274341,-0.00021107368935796938,0.0,0.01594777122736559,0.01849816744021761,0.0025328870902740163,0.0,0.0,2.1327314058939617,14400,0.020771036304843924,185,-0.00021107368935796938,0.015865227375616086,0.01849816747320195,0.0,2
0,-169.03064058621723,0.00397674128457894,1.923449820727304e-05,0.0,-0.0007515799062578784,0.0025715640823667247,4.6589730542715796e-05,0.0,0.0,2.196837631861369,21600,0.0115884717553854,219,1.923449820727304e-05,-0.0005522069022845244,0.0025715640843069804,0.0,3
0,-75.19582513173421,0.00396836587315526,3.9521367284578446e-05,0.0,-0.0016752220360406985,0.003775965131353587,4.274317276819299e-05,0.0,0.0,2.1966062704722087,28800,0.024653977093597252,249,3.9521367284578446e-05,-0.0016743543320141422,0.0037759651662781835,0.0,4
0,-256.31132882436117,0.0014572554992764808,2.1924251204078852e-05,0.0,-0.0012334218927814314,0.0016046695275387416,1.5297706431738335e-05,0.0,0.0,2.1970678170522056,36000,0.009896439725222687,275,2.1924251204078852e-05,-0.001167062572009551,0.001604669529478997,0.0,5
3324.5,-60.456048583984376,0.0017200220897835557,3.7784667324558543e-05,0.0,-0.0010710313237116984,0.002204259888579448,1.526564521251809e-05,0.0,0.0,2.1969773292541506,43200,0.016473715597142776,297,3.7784667324558543e-05,-0.0011154329185956158,0.002204259892459959,0.0,6
3324.5,-169.42667163213093,0.0013652706395292644,6.221450500258167e-07,0.0,-0.00048168064798422466,0.001091280480613932,6.95907251611061e-06,0.0,0.0,2.1970603466033936,50400,0.006781887472607195,316,6.221450500258167e-07,-0.0004543016857799861,0.0010912804922554643,0.0,7
3324.5,-177.29715569814047,0.0007795742036085368,9.841173222942718e-06,0.0,-0.0003554339632197904,0.0007040649807701509,3.455737536720941e-06,0.0,0.0,2.197196062405904,57600,0.0034996858526331683,332,9.841173222942718e-06,-0.00034766356382836725,0.0007040649700987464,0.0,8
3324.5,-50.166790103912355,0.0008801905557006412,9.96022847251273e-06,0.0,-0.00048780867364257575,0.0014731641800608485,4.718868816174412e-06,0.0,0.0,2.197104811668396,64800,0.010818657108272116,345,9.96022847251273e-06,-0.0005410189813119359,0.0014731641742400825,0.0,9
3324.5,-107.39566427866617,0.0006782062193441351,9.048392322223245e-06,0.0,-0.00030878345387463924,0.00111246430024039,3.2421445932110752e-06,0.0,0.0,2.197142815589905,72000,0.00769565434117491,356,9.048392322223245e-06,-0.00032581350900121226,0.001112464275987198,0.0,10
3324.5,-34.98299113909403,0.0009508853163179624,9.498804739867713e-06,0.0,-0.0005038756672244442,0.001703806035220623,4.124020301787823e-06,0.0,0.0,2.1970860799153646,79200,0.013569396947665761,366,9.498804739867713e-06,-0.000501524118302162,0.0017038060119375586,0.0,11
3325.1666666666665,-76.51576550801595,0.00032256365811064524,4.797944643541996e-06,0.0,3.3775871270336213e-05,0.0004892720569235583,1.296232589235539e-06,0.0,0.0,2.1972060441970824,86400,0.0037038219859823586,374,4.797944643541996e-06,3.1898295037535715e-05,0.000489272036550877,0.0,12
3325.1666666666665,-159.07599932352701,0.0008780966884305829,-2.1654029050447813e-06,0.0,2.184408530562602e-05,0.0006121406807020927,2.152745176431381e-06,0.0,0.0,2.1971546173095704,93600,0.003318409784696996,383,-2.1654029050447813e-06,3.2345635365042354e-05,0.0006121406889481781,0.0,13
3325.1666666666665,-61.53315035502116,0.0003552068136151084,-1.1966955156594849e-06,0.0,6.213514106055603e-05,0.00043424556982548285,8.52918543614578e-07,0.0,0.0,2.197213904062907,100800,0.002612120386523505,390,-1.1966955156594849e-06,8.532535885024118e-05,0.00043424558049688736,0.0,14
3325.1666666666665,-18.993967692057293,0.0005773991213788396,5.863970191436844e-06,0.0,-0.00026300421995983925,0.0012696770980255678,1.9033740623323562e-06,0.0,0.0,2.1971546093622845,108000,0.010204016180553784,397,5.863970191436844e-06,-0.0002734311987296678,0.0012696770844437802,0.0,15
3325.1666666666665,-77.43196862538656,0.00023531185954398765,-4.200235488838189e-06,0.0,8.66505506564863e-05,0.0004445132828550413,6.044897399230346e-07,0.0,0.0,2.197206727663676,115200,0.0033274616793884586,403,-4.200235488838189e-06,8.843564719427378e-05,0.00044451327848946673,0.0,16
